Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	65.07322	34.430653	102.971466	28.295773	62.926308	24.74374	89.319756	17.598146	1000.0	1000.0	3999	1.0582634	0.42488626	2.2929537	-1.0925148	-1.1249324	0.0024456054	34.81543803215027
2	96.21352	42.124077	162.26169	50.485786	120.37959	146.12465	539.6005	20.856487	1000.0	1000.0	7999	2.2182324	0.44694003	4.802807	1.2510861	-2.2461367	0.0030638713	71.9649887084961
3	63.549156	54.678352	122.13266	5.4991055	74.500046	33.024445	119.75229	32.712406	1000.0	1000.0	11999	4.929631	0.94343275	8.283106	2.4061127	-5.0277834	0.0031806435	111.32106804847717
4	39.94109	35.03955	98.721466	9.385583	62.900013	25.81615	95.69211	22.037292	1000.0	1000.0	15999	5.9736524	1.3328922	16.122408	3.3830914	-5.9515653	0.0022902987	150.15854930877686
5	55.89851	22.895853	77.03929	17.252308	54.123283	24.163456	89.5514	10.186587	1000.0	1000.0	19999	5.778164	1.4943055	11.386022	3.2021961	-5.7692657	0.0016741555	187.52090406417847
6	77.684814	18.632198	105.454865	54.303524	66.50026	43.529957	163.35013	3.1019914	1000.0	1000.0	23999	5.829429	1.6705295	9.346323	2.836415	-5.826674	0.0016614936	226.23947072029114
7	70.52705	48.428883	122.321205	2.8854027	89.8936	144.36795	512.4707	3.21657	1000.0	1000.0	27999	6.340215	1.7743921	10.233728	2.8443367	-6.3645997	0.0016553865	265.50815534591675
8	43.90106	35.08282	99.772125	9.126929	66.908035	26.338797	111.30645	31.441246	1000.0	1000.0	31999	6.492119	2.0147555	10.587474	2.8902464	-6.492916	0.0012237028	303.1234769821167
9	37.41262	19.256767	62.029446	13.954797	117.31632	169.88219	616.94385	8.353217	1000.0	1000.0	35999	6.4340043	2.1625557	10.892143	2.6414728	-6.435899	0.0016220198	340.59286975860596
10	64.26137	29.315174	98.733	26.123985	100.88441	46.008205	193.52403	9.94846	1000.0	1000.0	39999	6.8479624	2.2532282	12.057367	2.6394703	-6.882894	0.0011907149	377.99487829208374
11	79.28404	87.85147	230.49605	20.153044	63.41985	31.976624	110.68498	14.587693	1000.0	1000.0	43999	7.507152	2.5214	20.421375	3.1661322	-7.5902667	0.0046082865	418.6705677509308
12	62.488712	35.713863	111.46007	22.796877	81.29347	34.224327	118.68495	9.018035	1000.0	1000.0	47999	8.822883	3.348879	23.32081	3.2667022	-8.899867	0.00903991	453.200501203537
13	255.12387	372.7869	900.4032	18.788515	56.21211	41.65546	112.039154	2.3035176	1000.0	1000.0	51999	9.99271	4.0215993	25.083422	2.9382176	-10.119392	0.008494506	490.7350835800171
14	76.76332	25.714924	105.43606	48.907806	47.737183	36.952595	119.86213	4.3828716	1000.0	1000.0	55999	12.427578	5.6549807	34.138245	0.93945974	-12.578574	0.013141715	526.3838212490082
15	51.29026	30.99825	89.48783	18.946737	73.71786	58.57883	203.22353	16.49549	1000.0	1000.0	59999	14.753737	8.299021	48.739933	-1.6044014	-14.967141	0.026095653	562.0702073574066
16	251.45422	365.36017	882.69934	10.763881	65.55048	25.843443	117.846924	34.68004	1000.0	1000.0	63999	17.841213	11.451053	59.575954	-2.0354013	-18.171505	0.032294843	596.0142204761505
17	52.763844	40.535965	119.22817	17.0257	65.20412	39.079983	121.682	1.013553	1000.0	1000.0	67999	24.48501	12.582579	62.212986	3.3381824	-24.966835	0.035655115	631.4228885173798
18	66.91622	32.682182	113.27994	20.89918	128.85028	144.26207	557.3833	49.221848	1000.0	1000.0	71999	29.109463	13.693524	69.15272	2.3192067	-29.514492	0.038056366	665.7887518405914
19	39.282726	20.551825	66.52429	15.916652	69.36366	23.47116	99.77215	23.966942	1000.0	1000.0	75999	33.17067	15.185038	74.32552	2.232695	-33.55374	0.04308161	702.157546043396
20	56.289482	29.459164	98.2873	15.353594	92.93469	43.60406	215.47525	53.397762	1000.0	1000.0	79999	34.722195	15.587828	78.56539	0.6298217	-35.02694	0.047822654	737.7383182048798
