Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	49.560753	28.253471	78.02499	5.9970803	143.17838	4.519602	154.53726	139.64061	1000.0	1000.0	3999	0.3322782	0.46555772	3.8365128	-0.27630696	-0.34099406	0.00020416136	41.43506193161011
2	30.970993	20.31481	59.22014	9.47408	131.6736	0.30011263	132.4426	131.25992	1000.0	1000.0	7999	1.231557	1.242815	8.018767	-0.19972235	-1.2729533	0.00048251258	86.24456238746643
3	82.76661	46.41536	129.27205	25.763802	123.97274	0.49815097	124.942894	123.16859	1000.0	1000.0	11999	3.4383707	2.470637	19.336851	0.20143825	-3.548082	0.0020817015	133.97989320755005
4	131.9275	4.4304333	138.53203	127.12823	127.8364	0.763461	129.1055	126.71006	1000.0	1000.0	15999	7.4290867	3.405021	20.951223	1.8895931	-7.5360537	0.0031026085	184.0883297920227
5	148.92372	6.6664205	158.51889	142.64441	139.08763	0.45626196	140.31781	138.47578	1000.0	1000.0	19999	10.27308	4.2620087	46.9256	4.205693	-10.340365	0.014154148	233.6281383037567
6	148.04614	8.548824	159.54135	135.62096	124.06698	0.1646237	124.3472	123.87342	1000.0	1000.0	23999	12.507322	6.1974916	59.492817	4.730403	-12.55442	0.028374135	282.9194781780243
7	151.44135	9.278067	164.35405	140.08167	129.8436	1.7855148	133.39609	127.12989	1000.0	1000.0	27999	15.238435	8.763573	55.432568	4.8650904	-15.300425	0.026812058	330.9023344516754
8	150.00385	9.8150625	162.61029	136.29268	142.639	1.451837	146.00484	140.36993	1000.0	1000.0	31999	17.694778	9.640111	57.55711	6.019308	-17.754496	0.024315692	379.0440158843994
9	171.85593	7.6711164	183.0729	161.46411	170.99556	1.0156125	172.88795	169.52144	1000.0	1000.0	35999	19.24563	9.522858	54.28564	7.054108	-19.302095	0.024171136	427.46708369255066
10	168.47073	13.3990555	189.65645	152.47617	205.61047	4.4408035	214.79318	197.47148	1000.0	1000.0	39999	19.875471	8.497081	49.308216	8.229177	-19.931393	0.021280095	475.26117992401123
11	180.63121	13.271853	191.2713	158.30576	172.96829	13.249794	198.51952	149.45027	1000.0	1000.0	43999	19.803663	7.1616907	44.94714	8.56033	-19.861826	0.02050601	522.7677071094513
12	183.99002	16.826122	195.62837	155.12416	190.06647	0.47816944	190.76718	189.38704	1000.0	1000.0	47999	20.125376	6.349561	40.962124	9.154028	-20.180841	0.024077145	570.5878157615662
13	207.1236	21.291853	238.37155	183.66798	178.58954	25.194298	249.94049	158.96423	1000.0	1000.0	51999	20.214483	5.6546807	40.03421	10.036951	-20.272497	0.025116406	618.3559403419495
14	298.28058	94.086754	428.57443	197.80908	306.0343	5.761415	313.13153	295.18015	1000.0	1000.0	55999	20.423994	5.160526	45.040905	10.3400545	-20.486378	0.027822873	665.9586424827576
15	442.69305	67.07685	504.22406	340.29523	485.729	3.9188793	492.86224	480.05667	1000.0	1000.0	59999	21.229965	6.0445795	58.377625	10.88781	-21.29302	0.03811724	713.603586435318
16	586.7202	93.01472	702.5173	491.0765	369.99582	4.9558597	376.6427	361.198	1000.0	1000.0	63999	22.755028	8.653307	69.07008	11.504027	-22.823946	0.047095206	761.4446949958801
17	456.52048	119.75258	593.7405	276.36246	591.9661	9.626538	601.7754	564.9645	1000.0	1000.0	67999	24.675014	11.37163	76.71141	11.840242	-24.75701	0.064459555	809.3751726150513
18	711.0956	39.320457	773.6641	667.40546	772.47345	5.571581	779.932	761.5054	1000.0	1000.0	71999	26.965494	14.193102	81.47414	11.818594	-27.052706	0.084312454	857.2032084465027
19	768.9853	72.63987	820.7576	644.49756	724.2272	0.8860646	725.5605	722.97253	1000.0	1000.0	75999	30.111277	17.935144	85.90242	12.083455	-30.206934	0.10730168	904.9517300128937
20	676.5697	51.735775	759.06323	616.0794	827.938	0.7857223	829.1654	826.8549	1000.0	1000.0	79999	33.35587	20.797018	89.24594	12.939661	-33.469727	0.12840949	952.0693273544312
21	824.4647	15.769868	850.01056	807.0546	793.7508	0.9229888	795.28577	792.257	1000.0	1000.0	83999	36.743618	23.300373	92.489365	13.507137	-36.87663	0.16586953	999.6373183727264
22	828.6669	19.988428	855.119	804.7258	857.3981	0.7212067	858.2545	855.8814	1000.0	1000.0	87999	40.640823	26.02039	94.89332	14.25039	-40.7898	0.1812649	1047.3425855636597
23	777.6029	41.123196	822.7816	711.0307	772.613	9.0511875	792.2477	760.5988	1000.0	1000.0	91999	44.19765	27.783438	96.51469	14.371035	-44.34614	0.19581762	1095.2400579452515
24	817.22156	7.8033195	827.3912	809.1897	871.2371	0.43667516	871.7901	870.41534	1000.0	1000.0	95999	47.528915	28.862793	100.06755	14.529357	-47.697906	0.20277297	1142.9914684295654
25	851.9453	12.652756	865.7173	832.65106	832.96375	0.8174366	833.9008	831.2244	1000.0	1000.0	99999	51.00876	29.74784	101.13127	14.438112	-51.18885	0.20320989	1190.7395133972168
26	808.0464	7.0755305	817.30725	800.61914	843.6686	0.89832586	844.5491	842.24524	1000.0	1000.0	103999	53.91964	30.655783	102.57145	14.406299	-54.095642	0.21885987	1238.2072925567627
27	838.3194	16.534117	858.91675	812.77124	752.9823	0.44707865	753.8095	752.45355	1000.0	1000.0	107999	56.617035	31.489275	104.12279	14.630372	-56.7906	0.22486123	1285.8841195106506
28	791.7139	19.042294	821.67584	769.0565	845.4782	0.45581254	846.44183	844.9318	1000.0	1000.0	111999	58.7355	32.095394	104.344284	14.504174	-58.895664	0.20336905	1333.830621957779
29	631.90283	56.775127	719.06226	568.7307	859.3473	0.31725654	859.78656	858.81085	1000.0	1000.0	115999	60.273895	32.260605	105.03288	13.680819	-60.42578	0.19483551	1381.8114202022552
30	789.68445	49.80538	853.708	733.01715	827.932	0.40845725	828.23956	826.77527	1000.0	1000.0	119999	61.397366	31.926317	104.89956	13.747637	-61.541977	0.19126196	1429.3791477680206
31	851.13513	8.305521	859.0967	838.3161	852.9614	0.5000971	854.0584	852.2179	1000.0	1000.0	123999	62.565544	31.844063	104.43073	13.706352	-62.70217	0.17994754	1477.3756396770477
