Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	11.723455	4.076635	17.724861	6.2564373	117.226974	7.7700686	135.96843	105.25636	1000.0	1000.0	3999	0.19974491	0.13484968	1.1354584	-0.2703416	-0.20509966	0.000134486	39.65236759185791
2	9.531234	2.4267216	12.543701	6.2422404	120.31112	9.64732	136.95891	103.24834	1000.0	1000.0	7999	0.42338917	0.27992266	2.3349028	-0.04980843	-0.43068498	0.000100798774	83.23322653770447
3	61.73329	50.721302	130.14856	11.451873	123.35011	3.8999155	128.52116	115.272705	1000.0	1000.0	11999	0.845474	0.69931436	9.652881	0.14013496	-0.8619703	0.0020681683	128.85213136672974
4	128.24089	4.6925564	136.02736	123.449615	123.12056	10.101635	138.14067	99.20226	1000.0	1000.0	15999	2.1025293	1.6504495	11.812423	0.37452352	-2.126917	0.013644869	176.6504979133606
5	123.43375	10.846117	137.60283	109.29969	123.623856	8.368722	138.78078	113.107185	1000.0	1000.0	19999	3.5221322	2.2929547	14.0833235	0.7337168	-3.5438392	0.018031867	224.62134194374084
6	133.92694	5.6893444	139.6084	124.72179	121.99855	6.6971736	131.0474	108.05906	1000.0	1000.0	23999	4.817977	2.7414925	16.217327	1.0489206	-4.837711	0.0268338	272.35690808296204
7	130.01688	4.688999	137.05348	123.84965	124.56673	9.96799	140.12639	102.54098	1000.0	1000.0	27999	5.959334	3.039968	15.867123	1.2777256	-5.9738345	0.028422166	319.89642453193665
8	128.98427	8.941574	138.27739	115.15275	121.60673	10.1654	144.70746	108.01008	1000.0	1000.0	31999	6.96623	3.2430992	16.420519	1.5289899	-6.9806414	0.02761525	367.2220449447632
9	122.484085	13.2034	135.46416	102.192856	126.58119	9.52067	139.85341	107.75932	1000.0	1000.0	35999	7.8380237	3.2861419	16.661272	1.9067993	-7.856513	0.029214185	414.62000823020935
10	129.79865	5.405959	136.44383	121.53663	125.621155	9.401099	148.10052	112.274155	1000.0	1000.0	39999	8.664025	3.2150354	17.277	2.3523092	-8.683241	0.030177284	462.2446057796478
11	128.14818	6.86119	135.89085	117.548935	130.58102	6.5549088	141.57523	117.03563	1000.0	1000.0	43999	9.341244	3.1516984	18.00458	2.9528244	-9.357214	0.030609546	509.68402886390686
12	130.03305	7.3352184	137.11118	117.79365	128.4453	6.6247325	143.32364	120.09747	1000.0	1000.0	47999	9.876537	3.1470473	18.088718	3.0938911	-9.891999	0.03156706	557.032466173172
13	134.93188	6.5528264	143.07149	125.16813	122.751236	9.376972	138.5626	105.30336	1000.0	1000.0	51999	10.350983	3.1014636	18.389965	3.3724046	-10.365816	0.034764435	604.5740332603455
14	132.199	7.4012313	144.00981	124.816574	125.39015	7.3008895	138.04147	116.14099	1000.0	1000.0	55999	10.76337	3.0646613	19.529928	3.9452448	-10.777484	0.035250705	652.1997156143188
15	127.23734	7.3331017	138.31026	117.71603	139.53079	17.424438	169.94205	113.89503	1000.0	1000.0	59999	11.08888	3.052637	20.402306	4.0776987	-11.1013155	0.03561824	699.9130141735077
16	134.80103	11.495745	152.37498	120.2517	126.37034	7.4104476	140.97789	111.35301	1000.0	1000.0	63999	11.36693	3.061848	21.285036	4.2547326	-11.38102	0.03710824	747.4488594532013
17	139.55809	7.882816	152.23839	130.6728	146.33809	15.300117	167.09697	118.60122	1000.0	1000.0	67999	11.651166	3.1013606	24.64459	4.385666	-11.665108	0.03978848	795.2416870594025
18	143.3415	9.865368	159.60188	133.26656	128.61575	13.029344	154.87778	111.693886	1000.0	1000.0	71999	11.937738	3.101832	23.636608	3.8916626	-11.954681	0.041745324	842.6504669189453
19	141.34674	8.368891	149.04414	127.493004	144.91544	11.031675	161.00237	129.8116	1000.0	1000.0	75999	12.220428	3.1287022	25.128504	3.810868	-12.2377825	0.04424786	890.4023180007935
20	157.83606	8.369906	169.9255	147.8022	140.01732	11.659772	162.01376	119.89042	1000.0	1000.0	79999	12.507273	3.1845717	23.169077	4.113571	-12.525581	0.045818575	938.0815391540527
21	157.4573	25.38921	186.92383	118.88809	167.67706	12.654087	186.8987	144.76518	1000.0	1000.0	83999	12.820505	3.2822852	23.892208	3.7653575	-12.839402	0.04484756	985.4920625686646
22	141.85658	31.07152	170.09822	92.922226	149.88443	14.656127	180.55145	135.06923	1000.0	1000.0	87999	13.116822	3.3865383	24.306023	3.4710753	-13.137469	0.04940253	1032.8571338653564
23	153.8196	22.31862	189.2535	130.70622	156.54219	12.82658	173.91922	134.50261	1000.0	1000.0	91999	13.37047	3.4622355	23.813763	3.9596295	-13.390879	0.05105645	1080.209710597992
24	157.93591	11.855758	169.28961	140.07047	156.08598	10.213525	172.06595	138.08844	1000.0	1000.0	95999	13.619625	3.5316906	25.532309	3.7548337	-13.638842	0.052688226	1127.6408298015594
25	160.25151	12.673706	178.8897	146.31104	154.28284	12.069339	177.30162	135.80643	1000.0	1000.0	99999	13.859548	3.6011431	26.447973	3.6813338	-13.88203	0.055133242	1174.981306552887
26	161.79358	10.555498	179.35017	153.50291	154.74065	10.307696	165.75847	131.86287	1000.0	1000.0	103999	14.137052	3.628814	27.044054	3.7647338	-14.160076	0.05680101	1222.7238562107086
27	158.49992	7.320019	169.33716	148.69942	148.4742	10.258848	165.44722	135.08736	1000.0	1000.0	107999	14.368247	3.6559978	28.359123	3.841566	-14.392153	0.060474433	1269.9408366680145
28	171.8235	10.533134	179.01797	153.6697	157.528	12.059086	177.32137	136.51416	1000.0	1000.0	111999	14.586741	3.6870584	28.563679	4.0496817	-14.60925	0.062464096	1317.5514376163483
29	160.65929	18.542074	183.4772	133.78195	158.07388	14.602316	176.80428	135.29349	1000.0	1000.0	115999	14.791581	3.738612	28.618841	4.1002517	-14.813975	0.064165056	1364.9893157482147
30	178.96294	8.271808	188.62503	166.77536	160.17781	12.350723	181.62991	138.49939	1000.0	1000.0	119999	14.981245	3.7456198	28.952751	4.1427565	-15.00339	0.06419179	1412.5449109077454
31	167.92645	15.18758	193.01036	154.26485	155.95837	12.232156	183.93584	143.27843	1000.0	1000.0	123999	15.178256	3.7467008	29.574587	4.509552	-15.200557	0.06412282	1460.117689371109
32	153.22322	3.6137636	156.7118	148.31274	157.13358	14.702788	183.73206	136.8843	1000.0	1000.0	127999	15.32473	3.7933822	29.539927	4.8894753	-15.345834	0.062207434	1507.9239754676819
33	158.94598	12.858467	172.53052	144.45412	144.9194	16.136602	171.20218	114.625305	1000.0	1000.0	131999	15.451785	3.7951422	30.286337	4.7384806	-15.47387	0.06349392	1555.582659482956
34	149.94182	14.992509	163.41853	127.14168	168.8051	22.597256	195.02226	120.583984	1000.0	1000.0	135999	15.555532	3.8157547	31.023361	4.9724884	-15.575383	0.064831056	1603.5082778930664
35	158.74524	17.84517	177.7987	139.47856	163.32913	9.233819	182.67886	153.57416	1000.0	1000.0	139999	15.616701	3.8604767	31.980968	5.1627817	-15.636031	0.06509229	1651.17768740654
36	143.42177	7.901963	151.34157	130.60812	146.67255	12.656919	167.40433	126.73262	1000.0	1000.0	143999	15.674901	3.8693857	32.14118	5.270809	-15.69451	0.0685626	1698.6725087165833
37	156.32538	17.34509	179.12376	131.70518	158.52745	14.995574	185.25621	137.40208	1000.0	1000.0	147999	15.740966	3.8429065	32.64133	5.472081	-15.761178	0.070736125	1746.4682095050812
38	155.29855	4.906577	162.11063	150.08348	152.2509	12.09491	169.26437	135.0443	1000.0	1000.0	151999	15.814596	3.8093734	34.94253	5.3417635	-15.833658	0.07033126	1794.0926530361176
39	158.86176	16.45467	180.80615	134.4348	159.19485	11.060434	174.83743	142.38986	1000.0	1000.0	155999	15.832153	3.766204	36.009327	5.3809233	-15.849816	0.06702831	1841.8533854484558
