Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	20.816305	6.526437	30.58556	13.898733	132.03781	12.998247	157.18643	108.47335	1000.0	1000.0	3999	0.13853844	0.22995438	2.1349664	-0.4334591	-0.14291288	0.0001600487	41.4858238697052
2	29.46394	22.738108	66.32702	5.574445	129.42865	8.83191	148.67244	116.251205	1000.0	1000.0	7999	0.6668859	0.7456785	5.7630177	-0.13762774	-0.6796668	0.00023538705	87.28392744064331
3	66.06415	52.26792	120.639984	11.197347	143.88708	11.168139	160.965	122.166374	1000.0	1000.0	11999	1.6218846	1.8461763	27.266554	0.075907364	-1.6580983	0.009563098	135.34199023246765
4	132.40898	5.937112	138.5153	124.00968	136.78702	10.771381	162.41438	123.41118	1000.0	1000.0	15999	3.8714366	2.8795605	21.059467	0.78396624	-3.9263294	0.017990578	183.9480426311493
5	130.45432	7.4046464	138.24054	121.59047	157.24825	11.472101	176.51207	136.77243	1000.0	1000.0	19999	5.8945427	2.7374907	21.136213	1.1867918	-5.9481826	0.022174718	233.365802526474
6	134.5807	17.462097	153.55457	106.095116	136.79208	14.304	161.48471	120.70851	1000.0	1000.0	23999	7.4784408	2.737795	19.199072	1.8046312	-7.5257688	0.02068697	283.9327781200409
7	145.17322	11.976908	158.16444	129.34651	152.13895	19.396479	183.91475	119.37425	1000.0	1000.0	27999	8.589203	3.0903296	19.16874	2.239731	-8.615163	0.027368158	332.7383816242218
8	150.70804	5.6692786	159.50166	144.43639	158.93329	8.529915	173.2367	143.98633	1000.0	1000.0	31999	9.606392	3.5111806	22.454987	3.113163	-9.643053	0.038097933	381.72754859924316
9	159.64182	9.365524	172.85303	146.50859	160.89087	16.6744	193.45311	136.50063	1000.0	1000.0	35999	10.7861185	3.6524746	19.637768	3.8248763	-10.828441	0.040227145	432.3116490840912
10	162.13327	6.197047	170.173	152.74861	158.8997	10.981204	175.82706	138.33772	1000.0	1000.0	39999	11.757099	3.601959	21.261923	3.8542356	-11.796178	0.038708057	481.98703598976135
11	175.7174	14.238689	196.53267	158.5284	186.19218	19.789097	228.17189	157.62154	1000.0	1000.0	43999	12.625904	3.6374831	22.594074	4.152087	-12.665598	0.04007527	530.6368930339813
12	184.18132	17.195179	213.18333	169.40019	185.14224	16.267069	219.38199	159.38782	1000.0	1000.0	47999	13.472926	3.732266	24.464216	4.921278	-13.510592	0.04496599	580.823757648468
13	201.14421	10.584251	210.90596	183.37823	196.0675	20.920795	244.74298	169.63734	1000.0	1000.0	51999	14.213451	3.9055288	26.131315	5.4045553	-14.249929	0.049484	630.9092288017273
14	193.29703	10.863207	209.26053	180.85518	196.26837	13.325024	216.66887	176.9891	1000.0	1000.0	55999	14.953755	4.115077	26.902212	5.7888246	-14.99149	0.05239609	679.8252148628235
15	196.57782	10.592085	207.67378	179.46889	207.78177	16.802532	249.32489	190.43796	1000.0	1000.0	59999	15.608876	4.282157	28.514164	6.198444	-15.646364	0.052200206	729.0379636287689
16	195.3629	11.487147	214.57616	185.46852	194.57173	14.40999	219.96342	168.7716	1000.0	1000.0	63999	16.22794	4.401511	29.510715	6.1483927	-16.26801	0.054040276	779.2772145271301
17	187.79611	3.659959	192.81497	182.95287	205.4747	14.22873	233.37854	184.68687	1000.0	1000.0	67999	16.833925	4.46877	32.047527	6.226885	-16.874386	0.061252747	830.1195087432861
18	193.17288	10.497936	209.72905	181.89449	187.81659	19.958792	214.24455	137.97202	1000.0	1000.0	71999	17.3775	4.492216	33.381207	6.631627	-17.416313	0.061723907	879.1463367938995
19	205.06635	12.148579	219.4594	187.51315	200.5065	21.491665	224.74985	163.32321	1000.0	1000.0	75999	17.839237	4.4870605	33.706535	7.0742984	-17.875507	0.06074118	929.287903547287
20	202.4708	3.2948701	205.75798	197.25952	195.68271	7.0397587	211.65508	187.25098	1000.0	1000.0	79999	18.2507	4.536244	34.39323	7.1957035	-18.28573	0.06017262	977.8197660446167
21	185.06146	20.25139	214.23224	157.20804	199.37082	11.311786	220.41406	184.34044	1000.0	1000.0	83999	18.578888	4.5447555	34.611042	7.496142	-18.615147	0.059778787	1025.5914793014526
22	205.978	24.430063	230.92249	180.51213	210.59702	22.712877	245.39406	184.34973	1000.0	1000.0	87999	18.863062	4.539278	35.93848	7.340847	-18.898546	0.059573747	1073.6624372005463
23	196.80702	6.465895	203.9373	188.11247	202.30203	19.101955	233.82162	172.66087	1000.0	1000.0	91999	19.090492	4.556139	38.322357	6.707979	-19.124489	0.0613419	1121.692632675171
24	220.94331	14.260391	242.42508	204.19618	211.69527	29.109552	243.64296	146.18422	1000.0	1000.0	95999	19.315866	4.5722756	38.206913	6.5666866	-19.348883	0.06368795	1169.4994478225708
25	210.02213	9.65539	220.99924	197.29292	217.32805	13.324212	241.64642	200.16641	1000.0	1000.0	99999	19.551977	4.625492	38.98257	6.9742823	-19.585379	0.064565234	1217.7336955070496
26	218.10121	18.661364	247.78429	200.16522	227.30798	24.044287	269.6616	186.42955	1000.0	1000.0	103999	19.78545	4.7188087	39.08571	7.643055	-19.818401	0.066914044	1265.7457983493805
27	206.95728	16.520514	235.04405	192.91318	193.47348	23.994465	216.572	142.27652	1000.0	1000.0	107999	19.982105	4.790692	39.748203	7.481883	-20.016245	0.07074946	1313.5311062335968
