Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	3.1552837	1.1766047	4.733028	1.71149	2.577333	0.47755158	2.9843607	1.8057142	1000.0	1000.0	3999	0.92890584	0.61474204	2.4626079	-1.5793397	-1.0952612	0.003043718	34.18136548995972
2	2.508207	0.7820042	3.6644282	1.5226189	0.516528	0.06649854	0.6161612	0.4031115	1000.0	1000.0	7999	3.109584	0.6500272	5.7795806	1.6454644	-3.2581093	0.0027092437	73.2857084274292
3	2.2025385	1.3904783	4.540782	0.9099953	0.55240124	0.03602583	0.59866816	0.5096804	1000.0	1000.0	11999	5.0999303	0.7915042	8.0465765	2.6661847	-5.1432743	0.0042659263	114.36188411712646
4	1.6065881	0.12710102	1.8204347	1.4912522	0.56048644	0.036387358	0.6079864	0.51486474	1000.0	1000.0	15999	3.0875516	0.45993418	5.8968678	2.2341754	-3.0541005	0.0014608023	157.53339648246765
5	1.5547438	0.10177838	1.6702564	1.448646	0.520972	0.056129932	0.5920946	0.412456	1000.0	1000.0	19999	2.435477	0.19141658	3.6099563	1.805383	-2.4360716	0.00035176298	200.6141881942749
6	1.3924547	0.14346415	1.6304195	1.2599931	0.5620587	0.05850497	0.6440431	0.44420218	1000.0	1000.0	23999	1.9946693	0.15121831	2.7891352	1.5842668	-1.9933051	0.00015507605	243.93571758270264
7	1.5983043	0.08189626	1.695541	1.4902353	0.5359586	0.06328901	0.5993382	0.38217276	1000.0	1000.0	27999	1.63117	0.1332354	2.3818986	1.3081464	-1.6302676	0.00012920111	287.19151639938354
8	1.5867851	0.082011335	1.6639086	1.4486364	0.5252446	0.05874341	0.6180182	0.3959659	1000.0	1000.0	31999	1.3405439	0.1359443	2.1506674	1.1150546	-1.3389149	9.538292e-05	330.5474331378937
9	1.6584057	0.11488339	1.7832823	1.4779221	0.5634895	0.057422902	0.64133394	0.4528765	1000.0	1000.0	35999	1.0879121	0.121838905	1.957292	0.88359654	-1.0865273	8.4645064e-05	373.9073166847229
10	1.700039	0.13397859	1.911311	1.5529656	0.52809733	0.044019476	0.6151778	0.44364765	1000.0	1000.0	39999	0.8979206	0.11449665	1.7254043	0.7101749	-0.89720935	7.948356e-05	417.48490047454834
11	1.514208	0.044362113	1.57268	1.4576961	0.57069075	0.039082274	0.6303545	0.5195306	1000.0	1000.0	43999	0.73287386	0.09898508	1.5015424	0.59714806	-0.7314963	5.5292625e-05	460.80934953689575
12	1.5430927	0.041362416	1.5948483	1.4947636	0.5246824	0.023780953	0.58772033	0.49258232	1000.0	1000.0	47999	0.6091034	0.09372756	1.264808	0.4908669	-0.60807306	3.9448692e-05	503.9203860759735
13	1.5685997	0.09742633	1.7254778	1.4619066	0.5565738	0.044314597	0.62337214	0.5113669	1000.0	1000.0	51999	0.50972795	0.0911818	1.1384332	0.3971163	-0.5090684	2.4134873e-05	547.3546512126923
14	1.5598438	0.06785591	1.6399791	1.4746944	0.5178551	0.069142155	0.61892223	0.3939045	1000.0	1000.0	55999	0.42527893	0.09187406	1.0885273	0.30047593	-0.424268	2.9551216e-05	590.6855013370514
15	1.5438195	0.093731605	1.6747798	1.4181261	0.55425626	0.04178476	0.63214225	0.5104165	1000.0	1000.0	59999	0.35343292	0.08616006	1.0792361	0.26510614	-0.3524799	2.7140586e-05	634.2894058227539
16	1.5481485	0.05444996	1.6006371	1.4568039	0.52997947	0.05911919	0.59504485	0.380664	1000.0	1000.0	63999	0.30027017	0.08571892	1.0860858	0.21696575	-0.2994754	2.808433e-05	677.7016117572784
17	1.4609408	0.0874457	1.579043	1.3429092	0.54411185	0.046526507	0.6129577	0.46791145	1000.0	1000.0	67999	0.25337526	0.08200644	1.1225421	0.16550422	-0.25255457	2.8377459e-05	721.2319667339325
18	1.4369892	0.105581835	1.5723274	1.2988259	0.56781125	0.04503406	0.632934	0.5161572	1000.0	1000.0	71999	0.21908769	0.08543987	1.0716895	0.13837352	-0.21829571	2.3786573e-05	764.6488220691681
19	1.5523386	0.050561935	1.6212366	1.4846197	0.5498789	0.03590336	0.6196182	0.50381887	1000.0	1000.0	75999	0.18849106	0.08587256	0.8972814	0.09217216	-0.18758404	1.6951411e-05	808.2166256904602
20	1.5904047	0.23081186	1.772945	1.2001292	0.56735563	0.058789603	0.7165218	0.50927055	1000.0	1000.0	79999	0.16091658	0.08147112	0.9147998	0.06896043	-0.16002807	2.0012934e-05	851.5891942977905
21	1.5617568	0.20828329	1.7447836	1.2261835	0.5775238	0.032103535	0.6055084	0.5137792	1000.0	1000.0	83999	0.14163233	0.08190147	0.92183816	0.06910883	-0.14083183	2.0773172e-05	895.3942399024963
22	1.6081625	0.09819293	1.7759724	1.5267817	0.5674555	0.04230274	0.6340498	0.5112903	1000.0	1000.0	87999	0.12700003	0.079634815	0.9284558	0.05587323	-0.12624292	1.9993035e-05	939.0983984470367
23	1.549653	0.19028164	1.7728623	1.2919942	0.5603452	0.0503919	0.6188071	0.45973897	1000.0	1000.0	91999	0.112481795	0.07529001	0.7785894	0.032351956	-0.1117034	1.6980062e-05	982.6643466949463
24	1.540595	0.20270604	1.8024619	1.2458884	0.53530514	0.060210798	0.633763	0.43945828	1000.0	1000.0	95999	0.103257254	0.07597567	0.9194647	0.038134933	-0.10260518	1.9709005e-05	1026.2535994052887
25	1.6413664	0.091195576	1.727019	1.4972234	0.5387502	0.039892998	0.5946198	0.4603827	1000.0	1000.0	99999	0.09807422	0.07809912	0.99066204	0.030704096	-0.09740123	2.1401213e-05	1069.7536849975586
26	1.6198739	0.12966421	1.7733024	1.4781511	0.535318	0.087018736	0.6586972	0.39365372	1000.0	1000.0	103999	0.0902782	0.07814495	0.8578992	0.013586044	-0.089409456	2.2843946e-05	1113.5427832603455
27	1.5954545	0.10417803	1.7120696	1.42786	0.51439345	0.071768895	0.6166194	0.37296084	1000.0	1000.0	107999	0.08420281	0.07602326	0.86311734	0.022949219	-0.083537675	2.2852682e-05	1157.1207301616669
28	1.6437974	0.023587529	1.6740395	1.6126145	0.55670434	0.06125227	0.60958016	0.39257395	1000.0	1000.0	111999	0.08062979	0.07746224	0.84761024	0.012810543	-0.07981725	2.0740426e-05	1200.9844462871552
29	1.6222223	0.18193792	1.7869619	1.3179239	0.5556399	0.037734866	0.6241678	0.5166606	1000.0	1000.0	115999	0.07607835	0.0783231	0.8167643	0.0026967674	-0.07524361	1.3850348e-05	1244.48513007164
30	1.5415629	0.15412055	1.7470572	1.3303002	0.54494274	0.061038766	0.62973976	0.43718415	1000.0	1000.0	119999	0.071834795	0.07743692	0.7731632	0.014517844	-0.07101891	1.5125525e-05	1288.5231873989105
31	1.5938481	0.14572817	1.7512689	1.4218901	0.55790097	0.05004156	0.62903744	0.47428462	1000.0	1000.0	123999	0.06801393	0.07802552	0.7904508	0.014202192	-0.06717907	1.7707265e-05	1332.0290141105652
32	1.5249361	0.029242216	1.5572677	1.4837891	0.55557287	0.059643444	0.62133956	0.3973268	1000.0	1000.0	127999	0.06572239	0.075952984	0.79433405	0.0135670155	-0.065070204	1.9358873e-05	1375.7206737995148
33	1.4767939	0.14503263	1.6874756	1.327342	0.5599998	0.04049169	0.6169456	0.50791377	1000.0	1000.0	131999	0.065428965	0.07484854	0.8776496	0.0029813796	-0.06465542	2.1745038e-05	1419.3930535316467
34	1.561551	0.10063452	1.7007111	1.4168317	0.54713166	0.039366193	0.60034174	0.5052395	1000.0	1000.0	135999	0.06225903	0.073246494	0.77980375	0.008740425	-0.06132421	1.6866537e-05	1463.4370288848877
35	1.5648742	0.102739945	1.6482958	1.3890067	0.5499645	0.040379446	0.5908813	0.47949663	1000.0	1000.0	139999	0.059365023	0.07241557	0.8205675	0.0042107105	-0.05858847	1.892058e-05	1507.4303245544434
36	1.4905717	0.092801966	1.6251554	1.364242	0.5587624	0.05951953	0.7084253	0.5081237	1000.0	1000.0	143999	0.0586284	0.07265255	0.8590032	-0.0024803728	-0.05789008	1.7026468e-05	1551.821634054184
37	1.7652014	0.12618902	1.9559944	1.6031162	0.53326344	0.051339254	0.62538105	0.44060168	1000.0	1000.0	147999	0.05610616	0.07304725	0.9449803	-0.012270778	-0.055241287	2.107669e-05	1595.9939794540405
38	1.6166273	0.16552138	1.8361081	1.4131385	0.5340015	0.06324402	0.6424249	0.43005344	1000.0	1000.0	151999	0.055678066	0.07207048	0.81360483	0.010454118	-0.05492249	1.499832e-05	1639.7322399616241
39	1.4994303	0.108712584	1.5909759	1.3143302	0.55236834	0.08037793	0.7137773	0.38518575	1000.0	1000.0	155999	0.056271393	0.07237209	0.8727047	0.0054600835	-0.055528924	1.8023893e-05	1683.8864486217499
40	1.5799532	0.116189376	1.7389516	1.4150133	0.5148407	0.079807214	0.62457114	0.38778403	1000.0	1000.0	159999	0.056114744	0.07123292	0.80888015	-0.017788619	-0.05529651	1.9069106e-05	1727.4249682426453
41	1.6597501	0.10215284	1.7607102	1.5029176	0.5351684	0.057152107	0.6400209	0.42372584	1000.0	1000.0	163999	0.054797575	0.071683384	0.83894545	0.0012094975	-0.05397259	1.4896192e-05	1771.618626832962
42	1.4966002	0.07729533	1.5757521	1.3711636	0.57804143	0.045175895	0.64624035	0.5163401	1000.0	1000.0	167999	0.054340333	0.07465675	0.8208001	0.0033768266	-0.05357219	1.4311113e-05	1815.4764506816864
43	1.5985199	0.09050871	1.7331768	1.4803311	0.56047493	0.037112076	0.6131222	0.5145635	1000.0	1000.0	171999	0.05243256	0.07624117	0.8020258	-0.01585196	-0.051508117	1.3133557e-05	1859.8835444450378
44	1.5684205	0.054072555	1.6541119	1.5057075	0.5467948	0.06999388	0.6229662	0.38915887	1000.0	1000.0	175999	0.050567817	0.074830085	0.83324414	-0.005679399	-0.049711477	1.3004855e-05	1904.735568523407
45	1.596702	0.13011762	1.8131542	1.4805307	0.53431666	0.06536294	0.6154062	0.37125295	1000.0	1000.0	179999	0.049795162	0.07569599	0.80654466	-0.024994463	-0.048900615	1.30440385e-05	1948.9049961566925
46	1.596912	0.10677394	1.7610569	1.4810519	0.55237997	0.03714465	0.6266154	0.5120113	1000.0	1000.0	183999	0.048117295	0.073027655	0.73763967	-0.0021391064	-0.047250792	1.1776948e-05	1992.6743385791779
47	1.4298265	0.07673886	1.5451128	1.3388649	0.5197849	0.032602448	0.59613377	0.45422667	1000.0	1000.0	187999	0.048310682	0.072172984	0.7605266	-0.01097472	-0.04746205	1.0500857e-05	2036.671965122223
48	1.5056264	0.14034243	1.673372	1.3551106	0.5458157	0.09748468	0.7181421	0.31181082	1000.0	1000.0	191999	0.04661772	0.07147004	0.66718805	-0.005037859	-0.04566467	1.0913916e-05	2081.3664767742157
49	1.4964243	0.07617419	1.6103688	1.4039668	0.55875725	0.052094966	0.6181004	0.44150966	1000.0	1000.0	195999	0.044569228	0.07176571	0.63657916	-0.008095071	-0.043633245	9.564274e-06	2125.2718908786774
50	1.5175452	0.08025114	1.6275489	1.4026827	0.5371916	0.051530268	0.65120643	0.4504527	1000.0	1000.0	199999	0.044186234	0.072630376	0.66432935	-0.01766324	-0.043286547	8.221118e-06	2169.4240407943726
51	1.5292971	0.14486818	1.6535758	1.288921	0.5594742	0.0526497	0.62753445	0.46845272	1000.0	1000.0	203999	0.04430625	0.072296575	0.7479825	-0.0072749555	-0.043503642	1.0391441e-05	2213.370732307434
52	1.55513	0.11744583	1.7024475	1.3874711	0.54605615	0.031071525	0.59725034	0.51185495	1000.0	1000.0	207999	0.04613292	0.07014331	0.74335337	-0.004229814	-0.04535001	1.0434886e-05	2258.667850971222
53	1.5398101	0.14331461	1.6919782	1.3378805	0.54464734	0.080364116	0.71395266	0.38886765	1000.0	1000.0	211999	0.04644145	0.0691171	0.6964507	-0.009131536	-0.045509826	1.0120878e-05	2302.88298368454
54	1.4399204	0.098462716	1.5643511	1.2972052	0.5232386	0.058690853	0.59180933	0.39436945	1000.0	1000.0	215999	0.04439293	0.069046505	0.6725966	-0.02843669	-0.0434208	9.782788e-06	2347.334118127823
55	1.6437677	0.07337743	1.7410147	1.5485221	0.56611556	0.039544903	0.622908	0.515248	1000.0	1000.0	219999	0.043110743	0.07010393	0.7356099	-0.013478637	-0.042189766	1.2181023e-05	2391.5518770217896
56	1.5007315	0.111852825	1.6882422	1.4000332	0.5772385	0.041303173	0.62327814	0.5151596	1000.0	1000.0	223999	0.043322355	0.068916515	0.69334817	-0.031257868	-0.042513244	1.0184064e-05	2435.6465997695923
57	1.5782163	0.23843285	1.9534144	1.3466696	0.5483801	0.06739838	0.7095144	0.4417594	1000.0	1000.0	227999	0.045470707	0.068941295	0.7000284	-0.018147886	-0.04470395	1.0512123e-05	2479.862898349762
58	1.5837841	0.10813696	1.7407689	1.4463406	0.56665593	0.056343462	0.7057915	0.5123754	1000.0	1000.0	231999	0.047086515	0.06890223	0.8241054	-0.027307361	-0.046318576	1.2230338e-05	2523.819834470749
59	1.5660322	0.122029625	1.7452213	1.4108573	0.5410379	0.041115325	0.6221355	0.50738955	1000.0	1000.0	235999	0.04747477	0.06989603	0.7542525	-0.003649801	-0.04661174	1.0938175e-05	2567.828615665436
60	1.6447581	0.13162564	1.8285904	1.4657687	0.5530705	0.03792964	0.6198486	0.5056837	1000.0	1000.0	239999	0.049327184	0.068376556	0.68240106	-0.025623381	-0.048670318	1.0627388e-05	2612.0356459617615
61	1.6107186	0.21521503	1.9593996	1.3933368	0.55231714	0.06898297	0.63023424	0.3836901	1000.0	1000.0	243999	0.0511402	0.06734239	0.7231362	0.0011200607	-0.050345704	8.303562e-06	2656.133846282959
62	1.5860512	0.080622055	1.7166165	1.5050806	0.5464472	0.042318802	0.6152371	0.48740244	1000.0	1000.0	247999	0.05159617	0.06685274	0.6579534	0.00022029877	-0.050872132	1.0406926e-05	2700.3359837532043
63	1.4100174	0.10817483	1.4981924	1.2315313	0.5100715	0.056519885	0.6094178	0.3775162	1000.0	1000.0	251999	0.054466598	0.06567533	0.7620455	-0.00080513954	-0.053835783	9.244219e-06	2744.5470712184906
64	1.5724695	0.06444947	1.6796554	1.5147078	0.5648191	0.044012576	0.6522501	0.5163792	1000.0	1000.0	255999	0.05647102	0.06599429	0.81863266	-0.0031893253	-0.05577688	1.3619775e-05	2788.4691774845123
65	1.5151073	0.13558948	1.7273787	1.3797125	0.5361587	0.044560377	0.5997711	0.44161278	1000.0	1000.0	259999	0.057110775	0.0661273	1.3742429	0.0070101917	-0.05638026	1.7438695e-05	2832.628867149353
66	1.5624622	0.09387388	1.701147	1.4596474	0.56631315	0.048814658	0.64367384	0.51411706	1000.0	1000.0	263999	0.05788053	0.06300404	1.2022505	0.0053931177	-0.05726132	1.1269005e-05	2876.738212585449
67	1.665176	0.18724068	1.9794364	1.5064691	0.53457034	0.05168599	0.6044247	0.44539428	1000.0	1000.0	267999	0.059312966	0.06188262	0.9064208	0.0042247176	-0.058588322	1.02796275e-05	2921.2524325847626
68	1.5643129	0.14700966	1.7285953	1.3457203	0.54874647	0.053949717	0.62308025	0.43451968	1000.0	1000.0	271999	0.05921361	0.060311917	0.79605836	0.010854244	-0.058439188	9.067755e-06	2965.4362177848816
69	1.496291	0.09525893	1.6505119	1.4023848	0.55832565	0.056085162	0.62314236	0.43122026	1000.0	1000.0	275999	0.0592566	0.059983995	0.66258544	-0.0074539483	-0.058562573	9.27989e-06	3009.4288260936737
70	1.4477015	0.11501344	1.573932	1.2977425	0.5372328	0.052363854	0.6221347	0.44669053	1000.0	1000.0	279999	0.059969362	0.060749806	0.72359115	-0.011162072	-0.059269376	9.911796e-06	3054.4373540878296
71	1.6768055	0.09876563	1.8311201	1.5670087	0.5109663	0.07433744	0.59183556	0.3708773	1000.0	1000.0	283999	0.06015671	0.06101771	0.75162005	0.0081908405	-0.05941784	9.370864e-06	3099.4649605751038
72	1.4974781	0.039012775	1.5578784	1.4543567	0.56461465	0.04273862	0.6322275	0.5119575	1000.0	1000.0	287999	0.059997186	0.06230054	0.80215216	-0.017047048	-0.05928198	1.15552375e-05	3144.18208360672
73	1.6505461	0.12022008	1.7691565	1.491603	0.58401287	0.043476555	0.6474141	0.5085194	1000.0	1000.0	291999	0.060131118	0.06355488	0.795981	-0.035631657	-0.059442054	1.0459641e-05	3189.0593721866608
74	1.5476054	0.07673422	1.624513	1.4474316	0.5795466	0.06747551	0.70807624	0.45566434	1000.0	1000.0	295999	0.059609536	0.06285542	0.73923606	0.014077485	-0.058860175	9.788111e-06	3233.8669004440308
75	1.7078183	0.085446335	1.8418031	1.6061013	0.55495536	0.05059458	0.62166965	0.46555904	1000.0	1000.0	299999	0.060121514	0.06187171	0.9143052	0.004084617	-0.059467953	8.896185e-06	3278.4192368984222
