Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	2.0	2.4494898	6.0	0.0	2.8	4.1424627	12.0	0.0	1000.0	1000.0	3999	0.29893327	0.25035876	6.47625	-2.8174143	-0.3515016	0.004172818	34.200944900512695
2	1.0	1.2247449	3.0	0.0	0.7	2.1000001	7.0	0.0	1000.0	1000.0	7999	0.9921388	0.32381094	9.298159	-0.7137277	-1.0434026	0.006003725	71.01845669746399
3	7.75	8.870598	23.0	1.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	3.0139625	1.7626486	11.081233	-0.2497358	-3.2463822	0.03207131	109.66908025741577
4	46.25	34.499096	80.0	0.0	180.0	14.359666	195.0	151.0	1000.0	1000.0	15999	6.1841307	0.8004607	15.147128	2.791986	-6.320707	0.03502337	150.3577756881714
5	232.25	48.853737	299.0	184.0	233.8	44.952866	287.0	153.0	1000.0	1000.0	19999	9.168077	1.5983814	21.6902	5.1481605	-9.417728	0.15572712	191.03015804290771
6	353.75	26.56478	383.0	315.0	361.8	38.075714	427.0	305.0	1000.0	1000.0	23999	13.602051	2.1000628	32.518616	7.3127494	-13.869174	0.2854913	231.88598585128784
7	400.0	45.491756	477.0	362.0	541.3	39.372707	606.0	465.0	1000.0	1000.0	27999	18.791801	2.6955776	38.901398	11.99049	-19.097698	0.42698565	272.5727279186249
8	520.25	38.867565	555.0	455.0	596.4	34.845947	680.0	555.0	1000.0	1000.0	31999	24.848452	3.5026793	43.32697	16.386976	-25.227976	0.5675765	313.3894109725952
9	546.75	37.271805	611.0	521.0	589.9	128.11514	719.0	281.0	1000.0	1000.0	35999	31.637732	3.8793366	46.875523	21.81693	-32.03267	0.68809617	354.2283363342285
10	590.0	38.85872	628.0	526.0	580.9	20.738611	608.0	553.0	1000.0	1000.0	39999	38.13469	4.2085166	55.23995	25.61709	-38.538437	0.82142407	394.77649426460266
11	591.25	27.589626	631.0	553.0	657.7	31.42308	728.0	608.0	1000.0	1000.0	43999	44.159126	4.1413326	57.739742	31.089912	-44.55248	0.8308075	435.6184787750244
12	572.25	37.605686	620.0	533.0	654.9	26.621233	701.0	621.0	1000.0	1000.0	47999	49.219616	3.8904972	61.652336	36.81992	-49.580326	0.8294532	476.28379249572754
13	625.5	27.069355	653.0	581.0	661.3	34.54287	710.0	587.0	1000.0	1000.0	51999	53.149624	3.6560566	66.35008	37.948093	-53.480164	0.8463342	517.0097620487213
14	600.25	13.367404	616.0	579.0	697.6	33.577374	782.0	664.0	1000.0	1000.0	55999	56.3135	3.6729212	68.39468	43.219402	-56.625565	0.85143745	557.8245058059692
15	619.75	7.495832	631.0	610.0	598.0	31.019348	643.0	535.0	1000.0	1000.0	59999	58.91152	3.7066891	70.62435	45.191124	-59.213352	0.84871066	598.5666263103485
