Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.3525569	0.14147012	1.9696492	-1.5388471	-0.39277434	0.00076343346	33.291895627975464
2	601.0	378.5043	1000.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	7999	2.444362	3.8305414	19.596931	-0.13495159	-2.4997451	0.0063340827	133.9755380153656
3	0.0	0.0	0.0	0.0	1.4	2.9732137	10.0	0.0	1000.0	1000.0	11999	8.657649	10.115877	42.59112	-0.75681394	-8.815856	0.02549655	287.87141394615173
4	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	15999	14.26001	17.874573	68.72986	-1.4185827	-14.452689	0.057603393	432.6568603515625
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	17.824486	21.86712	87.820854	-1.8305216	-17.880909	0.07465134	565.7418296337128
6	252.25	423.7348	986.0	0.0	198.0	396.00024	991.0	0.0	1000.0	1000.0	23999	17.7534	23.539196	104.82744	-2.8618803	-17.812128	0.18458071	674.8879601955414
7	0.0	0.0	0.0	0.0	99.4	298.2	994.0	0.0	1000.0	1000.0	27999	18.537632	26.185806	100.716385	-8.049908	-18.533937	0.26385182	825.1710848808289
8	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	31999	16.39304	26.55429	110.89681	-6.9923744	-16.427637	0.22826883	1026.1800417900085
9	0.0	0.0	0.0	0.0	99.4	297.86682	993.0	0.0	1000.0	1000.0	35999	15.261365	27.379995	121.59052	-7.207782	-15.314116	0.34679803	1246.5569825172424
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	14.292397	27.684032	165.14427	-8.94121	-14.288169	0.30802798	1460.2281980514526
11	250.0	433.0127	1000.0	0.0	1.4	2.9393876	9.0	0.0	1000.0	1000.0	43999	14.011457	30.828085	149.41905	-12.7725935	-14.0252695	0.3252434	1657.371054649353
12	0.0	0.0	0.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	47999	14.224229	33.002792	149.16768	-7.7511992	-14.215761	0.33953705	1816.0768015384674
13	0.0	0.0	0.0	0.0	200.6	399.70395	1000.0	0.0	1000.0	1000.0	51999	13.004913	31.61304	147.14136	-10.980355	-13.025659	0.35218504	2045.0668840408325
14	0.0	0.0	0.0	0.0	1.6	4.7999997	16.0	0.0	1000.0	1000.0	55999	11.792169	30.341272	133.1628	-7.572059	-11.776877	0.2408974	2247.736221551895
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	11.252459	29.30129	135.52893	-14.971591	-11.245924	0.24872103	2422.2745385169983
16	0.0	0.0	0.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	63999	10.268208	28.066515	126.941086	-11.201204	-10.258545	0.27262196	2620.1435821056366
17	247.0	427.81656	988.0	0.0	3.5	10.5	35.0	0.0	1000.0	1000.0	67999	11.08523	29.134523	137.63257	-13.625409	-11.13044	0.3770367	2757.671117067337
18	0.0	0.0	0.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	71999	10.560116	28.657568	135.25412	-18.075254	-10.549272	0.4408526	2807.998519897461
19	2.0	3.4641016	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	10.021505	27.951492	127.51069	-17.143785	-10.029649	0.366359	2892.062004327774
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	9.529802	27.352484	128.78903	-20.380795	-9.513277	0.34020287	3104.4719474315643
21	0.0	0.0	0.0	0.0	101.6	299.50467	1000.0	0.0	1000.0	1000.0	83999	9.197922	26.379631	124.25263	-12.8970585	-9.176847	0.30172223	3279.4630489349365
22	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	87999	8.309383	25.07928	122.64227	-9.609535	-8.301134	0.2870919	3409.4395813941956
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	8.760974	26.22737	140.2061	-29.547215	-8.766488	0.29004392	3576.788342475891
24	0.0	0.0	0.0	0.0	102.1	298.01425	996.0	0.0	1000.0	1000.0	95999	8.57732	26.719244	129.24568	-11.729428	-8.587697	0.33281347	3725.355063199997
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	8.166209	26.346613	148.95349	-37.4939	-8.171026	0.4170976	3797.203073501587
26	251.0	432.43845	1000.0	0.0	296.7	452.38303	1000.0	0.0	1000.0	1000.0	103999	7.980606	26.394278	136.39594	-15.9576	-7.9661036	0.32402506	3852.303996324539
27	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	107999	8.076761	26.320757	157.0317	-19.446928	-8.08031	0.3714856	3908.2677912712097
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	7.894833	25.807642	131.61266	-19.772356	-7.883732	0.29347724	3979.3337347507477
