Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.07095731	0.103455834	0.24838687	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.72013324	0.36488858	2.604329	-1.9332706	-0.811386	0.0023529294	43.08726716041565
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	1.8579226	0.56152624	5.111829	0.39798072	-1.9744244	0.0021401898	91.42715811729431
3	0.0019440058	0.003367117	0.0077760234	0.0	0.0008748875	0.0026246628	0.008748875	0.0	1000.0	1000.0	11999	4.334483	1.2287576	13.172093	1.5751787	-4.5409026	0.016896095	139.0090594291687
4	1.1288944	1.9553026	4.515578	0.0	0.4180668	0.86843723	2.6187816	0.0	1000.0	1000.0	15999	7.9794483	1.5529959	17.368536	3.1088245	-8.197925	0.026623752	188.94742894172668
5	0.010929939	0.01893121	0.043719757	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	9.096464	1.0093619	15.519886	5.8124347	-9.196891	0.007294706	236.15500569343567
6	0.0	0.0	0.0	0.0	0.034245618	0.06922983	0.1937801	0.0	1000.0	1000.0	23999	8.90019	1.2805916	14.087797	6.1504107	-8.974418	0.005451173	283.3236835002899
7	0.0	0.0	0.0	0.0	0.0012107657	0.0036322973	0.012107657	0.0	1000.0	1000.0	27999	8.668078	1.2162716	13.597632	6.386811	-8.749578	0.0044014137	328.2392838001251
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	8.345507	1.2148235	13.926577	6.3908615	-8.408665	0.0035244669	372.5415253639221
9	0.0	0.0	0.0	0.0	0.007352525	0.018365271	0.061363917	0.0	1000.0	1000.0	35999	7.6674294	1.2254177	12.211347	5.616563	-7.698244	0.0023655952	417.0830931663513
10	0.0	0.0	0.0	0.0	0.0010198661	0.0030595984	0.010198661	0.0	1000.0	1000.0	39999	6.8811264	1.1669868	11.917623	4.721128	-6.913463	0.0023184256	461.4182755947113
11	0.0	0.0	0.0	0.0	0.8344633	1.9574609	6.4596043	0.0	1000.0	1000.0	43999	6.037626	1.0775571	12.043266	4.25431	-6.0531974	0.0019503388	505.80315947532654
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	5.2573986	0.8829108	13.018669	3.7498145	-5.267199	0.0016968861	550.1575758457184
13	1.5737623	2.7258363	6.295049	0.0	0.019651335	0.03892209	0.11301976	0.0	1000.0	1000.0	51999	4.3386617	0.74809957	8.634669	3.17901	-4.3445644	0.00070136343	594.4161894321442
14	0.0	0.0	0.0	0.0	0.2556156	0.39841658	1.0604056	0.0	1000.0	1000.0	55999	3.6378968	0.68255055	11.763259	2.066414	-3.6448228	0.0013133879	638.6983869075775
15	0.0	0.0	0.0	0.0	0.5371478	1.1206641	3.3991008	0.0	1000.0	1000.0	59999	3.1101737	0.6945182	16.94811	1.6598651	-3.1227877	0.0048602805	683.0130333900452
16	0.82673514	1.4319472	3.3069406	0.0	0.005923398	0.012996656	0.041568242	0.0	1000.0	1000.0	63999	2.7766898	0.8667175	16.876265	1.6228462	-2.790734	0.0030550596	727.3185796737671
17	0.00056932116	0.0009860932	0.0022772846	0.0	0.03542552	0.05925656	0.15397206	0.0	1000.0	1000.0	67999	2.5149896	0.84759784	9.75319	1.399286	-2.5273433	0.0013251579	771.7390561103821
