Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.8000072	1.6395227	4.8	0.0	1000.0	1000.0	3999	1.1106337	0.55090505	4.2961006	-1.7207407	-1.2601123	0.0049225297	48.2727108001709
2	0.0	0.0	0.0	0.0	2.7270024	2.9402568	6.4181495	0.0	1000.0	1000.0	7999	2.8708203	0.66959786	6.1656327	0.4584874	-2.9548	0.005133366	102.77778959274292
3	0.94352466	1.6342328	3.7740986	0.0	0.24000001	0.72	2.4	0.0	1000.0	1000.0	11999	2.936134	0.5353438	7.5718317	1.2424102	-2.9559312	0.00556973	153.16917991638184
4	1.422875	2.4644918	5.6915	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	2.6795926	0.6666776	9.232639	1.1076957	-2.7027466	0.0046687	320.73355317115784
5	0.0	0.0	0.0	0.0	2.0	2.5612497	6.4	0.0	1000.0	1000.0	19999	2.185658	0.7822512	8.62458	0.45629385	-2.1833901	0.004499959	413.31079959869385
6	0.0	0.0	0.0	0.0	4.16	7.2071075	21.6	0.0	1000.0	1000.0	23999	2.8831048	1.4433321	8.973363	0.6843177	-3.080801	0.008072997	469.50882863998413
7	6.3271713	10.958982	25.308685	0.0	6.0	7.832241	19.2	0.0	1000.0	1000.0	27999	5.575667	1.1135937	16.97838	2.3988605	-5.65576	0.010556015	562.1355230808258
8	7.1300282	7.588027	17.931799	0.0	7.3599997	10.392612	32.0	0.0	1000.0	1000.0	31999	5.3168654	2.2277687	26.579283	1.4937575	-5.35212	0.0191232	685.9486906528473
9	13.04257	8.293641	22.004217	0.0	4.800321	6.3500457	16.8	0.0	1000.0	1000.0	35999	5.2047224	3.4309466	25.527739	0.52218544	-5.285844	0.027048625	837.4088304042816
10	4.487466	4.636241	10.622587	0.0	0.56	1.6800001	5.6	0.0	1000.0	1000.0	39999	5.549174	3.3408098	25.012808	-2.5485635	-5.642457	0.028844712	971.9532675743103
11	0.0	0.0	0.0	0.0	7.360392	10.293769	28.800064	0.0	1000.0	1000.0	43999	5.582751	3.279413	24.804588	-3.3357608	-5.598615	0.030480716	1146.3313839435577
12	3.0469444	5.2774625	12.1877775	0.0	1.5200074	3.8275013	12.800074	0.0	1000.0	1000.0	47999	3.9295235	1.96866	22.327612	-0.25486594	-3.9247563	0.018205164	1267.6191980838776
13	0.0	0.0	0.0	0.0	0.32	0.96	3.2	0.0	1000.0	1000.0	51999	4.4754715	1.8407985	21.688183	-4.0237446	-4.630949	0.016084714	1322.144232749939
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	6.3755345	2.4754386	19.974337	-2.5506067	-6.5673647	0.012429619	1376.5973327159882
15	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	59999	9.115464	2.0441349	20.531254	3.4783678	-9.192884	0.012871173	1431.8193123340607
16	0.8144864	1.4107318	3.2579455	0.0	0.56000006	1.1341958	3.2	0.0	1000.0	1000.0	63999	7.6834526	1.4202799	15.356776	2.6064646	-7.7131805	0.006994838	1553.0035614967346
17	1.2223781	2.117221	4.8895125	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	5.808918	1.2139819	11.24823	2.3437576	-5.7726297	0.0041003614	1721.4110584259033
18	0.40330243	0.6985403	1.6132097	0.0	0.64	1.3290598	4.0	0.0	1000.0	1000.0	71999	4.7308254	0.85594416	8.916424	1.8920977	-4.7390814	0.0023102157	1859.8276822566986
19	1.0130843	1.7547134	4.052337	0.0	0.16	0.48	1.6	0.0	1000.0	1000.0	75999	3.6536133	0.72096467	8.7242565	1.7161369	-3.64174	0.0013304264	1979.0888967514038
20	0.0	0.0	0.0	0.0	0.8	1.6395122	4.8	0.0	1000.0	1000.0	79999	2.7507594	0.5526185	10.17071	1.3842342	-2.7385986	0.001422553	2124.9318828582764
21	1.0260423	1.7771574	4.1041694	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	83999	2.311828	0.54419595	8.665326	1.430016	-2.3194606	0.0009023752	2232.035712957382
22	0.0	0.0	0.0	0.0	0.56	1.6800001	5.6	0.0	1000.0	1000.0	87999	1.8925027	0.48787314	7.788338	1.0168011	-1.88691	0.0008247824	2355.500974178314
23	0.0	0.0	0.0	0.0	0.48000002	1.44	4.8	0.0	1000.0	1000.0	91999	1.5022041	0.4011283	9.65758	0.8896064	-1.5044116	0.00076842477	2410.0602600574493
24	0.0	0.0	0.0	0.0	0.96000004	1.509437	4.0	0.0	1000.0	1000.0	95999	1.3989921	0.45269498	7.177692	0.72967887	-1.4079064	0.00071647495	2465.6340639591217
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	1.202299	0.4848487	8.731671	0.63276434	-1.2067871	0.0009786846	2519.795909643173
26	1.2354316	2.13983	4.941726	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	1.025961	0.5586365	8.032546	0.31717443	-1.0205327	0.0011446988	2642.4591920375824
27	1.2208743	2.1146162	4.883497	0.0	1.28	1.9983995	4.8	0.0	1000.0	1000.0	107999	0.80966854	0.4088012	9.169566	-0.060084343	-0.81178725	0.0015776275	2703.2946259975433
28	1.2186904	1.3466326	3.2475822	0.0	0.32	0.96	3.2	0.0	1000.0	1000.0	111999	0.77608526	0.6699083	11.888757	-0.119490355	-0.781652	0.002309343	2758.3889768123627
29	0.0	0.0	0.0	0.0	0.8	1.6	4.0	0.0	1000.0	1000.0	115999	0.58399975	0.4460018	9.01863	-0.31690127	-0.576433	0.0013568649	2827.7524189949036
30	0.0	0.0	0.0	0.0	0.96000004	1.9200001	4.8	0.0	1000.0	1000.0	119999	0.47532973	0.34829667	8.196298	-0.17101726	-0.47931847	0.0013963011	2879.38889336586
31	0.0	0.0	0.0	0.0	0.16	0.48	1.6	0.0	1000.0	1000.0	123999	0.45489946	0.4428731	11.333789	-0.4608248	-0.455126	0.0020027675	2931.61057806015
32	1.0168704	1.7612711	4.0674815	0.0	1.3599999	2.1481154	5.6	0.0	1000.0	1000.0	127999	0.40760034	0.43662393	15.581075	-2.7571	-0.4085455	0.0027173827	3053.5683209896088
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	0.33246872	0.35462534	10.744996	-0.09907992	-0.33473432	0.002593416	3203.7139625549316
34	0.0	0.0	0.0	0.0	0.96000004	1.8172506	5.6	0.0	1000.0	1000.0	135999	0.25861168	0.28326142	9.734473	-0.18297487	-0.2543597	0.0016060072	3282.652594804764
35	0.0	0.0	0.0	0.0	0.64	1.28	3.2	0.0	1000.0	1000.0	139999	0.24619892	0.33802176	11.040988	-0.2302398	-0.25050038	0.0023949873	3335.021189928055
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	0.20141937	0.29498485	12.231365	-0.42154056	-0.19721536	0.001982782	3389.053106069565
37	0.82117915	1.4223241	3.2847166	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	0.1524341	0.22487727	10.032275	-0.17228588	-0.15254584	0.0013548661	3447.2537755966187
38	0.81236863	1.4070637	3.2494745	0.0	1.04	2.0876782	5.6	0.0	1000.0	1000.0	151999	0.13798906	0.2217348	11.330537	-0.14374909	-0.13740775	0.0012805414	3600.779986143112
39	0.0	0.0	0.0	0.0	1.2	1.9677397	5.6	0.0	1000.0	1000.0	155999	0.10433623	0.1883397	10.62902	-0.41656706	-0.10387491	0.0013949398	3768.294317007065
40	0.0	0.0	0.0	0.0	1.1200001	1.6079801	4.8	0.0	1000.0	1000.0	159999	0.096073724	0.23024727	19.61755	-0.9243605	-0.09705232	0.0018666637	3908.466903448105
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	0.102218084	0.45861077	35.922092	-0.551253	-0.102113105	0.009271248	4033.63751578331
42	0.0	0.0	0.0	0.0	0.48000002	1.44	4.8	0.0	1000.0	1000.0	167999	0.102994	0.31332663	21.539253	-0.04722163	-0.10589084	0.0037044527	4148.801778078079
43	0.0	0.0	0.0	0.0	0.48000002	1.44	4.8	0.0	1000.0	1000.0	171999	0.09092353	0.25231943	17.63299	-0.42745444	-0.08919679	0.0023898599	4210.1959590911865
44	1.2328167	2.135301	4.931267	0.0	1.36	2.2357101	5.6	0.0	1000.0	1000.0	175999	0.118925184	0.2858868	16.474016	-0.6704661	-0.12234378	0.0019502017	4262.071890592575
