Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.6321446	0.33196393	1.0222983	0.10486976	0.8616457	0.39855748	1.5153737	0.088063754	1000.0	1000.0	3999	2.070635	1.2913071	5.567539	-7.3375864	-2.4067848	0.073795155	49.60048294067383
2	1.5424101	0.6426874	2.2793832	0.510572	0.604401	0.2889783	1.102029	0.23329012	1000.0	1000.0	7999	13.273872	6.960785	33.249367	3.0079863	-14.688436	0.1425577	105.53474831581116
3	0.8450514	0.26045302	1.2787967	0.61993945	0.7208813	0.39670375	1.3431659	0.21185288	1000.0	1000.0	11999	54.230743	15.771338	92.3473	17.215532	-57.281746	1.0634246	164.39839577674866
4	1.1298605	0.36905646	1.7043543	0.67764175	0.83101046	0.37325844	1.4884492	0.3198824	1000.0	1000.0	15999	75.95635	10.932603	105.25502	46.258278	-77.10114	1.5325264	224.96055030822754
5	0.9188658	0.32629293	1.226224	0.3750502	0.5372955	0.40672264	1.3652198	0.13370155	1000.0	1000.0	19999	77.11297	11.87718	113.59499	52.763847	-78.09353	1.5316954	285.83125281333923
6	0.9542078	0.53699726	1.628295	0.12616584	1.0446458	0.4391497	1.750803	0.23727375	1000.0	1000.0	23999	87.8032	13.457425	139.48799	56.26029	-89.6413	2.3326201	346.36142349243164
7	0.704461	0.2909721	1.0320613	0.26345912	0.9215868	0.5262046	1.6185111	0.121164255	1000.0	1000.0	27999	92.55685	11.127519	141.57971	66.23045	-93.2415	2.1362343	406.5027301311493
8	0.88757885	0.5284575	1.5857629	0.24861681	0.64730227	0.24824506	1.1177918	0.19092041	1000.0	1000.0	31999	87.99363	7.6737247	131.5655	64.108086	-88.68034	1.430582	467.06575083732605
9	0.6427448	0.42867434	1.2895117	0.15561345	0.3140971	0.26777735	0.75124836	0.05302301	1000.0	1000.0	35999	86.50655	7.8494935	138.4898	62.048553	-87.85417	1.489965	527.958226442337
10	0.7777404	0.5676571	1.5487666	0.09934744	0.817821	0.32236785	1.4278044	0.34938323	1000.0	1000.0	39999	92.777	7.3669615	142.6152	65.64167	-93.607796	1.4087147	588.6941311359406
11	0.866695	0.7050259	1.5743033	0.15764117	0.6188595	0.40261805	1.5747901	0.10345687	1000.0	1000.0	43999	87.51611	5.001144	123.743576	65.32253	-88.09214	0.88245314	649.7422680854797
12	1.0547138	0.5440019	1.5788647	0.23520389	0.82646704	0.503574	1.5401603	0.06316198	1000.0	1000.0	47999	80.04576	4.290786	111.187164	61.58536	-80.51562	0.555161	710.1782336235046
13	1.0886195	0.3804542	1.576701	0.618169	0.7366144	0.22735138	1.1794959	0.29130465	1000.0	1000.0	51999	73.40581	3.9120939	105.12029	57.478218	-73.820045	0.39975244	770.2417545318604
14	0.96577406	0.36462042	1.3874096	0.5149845	0.7389393	0.49377906	1.5824047	0.06993257	1000.0	1000.0	55999	67.48614	3.0368664	97.64662	53.939632	-68.01373	0.31705785	830.8704280853271
15	1.040719	0.22445695	1.3893526	0.816509	0.86650884	0.59302074	1.7517451	0.107452355	1000.0	1000.0	59999	67.27589	2.5400271	84.50186	55.410225	-67.96103	0.2780305	891.1188452243805
16	0.88353145	0.40131646	1.4099445	0.36620116	0.8635279	0.5083008	1.6469998	0.12746987	1000.0	1000.0	63999	64.63958	2.2536075	79.24455	51.06266	-65.07909	0.21877182	951.3169293403625
17	0.7639227	0.6796463	1.4763538	0.010559623	0.56219244	0.35623786	1.1155262	0.14586055	1000.0	1000.0	67999	60.055294	1.9073819	71.462845	46.583733	-60.450375	0.17079253	1011.4631366729736
18	0.5762847	0.28861982	1.0312693	0.30755886	0.7084785	0.4632382	1.4351004	0.2645778	1000.0	1000.0	71999	55.068985	2.2248678	64.85846	42.99185	-55.365257	0.1299017	1071.3228750228882
19	0.73314565	0.21654293	0.92519087	0.37171456	0.45880896	0.29151702	0.9775092	0.08463656	1000.0	1000.0	75999	50.91926	1.9466192	62.919075	39.144203	-51.255135	0.108172365	1131.4564893245697
20	0.5047443	0.23920411	0.76635844	0.11506469	0.6318455	0.49073362	1.6285514	0.11067177	1000.0	1000.0	79999	46.46639	1.9927479	58.18114	33.102253	-46.670578	0.08487982	1191.167428970337
21	0.6568581	0.36348045	1.2511522	0.28585255	0.8837736	0.44919685	1.6086905	0.10817548	1000.0	1000.0	83999	40.70822	2.0010314	49.640274	29.125868	-40.839725	0.061498594	1250.85147356987
22	0.69272685	0.3150894	1.0111725	0.16873081	0.9120105	0.3001317	1.271	0.3193202	1000.0	1000.0	87999	35.359226	1.6070021	43.375572	26.492676	-35.497337	0.042933796	1310.3428509235382
23	1.056714	0.47416466	1.5575315	0.5003211	0.93349916	0.48805058	1.5815017	0.038340114	1000.0	1000.0	91999	32.121803	1.1803198	38.27857	25.59732	-32.32014	0.039285515	1369.8891739845276
24	0.95782995	0.65585387	1.7525198	0.24636504	0.7931271	0.4543306	1.4938189	0.102914356	1000.0	1000.0	95999	29.186472	1.1648648	34.19207	22.924038	-29.325495	0.029926207	1429.2186167240143
25	0.5862975	0.32049263	1.1088326	0.25297317	0.5026267	0.29600212	0.9646057	0.07479568	1000.0	1000.0	99999	25.957245	1.0920638	32.4079	20.026451	-26.081676	0.025019187	1488.7542831897736
