Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	9.118979	1.0373373	10.435951	8.058014	3.9885025	2.5447624	8.511506	1.1094359	1000.0	1000.0	3999	8.038174	4.171284	22.916096	-4.695395	-9.142386	0.15215291	48.9855215549469
2	6.7948413	3.182954	10.818932	3.0686977	4.0687146	2.730345	8.849034	0.079652466	1000.0	1000.0	7999	31.956955	13.011772	74.807816	9.073106	-34.59625	0.5625758	102.04532265663147
3	4.489031	2.549652	8.713007	1.9857308	4.2096777	2.76859	9.798946	0.30234116	1000.0	1000.0	11999	108.02701	30.088184	187.80708	36.885616	-113.40134	4.747553	156.36660027503967
4	3.0929751	1.6983804	5.373799	1.0967363	3.4820964	1.5731834	5.6525073	1.1551466	1000.0	1000.0	15999	120.16669	16.37038	177.04002	75.12709	-121.02086	4.1702294	212.9610641002655
5	1.603818	0.8549661	2.4775615	0.21467331	4.108119	1.4502593	5.976505	1.0908406	1000.0	1000.0	19999	116.29103	14.421368	165.32527	84.12534	-117.316925	3.1136084	269.39594769477844
6	3.7116113	1.3523487	5.9224668	2.2623003	4.3509774	2.0642874	7.6505456	1.5029596	1000.0	1000.0	23999	112.17989	10.312261	146.39175	82.139656	-113.146	2.315558	325.7084186077118
7	3.241982	1.2534441	4.6482925	1.6360381	3.1428888	1.891957	6.3770447	0.07018488	1000.0	1000.0	27999	104.84172	9.301058	137.61095	82.274826	-105.56088	1.6673465	382.4977192878723
8	5.5502725	1.906431	8.132087	3.314088	5.307025	2.4550226	9.448995	0.73112607	1000.0	1000.0	31999	95.74893	7.5214434	127.54835	75.877106	-96.28886	1.000539	439.09863328933716
9	5.0671687	1.1666988	6.4617243	3.8820107	3.8581746	2.6250105	9.62236	0.06411906	1000.0	1000.0	35999	93.25425	6.647423	127.01518	74.14484	-94.58319	1.6317217	495.27789092063904
10	4.3782196	1.596509	6.9981284	2.6708868	3.6411011	2.711136	8.140447	0.123291016	1000.0	1000.0	39999	100.28361	7.109869	128.72556	73.51983	-101.90531	1.4789156	551.4633655548096
11	4.0722537	0.7646036	4.8406596	2.8796165	3.5168254	1.7796544	6.329655	0.6712485	1000.0	1000.0	43999	105.63521	6.195644	130.11154	85.17987	-106.444565	1.3156023	607.2592115402222
12	5.899528	3.5045564	9.504888	1.0144819	6.5660086	4.5948205	17.96591	0.76737714	1000.0	1000.0	47999	97.04593	5.677512	118.67002	74.16411	-97.52323	0.854101	662.8457901477814
13	4.6680646	3.120125	9.176942	0.65118265	7.143541	3.4042578	13.889636	2.0256648	1000.0	1000.0	51999	88.10452	4.607755	108.40783	66.41083	-88.638	0.6474365	718.8492662906647
14	5.167754	3.137902	8.693187	0.99014664	4.956059	2.646655	8.920359	0.17075533	1000.0	1000.0	55999	79.702324	4.655208	98.30465	59.99938	-80.155846	0.5043141	774.7921121120453
15	5.2604647	3.0298975	9.491006	1.0690554	4.0222235	2.5456715	8.775304	0.54095423	1000.0	1000.0	59999	73.570145	4.2631845	90.73281	59.170795	-73.99302	0.40966284	830.6943638324738
16	6.268919	2.7843556	9.080252	2.9659493	3.9027925	2.7417896	9.895658	0.96241564	1000.0	1000.0	63999	66.02869	4.036678	80.05111	52.90204	-66.31525	0.25458118	886.3163042068481
17	6.5951586	2.0286891	8.841078	3.6891682	5.1584578	2.8175716	8.976245	0.524709	1000.0	1000.0	67999	57.99339	3.368482	72.34659	46.033993	-58.222546	0.20135793	942.1548130512238
18	4.1442766	1.4846566	5.4596195	1.6755474	5.250454	2.7363153	9.565255	1.2734902	1000.0	1000.0	71999	52.35872	2.7127776	68.767166	40.20291	-52.713165	0.17668207	998.1697866916656
19	7.0630393	3.634784	9.975797	1.001859	5.422093	2.322324	9.571227	2.4256356	1000.0	1000.0	75999	49.424175	2.7230375	60.19101	39.05144	-49.849686	0.14395176	1053.9775686264038
20	3.406041	2.289571	5.8314276	0.77913904	3.403642	2.493972	8.552785	0.34376174	1000.0	1000.0	79999	47.474854	2.8394952	57.578842	37.49813	-47.82386	0.112368174	1109.1298186779022
21	5.449601	2.7326086	9.594951	2.4681466	3.9606242	1.787067	7.923781	0.9619459	1000.0	1000.0	83999	44.467113	2.5040424	57.861546	35.90058	-44.76957	0.096892014	1164.7458944320679
22	6.0255175	2.8644078	8.889205	2.8237312	4.7981825	2.830741	9.957702	0.5105051	1000.0	1000.0	87999	40.97513	2.3736677	54.58133	32.10139	-41.179844	0.07419556	1220.3488729000092
23	4.4677086	2.8263848	9.000264	1.7301692	6.4742837	2.1728039	9.492148	2.2009392	1000.0	1000.0	91999	36.34354	2.2334306	47.15138	28.33102	-36.501335	0.060915746	1276.0117824077606
24	4.314996	2.717224	7.7166553	1.398848	5.7279525	2.1869562	8.748246	1.6540557	1000.0	1000.0	95999	34.811314	1.6328229	46.51892	28.006653	-35.156097	0.063627616	1331.6640939712524
25	4.2010865	1.2530986	5.9129167	2.7241385	5.795598	2.1083183	8.874709	2.178282	1000.0	1000.0	99999	32.592926	1.6272961	41.43759	24.905525	-32.770634	0.047559507	1387.3483941555023
26	5.6503897	2.265357	8.554788	3.131626	3.906262	2.2781446	7.4373684	0.61640096	1000.0	1000.0	103999	29.88417	1.3120352	41.94049	24.098717	-30.105572	0.04121035	1442.7341358661652
27	5.2731457	2.5738587	8.548011	1.3853855	3.3775184	2.6918678	8.504416	0.90272075	1000.0	1000.0	107999	27.879948	1.4526153	39.42812	22.438967	-28.02685	0.036111515	1498.6492838859558
28	6.6992235	2.6182966	8.594624	2.220921	5.9832835	2.1528983	9.242438	1.8562697	1000.0	1000.0	111999	24.957043	1.370095	37.599255	20.244246	-25.09429	0.02817106	1553.5809800624847
29	5.52837	1.7043228	8.258229	3.566348	5.0182204	2.1964643	9.046761	1.2686243	1000.0	1000.0	115999	22.797476	1.3161172	34.286945	17.958849	-22.901756	0.022078551	1609.1027631759644
30	7.0794735	1.2531793	9.103869	5.672566	5.786569	3.338108	10.688934	1.6187605	1000.0	1000.0	119999	20.018963	1.1615705	28.784143	15.538106	-20.10057	0.016874686	1664.4354600906372
31	5.4872274	3.6015232	10.56561	0.5118636	5.3623896	2.9382963	10.375713	0.71235853	1000.0	1000.0	123999	18.31436	0.9168639	26.376194	15.037085	-18.42617	0.013552995	1719.8032264709473
