Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	4.0954175e-16	8.193096e-16	2.0907469e-15	0.0	1000.0	1000.0	3999	0.008155306	0.009673019	0.097843766	-0.09167024	-0.009431747	7.4996165e-06	35.39301371574402
2	0.0	0.0	0.0	0.0	7.537252	19.087624	63.87327	0.0	1000.0	1000.0	7999	0.011955496	0.016136346	0.036904894	-0.035027545	-0.012453519	8.899618e-07	76.2751350402832
3	0.0	0.0	0.0	0.0	2.3528652e-09	7.0585933e-09	2.3528644e-08	0.0	1000.0	1000.0	11999	0.0141920475	0.015072416	0.035526406	-0.022099234	-0.014444166	2.0675253e-07	119.11047625541687
4	6.7079334	11.618482	26.831734	0.0	1.6545469e-09	4.9225735e-09	1.6421852e-08	0.0	1000.0	1000.0	15999	0.030003939	0.08100077	2.6082935	-0.026066104	-0.036511004	0.00013769766	164.03187036514282
5	2.591434e-13	4.4884954e-13	1.0365736e-12	0.0	0.023880484	0.07118253	0.2374245	0.0	1000.0	1000.0	19999	0.45236138	1.1286601	14.855404	-0.038943216	-0.48625493	0.0010796587	208.80438613891602
6	0.060114913	0.10412208	0.24045965	0.0	4.3491982e-05	0.00013047588	0.0004349196	0.0	1000.0	1000.0	23999	1.2857344	1.9637753	25.141344	-0.12810512	-1.3441314	0.0026282656	253.80075120925903
7	8.294563e-05	0.00014366099	0.00033177377	0.0	0.0858802	0.19667488	0.6436366	0.0	1000.0	1000.0	27999	2.2846441	3.085383	34.545666	-0.27002904	-2.3734877	0.005262605	298.7656195163727
8	10.507122	18.19887	42.02849	0.0	6.8206224	20.393267	68.00015	0.0	1000.0	1000.0	31999	3.8528326	4.641692	39.98105	-0.16644722	-3.9902954	0.009398127	343.72337007522583
9	16.425573	28.449928	65.70229	0.0	4.484803e-08	1.3453334e-07	4.4844808e-07	0.0	1000.0	1000.0	35999	6.506407	6.9275074	42.92939	-0.08534652	-6.678499	0.01590478	388.83790135383606
10	15.382441	26.64317	61.529762	0.0	1.0063229	2.8531938	9.553766	0.0	1000.0	1000.0	39999	8.937255	8.175665	46.88879	-0.54730743	-9.149095	0.02532426	433.96839570999146
11	1.1414642e-08	1.9770738e-08	4.5658567e-08	0.0	10.644701	21.375647	57.51283	0.0	1000.0	1000.0	43999	11.954863	9.10632	48.16431	-0.69896793	-12.176942	0.03546853	478.95547819137573
12	6.688668e-30	0.0	2.6754673e-29	0.0	1.5396413e-08	4.4137106e-08	1.4768872e-07	0.0	1000.0	1000.0	47999	13.6454525	9.128369	50.74198	-0.7354808	-13.859695	0.04578405	523.9077122211456
13	0.018569196	0.03216279	0.074276775	2.130703e-36	9.847137	29.29819	97.739265	0.0	1000.0	1000.0	51999	15.628146	9.266697	53.137722	0.32136312	-15.837242	0.057006575	568.8418569564819
14	16.971935	29.396254	67.88774	0.0	1.0032423e-08	3.009727e-08	1.0032423e-07	0.0	1000.0	1000.0	55999	16.893074	9.381565	54.071064	0.20661938	-17.072927	0.0577686	614.2983934879303
15	0.0006289597	0.0010893901	0.0025158387	0.0	7.765162	21.901075	73.400276	0.0	1000.0	1000.0	59999	16.94768	9.310119	54.15867	0.4512425	-17.113598	0.0543111	659.6229996681213
16	1.7752553e-05	3.0748324e-05	7.101021e-05	0.0	1.0408497e-13	2.6690534e-13	8.939469e-13	0.0	1000.0	1000.0	63999	17.207842	9.185364	54.374264	1.0276921	-17.375805	0.05073522	704.9810857772827
17	2.0442767e-10	3.540791e-10	8.177107e-10	0.0	6.6596346	13.94789	42.556725	0.0	1000.0	1000.0	67999	16.94915	8.855944	54.043324	1.1441785	-17.098986	0.05257489	750.1667649745941
