Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	193.38937	242.65874	603.71344	3.9366436	14.071111	16.198725	61.048553	4.0141354	1000.0	1000.0	3999	1.9694934	1.8018916	9.418772	-0.5517634	-2.161595	0.001129612	44.96954298019409
2	139.07257	191.22475	467.09048	5.78218	118.29913	209.17032	713.8995	4.820381	1000.0	1000.0	7999	9.390265	3.512673	21.220024	2.1002033	-9.714459	0.006380304	93.50949358940125
3	194.9274	304.3166	721.73553	9.316781	197.36182	305.0394	909.05646	7.0782638	1000.0	1000.0	11999	18.804262	6.3900876	35.98284	8.282833	-19.265694	0.016723491	144.41348385810852
4	96.44043	138.16164	335.17276	7.747785	160.27632	241.34833	726.4275	7.8550305	1000.0	1000.0	15999	27.800428	8.516707	52.494614	10.139009	-28.2857	0.024997193	198.44248032569885
5	14.909771	7.0488896	22.900204	6.4451637	144.30287	204.20015	677.86755	7.0042434	1000.0	1000.0	19999	35.46045	9.804889	66.008675	18.106438	-35.98104	0.035347115	252.54916954040527
6	570.34827	340.56027	978.3769	33.118225	36.40264	53.318848	184.70409	5.495541	1000.0	1000.0	23999	41.871605	13.1996565	74.53696	22.387178	-42.33224	0.04247778	306.6313271522522
7	108.63301	170.16637	403.36728	9.253626	74.86458	132.5081	467.5608	6.324199	1000.0	1000.0	27999	47.8732	16.294487	82.21503	26.802126	-48.32356	0.04907407	360.6738350391388
8	125.143616	127.88555	312.9023	4.0849433	212.37956	335.6709	947.74054	4.3309474	1000.0	1000.0	31999	50.64712	18.215199	88.58101	27.481838	-51.07231	0.051182773	414.7296371459961
9	161.29643	245.00514	585.50275	13.706343	271.69476	371.2865	1000.0	4.9358435	1000.0	1000.0	35999	52.469463	20.062151	93.71742	26.719145	-52.835728	0.05626974	468.471342086792
10	30.588993	13.523464	43.67814	9.467401	43.08488	43.513073	142.23857	7.298573	1000.0	1000.0	39999	53.062344	21.04826	98.27118	26.600334	-53.441658	0.0584601	521.9595847129822
11	184.13268	218.8898	545.70483	4.6652107	173.36174	309.81616	829.6114	5.166789	1000.0	1000.0	43999	54.390694	20.89355	102.52524	24.669704	-54.846172	0.05961725	575.6779804229736
12	494.12927	476.1839	992.4123	12.980075	228.56999	349.70715	1000.0	5.7513876	1000.0	1000.0	47999	57.05498	22.23229	105.43855	25.072594	-57.436543	0.06564175	629.2528767585754
13	383.4495	407.988	991.1289	9.392037	233.76811	339.8721	777.1277	4.3280916	1000.0	1000.0	51999	57.150074	24.058765	107.495224	26.601116	-57.44586	0.06788868	682.8410432338715
14	145.3578	202.42006	494.52094	9.395896	208.51628	316.46042	914.83057	5.000958	1000.0	1000.0	55999	56.80197	26.023226	110.638596	26.716927	-57.129753	0.0718937	736.0067627429962
15	279.23056	267.76285	590.90967	7.7979493	216.7613	312.12994	899.86505	4.3101153	1000.0	1000.0	59999	56.608986	27.151957	113.5288	23.79493	-56.945797	0.0760403	788.8664038181305
16	215.66501	172.34673	487.6824	40.35034	192.54399	359.16245	997.6391	3.5691738	1000.0	1000.0	63999	56.892395	28.150805	116.952065	23.153658	-57.186928	0.08294763	841.9187796115875
17	439.03735	423.82565	883.28766	9.180806	89.61949	241.64293	814.4245	4.5119796	1000.0	1000.0	67999	56.3904	29.003445	119.80552	23.50749	-56.69579	0.08585359	895.0987410545349
18	5.817725	1.8423147	8.722452	3.6041934	188.03201	251.00975	615.89703	7.168235	1000.0	1000.0	71999	55.54479	30.223177	121.85606	21.390839	-55.846233	0.0951846	948.3351724147797
19	69.47496	98.195206	239.39783	7.779117	211.04092	389.54166	994.9326	5.735289	1000.0	1000.0	75999	54.73201	31.437878	123.86207	21.091827	-55.101578	0.104430005	1001.2308971881866
20	74.0214	92.49287	233.41385	5.923391	177.02097	314.1544	1000.0	6.0464525	1000.0	1000.0	79999	54.50584	32.43347	124.97121	19.28373	-54.882233	0.0988197	1054.9252400398254
21	497.36508	487.58456	1000.0	6.5386276	44.993996	62.506466	225.20291	5.7743697	1000.0	1000.0	83999	55.7587	33.375843	129.41782	17.88447	-56.13737	0.10582043	1108.3429758548737
22	48.053173	44.29228	123.90641	13.393206	229.01859	362.3182	999.65063	4.0504713	1000.0	1000.0	87999	55.83638	33.900875	130.15056	17.473757	-56.140324	0.10060149	1161.7911229133606
23	31.625906	36.37212	93.82528	5.6562686	182.31815	262.55527	683.94525	6.1254153	1000.0	1000.0	91999	54.438255	33.38695	129.55998	16.898243	-54.745186	0.09820312	1215.5238943099976
24	29.095299	23.597515	69.852295	13.864969	195.78694	322.79483	922.1043	4.272566	1000.0	1000.0	95999	53.181446	32.92727	128.2082	17.303886	-53.48837	0.093449675	1269.0947167873383
25	152.49445	227.43681	545.9319	11.316892	304.39337	437.97015	996.24243	4.5360556	1000.0	1000.0	99999	52.56786	33.2889	128.21863	16.848152	-52.85362	0.09471561	1322.3264651298523
26	21.59713	13.586201	43.313873	6.571269	322.59927	397.40262	999.25903	6.438127	1000.0	1000.0	103999	50.7778	33.58343	126.96318	15.393188	-50.99517	0.089675695	1375.6283597946167
27	307.34296	221.8038	622.30237	7.324758	412.17676	411.74518	966.99536	8.674747	1000.0	1000.0	107999	48.562607	34.32945	127.5786	14.323787	-48.76543	0.0925723	1428.7184948921204
28	247.46776	405.38837	949.52405	5.183782	302.72845	428.91925	1000.0	6.52438	1000.0	1000.0	111999	47.68241	35.26051	127.14944	13.289465	-47.89493	0.08298901	1481.8604781627655
29	10.074008	3.7678087	15.566984	5.937946	281.0997	404.2645	994.94006	7.0711575	1000.0	1000.0	115999	46.2945	35.51585	127.55502	12.284323	-46.53461	0.083319396	1534.9521565437317
