Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	460.75	461.0246	944.0	0.0	1000.0	-0.022223622	0.13864112	0.55420595	-0.40935194	4000	-2.861023e-09	3670.236	-0.0068414393	-911.5471	1.8276279	0.008235637	0.04925	79.0	10.302633285522461
1	0.0	0.0	0.0	0.0	1000.0	8.527985	1.6404502	13.89301	4.4969916	8000	-7.319451e-08	65.259796	-0.00760787	-38.704185	1.8845258	0.005921264	0.059	79.0	16.418646335601807
2	451.0	451.0	902.0	0.0	1000.0	7.821413	2.433238	12.047046	2.5843647	12000	-1.9073486e-08	2836.865	-0.005845667	-701.3799	1.8677697	0.0072895633	0.05175	79.0	22.506000995635986
3	0.0	0.0	0.0	0.0	1000.0	17.41484	3.5434077	23.296247	5.843022	16000	-9.536743e-08	268.0448	-0.007914889	-221.18533	1.8247555	0.007187908	0.06625	79.0	28.627305030822754
4	0.0	0.0	0.0	0.0	1000.0	5.504459	4.4454093	20.532528	-5.8455057	20000	-2.2888184e-08	45.756077	-0.008459861	-33.07016	1.8212323	0.005902516	0.05975	79.0	34.88376498222351
5	0.0	0.0	0.0	0.0	1000.0	1.819936	3.1457295	17.471039	-5.5035653	24000	-3.8146972e-08	13.274233	-0.008472043	-6.2261095	1.8053198	0.009001654	0.06475	79.0	40.954062938690186
6	233.25	404.00085	933.0	0.0	1000.0	3.1089153	4.7515364	15.9481125	-5.161525	28000	-3.2901763e-08	1481.2738	-0.004808857	-385.4347	1.8550141	0.005821	0.053	79.0	47.20364832878113
7	456.5	456.54434	922.0	0.0	1000.0	16.393242	8.536858	25.557697	-4.667914	32000	-6.67572e-08	2030.5005	-0.009172961	-515.449	1.904215	0.0075649577	0.0645	79.0	53.45151662826538
8	156.75	271.49896	627.0	0.0	1000.0	14.363486	12.013175	34.79804	-12.009375	36000	1.2397766e-08	677.25586	-0.007520346	-84.16583	1.8462877	0.0013714317	0.054	79.0	59.5601851940155
9	0.0	0.0	0.0	0.0	1000.0	5.1890316	8.774832	37.603527	-16.412098	40000	-2.4795533e-08	101.866554	-0.006949875	-73.1862	1.8455417	0.0056102	0.053	79.0	65.59195518493652
10	229.75	397.93866	919.0	0.0	1000.0	7.8966246	12.802862	36.85417	-16.373768	44000	2.193451e-08	977.51154	-0.008015582	-269.08075	1.8008131	0.00605742	0.057	79.0	73.3379123210907
11	0.0	0.0	0.0	0.0	1000.0	4.019388	10.221793	40.94983	-22.721708	48000	6.6757204e-09	122.44163	-0.008988904	-82.81244	1.7980629	0.0054274816	0.06525	79.0	79.40991926193237
12	0.0	0.0	0.0	0.0	1000.0	1.2439533	6.315524	39.92575	-15.453267	52000	2.861023e-09	47.364555	-0.008835426	-18.332724	1.7464292	0.0045299856	0.06575	79.0	85.48397064208984
13	373.0	388.3729	899.0	0.0	1000.0	10.565713	12.681351	39.244694	-10.902355	56000	1.001358e-08	1692.5317	-0.007842106	-805.1961	1.7280564	0.008441187	0.07225	79.0	91.70409941673279
14	82.25	122.56095	293.0	0.0	1000.0	14.298174	16.526337	46.450687	-13.83119	60000	-1.6212464e-08	409.0112	-0.009438378	-85.90402	1.697413	0.006672325	0.05575	79.0	97.77142548561096
15	303.5	354.84116	867.0	0.0	1000.0	16.760511	19.167683	47.1446	-14.419191	64000	4.5776368e-08	857.29565	-0.008097787	-200.14862	1.7033981	0.0074694683	0.0745	79.0	103.83290815353394
16	405.0	413.939	931.0	0.0	1000.0	27.221228	22.645401	51.81049	-14.287975	68000	3.71933e-08	838.42487	-0.009109149	-194.89368	1.707294	0.00757912	0.08025	79.0	109.83607578277588
17	230.0	398.37167	920.0	0.0	1000.0	21.665972	23.67585	58.04389	-17.321299	72000	-9.059906e-09	548.493	-0.008878813	-116.009735	1.644554	0.0049487064	0.0445	79.0	116.00789260864258
18	391.25	411.10544	961.0	0.0	1000.0	28.839918	26.66304	61.12879	-15.599693	76000	1.3828277e-08	636.6671	-0.008474005	-121.177795	1.6610454	0.0064559975	0.068	79.0	122.21219635009766
19	310.25	348.18268	844.0	0.0	1000.0	28.421722	28.372908	65.78353	-25.780277	80000	-3.8146974e-09	566.9886	-0.009043772	-75.83188	1.6474836	0.006103921	0.0815	79.0	128.49297046661377
20	157.5	272.798	630.0	0.0	1000.0	17.104443	23.85561	68.378365	-21.369982	84000	9.536743e-09	354.88034	-0.009354042	-25.058441	1.563754	0.0048895665	0.07875	79.0	136.44107842445374
21	278.75	286.32095	650.0	0.0	1000.0	25.40989	28.002611	69.70787	-20.152155	88000	-1.1920929e-08	388.33487	-0.008951421	-64.39429	1.5842593	0.005441409	0.057	79.0	142.6162600517273
22	451.5	413.94293	952.0	0.0	1000.0	39.174118	31.899265	72.257614	-23.19818	92000	1.8119811e-08	516.0042	-0.009077339	-115.35275	1.5204923	0.009728558	0.0715	79.0	148.8169605731964
23	317.5	330.53934	765.0	0.0	1000.0	33.809788	32.07409	76.73637	-21.599659	96000	-3.8146974e-09	352.71326	-0.010168598	-49.225708	1.5490011	0.009450236	0.11975	79.0	155.1837978363037
24	501.75	230.5118	848.0	199.0	1000.0	45.497875	33.798634	78.94041	-13.795508	100000	-1.525879e-08	463.09537	-0.013360144	-141.98306	1.5328307	0.011425077	0.1365	79.0	161.6802909374237
25	488.75	427.45316	949.0	0.0	1000.0	54.855824	31.464342	82.48969	-32.48376	104000	1.3351441e-08	662.12756	-0.011647714	-323.67078	1.5212657	0.0071141883	0.07575	79.0	167.7608437538147
26	804.0	144.02083	944.0	566.0	1000.0	71.696495	26.65334	85.29355	-9.441504	108000	-3.8146974e-09	353.19122	-0.0117031615	-181.95285	1.5155152	0.010588275	0.108	79.0	173.88588094711304
27	415.25	341.86795	925.0	0.0	1000.0	60.49983	30.334751	89.43389	-10.019036	112000	-9.536743e-09	870.4256	-0.013290387	-555.8424	1.4452182	0.00584886	0.09775	79.0	180.10527062416077
28	153.75	218.47011	527.0	0.0	1000.0	24.375921	29.60194	90.54102	-14.869038	116000	7.629395e-09	330.39954	-0.0029507019	-64.1239	1.4129535	0.0169365	0.138	6.0	186.15661215782166
29	534.75	351.6279	941.0	126.0	1000.0	53.456314	38.887104	90.89436	-26.153967	120000	2.2888184e-08	354.1751	-0.01121699	-60.861084	1.3991414	0.007156062	0.08025	79.0	192.33019304275513
30	556.5	327.94092	873.0	54.0	1000.0	58.48272	37.506527	91.98942	-19.877989	124000	-1.1444092e-08	307.0007	-0.012086573	-30.099548	1.3919213	0.007387384	0.123	79.0	198.86307549476624
31	436.5	357.81314	847.0	51.0	1000.0	52.514954	37.763138	93.67325	-13.855025	128000	1.9073487e-09	504.34488	-0.013228586	-82.00894	1.3282266	0.007114442	0.10725	79.0	205.2156834602356
32	671.0	178.36339	969.0	495.0	1000.0	67.01595	33.598736	92.846016	-9.002618	132000	1.3828277e-08	217.38744	-0.012590598	-53.011856	1.3339484	0.006180734	0.0895	79.0	211.49000358581543
33	190.5	179.12636	481.0	0.0	1000.0	38.531315	31.664858	95.09232	-13.6291485	136000	-3.8146974e-09	741.056	-0.010774412	-393.31372	1.2721645	0.010024372	0.09575	79.0	217.74738574028015
34	516.25	416.75436	985.0	0.0	1000.0	51.259617	38.612057	94.47521	-10.34281	140000	-1.525879e-08	313.61514	-0.011385661	-96.64397	1.2967088	0.00854497	0.12075	79.0	223.96473383903503
35	770.0	109.1902	941.0	638.0	1000.0	76.110435	33.460987	96.63509	-15.318669	144000	-6.6757204e-09	248.57652	-0.011902242	-119.09491	1.2496883	0.0053597954	0.0805	79.0	230.1032109260559
36	748.0	170.82593	965.0	552.0	1000.0	81.01619	30.445944	98.27685	-17.876417	148000	-7.629395e-09	207.44522	-0.012357098	-21.792542	1.2249827	0.0089996	0.09175	79.0	236.3981728553772
37	816.5	111.14293	978.0	688.0	1000.0	84.908066	27.37206	98.43522	-7.6483564	152000	1.6212464e-08	102.43625	-0.01646161	-33.338074	1.2478018	0.008664383	0.09675	79.0	242.48550820350647
