Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.3870902	0.64772874	2.2851875	0.5401492	1000.0	-0.102749154	0.06740374	0.1327248	-0.33034012	4000	5.722046e-09	0.06303687	-0.0059631965	-0.05515781	0.9281429	0.006311884	0.08475	79.0	11.200655221939087
1	1.9748667	1.6088691	4.7233663	0.774197	1000.0	0.12311952	0.008493412	0.14354926	0.092827596	8000	-4.2915342e-09	0.037667718	-0.004485278	-0.009343289	0.9215296	0.00192347	0.02625	79.0	20.525079488754272
2	3.289546	1.0326252	4.5985675	1.8698858	1000.0	0.19358422	0.03173031	0.34954345	0.10850575	12000	1.7821788e-08	0.060396414	-0.0030239385	-0.026694663	0.91308326	0.0031988139	0.01125	79.0	29.85076093673706
3	10.370178	5.939236	17.361912	2.5134773	1000.0	0.3848316	0.1438647	0.84929085	0.11130609	16000	3.7908553e-08	1.2964714	-0.0031317838	-0.8972769	0.90261537	0.0061236583	0.03475	79.0	39.10033059120178
4	23.114124	13.354679	39.854076	3.8910291	1000.0	1.4151702	0.8155425	3.721469	-0.31238732	20000	2.6702882e-08	3.2422554	-0.0036981737	-2.2081802	0.9038018	0.0029918775	0.02075	79.0	48.25047516822815
5	48.33678	7.43494	57.162148	36.79189	1000.0	3.4446762	1.9274472	7.6565356	-0.14801694	24000	-1.001358e-08	5.068202	-0.003737275	-4.386825	0.877178	0.0025902407	0.0355	79.0	57.479634523391724
6	41.39863	17.721125	69.17822	20.30896	1000.0	4.4859705	2.6554937	10.506904	-0.027103111	28000	4.7683715e-09	1.1669991	-0.005872996	-0.8211416	0.87893176	0.0064903353	0.061	79.0	66.64804315567017
7	70.30394	7.092852	80.51285	62.99493	1000.0	6.6316895	3.677745	12.842472	-0.14351715	32000	4.482269e-08	2.356594	-0.00706173	-2.0505953	0.870065	0.0046847393	0.06525	79.0	75.85496592521667
8	76.32476	9.23202	84.72093	62.00538	1000.0	8.563029	4.0932364	14.773688	1.0267936	36000	-1.9073487e-09	0.3781522	-0.008908909	-0.17330791	0.8385157	0.0053295405	0.0585	79.0	85.12626767158508
9	100.10625	2.8943322	104.43123	97.17427	1000.0	10.174779	4.002499	15.767049	0.9393208	40000	3.8146974e-09	1.0187118	-0.010169674	-0.81984806	0.8074622	0.009492254	0.10925	79.0	94.35345077514648
10	119.99954	1.7488788	122.25635	118.19642	1000.0	11.543249	3.724481	16.85254	2.2235699	44000	-6.484986e-08	2.843087	-0.007162904	-2.5019147	0.7670813	0.0047487584	0.0725	79.0	104.0053641796112
11	119.178925	7.002803	129.84859	112.57005	1000.0	12.330097	4.5046644	18.601522	3.1020632	48000	1.2874604e-08	1.5337172	-0.008029385	-1.1543204	0.7593919	0.0057140845	0.096	79.0	113.15711641311646
12	131.7678	4.1910515	136.03452	127.25937	1000.0	13.519309	4.1171823	18.781408	2.8804548	52000	-1.7166137e-08	1.2350574	-0.005081741	-0.9906077	0.7113314	0.015418218	0.14425	10.0	122.03848481178284
13	158.89127	4.4346867	165.35681	153.0458	1000.0	15.454426	3.6594875	20.094149	3.3051968	56000	-2.6226044e-09	2.692689	-0.007981085	-2.1746478	0.7189726	0.00709353	0.08225	79.0	131.24774742126465
14	165.85365	4.724801	172.55339	159.30939	1000.0	16.934635	3.8451185	21.992918	4.647709	60000	4.005432e-08	1.149532	-0.0061617033	-0.7017127	0.74906397	0.008882379	0.117	3.0	140.17403602600098
15	176.18019	3.218926	179.21756	171.56682	1000.0	17.664509	3.685585	22.935173	5.233159	64000	1.1444092e-08	2.1172295	-0.004967116	-1.573673	0.7320153	0.003763576	0.05175	79.0	149.32340693473816
16	184.0599	3.8350933	189.16003	178.34961	1000.0	18.774466	4.2635612	25.038952	6.35559	68000	-1.7166137e-08	1.437017	-0.0032067776	-0.8858571	0.72536415	0.017601574	0.23025	2.0	158.15574383735657
17	211.02705	6.434115	219.13191	201.31311	1000.0	20.224657	4.51355	26.693436	6.5156565	72000	9.536743e-09	5.408186	-0.0064189946	-4.6180916	0.7115948	0.0051549794	0.06275	79.0	167.32258415222168
18	212.56352	4.2528973	217.19029	205.8449	1000.0	21.709452	5.001595	29.639313	7.1937933	76000	7.629395e-09	4.497663	-0.0069338568	-2.9507036	0.703182	0.008230331	0.074	79.0	176.58590054512024
19	221.42252	4.950036	228.89633	216.40042	1000.0	21.504911	5.418049	31.88273	7.2547436	80000	-2.8610229e-08	7.0096726	-0.008861009	-4.790894	0.66643536	0.005028294	0.06475	79.0	185.86616587638855
20	230.34576	10.0589695	243.48868	219.77257	1000.0	23.567509	4.963219	33.44132	9.206509	84000	1.525879e-08	3.223525	-0.008440143	-2.162384	0.64160764	0.010678386	0.0825	79.0	195.6191291809082
21	250.92775	4.525588	258.05554	245.9814	1000.0	25.660374	4.81064	36.301834	10.314778	88000	-2.861023e-09	3.6636953	-0.010012347	-2.3519998	0.63720655	0.007132331	0.095	79.0	204.71721243858337
22	263.3567	11.281723	275.64777	246.93413	1000.0	26.986801	5.223661	37.181248	10.902636	92000	1.3828277e-08	4.027024	-0.005103273	-2.6060588	0.58958274	0.02098109	0.23175	7.0	213.6101987361908
23	293.9745	12.279382	305.0864	275.14426	1000.0	28.089594	5.686861	39.880367	10.627109	96000	6.866455e-08	9.918483	-0.009838894	-7.490472	0.6110758	0.0070071775	0.091	79.0	222.74612760543823
24	330.89746	29.237305	381.24948	309.5315	1000.0	31.191263	7.4764557	44.155643	4.327573	100000	-2.6702882e-08	39.807755	-0.0036103686	-27.345078	0.58736026	0.018659959	0.15725	6.0	231.65383100509644
25	340.51437	23.443007	381.0887	325.96487	1000.0	37.991867	9.802447	53.27601	12.320579	104000	-7.629395e-09	11.1934	-0.009216383	-8.697072	0.5729645	0.003507316	0.0715	79.0	240.79602885246277
26	345.12122	43.308018	394.27917	286.54712	1000.0	39.834293	9.9480715	53.766552	13.570896	108000	-1.3351441e-08	45.96759	-0.003970451	-35.508553	0.569763	0.0029254865	0.03125	79.0	250.00181102752686
27	358.215	25.119165	399.93854	333.3644	1000.0	37.808117	9.257367	56.82116	13.639681	112000	-3.242493e-08	13.095123	-0.0071335197	-6.344215	0.58774924	0.010552544	0.0905	79.0	259.17461466789246
28	382.84238	56.16567	470.00092	328.2406	1000.0	40.911232	10.896686	62.073563	14.558641	116000	1.9073486e-08	14.510705	-0.008816636	-6.2306833	0.5546111	0.010298053	0.082	79.0	268.39570021629333
29	408.01633	47.800125	487.65692	367.50464	1000.0	40.8721	12.510276	65.08405	13.962804	120000	-8.5830685e-09	35.053608	-0.0059792185	-21.479069	0.5685335	0.0058221524	0.05325	79.0	277.5820949077606
30	388.5118	69.08499	494.3494	307.9448	1000.0	49.301205	11.874507	69.32592	15.238593	124000	-1.1444092e-08	95.211624	-0.004677529	-79.90451	0.53213024	0.004321051	0.06	79.0	287.24620842933655
31	398.03943	24.261349	425.681	367.27667	1000.0	42.881172	13.727944	71.2265	5.2226315	128000	1.525879e-08	31.214148	-0.0075104907	-23.668465	0.5239084	0.004716589	0.065	79.0	296.4548292160034
32	390.5446	27.508305	428.04187	350.38843	1000.0	42.27875	12.523793	71.21797	15.517292	132000	0.0	19.877317	-0.007310673	-12.851732	0.52175164	0.0045725964	0.067	79.0	305.59927773475647
33	412.47253	59.85794	515.1747	367.6507	1000.0	43.156586	13.128114	72.20411	15.336582	136000	7.629395e-09	36.085247	-0.010046572	-21.281326	0.5030845	0.010021859	0.09575	79.0	314.6916811466217
34	411.65857	30.020514	448.44946	379.461	1000.0	43.28594	11.718819	72.97778	14.884645	140000	-3.8146974e-09	23.996696	-0.010394522	-15.590213	0.49615836	0.0066125463	0.08525	79.0	323.81482195854187
35	374.956	4.51964	382.28796	370.38055	1000.0	41.389565	11.290942	76.34766	17.101488	144000	9.536744e-10	13.862226	-0.00864408	-9.534014	0.46816453	0.0055235606	0.07925	79.0	332.96983075141907
36	406.04962	31.496141	448.79257	372.99445	1000.0	43.345776	12.121596	73.49188	14.596518	148000	-1.0490417e-08	16.627617	-0.0066776443	-11.296789	0.4770595	0.005041336	0.07175	79.0	342.08346939086914
37	431.07898	35.16379	480.14236	380.75275	1000.0	44.08055	14.446532	77.15947	17.007114	152000	1.1444092e-08	19.73366	-0.009653618	-13.881981	0.47390106	0.0115341535	0.095	79.0	351.1882860660553
38	473.7188	48.217663	537.1137	414.61478	1000.0	47.047752	14.502669	76.65312	16.266203	156000	-2.6702882e-08	44.708157	-0.0068603326	-27.911743	0.45053297	0.005792514	0.08525	79.0	360.2681541442871
39	411.31915	21.696585	434.6558	385.44672	1000.0	45.191154	14.432954	75.00641	12.905967	160000	0.0	25.445583	-0.008729435	-17.920153	0.42458072	0.008119614	0.074	79.0	369.5031795501709
40	431.2332	90.400406	576.01355	331.83725	1000.0	45.72487	15.996167	78.61315	13.570554	164000	1.9073486e-08	27.26652	-0.0097365985	-15.746489	0.43127295	0.005993871	0.08775	79.0	379.2134735584259
41	504.7173	80.225624	573.5828	371.55475	1000.0	52.43608	16.29545	80.53045	10.394917	168000	4.2915342e-09	20.51323	-0.009672992	-13.058005	0.44560847	0.009069753	0.07325	79.0	388.3066532611847
42	486.9749	12.622136	505.07602	471.59528	1000.0	52.10919	12.816322	81.766624	22.544464	172000	-2.4795533e-08	33.278484	-0.006626522	-24.489212	0.4140216	0.003541993	0.04175	79.0	397.3953113555908
43	502.61682	12.684729	520.2468	487.70975	1000.0	52.050102	12.928306	82.19749	21.802263	176000	7.629395e-09	13.89436	-0.010978012	-6.608927	0.42953956	0.0073024337	0.11625	79.0	406.5441493988037
44	529.60474	30.617315	579.0089	495.4472	1000.0	55.59147	14.081724	83.70289	22.585857	180000	8.106232e-09	11.878498	-0.0035594956	-7.292676	0.41209325	0.019996773	0.156	4.0	415.4471642971039
45	387.0849	70.18193	474.3652	279.56348	1000.0	45.950466	15.155448	77.38958	12.156155	184000	2.6702882e-08	141.95827	-0.009400565	-113.448105	0.41965815	0.0048099174	0.0685	79.0	424.55843210220337
46	406.80695	54.97174	492.04874	340.111	1000.0	42.124836	12.713862	81.00772	12.885922	188000	7.629395e-09	30.283632	-0.009501974	-17.199305	0.40586132	0.009746825	0.09825	79.0	433.6475224494934
47	536.2708	46.233273	580.6602	473.5836	1000.0	53.543022	16.24924	85.33517	19.463802	192000	2.002716e-08	24.61342	-0.011255563	-17.242682	0.3694427	0.00873489	0.08475	79.0	442.7379741668701
