Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.04628881	0.35307622	1.0475004	-1.5111276	4000	1.0967255e-08	0.12718104	-0.014127969	-0.12222288	1.8147632	0.011150622	0.09	79.0	11.104192018508911
1	216.0	374.123	864.0	0.0	1000.0	0.02185406	0.061637696	0.23479679	-0.2675324	8000	-3.528595e-08	1787.7949	-0.011901844	-512.006	1.8264617	0.008967049	0.06825	79.0	20.218318223953247
2	250.0	433.0127	1000.0	0.0	1000.0	12.757706	4.009881	18.279722	-5.9901266	12000	2.8610229e-08	1587.0752	-0.013990124	-380.48315	1.8288256	0.0072644968	0.085	79.0	29.414923429489136
3	0.0	0.0	0.0	0.0	1000.0	0.27300438	8.552116	18.31016	-13.562735	16000	-1.5497207e-08	66.71212	-0.014903478	-60.74507	1.7745177	0.0076729204	0.09425	79.0	38.586254835128784
4	223.75	387.54636	895.0	0.0	1000.0	4.617785	6.800299	18.82156	-7.6323733	20000	-3.71933e-08	1744.2711	-0.015422831	-648.13245	1.7449654	0.013995236	0.1145	79.0	47.676169633865356
5	250.0	433.0127	1000.0	0.0	1000.0	18.459976	12.153358	31.542116	-12.391351	24000	2.002716e-08	1330.6302	-0.01597306	-458.20374	1.70164	0.01466702	0.121	79.0	56.66475057601929
6	0.0	0.0	0.0	0.0	1000.0	5.0870533	6.194791	39.50748	-6.3713493	28000	-3.8146974e-09	55.207897	-0.015864732	-48.295452	1.6500298	0.017307734	0.07075	22.0	65.52712178230286
7	0.0	0.0	0.0	0.0	1000.0	3.9041083	9.360468	20.084415	-14.227089	32000	4.053116e-09	86.205956	-0.012486377	-75.44767	1.6770334	0.00941942	0.0805	79.0	74.57822728157043
8	0.0	0.0	0.0	0.0	1000.0	10.112073	5.2389975	27.247753	0.9096854	36000	-2.384186e-10	112.33967	-0.013507155	-103.81145	1.6472265	0.005298911	0.07725	79.0	83.61178946495056
9	1.25	2.1650636	5.0	0.0	1000.0	-1.0149684	3.490089	14.143722	-14.046565	40000	1.859665e-08	11.394445	-0.010566433	-6.584919	1.5919123	0.012559328	0.12625	79.0	92.71403050422668
10	250.0	433.0127	1000.0	0.0	1000.0	0.79058397	6.7457805	23.521614	-17.297783	44000	-2.8133393e-08	1844.9658	-0.012666727	-986.3746	1.600153	0.010186342	0.09025	79.0	102.57933831214905
11	0.0	0.0	0.0	0.0	1000.0	13.599801	10.760379	33.798378	-33.10304	48000	-1.1920929e-08	262.3042	-0.0155541105	-243.3317	1.5722064	0.006899035	0.1275	79.0	111.67480731010437
