Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	82.62756	30.11591	107.05606	32.620773	1000.0	-0.03285429	1.1958234	2.5057392	-2.4715292	4000	3.671646e-08	72.51739	-0.042534783	-65.975624	4.5792904	0.010375641	0.217	79.0	12.17433500289917
1	64.40233	36.21827	99.79402	17.771336	1000.0	4.513324	4.251453	11.130337	-4.986335	8000	1.7166137e-08	4.0391912	-0.0462082	-2.6118355	4.580672	0.011615987	0.23025	79.0	22.87598466873169
2	97.14965	14.7447605	112.16544	80.649055	1000.0	9.812302	1.6913978	12.757453	4.1844306	12000	-8.5830685e-09	2.1449118	-0.046294857	-1.5662694	4.55973	0.011387425	0.216	79.0	33.54191875457764
3	64.67475	25.345318	85.1802	22.66267	1000.0	4.701023	3.4538836	11.382108	-2.3862345	16000	2.4795533e-08	10.755008	-0.042502306	-7.9857326	4.4511185	0.015212211	0.2165	75.0	44.14360761642456
4	48.652416	29.204584	95.13245	15.119895	1000.0	5.234181	2.3564413	12.386754	1.0214365	20000	-1.525879e-08	7.5944457	-0.033469345	-2.4730892	4.527666	0.015300638	0.221	38.0	54.580976486206055
5	47.376503	7.643602	55.088413	37.007046	1000.0	6.380749	3.0571454	13.434655	-1.0056384	24000	-4.053116e-09	3.8118637	-0.021459866	-3.1716628	4.466284	0.016204383	0.1975	15.0	64.80782556533813
6	91.4074	13.029093	112.828705	77.94015	1000.0	8.022869	2.3033488	12.210185	1.4380894	28000	-5.722046e-09	0.6338496	-0.04271127	-0.3578857	4.4323797	0.010610212	0.197	79.0	75.2139024734497
7	55.391384	28.386808	91.16937	11.836237	1000.0	4.471118	3.920677	13.000813	-0.97279143	32000	-3.4332274e-08	2.3045332	-0.022907546	-0.67290187	4.4228954	0.015436551	0.20175	15.0	85.30918836593628
8	159.98315	178.15503	468.24948	48.316795	1000.0	6.590212	3.0743685	12.303652	0.085451186	36000	-1.9550324e-08	581.5011	-0.02971941	-216.17126	4.377563	0.015273938	0.1755	29.0	95.78982210159302
9	70.65639	30.416891	115.25765	29.413889	1000.0	13.102785	11.538307	30.97761	-12.952743	40000	-3.7670137e-08	105.36322	-0.039138716	-99.271965	4.3615546	0.015296732	0.19975	64.0	106.27705383300781
10	60.344025	33.88251	96.78312	8.499632	1000.0	7.1167846	4.9791994	27.90776	-7.084033	44000	3.4809112e-08	7.4177895	-0.044766825	-5.3965387	4.307395	0.010703428	0.236	79.0	117.12404036521912
11	47.06699	36.756607	99.36354	9.906028	1000.0	3.1174705	3.4519095	20.530628	-5.221334	48000	-1.1444092e-08	3.3969212	-0.0076420624	-2.4856055	4.2929463	0.01912387	0.19775	4.0	127.2809841632843
12	59.422394	25.979473	83.55006	21.292181	1000.0	5.9311485	3.1720066	20.895868	-0.05473259	52000	2.2888184e-08	1.2472568	-0.04582188	-0.46545684	4.246972	0.012960426	0.238	79.0	137.78117656707764
13	92.571396	41.296616	141.34633	30.88001	1000.0	7.7949452	2.820626	19.498655	2.1320815	56000	1.9073487e-09	32.936584	-0.03757474	-12.61429	4.220985	0.015101473	0.201	51.0	148.12254881858826
14	60.264736	35.616356	101.153915	4.5554466	1000.0	8.697753	3.4097493	21.031778	-0.79516935	60000	-4.196167e-08	29.97384	-0.04663631	-28.612772	4.1703396	0.015173325	0.23125	69.0	158.46117520332336
15	99.265076	6.8318	111.0352	94.31226	1000.0	9.920833	1.74999	22.96347	5.4442186	64000	1.859665e-08	1.1993672	-0.04336064	-0.63282675	4.105665	0.010897074	0.236	79.0	168.8794572353363
16	53.549507	29.810387	99.80656	18.608978	1000.0	5.0249615	3.3169718	14.561974	-1.6671997	68000	-1.4305115e-09	0.5939364	-0.009581937	-0.22715572	4.041536	0.015151455	0.18725	4.0	179.1009078025818
17	48.171593	33.928886	98.59898	11.043493	1000.0	5.0254726	3.3145502	19.109234	-1.7711195	72000	6.198883e-09	0.6127199	-0.010885215	-0.23670924	4.0906878	0.014553762	0.1465	5.0	189.34477376937866
18	86.565186	29.723326	112.83078	39.566616	1000.0	8.070745	2.6247418	16.030733	2.6090891	76000	-3.8146974e-09	1.1003371	-0.0055201454	-0.63779056	4.062058	0.015157658	0.139	3.0	199.61683225631714
19	67.17797	33.30006	103.89678	26.677656	1000.0	6.460572	4.011596	15.801048	-1.562335	80000	-1.1444092e-08	0.83935595	-0.01177886	-0.33648318	4.070541	0.019029312	0.234	6.0	209.8245828151703
20	72.68891	46.90869	125.229965	14.79719	1000.0	6.130508	4.0307646	14.157801	-1.7740766	84000	-2.2888184e-08	5.0178504	-0.031730853	-1.0684743	4.049879	0.015462476	0.20525	53.0	220.52598810195923
21	81.30143	23.794094	104.00597	44.58041	1000.0	8.8335285	2.5215926	16.418806	3.396409	88000	5.722046e-09	1.0138284	-0.035477683	-0.6810725	3.9790356	0.015210677	0.189	34.0	230.83847975730896
22	139.84872	78.72452	232.84322	14.860419	1000.0	7.4323983	4.9014053	15.634922	-2.7153802	92000	1.9073486e-08	128.868	-0.035485454	-36.74391	3.9417183	0.015305013	0.1885	61.0	241.31269431114197
23	71.31022	17.132975	88.29259	43.11789	1000.0	10.547774	3.6511843	21.643394	-4.7462535	96000	-3.0994414e-08	20.91585	-0.009723945	-19.931456	3.955273	0.01283991	0.179	4.0	251.53630352020264
24	40.64807	32.15632	90.84677	1.8048834	1000.0	3.337853	4.345154	15.848202	-5.5734277	100000	-2.4795533e-08	2.2234786	-0.047080066	-1.6408782	3.871725	0.009868069	0.2305	79.0	262.07765460014343
25	86.07771	26.11664	121.80228	49.780514	1000.0	7.563049	1.7773964	12.143517	2.6387348	104000	-8.5830685e-09	2.4122643	-0.048655905	-1.9470259	3.8790145	0.014690422	0.24375	79.0	272.5421767234802
26	47.26948	36.861347	109.42629	16.369713	1000.0	4.516301	3.2265375	10.777103	-1.0217863	108000	5.722046e-09	1.1192268	-0.04281044	-0.78192806	3.8225424	0.015235568	0.22275	45.0	282.657249212265
27	74.623184	18.578323	104.58595	57.514095	1000.0	8.13671	2.3343532	18.951675	3.5259924	112000	-4.529953e-09	1.4626504	-0.023083748	-1.1456292	3.8082018	0.016239008	0.15	16.0	292.7601387500763
28	52.26003	27.286024	86.899216	10.993393	1000.0	5.170941	2.8698099	11.64846	-1.6372488	116000	1.5735626e-08	0.41384047	-0.01893406	-0.17428811	3.7950757	0.015097024	0.18525	11.0	302.93716192245483
29	55.558323	37.809475	117.77881	15.632005	1000.0	4.967868	3.2446463	14.597734	-2.2508807	120000	-1.8119811e-08	5.7016416	-0.028318753	-1.3076873	3.8221054	0.01547711	0.1875	24.0	313.2526783943176
