Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	0.28090504	0.37474948	1.3512001	-1.1263492	4000	-1.3351441e-08	0.2211778	-0.0493288	-0.21028447	3.6549807	0.013583329	0.18925	79.0	10.712263584136963
1	0.8339275	1.443579	3.3342793	0.0	1000.0	-0.02239858	0.11898851	0.42216948	-0.65276927	8000	7.629395e-09	0.04841391	-0.033539966	-0.020232426	3.6076143	0.015146223	0.17325	47.0	19.28991985321045
2	0.008442121	0.014622182	0.033768483	0.0	1000.0	0.010614827	0.103191175	0.57881385	-0.430411	12000	-8.8214875e-09	0.010768015	-0.020845419	-0.009153801	3.6318443	0.015963491	0.1955	9.0	27.81150984764099
3	0.0	0.0	0.0	0.0	1000.0	0.0025593336	0.05471572	0.28570655	-0.23576552	16000	-7.1525574e-10	0.0030833574	-0.054482184	-0.001664252	3.6077468	0.015210205	0.25775	60.0	36.76023054122925
4	0.0	0.0	0.0	0.0	1000.0	1.8563867e-05	0.02951149	0.22425435	-0.18047304	20000	-1.7642975e-08	0.00087860227	-0.04765041	-0.0004143737	3.5394244	0.013482217	0.16475	79.0	45.667638063430786
5	0.0	0.0	0.0	0.0	1000.0	0.0009651787	0.035872653	0.23822655	-0.21854785	24000	-9.059906e-09	0.001387223	-0.048864905	-0.0007051414	3.5418837	0.015374671	0.176	61.0	54.56034064292908
6	0.0	0.0	0.0	0.0	1000.0	0.018208945	0.042775907	0.16289012	-0.183316	28000	6.198883e-09	0.0019653074	-0.05173307	-0.001262521	3.5475695	0.0067869374	0.20975	79.0	63.65812611579895
7	0.3602011	0.6238865	1.4408044	0.0	1000.0	0.0020988146	0.029224861	0.22133338	-0.15670623	32000	3.8146974e-09	0.008196857	-0.0079070665	-0.0031715692	3.5318036	0.024202803	0.22275	4.0	72.65748262405396
8	0.0	0.0	0.0	0.0	1000.0	0.058082186	0.15879934	0.49534875	-0.27201664	36000	-3.242493e-08	0.023247993	-0.010252053	-0.021514084	3.4892175	0.017133161	0.1885	6.0	81.61032509803772
9	0.0	0.0	0.0	0.0	1000.0	0.0049973167	0.03711972	0.17804316	-0.17999184	40000	-4.887581e-09	0.0013958102	-0.025692165	-0.0008617522	3.5160377	0.015379057	0.145	15.0	90.53790211677551
10	0.00064176443	0.0011115687	0.0025670577	0.0	1000.0	0.002151298	0.026404724	0.16580486	-0.12821919	44000	1.4483929e-08	0.00070661114	-0.037994266	-0.00032605612	3.4850323	0.015298928	0.176	27.0	99.92520332336426
11	0.8815091	1.5268186	3.5260365	0.0	1000.0	0.00153035	0.02488481	0.15682909	-0.12453852	48000	9.536743e-09	0.03475432	-0.009007921	-0.01061805	3.4814425	0.02313456	0.215	6.0	108.786860704422
