Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	0.019444093	0.443047	1.3795071	-1.340653	4000	-9.536744e-10	0.21752182	-0.049154952	-0.20039174	3.6549807	0.015179632	0.225	45.0	10.589164733886719
1	1.3520973	2.341901	5.408389	0.0	1000.0	-0.041891586	0.09456749	0.38388306	-0.49065295	8000	1.2397766e-08	0.027363386	-0.026613202	-0.009261999	3.6303248	0.015663423	0.19625	39.0	19.256983280181885
2	0.0	0.0	0.0	0.0	1000.0	-0.03182995	0.09803547	0.38499603	-0.33375916	12000	-9.298325e-09	0.010192941	-0.03367923	-0.00856989	3.641514	0.015347197	0.16175	20.0	27.875707149505615
3	1.3210166	2.2880678	5.284066	0.0	1000.0	0.00054920686	0.04656403	0.19060266	-0.2630175	16000	-2.3841858e-08	0.018868202	-0.006219782	-0.0027263425	3.5971153	0.020557793	0.262	5.0	36.422433376312256
4	6.6126056	11.453369	26.450422	0.0	1000.0	0.00419057	0.055950012	0.25758076	-0.30799037	20000	1.6212464e-08	3.0426733	-0.009600049	-2.094264	3.549184	0.01684653	0.24575	7.0	44.914483308792114
5	0.47349826	0.820123	1.893993	0.0	1000.0	0.15784818	0.9492535	7.763411	-2.0329552	24000	1.525879e-08	1.0041142	-0.038349822	-0.93120694	3.579444	0.01565308	0.18775	33.0	53.55029916763306
6	5.6529922	6.0735016	14.446399	0.0	1000.0	0.0060063265	0.46405247	2.5255966	-1.5543809	28000	-1.0490417e-08	0.43669558	-0.027786722	-0.29497313	3.585077	0.015776193	0.1785	28.0	62.20965552330017
7	4.3658752	4.457838	10.005685	0.0	1000.0	0.030882424	0.37628967	3.8956177	-0.9249727	32000	-1.3351441e-08	0.19366427	-0.023317963	-0.12533554	3.601913	0.015168126	0.1845	21.0	70.81541109085083
8	2.7148025	4.702176	10.85921	0.0	1000.0	0.026184818	0.21440177	2.5349352	-1.1654735	36000	7.152557e-09	0.09292133	-0.0082693305	-0.03581783	3.5571043	0.018963668	0.23925	7.0	79.31700563430786
9	0.0	0.0	0.0	0.0	1000.0	0.04175886	0.27638787	3.5801365	-0.84816146	40000	1.3351441e-08	0.078621306	-0.045542296	-0.06658557	3.5827827	0.012016403	0.229	79.0	88.09726166725159
