Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.3705788	2.6264002	7.5160723	0.71504235	1000.0	-0.022522774	0.76439047	2.1930103	-2.5535052	4000	-1.4305115e-09	0.75642246	-0.064624734	-0.6149315	19.201853	0.022602698	0.335	3.0	13.852105855941772
1	4.214232	2.2141447	8.035937	2.6997333	1000.0	0.05362306	0.20430946	1.173287	-0.646749	8000	-6.723404e-08	0.11862459	-0.036948264	-0.048895955	19.339184	0.02421102	0.2915	4.0	26.275975227355957
2	4.680904	2.1000721	7.155123	2.1485171	1000.0	0.034871418	0.16703612	1.4562639	-0.5177425	12000	2.7656554e-08	0.106274106	-0.034022618	-0.03852185	19.345402	0.023301167	0.34425	6.0	38.641993045806885
3	5.085872	3.2819166	10.575395	2.1597707	1000.0	0.027406951	0.1629239	2.448693	-0.6877048	16000	2.6226044e-09	0.1511908	-0.028619861	-0.051911727	19.265085	0.020418312	0.28625	7.0	50.95799422264099
4	4.3045506	3.4408562	9.698301	0.38445106	1000.0	0.040897503	0.20116708	3.3664262	-0.61866057	20000	1.9073487e-09	0.12780078	-0.034731362	-0.063097075	19.274052	0.021340936	0.3155	7.0	63.362168073654175
5	4.755043	4.2338395	11.335706	0.93667835	1000.0	0.025842477	0.19960277	4.0462627	-0.624277	24000	0.0	0.16217883	-0.027719118	-0.07610745	19.270618	0.023558157	0.33	7.0	75.57148957252502
6	5.119236	2.1325176	8.028822	2.1054564	1000.0	0.049452346	0.22050071	5.042029	-0.7809086	28000	-6.866455e-08	0.10976739	-0.035084993	-0.0733268	19.203794	0.023481127	0.281	6.0	87.7887852191925
7	4.7386527	3.5125718	9.394423	0.63908863	1000.0	0.035871994	0.24420863	5.873568	-0.83662456	32000	2.1219254e-08	0.14076932	-0.028199768	-0.082393125	19.324074	0.019944554	0.312	6.0	100.06982254981995
8	5.959978	2.319809	8.739342	2.3443086	1000.0	0.025796989	0.21588615	4.9212775	-0.9020278	36000	1.1444092e-08	0.13306086	-0.03213226	-0.093489885	19.247215	0.021933522	0.30425	7.0	112.31439542770386
9	4.456939	3.1205788	9.184831	0.55073863	1000.0	0.026869709	0.23792553	6.6005754	-1.2030139	40000	-2.002716e-08	0.08998687	-0.034202073	-0.06943187	19.242458	0.02409076	0.328	6.0	124.5840711593628
