Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.0	5.196152	12.0	0.0	1000.0	0.2753442	0.10560843	0.3351602	-0.3267097	4000	3.4570693e-09	0.23359087	-0.0039010474	-0.09900227	0.9105764	0.0038801536	0.04025	79.0	10.013128280639648
1	0.0	0.0	0.0	0.0	1000.0	0.037646193	0.07411539	0.7902635	-0.042842768	8000	-1.1444092e-08	0.0068371817	-0.004284212	-0.006322344	0.90092146	0.0031162938	0.02025	79.0	18.116715908050537
2	0.0	0.0	0.0	0.0	1000.0	0.005680534	0.020677915	0.21480182	-0.05025651	12000	-5.2452087e-09	0.000459073	-0.0052760295	-0.00040862497	0.89611226	0.00401858	0.036	79.0	26.223278999328613
3	0.0	0.0	0.0	0.0	1000.0	0.0004555009	0.007465268	0.11617508	-0.041670714	16000	5.722046e-09	5.5993292e-05	-0.0023669892	-3.2521297e-05	0.9228308	0.001091007	0.00725	79.0	34.36953544616699
4	0.0	0.0	0.0	0.0	1000.0	-0.00010133725	0.005761088	0.06423222	-0.06340205	20000	0.0	3.3204076e-05	-0.0040797386	-1.4620826e-05	0.910237	0.0037585862	0.04725	79.0	42.53246736526489
5	1.75	3.0310888	7.0	0.0	1000.0	-0.00013488355	0.00456138	0.05413897	-0.049036007	24000	-1.9073487e-09	0.032732356	-0.0017559171	-0.0062083304	0.89153373	0.0013129833	0.008	79.0	50.63107514381409
6	0.0	0.0	0.0	0.0	1000.0	0.011366867	0.07212171	0.83872336	-0.034597307	28000	4.2915342e-09	0.0053272126	-0.0038343968	-0.005161318	0.8943398	0.0020511325	0.02175	79.0	58.780821084976196
7	0.0	0.0	0.0	0.0	1000.0	-0.0013986046	0.013870372	0.13975646	-0.10443646	32000	-6.6757204e-09	0.00019446101	-0.0036862516	-0.00010331411	0.9123469	0.0036502588	0.0395	79.0	66.8056869506836
8	0.0	0.0	0.0	0.0	1000.0	0.0001676813	0.0034909495	0.058412727	-0.029473139	36000	3.8146974e-09	1.2225701e-05	-0.006001646	-4.101772e-06	0.9022805	0.003056194	0.02125	79.0	74.90098929405212
9	0.0	0.0	0.0	0.0	1000.0	5.459704e-05	0.0017401371	0.029980773	-0.015715977	40000	-3.8146974e-09	3.032904e-06	-0.004709898	-5.320476e-07	0.89196527	0.0021302325	0.01025	79.0	82.94792103767395
10	6.75	11.691343	27.0	0.0	1000.0	0.0002918152	0.012997156	0.13823663	-0.07345917	44000	-7.629395e-09	1.4081807	-0.0010422592	-1.0931984	0.8616275	0.0017233527	0.01125	79.0	91.4617166519165
11	0.0	0.0	0.0	0.0	1000.0	-0.01620001	0.12386023	3.474546	-0.13945761	48000	6.6757204e-09	0.015384381	-0.0014820843	-0.011849354	0.846287	0.00019541732	0.00375	79.0	99.57799291610718
12	0.0	0.0	0.0	0.0	1000.0	-0.0060703605	0.03860785	0.9330505	-0.1748955	52000	-6.6757204e-09	0.0015240255	-0.0033467473	-0.00055651576	0.855093	0.0058649504	0.06075	79.0	107.71107530593872
13	0.0	0.0	0.0	0.0	1000.0	0.010676128	0.102959156	2.705737	-0.17258117	56000	-9.536744e-10	0.010712976	-0.003212021	-0.0077465745	0.8079478	0.0027916713	0.04	79.0	115.83831238746643
14	0.0	0.0	0.0	0.0	1000.0	0.004210104	0.11575093	3.2601128	-0.48814943	60000	0.0	0.013416439	-0.0022369928	-0.009962281	0.80604285	0.0030063658	0.03075	79.0	123.94957184791565
15	0.0	0.0	0.0	0.0	1000.0	0.0111337155	0.111330196	3.8218389	-0.42062545	64000	-8.5830685e-09	0.012503301	-0.0043723807	-0.010275612	0.85371184	0.0038807138	0.03425	79.0	132.02736115455627
16	3.5	6.0621777	14.0	0.0	1000.0	0.0075402823	0.1831727	4.8076468	-0.45755917	68000	1.9073487e-09	0.11292818	-0.002373639	-0.098556906	0.8696196	0.0028044065	0.0245	79.0	140.07382655143738
17	0.0	0.0	0.0	0.0	1000.0	-0.0010382314	0.023302201	0.10315557	-0.3142939	72000	1.9073487e-09	0.00054154923	-0.0035745106	-0.00032755735	0.8288571	0.0070535573	0.05425	79.0	148.08143067359924
18	9.75	16.887495	39.0	0.0	1000.0	0.08618781	0.83363426	10.302722	-0.15049537	76000	0.0	1.4792744	-0.00053104403	-1.3341748	0.8171845	0.0028233437	0.0055	79.0	156.1693024635315
19	0.0	0.0	0.0	0.0	1000.0	-0.0013434512	0.13043955	2.9762712	-1.1866444	80000	2.861023e-09	0.01702868	-0.0025954202	-0.007952413	0.8002982	0.00062703504	0.0105	79.0	164.3316833972931
20	10.5	18.186533	42.0	0.0	1000.0	0.29424912	2.403998	24.691107	-0.64468116	84000	7.629395e-09	1.2308786	-0.0021591072	-0.95698744	0.8139151	0.0013098066	0.02475	79.0	172.92716526985168
21	0.0	0.0	0.0	0.0	1000.0	0.0023500181	0.1138659	3.9503007	-1.014896	88000	5.2452087e-09	0.0129665015	-0.003030521	-0.0066059045	0.8368682	0.0015342397	0.01875	79.0	181.00298929214478
22	5.0	8.6602545	20.0	0.0	1000.0	0.04466376	0.8633375	25.665342	-0.7613901	92000	-2.861023e-09	0.13113987	-0.002564201	-0.111317694	0.8403725	0.0009130928	0.01875	79.0	189.04912400245667
23	2.5	4.3301272	10.0	0.0	1000.0	0.032682	0.66763777	20.66818	-0.84363604	96000	-2.861023e-09	0.14528912	-0.0043976926	-0.13734517	0.84009314	0.0015902674	0.02125	79.0	197.0406255722046
24	0.0	0.0	0.0	0.0	1000.0	0.0029591017	0.044932008	0.9545555	-0.42899004	100000	-3.8146974e-09	0.0020369864	-0.002146967	-0.0007465567	0.82165366	0.0013131622	0.00525	79.0	205.14304161071777
25	0.0	0.0	0.0	0.0	1000.0	0.0012419545	0.06259759	1.8640751	-0.3927203	104000	-1.9073487e-09	0.0039223605	-0.00504142	-0.0013486226	0.8156814	0.018223014	0.1985	7.0	212.92156386375427
26	0.0	0.0	0.0	0.0	1000.0	0.00023816274	0.0326693	0.6375988	-0.4081994	108000	0.0	0.0010682143	-0.003957655	-0.00019730453	0.8486118	0.00572843	0.05375	79.0	221.05603337287903
27	0.0	0.0	0.0	0.0	1000.0	-0.0026876999	0.029905863	0.5917395	-0.37871164	112000	1.9073487e-09	0.0009028918	-0.0017636184	-0.00036394194	0.8693746	0.00057322375	0.008	79.0	229.17155385017395
28	0.0	0.0	0.0	0.0	1000.0	0.002140163	0.03967471	1.2044868	-0.2667441	116000	5.00679e-09	0.0015794035	-0.0044224993	-0.00040807587	0.8607696	0.002029378	0.03375	79.0	237.2630593776703
29	0.0	0.0	0.0	0.0	1000.0	-0.00031423947	0.02214212	0.3995931	-0.23572181	120000	5.2452087e-09	0.0004926949	-0.0047646905	-0.00017289125	0.858074	0.00087805244	0.01075	79.0	245.26667404174805
30	0.0	0.0	0.0	0.0	1000.0	0.0011484895	0.030306367	0.51509863	-0.19744468	124000	5.4836273e-09	0.0009209776	-0.0062674163	-0.0001884643	0.8605139	0.0036973574	0.0225	79.0	253.890971660614
31	0.0	0.0	0.0	0.0	1000.0	0.0067029884	0.14691353	7.0939865	-0.25060835	128000	2.861023e-09	0.021631291	-0.0040557734	-0.017522525	0.89531153	0.003169054	0.04275	79.0	261.97679233551025
32	0.0	0.0	0.0	0.0	1000.0	-0.0013707839	0.02711966	0.23611093	-0.34218156	132000	5.722046e-09	0.00073934393	-0.0054339804	-0.00036641836	0.9137791	0.0040096263	0.03725	79.0	270.1182744503021
33	0.0	0.0	0.0	0.0	1000.0	-0.00023103766	0.03027856	0.5779107	-0.3214076	136000	2.503395e-09	0.000917289	-0.006483563	-0.00025187788	0.88213176	0.0013113878	0.01775	79.0	278.2844741344452
34	0.0	0.0	0.0	0.0	1000.0	-0.0020536915	0.024453837	0.36518538	-0.25865448	140000	1.9073487e-09	0.00060505356	-0.0026047938	-0.00019331372	0.86965805	0.0009788312	0.01525	79.0	286.43825101852417
35	0.0	0.0	0.0	0.0	1000.0	-0.0006548537	0.013983752	0.15730125	-0.13158017	144000	1.6689301e-09	0.00019681803	-0.0038966294	-6.685036e-05	0.91688794	0.0043579466	0.03075	79.0	294.52031326293945
36	0.0	0.0	0.0	0.0	1000.0	-0.0004496134	0.022944257	0.5802254	-0.16426992	148000	-3.8146974e-09	0.0005272582	-0.0037150527	-0.00012587072	0.8909515	0.0064000003	0.039	79.0	302.6712226867676
37	0.0	0.0	0.0	0.0	1000.0	-0.000781155	0.017058738	0.3658985	-0.20865189	152000	-3.3378602e-09	0.00029206867	-0.0049540135	-0.00010545092	0.86062515	0.0044623916	0.0265	79.0	310.7206070423126
38	5.25	9.0932665	21.0	0.0	1000.0	0.029472599	0.49217945	12.189536	-0.10178605	156000	3.8146974e-09	0.15399705	-0.0034619789	-0.14719221	0.8563515	0.0015303756	0.021	79.0	318.754088640213
39	0.0	0.0	0.0	0.0	1000.0	0.007681581	0.23586437	10.088204	-0.3030014	160000	-4.2915342e-09	0.055695105	-0.005493663	-0.050723318	0.8254885	0.0005814307	0.009	79.0	326.87954115867615
40	0.0	0.0	0.0	0.0	1000.0	0.0017721723	0.080040954	3.0118458	-0.39818603	164000	-5.722046e-09	0.006409626	-0.0045677274	-0.0035716756	0.83857375	0.0013209439	0.0135	79.0	335.4649848937988
41	2.25	3.8971143	9.0	0.0	1000.0	0.003344215	0.17617568	8.371919	-0.3711261	168000	-7.629395e-09	0.01667517	-0.0039839977	-0.014189265	0.8740353	0.007945738	0.0635	79.0	343.5587954521179
42	0.0	0.0	0.0	0.0	1000.0	-0.0014438265	0.023102386	0.17525621	-0.40996206	172000	2.3841857e-09	0.00053760794	-0.005685016	-0.00033659884	0.79765487	0.0053971326	0.03775	79.0	351.6736912727356
43	0.0	0.0	0.0	0.0	1000.0	-7.532597e-05	0.020167973	0.23211293	-0.25594053	176000	-4.2915342e-09	0.0004076438	-0.0055567226	-0.00013588634	0.7725666	0.0033436231	0.02225	79.0	359.7794551849365
44	5.75	9.959292	23.0	0.0	1000.0	0.11058779	0.95210695	11.398465	-0.19110218	180000	-3.8146974e-09	0.80616516	-0.0050862464	-0.7290966	0.7441297	0.00023368692	0.01725	79.0	367.8032615184784
45	0.0	0.0	0.0	0.0	1000.0	-0.0017130523	0.07046709	2.266261	-0.24235776	184000	3.3378602e-09	0.004969314	-0.0057334797	-0.0021265508	0.71924937	0.00076149986	0.042	79.0	375.84035539627075
46	7.25	12.557368	29.0	0.0	1000.0	0.15072627	1.5856943	21.13727	-0.40110236	188000	2.861023e-09	0.10446417	-0.002547305	-0.09712999	0.7365638	0.0026833087	0.02975	79.0	383.9830310344696
47	0.0	0.0	0.0	0.0	1000.0	-0.0011405316	0.039833024	0.8097156	-0.34851122	192000	-1.9073487e-09	0.0015888177	-0.0032399464	-0.0005755919	0.70727926	0.0015941472	0.02025	79.0	392.09180879592896
