Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	0.03803026	0.03459228	0.089776315	-0.03363634	4000	7.2479246e-08	0.0021985043	-0.0074531976	-0.0020788987	1.8276277	0.0056014545	0.078	79.0	10.292686462402344
1	0.0	0.0	0.0	0.0	1000.0	0.0016085906	0.0065256115	0.014715983	-0.008913619	8000	9.536744e-10	3.8469872e-05	-0.0067438595	-3.689797e-05	1.8295454	0.0098822275	0.08725	79.0	19.159233331680298
2	51.43794	89.09312	205.75175	0.0	1000.0	0.00020035074	0.00092558865	0.001981294	-0.001803875	12000	5.722046e-09	244.86559	-0.0022203238	-26.810135	1.7920327	0.006158961	0.03625	79.0	28.086554050445557
3	23.88194	41.364735	95.52776	0.0	1000.0	5.6900287	0.72170895	7.07205	4.5010595	16000	-2.2888184e-08	78.310814	-0.005218485	-12.363579	1.7332231	0.007783165	0.075	79.0	37.09270429611206
4	3.572644e-11	6.188001e-11	1.4290576e-10	0.0	1000.0	3.2814705	1.3548167	5.9529424	0.7792194	20000	1.9073487e-09	10.705706	-0.005579501	-10.1473465	1.7358643	0.005503784	0.06575	79.0	46.20059061050415
5	5.8811812	7.188466	17.608006	0.0	1000.0	0.34089464	0.34143326	1.0680785	-0.5064505	24000	-9.536743e-09	0.9642221	-0.002301692	-0.056237936	1.7319007	0.0056010922	0.04725	79.0	55.035794496536255
6	2.2835924e-11	3.955298e-11	9.1343696e-11	0.0	1000.0	-0.23109199	0.31536555	0.4798354	-0.7788626	28000	2.4795533e-08	0.12722257	-0.0073225936	-0.084024206	1.7554163	0.0057586613	0.06125	79.0	64.12942028045654
7	0.027870085	0.0482724	0.11148034	0.0	1000.0	0.28710672	0.29062292	0.88306546	-0.2509423	32000	-1.3351441e-08	0.15317228	-0.006968269	-0.13937089	1.7728024	0.0098322695	0.07875	79.0	73.04524445533752
8	0.0	0.0	0.0	0.0	1000.0	0.01262759	0.14226566	0.44379306	-0.3455798	36000	-2.2888184e-08	0.01979141	-0.008224204	-0.012208132	1.7382585	0.0071363538	0.0945	79.0	82.0111563205719
9	2.951467e-07	5.1120907e-07	1.1805868e-06	0.0	1000.0	0.051706526	0.12695667	0.32151917	-0.29096073	40000	2.861023e-09	0.01752707	-0.00759752	-0.012947122	1.7364011	0.008225718	0.09175	79.0	91.03666758537292
