Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	64.50608	80.35032	202.36145	1.580984	1000.0	-0.013718916	0.65739137	1.9514769	-2.385837	4000	-2.3961068e-08	104.47371	-0.07048172	-84.42902	11.010528	0.018721327	0.28475	5.0	13.039433002471924
1	204.86572	47.722294	286.58875	168.24184	1000.0	2.1539028	7.892997	13.433296	-12.960988	8000	-1.1920929e-08	534.8855	-0.05884965	-319.45938	11.001768	0.020304466	0.30425	6.0	24.794837951660156
2	116.83731	91.12226	274.11636	52.84906	1000.0	4.106385	10.983368	21.279444	-20.413258	12000	7.629395e-09	164.88626	-0.054305635	-130.20984	11.049974	0.018011482	0.28075	7.0	36.335121870040894
3	71.75071	111.87098	265.2938	0.0	1000.0	7.758423	9.875414	23.172047	-15.184721	16000	3.1471252e-08	88.43892	-0.057328112	-71.3488	11.018187	0.016506668	0.32575	8.0	47.80276536941528
4	27.565643	17.028587	50.44302	4.9502754	1000.0	-1.3903794	5.4833736	24.00993	-19.692558	20000	1.7166137e-08	34.605618	-0.051050924	-32.609684	11.008504	0.019035181	0.3065	7.0	59.32603597640991
5	178.03345	135.51695	380.49435	0.0	1000.0	3.9690776	7.693138	25.079979	-18.93601	24000	2.193451e-08	275.3692	-0.04567397	-218.10422	11.044306	0.018616624	0.25675	6.0	70.8834969997406
6	157.06117	125.97088	352.17206	0.0	1000.0	7.9845967	8.854855	30.294298	-26.517231	28000	2.861023e-09	240.69437	-0.05395998	-187.95508	10.938583	0.01706693	0.31075	8.0	82.48798561096191
7	83.04034	76.24476	204.9616	1.2367375	1000.0	7.850181	10.258523	35.669075	-12.581858	32000	-1.1444092e-08	35.311073	-0.050075892	-32.292572	10.971592	0.018017102	0.30625	8.0	94.07619214057922
8	95.297646	61.764988	166.14424	11.943128	1000.0	4.727756	10.324774	36.17723	-25.652292	36000	-9.536743e-09	58.72539	-0.054136008	-46.46086	10.933322	0.017576631	0.2905	8.0	105.73968315124512
9	91.31619	95.40397	254.89325	19.596714	1000.0	5.848877	11.066341	36.327286	-35.002262	40000	3.8146974e-09	73.12927	-0.049618863	-66.00474	10.940884	0.019766545	0.286	7.0	117.43820142745972
10	186.90659	141.62357	385.15332	4.2028093	1000.0	12.917625	9.805004	35.91195	-15.359031	44000	2.193451e-08	146.6326	-0.05547158	-138.83023	10.98763	0.020179925	0.326	8.0	129.38277506828308
11	61.96974	67.68866	172.4579	4.1301775	1000.0	3.809513	7.7501035	35.59243	-25.084202	48000	-2.8610229e-08	54.687	-0.050861657	-50.066822	10.928473	0.020670898	0.32625	7.0	141.16552758216858
12	98.86618	105.4656	280.57358	20.633038	1000.0	6.2838964	7.9707627	37.063396	-13.575333	52000	-4.7683715e-09	69.80579	-0.053517293	-65.653015	10.968564	0.024175676	0.35975	7.0	152.9241943359375
13	28.806559	19.383226	57.499405	3.5372536	1000.0	1.4426683	7.9213343	33.501324	-29.233936	56000	3.8146974e-09	37.303646	-0.04351936	-35.2016	10.9921	0.021140566	0.225	6.0	164.73414850234985
14	85.79432	115.66384	284.51862	0.0	1000.0	5.673776	8.882787	31.47328	-5.648111	60000	1.7166137e-08	35.722256	-0.04977836	-31.698975	10.93982	0.020624764	0.3055	7.0	176.3575313091278
15	89.12701	47.54787	171.46387	60.151844	1000.0	3.2090142	7.2026405	31.556124	-24.349512	64000	-3.33786e-08	91.265335	-0.04528703	-85.92882	10.978281	0.019750325	0.2825	6.0	187.88713026046753
16	44.317345	30.18087	89.01673	5.595003	1000.0	2.1000364	7.9537663	35.722267	-16.780834	68000	9.536743e-09	24.462534	-0.04819229	-22.349092	10.946964	0.018950023	0.29725	8.0	199.5479564666748
17	113.96748	86.554596	220.2989	14.117066	1000.0	7.248782	9.384349	35.932247	-14.268628	72000	1.3828277e-08	143.30888	-0.050739273	-130.12077	10.885401	0.020735366	0.30475	7.0	211.24490571022034
18	53.26971	63.722916	157.82024	0.25993434	1000.0	4.3571796	7.747034	36.438328	-12.44097	76000	2.861023e-09	32.09738	-0.048359197	-29.929928	10.950919	0.019529702	0.29425	7.0	222.99166417121887
19	40.548466	32.3565	88.054726	0.5765205	1000.0	5.5093474	10.39989	41.03838	-17.009827	80000	0.0	54.45113	-0.04696341	-52.346928	10.923426	0.020704966	0.282	7.0	234.61558771133423
20	93.94869	42.876617	151.1844	39.512764	1000.0	5.0267754	5.5928426	38.97623	-13.926527	84000	-2.861023e-09	45.571087	-0.049418658	-41.252193	10.891716	0.018951822	0.283	7.0	246.64449739456177
21	154.8827	208.20773	515.4661	32.02278	1000.0	9.944253	11.679499	39.764267	-8.868966	88000	-4.053116e-09	180.68257	-0.041780878	-153.71655	10.921637	0.020838954	0.2765	6.0	258.26173973083496
22	57.374725	66.393486	170.20195	4.673574	1000.0	2.8798368	5.8849454	38.66701	-19.347517	92000	-2.2888184e-08	106.8215	-0.045957193	-104.10781	10.869769	0.017488278	0.26475	7.0	269.90828347206116
23	145.17911	146.7039	368.93326	0.0	1000.0	9.839631	13.149427	47.979176	-33.218807	96000	-2.8610229e-08	144.23912	-0.07053609	-139.42703	10.8503065	0.018588847	0.38625	11.0	281.5711693763733
24	27.61972	23.212124	63.564587	0.0	1000.0	1.9650093	6.7677674	47.45446	-32.975567	100000	9.536744e-10	29.852787	-0.052841112	-27.679094	10.870872	0.01887952	0.299	7.0	293.20477294921875
25	48.82923	38.827938	110.33969	6.9791245	1000.0	2.9409506	7.076292	44.729927	-33.713566	104000	-2.0980835e-08	30.320026	-0.044064194	-27.93559	10.891269	0.020613223	0.32025	7.0	304.9693269729614
26	215.39809	212.30186	523.1745	12.174184	1000.0	13.676801	16.543642	46.890427	-16.998007	108000	-1.1920929e-08	206.80672	-0.054784846	-184.4877	10.869225	0.021114564	0.3065	8.0	316.58375668525696
27	136.91501	176.60394	436.94028	1.6037759	1000.0	9.831498	16.000492	52.838303	-14.1826935	112000	-2.2411346e-08	41.233063	-0.051327065	-38.686237	10.885226	0.020445164	0.2715	7.0	328.2590823173523
28	193.50447	167.70161	443.1556	0.0	1000.0	18.530052	18.154785	53.294376	-2.2936068	116000	3.8146974e-09	22.849127	-0.049816612	-21.031689	10.832953	0.020183068	0.32175	7.0	339.9319770336151
29	50.431686	56.104637	145.77475	1.0527878	1000.0	9.745641	8.258385	38.35928	-5.785631	120000	-1.6212464e-08	89.23728	-0.04766805	-82.6415	10.882358	0.01789628	0.2815	7.0	351.6050205230713
30	76.352776	113.52052	272.63745	3.666645	1000.0	6.4473143	6.430804	47.7514	-13.7825775	124000	-1.2397766e-08	67.99684	-0.036677707	-65.344604	10.858253	0.023975119	0.2955	5.0	363.597154378891
31	223.3097	195.7413	553.6678	45.852924	1000.0	15.011469	16.335308	51.051643	-20.44875	128000	2.4795533e-08	145.48776	-0.048903927	-135.67842	10.907946	0.021447005	0.27225	6.0	375.2994747161865
32	47.721325	77.03909	181.13828	1.6195014	1000.0	3.7176485	8.55078	54.777176	-12.895364	132000	-1.1444092e-08	24.58	-0.04000557	-22.421463	10.880602	0.018726915	0.26275	6.0	386.9497547149658
33	191.76968	219.59508	534.9761	0.0	1000.0	14.186596	17.393925	55.24241	-22.257675	136000	-5.4359436e-08	143.21037	-0.044721533	-136.18625	10.941865	0.020172866	0.28575	6.0	398.67351603507996
34	187.03256	273.03397	657.7371	0.0	1000.0	15.914624	19.479322	55.91735	-21.790613	140000	1.9073487e-09	114.54149	-0.05798122	-96.489395	10.861984	0.019334512	0.33175	9.0	410.28028988838196
35	34.68701	29.290546	75.04744	3.522843	1000.0	2.9391727	7.0065036	60.333405	-26.236744	144000	-1.9073487e-09	28.344252	-0.056048717	-26.840254	10.831376	0.017401941	0.33775	10.0	421.9296090602875
