Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	233.02507	380.2294	891.4584	7.0011654	1000.0	0.118457794	0.51060516	1.1064749	-1.4759212	4000	3.671646e-08	1654.6738	-0.016501138	-375.2035	4.6133127	0.015373365	0.13325	30.0	11.964720249176025
1	106.982864	106.2188	253.5037	5.142672	1000.0	9.076962	6.0199594	13.735921	-11.74319	8000	2.6702882e-08	78.02454	-0.025187423	-41.19938	4.634911	0.007195155	0.11825	79.0	23.089782238006592
2	19.040691	19.130955	52.151566	6.919271	1000.0	-1.7165772	6.45293	14.118265	-13.394713	12000	-1.9788741e-08	65.332855	-0.022427885	-60.19543	4.5235796	0.010110703	0.1135	79.0	34.41191029548645
3	198.17944	301.7541	720.5028	11.651595	1000.0	4.7280154	5.4127765	12.599078	-6.4805174	16000	5.3405763e-08	1140.839	-0.0064816903	-545.69293	4.5716085	0.015012444	0.14975	12.0	45.26802730560303
4	268.32867	422.49927	1000.0	17.902662	1000.0	8.170102	9.204755	22.125755	-7.2106667	20000	-9.536743e-09	2140.613	-0.007027738	-1099.7877	4.534725	0.018354652	0.15525	8.0	56.20802187919617
5	21.835407	17.154758	49.36891	6.609314	1000.0	13.718532	10.791697	30.32956	-7.5189853	24000	-1.1444092e-08	199.12	-0.01485836	-173.83238	4.4917617	0.015304534	0.097	36.0	67.12551641464233
6	88.13351	96.89974	250.47604	5.3984323	1000.0	11.117803	6.9886594	25.65027	-3.7184763	28000	-6.198883e-09	107.25908	-0.019571241	-98.68691	4.5182004	0.013162332	0.153	79.0	78.2630352973938
7	123.204796	194.53653	460.04974	6.7206264	1000.0	8.60217	6.6775002	24.508814	0.62529653	32000	4.7683715e-09	420.0382	-0.009078839	-340.10657	4.511141	0.017056732	0.2295	11.0	89.1077823638916
8	13.510786	8.50237	27.863766	6.835401	1000.0	9.318448	4.5634193	27.344685	1.6789625	36000	-3.1471252e-08	77.71466	-0.020864148	-70.88876	4.497401	0.0060838144	0.1035	79.0	100.1312415599823
9	233.75879	334.37442	811.88306	24.774946	1000.0	11.1788	5.7144866	28.407986	2.1629624	40000	-1.0848045e-08	952.264	-0.010034098	-459.74152	4.477271	0.0180665	0.17075	11.0	110.8515157699585
