Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.921154	0.93205	23.501308	21.139273	1000.0	-0.05652903	0.8081693	2.380284	-2.5721486	4000	-2.2888184e-08	4.5160975	-0.03412572	-3.8912497	5.509066	0.016970322	0.15875	9.0	8.56335711479187
1	23.627274	1.4620826	25.286589	22.030048	1000.0	1.5556033	0.61026025	4.304934	-1.0552741	8000	-1.9073486e-08	0.8896173	-0.06068272	-0.73630667	5.4646544	0.015264171	0.27475	41.0	15.18253493309021
2	21.95527	0.6164799	22.473658	20.95664	1000.0	2.0260842	0.35821995	4.277213	0.50260425	12000	-3.8146974e-09	0.14656442	-0.07672871	-0.10450846	5.4491043	0.014851879	0.36225	72.0	21.873637676239014
3	22.278223	1.3394456	24.59284	21.382786	1000.0	2.0576563	0.20309329	3.5755439	1.2181718	16000	1.9073487e-09	0.056254763	-0.05234078	-0.032633744	5.4279785	0.015577481	0.2475	25.0	28.72732925415039
4	22.819826	0.37342826	23.18529	22.19753	1000.0	2.1602006	0.18731132	3.4119956	1.4117783	20000	2.193451e-08	0.034531392	-0.060777236	-0.01583089	5.4051523	0.015368568	0.30425	35.0	35.7409086227417
5	25.619303	3.1895049	30.879791	22.403702	1000.0	2.1803174	0.147236	3.3231478	1.6439362	24000	-9.536744e-10	0.21747819	-0.035907503	-0.14805093	5.357718	0.017361242	0.26825	18.0	42.19967460632324
6	25.077488	2.1937902	28.357891	23.059355	1000.0	2.2741563	0.37403008	5.25127	1.524871	28000	1.9073486e-08	0.08860733	-0.041574232	-0.04015709	5.3987317	0.01616621	0.2595	19.0	48.62982439994812
7	25.081047	1.2267859	26.583233	23.373983	1000.0	2.2927186	0.31107378	4.9299326	1.6213131	32000	-4.7683715e-09	0.047510438	-0.039586	-0.025590736	5.3947954	0.016265968	0.24375	18.0	55.06384062767029
8	24.003895	1.3178004	26.082857	22.449348	1000.0	2.2763581	0.22776498	4.5725694	1.7774694	36000	-6.6757204e-09	0.034861233	-0.019017627	-0.016461283	5.396669	0.016649803	0.22425	5.0	61.45808124542236
9	24.15967	0.9703093	24.920721	22.50855	1000.0	2.1961172	0.18639259	3.8621821	1.6014184	40000	-1.1920929e-08	0.028039321	-0.018881936	-0.011043128	5.4352717	0.016308561	0.187	6.0	67.88584589958191
10	23.575115	0.71414965	24.429981	22.66692	1000.0	2.1955025	0.16963388	4.3739815	1.6755258	44000	1.1444092e-08	0.019674456	-0.01923378	-0.007629566	5.306254	0.018007774	0.22725	5.0	75.43927550315857
11	24.826769	0.9483704	25.96959	23.588148	1000.0	2.3434153	0.15334807	3.7769291	1.9166552	48000	-9.536743e-09	0.0203452	-0.039237913	-0.0070106126	5.3708363	0.015560494	0.20425	19.0	81.69320392608643
12	24.24819	0.7622303	25.3496	23.306326	1000.0	2.2349303	0.1410522	3.6727555	1.7512364	52000	1.7166137e-08	0.01753582	-0.04901985	-0.009977026	5.356848	0.015950685	0.25	21.0	88.17209982872009
13	24.199223	0.39054626	24.67811	23.67656	1000.0	2.270456	0.11710997	3.6018076	1.8716837	56000	-1.9073487e-09	0.009251182	-0.04502886	-0.0021062572	5.3565497	0.01588538	0.23575	20.0	94.5907781124115
14	26.361408	1.2557142	27.743855	24.686787	1000.0	2.342869	0.1503364	3.6981742	2.0316474	60000	-2.2888184e-08	0.05725867	-0.033612087	-0.035277925	5.3287334	0.016890861	0.22625	19.0	101.16596984863281
15	25.469688	0.4630333	26.133192	24.837978	1000.0	2.3751943	0.14501484	3.7876933	2.0106685	64000	-7.629395e-09	0.020986924	-0.05198229	-0.010280298	5.261795	0.015561843	0.2465	37.0	107.72682785987854
16	25.355629	0.3967722	26.025448	25.024117	1000.0	2.4116545	0.10173621	3.500291	1.2720779	68000	7.629395e-09	0.018821167	-0.040776964	-0.005243088	5.2048316	0.015992891	0.22425	16.0	114.31707406044006
17	23.575016	0.8601288	25.021944	22.872658	1000.0	2.0233	0.1760002	3.4243875	1.5493157	72000	1.3351441e-08	0.07429418	-0.034013543	-0.0635089	5.262007	0.017973095	0.17975	14.0	120.9623920917511
18	28.332642	4.8673887	36.09904	23.092894	1000.0	2.2632203	0.28083345	4.1227574	1.6626549	76000	7.629395e-09	0.4138379	-0.035890304	-0.31945342	5.2929797	0.016589276	0.2075	19.0	127.71799826622009
19	25.144625	1.5685409	26.872139	23.29406	1000.0	2.3622408	0.25079238	5.342665	1.2807627	80000	7.629395e-09	0.05439526	-0.016345328	-0.03910609	5.302039	0.016165717	0.19075	5.0	134.37044215202332
20	26.494436	1.269702	27.96775	24.539341	1000.0	2.4584122	0.18935929	3.754074	1.8179502	84000	1.1444092e-08	0.03696144	-0.03437207	-0.01112468	5.2780986	0.01600989	0.203	15.0	142.22754740715027
21	24.509348	1.447765	26.883142	22.997873	1000.0	2.3624854	0.16845733	3.9177728	1.7700423	88000	-2.3841858e-08	0.020417996	-0.032203846	-0.008138127	5.2556877	0.015555287	0.18825	11.0	148.63874983787537
22	26.45419	2.5090127	30.192715	24.12066	1000.0	2.44825	0.26898402	4.7919436	1.8910744	92000	1.9073487e-09	0.03491577	-0.030091686	-0.014602097	5.2162786	0.016604671	0.20675	12.0	155.1140491962433
