Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	229.25	397.07266	917.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	4.7337494	3.6128933	17.286142	-0.20850478	4.7339044	3.6128533	17.534115	-0.19793698	-1.2594422	0.48768768	3.4242566	-6.8306584	-4.9930973	0.027670318	0.02727298	47.45020055770874
2	0.0	0.0	0.0	0.0	294.9	450.47873	989.0	0.0	1000.0	1000.0	7999	9.471702	7.395298	37.70444	2.8714285	9.471736	7.39552	37.595142	2.6070235	-1.227798	0.5771756	5.557481	-7.563519	-9.738371	0.025095098	0.024731766	102.95648694038391
3	147.5	255.4775	590.0	0.0	325.1	404.08945	959.0	0.0	1000.0	1000.0	11999	14.087222	10.670164	62.806973	5.1404433	14.08713	10.6706085	62.686756	5.373696	-0.87485033	1.2188411	19.393738	-9.416634	-14.417062	0.15507086	0.1538826	160.05561137199402
4	642.75	391.57846	977.0	0.0	198.8	397.6	994.0	0.0	1000.0	1000.0	15999	26.96103	16.739508	90.071655	4.3083563	26.960712	16.74166	94.21296	3.4173892	-0.18344966	1.4409765	11.509076	-9.63507	-27.398336	0.39113557	0.3811133	219.66910243034363
5	719.25	415.71408	983.0	0.0	605.4	435.3583	994.0	0.0	1000.0	1000.0	19999	36.623787	19.74423	80.624	13.615457	36.62414	19.744118	82.20587	13.23121	-0.63654697	1.1905694	10.971819	-9.223938	-36.85946	0.30029845	0.29266006	279.16810154914856
6	725.5	419.1399	983.0	0.0	462.4	463.328	960.0	0.0	1000.0	1000.0	23999	45.67298	23.573277	80.830605	16.292612	45.67294	23.573986	80.17481	17.892498	-0.6536481	1.2408427	10.758797	-8.598496	-45.91909	0.30882204	0.29532307	338.44032645225525
7	836.75	135.25786	980.0	644.0	962.6	25.203968	1000.0	921.0	1000.0	1000.0	27999	52.320324	25.905159	89.52654	15.244428	52.32006	25.906147	89.17825	16.902565	-0.6180222	1.2658049	11.142192	-9.740538	-52.539867	0.39246428	0.37474525	397.92440843582153
8	944.0	36.62649	992.0	889.0	962.1	21.924644	996.0	920.0	1000.0	1000.0	31999	60.135696	27.340263	94.077545	18.300358	60.13567	27.341011	93.48475	19.460264	-0.55733144	1.3208263	12.7564	-9.748626	-60.42377	0.39574438	0.3847724	457.4278998374939
9	945.75	41.52334	984.0	877.0	861.0	288.55676	994.0	0.0	1000.0	1000.0	35999	67.96139	27.195486	99.33992	19.473799	67.961365	27.195675	100.37004	20.240976	-0.62578213	1.2885765	13.198805	-10.123177	-68.27218	0.35136816	0.35340643	517.7795903682709
10	937.0	34.59046	981.0	884.0	967.8	17.422974	992.0	938.0	1000.0	1000.0	39999	75.1013	26.127396	107.70623	18.66547	75.10121	26.12746	103.978775	20.719301	-0.6272084	1.313432	12.839197	-9.010588	-75.43137	0.32334965	0.3324789	577.1386845111847
11	965.5	14.671401	981.0	948.0	958.9	59.13958	995.0	789.0	1000.0	1000.0	43999	81.48933	24.691473	111.52344	30.765156	81.48933	24.691599	109.33933	32.409607	-0.67057884	1.275201	11.733812	-8.857161	-81.80727	0.2742849	0.27297693	636.6626987457275
12	954.25	30.719498	997.0	912.0	960.9	9.5963545	989.0	953.0	1000.0	1000.0	47999	86.7649	23.43701	111.955734	37.569954	86.76483	23.437387	111.05713	37.107555	-0.6963194	1.270382	14.3983135	-9.979944	-87.0747	0.23780239	0.2391885	696.0879991054535
13	950.0	19.987495	983.0	930.0	966.9	14.074446	992.0	947.0	1000.0	1000.0	51999	91.17265	22.223494	115.353584	41.73962	91.17272	22.22322	116.8576	41.296597	-0.7530609	1.2233679	13.857324	-9.830515	-91.46904	0.20153877	0.2027171	756.0644311904907
14	961.5	16.650826	981.0	944.0	972.0	16.037457	994.0	956.0	1000.0	1000.0	55999	94.76165	21.484226	117.82019	43.70702	94.76169	21.48437	123.738846	43.93925	-0.78712505	1.2114232	14.1419735	-9.544883	-95.05092	0.19298056	0.19235402	816.0984790325165
15	967.25	19.992186	982.0	933.0	941.6	58.912136	1000.0	776.0	1000.0	1000.0	59999	97.88041	20.676292	120.022606	47.860798	97.88038	20.676289	120.873535	46.823254	-0.8162838	1.1836053	14.056185	-9.019502	-98.17169	0.1702449	0.17409949	876.0212650299072
16	940.25	7.8222437	952.0	931.0	959.1	40.502964	994.0	846.0	1000.0	1000.0	63999	100.42898	20.061953	121.72642	49.784203	100.42895	20.061861	121.080475	48.4578	-0.84922284	1.1453289	17.00501	-9.141899	-100.70586	0.15435788	0.15646292	936.0386922359467
17	972.25	13.083864	983.0	950.0	938.5	106.34402	997.0	623.0	1000.0	1000.0	67999	102.65032	19.501131	124.425674	52.238907	102.65028	19.501202	119.98737	47.111816	-0.85339904	1.1428506	12.94153	-10.065121	-102.929565	0.14081119	0.14200993	995.5487298965454
18	946.25	3.9607449	952.0	941.0	972.0	14.233763	994.0	961.0	1000.0	1000.0	71999	104.52822	19.018501	120.714134	56.26317	104.52822	19.018345	123.65217	55.199066	-0.90815216	1.0821205	12.515005	-8.701904	-104.792305	0.13361065	0.1376876	1055.9201543331146
19	965.0	17.190113	985.0	946.0	935.6	56.75597	990.0	803.0	1000.0	1000.0	75999	106.1093	18.625204	128.09628	53.469543	106.10934	18.62538	130.06715	53.764214	-0.90917975	1.0922841	13.746795	-11.2995	-106.373344	0.12769356	0.1297259	1115.6683263778687
20	955.5	13.162447	978.0	945.0	968.9	16.711971	1000.0	948.0	1000.0	1000.0	79999	107.53196	18.104748	128.66045	54.48761	107.53196	18.104862	124.18372	54.356632	-0.9330683	1.0550387	11.192305	-8.920193	-107.792404	0.12431215	0.12430886	1175.6854429244995
21	942.25	25.15328	975.0	905.0	970.7	17.972479	1000.0	948.0	1000.0	1000.0	83999	108.72337	17.613924	125.68096	53.80761	108.7234	17.613653	125.807686	52.2463	-0.9576011	1.0216731	11.85868	-10.246368	-108.971115	0.12071728	0.12446541	1235.1147503852844
22	949.0	3.6055512	954.0	944.0	976.5	14.7868185	994.0	960.0	1000.0	1000.0	87999	109.61526	17.474754	125.50998	56.235565	109.6152	17.474691	126.0184	54.460712	-0.9655485	1.0175729	11.832601	-9.591755	-109.86259	0.12077987	0.12255418	1294.487505197525
23	968.75	13.935118	984.0	947.0	973.7	15.218739	994.0	960.0	1000.0	1000.0	91999	110.44785	17.100906	127.199936	54.622425	110.44789	17.100878	127.01801	55.5718	-0.9729589	0.9998606	12.305269	-10.105398	-110.696075	0.1109672	0.11460709	1355.1722202301025
24	957.0	20.892582	991.0	934.0	976.5	15.028307	998.0	960.0	1000.0	1000.0	95999	111.14225	16.940205	126.26348	58.073776	111.14227	16.940104	125.23854	58.755432	-1.0026175	0.96896386	12.629982	-9.075394	-111.37715	0.11216029	0.109608404	1414.3817887306213
25	946.5	9.394147	957.0	932.0	966.5	15.76864	996.0	940.0	1000.0	1000.0	99999	111.72547	16.943785	126.0435	54.86228	111.72543	16.943869	124.682755	57.805576	-1.0031025	0.9622833	12.244012	-8.942525	-111.96228	0.11023311	0.11040268	1474.1429347991943
26	953.0	14.57738	976.0	939.0	975.7	16.025293	997.0	961.0	1000.0	1000.0	103999	112.39708	16.53985	130.89993	59.600178	112.39709	16.53983	128.25456	55.13371	-0.9926728	0.98765075	10.883334	-10.631609	-112.64749	0.11562729	0.11162596	1534.2690341472626
27	955.75	10.133484	973.0	947.0	975.4	15.512575	999.0	962.0	1000.0	1000.0	107999	113.01758	15.980409	124.919464	59.336296	113.01755	15.980584	125.74707	60.236664	-1.0121396	0.95292383	11.212917	-8.730383	-113.253174	0.11214706	0.107128814	1594.3570582866669
28	952.75	12.968713	975.0	943.0	979.0	16.25423	998.0	961.0	1000.0	1000.0	111999	113.36511	15.81129	125.70185	57.915745	113.36508	15.811414	125.08797	57.74073	-1.0119816	0.9543274	10.41889	-12.377636	-113.603935	0.100245446	0.10112465	1654.509241104126
29	941.75	26.185635	977.0	904.0	977.0	17.082153	1000.0	957.0	1000.0	1000.0	115999	113.79809	15.512174	126.52935	60.6923	113.79813	15.512483	125.026085	57.939342	-1.0237904	0.9322598	10.786922	-8.815869	-114.03364	0.099028595	0.09357904	1714.2432599067688
30	947.25	13.553136	970.0	936.0	978.2	15.778466	995.0	954.0	1000.0	1000.0	119999	114.11121	15.347375	132.89514	57.57461	114.11125	15.3475065	125.9824	63.02467	-1.035443	0.93961227	11.434185	-9.262775	-114.34014	0.10806369	0.10364006	1774.1708328723907
31	957.0	17.67767	987.0	942.0	979.2	14.864723	996.0	963.0	1000.0	1000.0	123999	114.42801	15.128116	129.57379	60.067093	114.42801	15.128581	126.5905	57.265144	-1.0400428	0.9128484	10.223885	-11.274122	-114.6538	0.107899934	0.10449524	1834.2422578334808
32	959.0	14.713939	978.0	941.0	972.3	15.678329	1000.0	960.0	1000.0	1000.0	127999	114.55318	15.286588	124.998474	55.583996	114.55316	15.286838	127.96012	57.796654	-1.0482273	0.9011748	11.471819	-9.206333	-114.77845	0.10782509	0.10465549	1894.247906923294
33	963.0	18.533752	982.0	943.0	977.5	14.410066	993.0	959.0	1000.0	1000.0	131999	114.80334	15.174614	126.02887	60.348923	114.80335	15.174729	126.22656	56.603004	-1.0511333	0.90356255	11.11035	-9.180134	-115.032455	0.10286101	0.10022353	1954.3448095321655
34	961.0	16.015617	988.0	946.0	971.9	15.371728	1000.0	957.0	1000.0	1000.0	135999	115.08931	14.928599	126.7709	60.725105	115.08936	14.928648	129.64832	60.551056	-1.0630025	0.88441813	27.802643	-9.428872	-115.31896	0.101517886	0.09883058	2014.8239829540253
