Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	29.483475	29.284744	79.39836	4.804388	7.4719343	0.33759892	8.004734	6.9751053	1000.0	1000.0	3999	1.0849828	0.64747745	4.960894	-0.3710999	1.0849766	0.6474724	4.97219	-0.4277812	-0.68137336	0.13212842	0.707747	-6.165121	-1.2166669	0.0005843628	0.0005684603	34.56183671951294
2	43.66298	27.05408	80.87124	8.320986	2.0996022	1.2613469	4.573963	0.39515525	1000.0	1000.0	7999	3.4499145	1.1976275	14.9202385	1.5883768	3.4499228	1.1976278	14.832388	1.5816426	-0.6817921	0.13193375	0.12087393	-7.800722	-3.579975	0.0006820406	0.00066301844	74.0731041431427
3	77.68622	67.85185	176.89687	6.660269	100.00635	16.567244	118.90138	58.68242	1000.0	1000.0	11999	6.003977	2.3387518	26.127869	3.9042401	6.0039744	2.3387544	26.073336	3.9050095	-0.6719899	0.19268346	0.87974095	-4.8197136	-6.131448	0.0013193522	0.0013090165	115.24289965629578
4	180.97174	22.688707	216.18953	154.90192	201.26277	4.8511853	208.71149	188.87624	1000.0	1000.0	15999	9.995373	6.4293866	58.903336	5.563644	9.995383	6.4293513	58.28152	5.596495	-0.63828915	0.31503138	1.33604	-6.1745863	-10.109103	0.0060341805	0.0057490957	157.37242698669434
5	175.62885	21.24383	198.48463	142.6352	213.21597	42.71123	289.67157	167.17435	1000.0	1000.0	19999	14.792966	10.458278	72.6372	6.8850303	14.792945	10.458422	72.51984	6.897555	-0.60274214	0.40637362	1.609652	-6.340494	-14.88831	0.012384925	0.012135008	200.31809854507446
6	180.95137	22.090866	196.71404	142.98383	272.25537	90.699455	505.18497	203.66576	1000.0	1000.0	23999	19.036758	12.855756	71.92687	7.7705393	19.036758	12.855825	71.91383	7.778817	-0.5800389	0.45288458	2.1228666	-8.072358	-19.122066	0.017715134	0.01782292	243.5474591255188
7	277.39444	43.81405	322.96536	216.47916	372.38388	97.939316	532.94415	261.1627	1000.0	1000.0	27999	21.41387	12.606742	68.38766	8.499159	21.413885	12.606744	68.53849	8.504993	-0.5865779	0.44081095	1.8974619	-7.1110234	-21.47959	0.021250645	0.01991262	285.960506439209
8	331.96002	115.754814	522.0964	228.45033	442.97406	26.079823	518.2498	425.28635	1000.0	1000.0	31999	23.1118	12.3442955	66.186485	8.857605	23.11189	12.344135	66.32046	8.830077	-0.57059467	0.47233108	2.3163404	-6.7887096	-23.171194	0.025388166	0.024779	328.6187388896942
9	544.60535	209.62247	679.8357	181.93547	710.8669	2.6758354	715.26465	706.8534	1000.0	1000.0	35999	25.644913	14.104371	74.334335	9.1264715	25.644882	14.104294	74.509735	9.185673	-0.53334	0.53390884	2.4197044	-7.018504	-25.704222	0.027641514	0.027925324	370.659499168396
10	615.86597	106.44327	701.8538	434.2167	626.8938	6.8550453	635.94116	613.6403	1000.0	1000.0	39999	29.530117	18.100739	79.29743	9.412547	29.530237	18.100515	79.43034	9.508294	-0.5037322	0.5744308	2.5691261	-7.989466	-29.583773	0.031506483	0.030319512	412.2910716533661
11	637.68945	52.710266	706.91693	561.33545	678.6281	5.3632894	687.0288	666.6516	1000.0	1000.0	43999	33.301052	21.373978	83.860085	9.56662	33.301144	21.373907	83.815544	9.682198	-0.4865563	0.598205	3.013959	-9.3799095	-33.354126	0.03552046	0.033457056	453.7789628505707
12	638.322	76.490395	701.0352	507.8081	713.86597	23.058746	742.15216	650.69824	1000.0	1000.0	47999	36.799793	23.959723	87.293335	9.647101	36.799828	23.959686	87.44169	9.72831	-0.47054833	0.61896485	3.0459294	-7.685175	-36.847977	0.04283808	0.041096877	494.89695048332214
13	674.9557	35.371887	713.40125	624.64154	689.0298	3.515557	695.27246	684.7382	1000.0	1000.0	51999	40.407993	26.41488	90.26779	9.792222	40.408016	26.414879	90.78043	9.780026	-0.4499109	0.64707077	3.1732628	-7.5190945	-40.45563	0.045187097	0.046199787	535.414361000061
14	719.24036	4.014149	725.7942	715.0512	756.34406	1.4034224	758.3189	754.42773	1000.0	1000.0	55999	44.062744	28.510435	93.140724	9.757302	44.06277	28.510284	92.9674	9.819022	-0.4290589	0.6722309	3.1793375	-7.3612876	-44.11054	0.05147875	0.049868297	576.5366017818451
15	720.65186	10.150979	731.58386	707.5855	785.986	0.5526358	786.52875	784.61066	1000.0	1000.0	59999	47.472694	30.162598	95.556114	9.867646	47.47267	30.16264	95.50779	9.954596	-0.41943967	0.68275404	3.6070068	-7.5938125	-47.51223	0.053327132	0.053808212	618.257161617279
16	736.0569	13.523057	751.0576	718.9032	796.622	0.724885	797.9602	795.59094	1000.0	1000.0	63999	50.55306	31.449305	97.10656	10.123938	50.553185	31.449226	97.01531	10.276312	-0.41226774	0.6865375	3.6019874	-7.676361	-50.600063	0.05629942	0.05312835	660.4000728130341
17	745.07654	13.783182	763.35895	730.9505	787.4933	1.4675314	790.0708	784.84814	1000.0	1000.0	67999	53.41127	32.44259	98.73191	10.333991	53.411354	32.442394	98.91743	10.468855	-0.4057831	0.6962564	3.5075526	-7.953792	-53.45559	0.05775656	0.055711124	702.2584438323975
18	740.4572	15.866102	756.1722	714.4727	805.2731	26.137873	833.15405	738.3316	1000.0	1000.0	71999	56.100143	33.194103	99.67031	9.855537	56.100174	33.193913	99.665886	10.30692	-0.39666662	0.70540166	3.7845373	-8.236192	-56.144794	0.058189064	0.058196846	743.5032451152802
19	746.4198	5.8373737	755.5968	739.80994	799.43884	0.42123878	800.486	798.82996	1000.0	1000.0	75999	58.4391	33.702206	100.59592	10.104465	58.43913	33.702305	100.69473	10.262624	-0.39254618	0.70953774	3.4427288	-6.7906923	-58.482906	0.05661376	0.057815444	785.4883897304535
20	756.3734	5.2585897	764.70557	750.6983	803.0982	0.6555552	804.1818	801.84656	1000.0	1000.0	79999	60.694405	34.10406	101.53169	10.1623335	60.69435	34.10415	101.862366	10.431343	-0.39011058	0.70746374	3.5565195	-7.410941	-60.73859	0.05593478	0.057274416	828.004231929779
