Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.9839707	0.54271656	2.037427	-0.3290695	0.98395145	0.54273885	2.0269995	-0.27632236	-0.68209547	0.12739007	0.35659766	-5.82038	-1.1173593	0.00042341955	0.00041540057	41.13141441345215
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	2.956045	0.5976728	4.1976314	1.6969491	2.9560456	0.5976711	4.207734	1.6902632	-0.6834993	0.120572746	-0.24450362	-7.899968	-3.0904398	0.00036388534	0.0003622316	88.14081740379333
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	4.763856	0.6242663	5.9135003	0.6137126	4.763858	0.6242677	5.9023256	0.67139554	-0.6834688	0.12005003	0.500834	-4.8251376	-4.897494	0.00042833877	0.00042744304	136.8768527507782
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	6.3196144	0.53250027	7.250784	2.7096217	6.319615	0.53250456	7.249841	2.7047956	-0.6829606	0.12063343	0.17558646	-5.985589	-6.45228	0.00047131913	0.00047369298	187.83848094940186
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	7.603712	0.42368153	8.43142	4.429951	7.603711	0.42369014	8.479461	4.3719907	-0.68324065	0.121788576	0.3119912	-5.405263	-7.7363224	0.00050958386	0.00051377056	238.74097275733948
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	8.632817	0.36154813	9.267735	5.6523185	8.632814	0.36158785	9.262975	5.6260705	-0.6831705	0.12097743	0.7892113	-4.581851	-8.765236	0.0005188758	0.0005335716	290.40861916542053
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	9.486671	0.30841833	10.070503	6.9281545	9.486668	0.3084475	10.155892	6.949162	-0.6829997	0.12024329	0.25680697	-5.0291715	-9.619277	0.000499712	0.00050414575	343.9743492603302
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	10.1833515	0.27432334	10.679173	8.023321	10.1833515	0.27435964	10.669536	8.075014	-0.68309647	0.120492056	0.14343977	-5.6509204	-10.31622	0.0005101874	0.0005120023	397.3591296672821
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	10.760365	0.23094079	11.178072	8.89704	10.760363	0.23097903	11.17736	8.859958	-0.68301576	0.121978715	0.10209274	-5.487386	-10.893515	0.0004889746	0.00049286283	450.90215134620667
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	11.227849	0.20632938	11.612311	9.680253	11.227849	0.20634957	11.612322	9.551743	-0.68320245	0.120156415	-0.032922983	-6.0143156	-11.360815	0.0004924689	0.0004942281	504.48700857162476
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	11.616757	0.18322478	11.939655	10.180625	11.616756	0.18322529	11.945141	10.176739	-0.6834112	0.12128926	0.058225393	-5.355077	-11.750437	0.00048968423	0.0004895753	557.9927206039429
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	11.937355	0.1641711	12.224604	10.440247	11.937358	0.1642026	12.226587	10.536259	-0.6833976	0.12037466	0.17114496	-7.3599844	-12.0710535	0.00048224782	0.00048568475	611.4600205421448
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	12.202725	0.14973317	12.735746	10.839492	12.202726	0.14972134	12.556211	10.776034	-0.6832224	0.119425364	0.0046010017	-4.958721	-12.336255	0.00048386032	0.0004816695	664.6405236721039
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	12.416996	0.13989368	12.724426	11.063238	12.416992	0.13991845	12.787734	11.0547085	-0.68333745	0.11916981	-0.1257776	-5.707934	-12.550566	0.00048102334	0.00048583947	717.6496870517731
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	12.594896	0.13118958	12.832761	11.335922	12.594893	0.13122709	12.824441	11.194397	-0.68312126	0.11911493	-0.047501087	-5.327525	-12.7279825	0.00047940778	0.00048568525	771.0610733032227
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	12.737276	0.12525046	12.940712	11.419462	12.737277	0.12529674	12.939703	11.409985	-0.6833725	0.11821664	-0.20874953	-5.0277133	-12.871233	0.00047848595	0.0004817859	824.4698870182037
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	12.853533	0.12328553	13.062359	11.642608	12.853533	0.12335515	13.052375	11.620487	-0.6833884	0.119251065	0.19776535	-5.3940587	-12.9873495	0.00046918358	0.00047517978	877.9918639659882
