Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	9.722419	4.132921	15.699053	4.116704	1.7965246	0.25253883	2.22474	1.3969733	1000.0	1000.0	3999	0.94473606	0.6216204	3.056919	-1.1331174	0.94469446	0.62167305	3.0576434	-1.0752137	-0.68021715	0.14061296	1.5933142	-6.224413	-1.0753621	0.0006172683	0.00059670076	47.61558961868286
2	12.90861	7.167121	23.937551	4.742469	0.90933096	0.27647325	1.6306605	0.70434797	1000.0	1000.0	7999	3.083465	0.69658315	6.032723	1.2794424	3.0834627	0.6965847	6.0095487	1.27825	-0.683423	0.1209724	-0.15813804	-7.9811516	-3.2153802	0.00046779946	0.00046434219	101.06272745132446
3	15.688877	9.267935	31.168383	6.526778	2.0751688	1.260008	4.6876044	1.1324937	1000.0	1000.0	11999	5.1378307	0.6580947	8.143764	3.56157	5.1378317	0.6580966	8.1693535	3.5483427	-0.6830932	0.12292512	-0.105471134	-4.8620114	-5.269413	0.0005037161	0.0005072559	157.00958824157715
4	36.583443	11.554005	51.10708	21.731499	9.029344	9.261023	27.371012	0.747528	1000.0	1000.0	15999	6.8831444	0.74562776	11.843049	5.504942	6.8831444	0.7456087	11.836798	5.516579	-0.6812238	0.13333918	0.040045023	-6.068412	-7.0128264	0.00060543383	0.0005856174	214.89984512329102
5	59.15622	29.994724	92.059166	19.834793	92.41753	14.78912	109.05864	62.956947	1000.0	1000.0	19999	8.478293	1.0935918	17.785751	7.0020723	8.4783	1.0936095	17.6256	6.998169	-0.6778229	0.16125211	0.15355551	-5.4321394	-8.604211	0.00091584865	0.0009025194	272.8297064304352
6	82.14395	9.1505995	92.572296	70.61525	124.10525	12.6069145	139.9455	103.376045	1000.0	1000.0	23999	10.035868	1.7769947	22.706728	8.103568	10.03586	1.7769984	23.366508	8.124829	-0.6722356	0.19184844	0.85261583	-4.982211	-10.155278	0.0018690608	0.0018840274	331.1355538368225
7	94.80827	14.254167	109.379944	74.20074	125.64858	16.686989	154.17488	103.659805	1000.0	1000.0	27999	11.5510435	2.6708107	28.516207	9.019734	11.551068	2.6707973	28.789284	9.007794	-0.66535634	0.22327699	0.5303073	-5.1906095	-11.6615305	0.0029619369	0.0028313226	389.3675444126129
8	104.95059	12.41262	120.63854	88.4552	139.42862	11.171416	161.70981	119.97427	1000.0	1000.0	31999	12.846526	3.2980664	33.356125	9.703184	12.846527	3.2980392	33.283813	9.686622	-0.65700203	0.25922352	1.0323195	-5.8624444	-12.949774	0.004351251	0.00418445	447.77769351005554
9	138.7331	15.255752	157.05713	118.94222	164.69164	20.015429	201.44089	132.74895	1000.0	1000.0	35999	14.0873165	3.9323003	35.443928	10.161537	14.087308	3.9322696	35.090096	10.127394	-0.6458125	0.29607925	1.2652261	-5.644102	-14.180393	0.006258482	0.0064263376	507.01515769958496
10	141.88455	12.761167	161.8275	126.63408	139.46834	21.812721	170.03522	108.51654	1000.0	1000.0	39999	15.166007	4.390153	35.913692	10.570344	15.166065	4.3900743	35.91833	10.584995	-0.63810813	0.31978688	1.2914779	-5.7220774	-15.253249	0.00791245	0.0072648274	565.3326468467712
11	120.1795	26.841284	153.75854	79.328606	143.63284	7.089321	155.93112	130.76604	1000.0	1000.0	43999	16.004082	4.735413	38.8095	10.931906	16.004055	4.7354403	38.21861	10.905155	-0.6349845	0.33096287	1.2299286	-6.609708	-16.088512	0.008493644	0.008422035	623.8120517730713
12	145.75282	4.844246	153.11041	140.01465	153.63141	18.696726	186.78152	123.603065	1000.0	1000.0	47999	16.759789	5.096997	40.44857	11.037842	16.759834	5.097	40.67239	11.145595	-0.6322325	0.33572796	1.6207433	-7.4957943	-16.839983	0.009273378	0.009047573	682.0396506786346
13	137.45393	10.205874	151.22406	122.59232	167.34023	17.931246	206.6395	141.95024	1000.0	1000.0	51999	17.426817	5.4487505	41.289215	11.186804	17.426832	5.448756	41.04297	11.172293	-0.62715673	0.35039607	1.2085567	-7.1934805	-17.503489	0.009980399	0.009960336	740.50697016716
14	158.4068	6.219997	163.17267	147.76695	176.40688	8.541915	195.68526	166.4698	1000.0	1000.0	55999	18.039484	5.7632337	42.441433	11.282999	18.03947	5.763269	42.384697	11.38262	-0.61847526	0.37138915	1.5027888	-5.6211104	-18.113632	0.011033772	0.011009644	798.8454766273499
15	172.52736	10.816952	183.96457	155.33249	175.70372	11.529636	191.04472	156.22404	1000.0	1000.0	59999	18.621023	6.0173793	42.98764	11.065663	18.621077	6.0172687	42.635807	11.432161	-0.6094114	0.39270702	1.7512074	-5.871524	-18.692528	0.011872741	0.011804104	856.830010175705
16	171.15588	24.90131	200.27904	132.2267	176.16489	19.92191	206.73198	150.18282	1000.0	1000.0	63999	19.169582	6.247078	42.728783	9.388183	19.169588	6.24692	42.551125	10.024171	-0.60497355	0.4023046	1.6951585	-6.268502	-19.23758	0.012711292	0.012905782	915.0001680850983
17	155.57016	5.9907994	162.90768	146.21002	171.47849	15.984584	205.71849	153.2098	1000.0	1000.0	67999	19.543287	6.340933	42.646046	6.9816613	19.543274	6.3408146	42.646637	8.35977	-0.6025314	0.40765682	1.7778196	-6.089164	-19.61	0.013057602	0.013267529	973.6128294467926
18	166.07684	8.807033	174.7854	152.0291	169.11636	18.360767	194.51822	142.2424	1000.0	1000.0	71999	19.8996	6.4370894	42.90797	5.75331	19.899635	6.436971	42.96051	6.3453193	-0.6031562	0.40875003	1.54935	-7.5763683	-19.96219	0.015015855	0.014530093	1032.8996224403381
19	156.12555	5.0456605	161.80081	149.05966	168.45023	21.522207	208.38768	139.3308	1000.0	1000.0	75999	20.173727	6.514444	43.133076	3.4884825	20.173723	6.5144258	42.88421	4.6174607	-0.6037157	0.40435958	1.6395998	-5.337415	-20.235039	0.014693184	0.015021568	1092.010115146637
20	156.2925	19.714275	176.72807	127.26681	187.66925	21.760666	224.241	163.58246	1000.0	1000.0	79999	20.37061	6.565041	43.034313	3.8724015	20.370584	6.564953	43.323776	4.484579	-0.60572416	0.39994267	1.486924	-8.254767	-20.428726	0.015814457	0.016392887	1151.592899799347
21	174.09329	23.888662	211.02606	144.66107	207.02481	12.959329	227.29994	184.53197	1000.0	1000.0	83999	20.552187	6.6407948	43.157402	4.46311	20.552193	6.640665	42.914955	4.563088	-0.6056315	0.39788496	1.4512532	-4.9455404	-20.608326	0.016869877	0.016882217	1211.0646150112152
22	161.74762	18.82709	192.45691	146.23257	192.6614	8.049761	201.27495	176.04028	1000.0	1000.0	87999	20.74855	6.6857686	42.942394	4.907145	20.748543	6.6857376	43.060123	4.621546	-0.6048037	0.40075797	2.0215745	-5.7106676	-20.804203	0.017416844	0.017991148	1270.4061481952667
23	156.14606	6.6460333	167.51068	150.82191	192.45755	16.830303	219.88588	173.60886	1000.0	1000.0	91999	20.875383	6.739019	43.50043	4.3057146	20.875437	6.7388887	43.272774	5.0136795	-0.6023479	0.40664366	1.4441465	-6.685346	-20.92663	0.018598164	0.019139985	1330.2379732131958
24	166.3132	18.685385	197.8345	149.50296	187.6309	14.407622	212.6753	165.18417	1000.0	1000.0	95999	20.973043	6.7447815	42.988293	4.519506	20.973022	6.7445126	42.899845	5.0146422	-0.6041438	0.40249133	1.7535332	-7.5040245	-21.019997	0.019742193	0.020548921	1389.6525838375092
25	157.1921	12.198219	177.59102	145.43634	204.26288	7.8684998	222.5503	195.09595	1000.0	1000.0	99999	21.060724	6.721584	42.19659	4.7135496	21.060722	6.7214913	42.03155	4.9142113	-0.60269064	0.4040772	1.6023302	-5.4090166	-21.107594	0.020901948	0.021218346	1448.851655960083
26	167.00197	23.65678	192.22667	128.22835	187.41428	18.64872	215.98001	163.76718	1000.0	1000.0	103999	21.080723	6.7111273	42.202587	4.7992454	21.080746	6.7111025	42.366386	5.163187	-0.6020725	0.40446827	2.0330892	-7.270409	-21.12564	0.020179057	0.02041957	1508.0803799629211
27	173.97723	14.484771	190.843	154.37424	209.50838	10.049299	218.70164	183.48291	1000.0	1000.0	107999	21.198593	6.7822843	42.351673	4.2317863	21.198547	6.782377	42.59975	4.749133	-0.6040726	0.4007814	1.8940315	-6.04525	-21.24195	0.021686463	0.021109993	1567.1808440685272
28	178.02658	19.6197	204.4491	149.4326	203.04086	17.671007	230.72426	174.47699	1000.0	1000.0	111999	21.23108	6.786138	42.317493	3.2733274	21.23111	6.7860746	42.627552	4.250796	-0.60303086	0.403638	1.7874651	-6.575225	-21.272781	0.021910265	0.022042867	1626.2493941783905
29	164.68846	17.676382	182.195	135.22966	208.65799	14.217584	228.03119	179.07588	1000.0	1000.0	115999	21.252815	6.787161	42.242996	3.6395278	21.252853	6.78707	42.3735	4.3799934	-0.6012439	0.40893692	1.6200194	-7.334689	-21.29352	0.02228173	0.022746261	1684.9231581687927
30	179.97562	19.80412	197.39677	146.64603	212.73654	12.016561	232.22627	191.87323	1000.0	1000.0	119999	21.29692	6.8250704	43.747208	4.0722704	21.296925	6.825044	42.340424	4.4122562	-0.6009129	0.40997198	1.9218098	-6.3056617	-21.337395	0.022404935	0.023200573	1743.7111778259277
31	180.48705	20.49975	212.73502	156.15286	213.37541	15.943266	233.85696	182.83205	1000.0	1000.0	123999	21.338238	6.8412495	43.729332	4.102785	21.338238	6.841222	43.47606	4.509742	-0.59840685	0.414104	1.8374771	-6.2085304	-21.375277	0.022863366	0.023149585	1802.4709479808807
32	178.65567	7.233894	190.87773	171.98697	206.06914	18.442078	232.6626	182.53496	1000.0	1000.0	127999	21.384312	6.8623915	43.439617	2.4008038	21.38433	6.862545	42.782913	3.141349	-0.59811103	0.41176963	1.9841433	-5.909359	-21.4221	0.02358094	0.022371778	1860.9266350269318
33	187.9055	12.61156	205.85222	176.03755	228.68828	10.083	249.6173	218.6845	1000.0	1000.0	131999	21.432207	6.853814	43.212048	1.3087683	21.432175	6.853645	43.965893	2.4070058	-0.59819233	0.41115245	1.8283195	-7.9800687	-21.467516	0.023281068	0.024502436	1919.374231338501
34	179.0737	5.994457	185.06113	169.25345	222.3274	11.137369	234.27084	198.4612	1000.0	1000.0	135999	21.489058	6.856512	43.246616	0.49492744	21.489063	6.85647	43.552166	1.8410027	-0.5983215	0.41306704	1.9558243	-6.9055977	-21.526485	0.022264797	0.02286761	1977.7778670787811
35	183.32341	10.197506	199.0841	170.98372	216.41528	7.216471	227.2327	205.03606	1000.0	1000.0	139999	21.552168	6.8892083	42.96519	0.8263311	21.552162	6.8891377	43.547676	0.8634372	-0.59404725	0.42266467	2.3115215	-6.372293	-21.588528	0.022656394	0.023018738	2036.2902221679688
36	198.1307	5.4235554	206.02957	191.01994	212.2253	14.580807	238.29047	190.28003	1000.0	1000.0	143999	21.60722	6.9153075	43.16818	0.94078547	21.607256	6.915094	43.119595	1.0650073	-0.59442353	0.42073572	2.0309658	-6.9161468	-21.642836	0.022763312	0.022966808	2094.7390558719635
37	195.84923	28.777546	239.40373	168.9158	210.19067	20.025543	229.62418	169.62366	1000.0	1000.0	147999	21.700228	6.9667525	43.606586	-0.11983049	21.700214	6.966707	43.693302	0.64652675	-0.5940948	0.42484835	2.3825827	-7.546154	-21.73402	0.02337574	0.02327787	2152.986432790756
38	191.88214	22.260574	229.4371	173.40672	218.48909	12.066147	232.6654	195.55244	1000.0	1000.0	151999	21.753357	7.002396	44.06643	-1.6270584	21.753382	7.002266	43.905163	0.40115234	-0.59302855	0.4245647	2.023223	-5.7848697	-21.788202	0.022777552	0.023808545	2211.4398238658905
39	161.05629	5.3018274	165.95923	152.98943	208.0629	9.006827	218.98051	192.88316	1000.0	1000.0	155999	21.7974	7.0385513	44.385555	-1.9218554	21.797396	7.0385003	44.39246	-0.8924288	-0.5908758	0.42999735	2.3140361	-6.247513	-21.830257	0.023290643	0.023645386	2269.473552942276
40	177.44444	20.398125	207.34528	150.1248	217.76323	13.047233	234.81865	188.07117	1000.0	1000.0	159999	21.847992	7.0645413	43.84835	-2.7900443	21.848063	7.064342	43.996258	-0.34235543	-0.58980775	0.43245378	2.0118577	-5.8817396	-21.881832	0.023448834	0.023603465	2327.649669408798
41	178.00291	10.712878	194.414	164.83621	219.16391	12.399342	237.2418	194.93411	1000.0	1000.0	163999	21.945417	7.084963	44.112095	-3.0932798	21.945387	7.0849304	44.11062	-0.9650759	-0.5900306	0.43086213	2.64637	-7.09417	-21.978392	0.023149716	0.024167472	2385.9907925128937
42	170.04613	18.949549	189.94337	138.80464	217.99739	11.793648	232.32513	190.19902	1000.0	1000.0	167999	22.008793	7.1066856	44.40342	-1.581671	22.008793	7.106694	44.980305	-0.6173692	-0.58831596	0.43454275	1.9369048	-5.868971	-22.042208	0.023574226	0.023721172	2444.705882549286
43	181.95972	8.876253	193.16469	169.57643	237.33687	14.819002	246.10158	197.91885	1000.0	1000.0	171999	22.06969	7.1342154	44.61718	-3.1612053	22.06965	7.134114	44.86259	-0.6648973	-0.587162	0.4354924	2.0386248	-5.184204	-22.101803	0.02407931	0.024395473	2503.6190617084503
44	186.90585	21.54498	220.66405	168.00198	232.05351	5.2196527	239.99876	224.87701	1000.0	1000.0	175999	22.11938	7.1508894	44.339462	-2.7072532	22.119375	7.150779	44.74685	-1.5280526	-0.5841811	0.44327024	2.0375154	-6.037095	-22.151903	0.024012234	0.024704475	2562.3938953876495
