Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	78.56909	36.259445	116.45715	28.351608	121.16724	82.39822	328.6652	6.6339674	1000.0	1000.0	3999	5.1638107	2.7932477	11.080632	-1.0327855	5.164032	2.7929442	11.1268015	-1.7047226	-3.3735728	0.42631078	13.922434	-9.832092	-5.817918	0.007928631	0.0075482144	37.37897276878357
2	155.22336	116.03449	352.1375	58.38727	78.196144	33.930023	111.54715	23.674644	1000.0	1000.0	7999	15.801506	3.441103	26.541592	9.099579	15.801521	3.4412417	26.432056	9.097138	-3.4042006	0.33062795	-0.7930536	-8.27285	-16.447683	0.012182779	0.011567149	79.95138931274414
3	94.5566	26.71794	121.127594	50.036713	44.816986	32.83585	94.95847	4.443606	1000.0	1000.0	11999	26.957054	3.821607	50.5782	19.533833	26.95713	3.8214746	49.828125	19.559813	-3.3307974	0.5185979	2.2749288	-10.914963	-27.592133	0.024699891	0.023977228	126.70877695083618
4	108.285706	81.90663	246.56548	34.025314	79.824776	39.11308	122.84909	12.620654	1000.0	1000.0	15999	36.346287	4.813689	66.294014	28.088285	36.346256	4.8139286	66.3042	27.895018	-3.346902	0.48804116	4.4153395	-8.638158	-36.963837	0.03550948	0.036158875	173.99404621124268
5	110.61484	9.707575	122.47673	97.28047	77.13231	74.01909	266.21448	5.2048426	1000.0	1000.0	19999	43.607037	5.417665	82.24487	34.92497	43.607044	5.417644	82.894264	34.718094	-3.3511944	0.4834656	3.256815	-9.319668	-44.22289	0.035974663	0.036207534	220.87032985687256
6	139.60175	160.42813	412.3684	4.477346	141.06921	105.68042	412.63177	57.933884	1000.0	1000.0	23999	49.61354	6.366979	92.94335	39.989803	49.613514	6.367207	92.4734	40.00007	-3.330983	0.52750295	4.2009974	-9.679706	-50.208923	0.0496021	0.050385635	268.584433555603
7	66.2331	26.839546	93.91104	25.304996	54.64245	29.437872	104.235405	1.7096989	1000.0	1000.0	27999	55.222855	8.6970215	102.63515	43.817585	55.22286	8.696743	102.70623	44.1479	-3.2929192	0.6155831	4.352065	-10.530446	-55.81642	0.065054506	0.06496524	315.1192674636841
8	33.523056	22.951777	62.375874	7.668129	71.90346	35.859947	121.94438	12.056169	1000.0	1000.0	31999	59.66156	9.371902	111.42637	47.631344	59.66151	9.37185	109.85009	47.536247	-3.2959323	0.58786607	2.8481102	-9.784571	-60.248158	0.06196056	0.06019556	359.2811608314514
9	79.16962	11.393177	93.88155	64.504906	65.03547	33.11928	122.0443	3.5095394	1000.0	1000.0	35999	61.99718	8.855377	117.29955	49.67876	61.997215	8.855435	117.28896	49.784428	-3.3175375	0.53749186	2.376585	-12.8149395	-62.58028	0.059147615	0.057842847	405.12181973457336
10	103.69342	49.310455	188.78665	69.006905	78.04695	30.146172	116.09328	25.482658	1000.0	1000.0	39999	64.56005	9.5515	122.189156	51.39399	64.56012	9.551311	122.383316	52.177525	-3.3155746	0.5552195	3.8645377	-9.647287	-65.12414	0.08495264	0.08291792	451.35369086265564
