Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	1.0769129	0.17052339	1.3130453	0.83146185	0.82875854	0.6064863	1.81947	0.12163139	1000.0	1000.0	3999	17.646029	10.669227	47.585037	-29.5632	17.647993	10.665633	48.39489	-26.746006	-12.280651	4.0440526	169.32979	-23.545675	-20.534018	0.60950583	0.5817397	53.94097638130188
2	0.98705524	0.42255354	1.4106448	0.30586222	0.8366817	0.48714542	1.598062	0.060197067	1000.0	1000.0	7999	75.16867	25.200958	147.24036	22.256271	75.17005	25.198725	147.70302	20.662024	-2.8095229	6.3349295	49.509254	-25.593884	-80.50128	2.3497124	2.2976387	117.32365655899048
3	0.7941246	0.48643127	1.5103399	0.1493348	0.89746684	0.6014687	1.8921957	0.007947776	1000.0	1000.0	11999	190.07358	47.526817	345.28912	60.535103	190.0732	47.53156	347.82745	57.080112	9.341666	9.277523	78.59314	-23.871578	-200.31358	11.650894	11.572569	182.99262309074402
4	0.7160996	0.43801406	1.2277792	0.25840646	0.9802076	0.53473145	1.9025837	0.32966003	1000.0	1000.0	15999	273.19083	16.646175	334.84644	197.67253	273.18875	16.664831	325.26993	197.7028	-0.7056127	7.4888086	62.88731	-25.994673	-276.97913	10.557201	10.704287	251.0776391029358
5	1.5576835	0.66124296	2.1076374	0.43055055	0.7849365	0.33859548	1.4343892	0.19756763	1000.0	1000.0	19999	270.38586	20.031065	325.1547	195.9724	270.3859	20.037144	329.69464	197.37909	-7.8707814	4.753429	31.285725	-24.264091	-272.4348	5.5315948	5.5749445	319.2231414318085
6	0.6381633	0.4832199	1.3552101	0.13475834	0.839972	0.45826232	1.9065065	0.22665097	1000.0	1000.0	23999	259.52747	21.053513	314.57568	188.39305	259.52747	21.056942	315.57928	187.59363	-10.875405	3.4103484	25.164307	-23.383213	-261.44162	3.2427835	3.2520282	387.48589992523193
7	0.60351783	0.33587813	1.0251379	0.12879972	1.2021353	0.35261413	1.7391738	0.5649062	1000.0	1000.0	27999	251.37276	19.980762	305.70947	188.3799	251.3727	19.981207	304.93228	188.24643	-12.6382	2.3035862	17.541325	-25.380272	-253.38602	2.0411644	2.0336468	455.59776496887207
8	0.6141652	0.669313	1.7153337	0.051350217	0.9993502	0.5901509	1.9609035	0.16589274	1000.0	1000.0	31999	245.58018	19.012236	294.54028	187.27739	245.58022	19.011812	294.28168	187.70795	-13.432076	1.6504418	14.163353	-21.904768	-247.72722	1.4129881	1.4025385	524.0982196331024
9	1.302977	0.6357069	1.9152496	0.41815853	0.84078866	0.39260083	1.5622244	0.33329445	1000.0	1000.0	35999	245.1839	17.513502	288.11133	191.50952	245.18417	17.512852	290.7485	191.85162	-13.822476	1.2700263	13.959808	-22.334038	-247.4585	1.0121872	1.0048025	592.2898137569427
10	0.97503984	0.6765461	1.7388674	0.26588014	1.1151236	0.57762444	1.9306881	0.018445563	1000.0	1000.0	39999	247.3833	15.078424	286.1541	199.38379	247.38312	15.079453	286.01678	198.91408	-14.012898	1.0479128	3.08082	-22.17416	-249.76155	0.7998427	0.81548655	660.3446865081787
