Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	3.2481399	1.8113811	5.6282396	0.9174442	4.2703733	2.6292076	8.292392	0.6157009	1000.0	1000.0	3999	18.885387	10.068336	43.70646	-26.352858	18.884703	10.067913	44.6975	-23.944721	-13.422381	3.6981	222.41797	-21.887386	-21.534994	0.5348025	0.5474838	60.09777235984802
2	6.431486	3.1385872	10.103366	1.7168555	6.2320204	2.7841444	10.822166	0.5602715	1000.0	1000.0	7999	59.419407	13.497902	101.86141	28.756542	59.418816	13.499731	103.1757	28.273615	-11.777533	2.559959	8.019453	-24.102558	-62.336212	0.7219789	0.7173059	126.74612379074097
3	4.675296	2.4711137	6.5832896	0.48289773	5.887848	3.5172477	11.250312	0.5428672	1000.0	1000.0	11999	103.23352	12.200249	142.85054	62.334732	103.23211	12.208718	143.98752	60.418903	-9.95742	3.4043581	13.685097	-25.072323	-106.26002	1.5631758	1.6052998	195.99755144119263
4	4.6000247	1.6381115	6.329185	1.9436516	8.676592	2.518274	11.307585	3.8083813	1000.0	1000.0	15999	131.93683	7.6423583	163.22238	91.75012	131.93564	7.65122	164.01237	92.7212	-11.524898	2.7606616	18.654694	-24.16478	-134.34784	1.677988	1.7253506	267.1013858318329
5	3.8113244	0.7924855	4.7835417	2.6989856	3.634501	2.2575343	7.8118505	0.42325553	1000.0	1000.0	19999	150.6829	6.365255	180.60175	114.71052	150.68259	6.369367	179.72647	113.99762	-11.902436	2.5771568	11.455769	-23.273262	-152.98616	1.6159099	1.6541564	338.1924386024475
6	6.5525475	4.4340878	11.339918	0.13915628	5.5775986	2.4966805	10.403154	2.223448	1000.0	1000.0	23999	165.51653	5.6329045	192.27454	131.62244	165.5164	5.6365647	191.34358	131.30957	-12.245678	2.4034197	13.414581	-22.344547	-167.756	1.5575728	1.557317	409.1923463344574
7	2.6333752	1.6777828	4.9817204	0.38458204	6.160573	4.1401157	12.519911	1.9241396	1000.0	1000.0	27999	177.2349	4.7196355	199.12671	145.23187	177.23494	4.720977	198.50017	143.12794	-12.615409	2.192441	14.631916	-23.590912	-179.45676	1.4081961	1.4059632	480.4364893436432
8	2.905988	1.9881684	5.8006845	0.23527169	5.9170237	3.9208097	10.942892	0.11950193	1000.0	1000.0	31999	186.73692	4.149342	207.50987	157.66861	186.73706	4.139565	205.82054	158.31654	-12.970332	1.9668835	4.4379635	-23.71962	-188.97067	1.25532	1.2253942	551.9881281852722
9	4.2926397	2.4213295	8.4057665	2.164833	3.931027	3.2617693	8.966533	0.13528313	1000.0	1000.0	35999	195.21878	3.8106098	213.71889	166.9485	195.21904	3.8044357	211.88028	165.89673	-13.17053	1.8001282	4.450348	-22.580309	-197.4839	1.1177659	1.1104554	623.7161228656769
10	8.338501	3.318304	11.384772	2.7783022	4.9508357	2.7532346	11.396731	1.228171	1000.0	1000.0	39999	202.90742	3.5014248	219.94044	176.27783	202.90784	3.494684	219.09232	175.95486	-13.308847	1.6874251	3.8356075	-21.00903	-205.20793	1.0131065	0.9974917	695.1886520385742
