Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	6.1284127	10.614722	24.51365	0.0	0.23985136	0.71955407	2.3985136	0.0	1000.0	1000.0	3999	2.0445518	1.069036	6.5491242	-0.13932234	2.0445597	1.0690244	6.557819	-0.10800141	-1.3610084	0.20279346	0.24264717	-6.6393714	-2.3152285	0.0014095707	0.001407857	34.04585576057434
2	2.333994e-39	0.0	9.335979e-39	0.0	3.4668702e-26	0.0	3.46687e-25	0.0	1000.0	1000.0	7999	7.6942744	3.4703655	20.643534	3.650989	7.694267	3.470363	20.620813	3.6379204	-1.2476997	0.51454675	2.517957	-6.96654	-7.987089	0.0015141671	0.0015399158	73.32629942893982
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	16.25332	10.812372	50.43884	7.085131	16.253319	10.812366	50.44503	7.0980535	-1.2564783	0.49377006	1.5982368	-6.1674633	-16.541773	0.0014642706	0.0014624604	113.20157670974731
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	20.533056	10.229915	49.145042	10.558313	20.533054	10.229931	48.982918	10.569201	-1.3026075	0.39290136	0.6117294	-6.775145	-20.807781	0.0015491506	0.0015100138	154.5288918018341
5	0.0	0.0	0.0	0.0	0.13821349	0.41423157	1.3809078	0.0	1000.0	1000.0	19999	24.476793	9.610192	47.741093	13.351672	24.476795	9.610204	47.731297	13.3320675	-1.3223344	0.34533688	0.6481395	-6.744766	-24.745161	0.0015354161	0.0014942072	196.74292540550232
6	0.0	0.0	0.0	0.0	1.9478704e-05	5.843611e-05	0.00019478705	0.0	1000.0	1000.0	23999	26.273306	8.153853	43.828915	15.743398	26.27331	8.15386	43.827656	15.735377	-1.3351365	0.3027477	0.7871461	-9.331892	-26.53824	0.0014568446	0.001410282	239.0839319229126
7	0.0	0.0	0.0	0.0	3.5305858	10.591758	35.30586	0.0	1000.0	1000.0	27999	26.257988	6.631959	40.629414	17.397514	26.257998	6.63196	40.636696	17.384987	-1.3457062	0.26803777	0.66219664	-6.425247	-26.521395	0.001419229	0.0013980529	281.25517106056213
8	1.5347464e-08	2.6582587e-08	6.1389855e-08	0.0	0.024671866	0.0740156	0.24671866	0.0	1000.0	1000.0	31999	26.570303	5.424622	38.118587	19.073427	26.570305	5.424608	38.130505	19.025743	-1.3521382	0.2388288	0.44054008	-6.1244817	-26.83309	0.0014539349	0.0013948636	323.4002311229706
9	0.0	0.0	0.0	0.0	0.0006528721	0.0019585611	0.006528555	0.0	1000.0	1000.0	35999	26.455948	4.435561	36.073784	20.42133	26.45596	4.4355507	36.035152	20.390701	-1.3577702	0.2164617	0.2544458	-6.0543165	-26.720606	0.0014726975	0.0014182182	365.7634479999542
10	1.2523963e-15	2.1692143e-15	5.0095854e-15	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	26.545296	3.626376	34.42831	21.562752	26.545296	3.6263766	34.40314	21.563856	-1.3602111	0.20698717	0.2921877	-6.5550733	-26.809818	0.0014059758	0.0013605825	409.385484457016
11	1.4658282e-32	0.0	5.863313e-32	0.0	5.245195e-09	1.5735584e-08	5.245195e-08	0.0	1000.0	1000.0	43999	26.549608	2.9425237	32.984882	22.470722	26.5496	2.9425373	33.048832	22.458235	-1.3618178	0.19389316	0.22615671	-6.073551	-26.812641	0.0013778799	0.0013446235	449.53758907318115
12	1.7691835e-12	3.0643157e-12	7.076734e-12	0.0	0.0030244782	0.009073434	0.030244783	0.0	1000.0	1000.0	47999	26.704676	2.4117534	31.902292	23.216032	26.704676	2.4118137	31.911188	23.191025	-1.3633714	0.18632863	-0.039214134	-5.5656543	-26.96751	0.0013553812	0.0012887253	492.40175104141235
13	0.0	0.0	0.0	0.0	3.5366675e-14	1.0610002e-13	3.5366675e-13	0.0	1000.0	1000.0	51999	26.817333	2.0117652	31.114517	23.802309	26.817343	2.011867	31.025158	23.80713	-1.3642296	0.18269478	0.0632081	-7.8778	-27.079664	0.001350689	0.001283301	537.2613270282745
14	0.0	0.0	0.0	0.0	13.906031	29.43781	91.10258	0.0	1000.0	1000.0	55999	26.768902	1.6337392	30.271029	24.304337	26.768894	1.6339078	30.313986	24.301434	-1.365181	0.179181	-0.108166695	-5.846487	-27.031664	0.0013612557	0.00126523	581.5414109230042
15	0.0	0.0	0.0	0.0	7.092784e-37	0.0	7.092784e-36	0.0	1000.0	1000.0	59999	26.79117	1.3356152	30.24648	24.737675	26.791185	1.3358417	30.36721	24.730848	-1.3654788	0.17521639	-0.22899723	-7.5226583	-27.055117	0.0013332922	0.0012504216	622.7398343086243
16	0.13665031	0.23668526	0.54660124	0.0	4.641963	13.925888	46.41963	0.0	1000.0	1000.0	63999	26.814732	1.1136937	30.15021	25.022373	26.81473	1.1136655	30.312098	25.035116	-1.3656149	0.17170882	-0.2479744	-7.2038383	-27.076694	0.001386198	0.0012599647	665.274564743042
17	8.992524	15.575509	35.970097	0.0	63.37976	190.13928	633.7976	0.0	1000.0	1000.0	67999	26.842297	0.93150747	29.741798	25.26492	26.842295	0.93170184	29.89131	25.276255	-1.3659731	0.16951714	-0.29627275	-6.477227	-27.104149	0.0014078835	0.0012525254	708.5152306556702
18	241.50981	347.6319	836.63226	0.0	20.59366	60.408928	201.78235	0.0	1000.0	1000.0	71999	26.895525	1.0422746	35.79332	25.13853	26.89547	1.0558869	35.99068	25.031027	-1.3652503	0.17428525	-0.27945733	-7.3049297	-27.137945	0.0058343564	0.002825728	753.2975883483887
19	2.2757113e-26	0.0	9.1028453e-26	0.0	96.713646	290.14093	967.1365	0.0	1000.0	1000.0	75999	26.83901	1.8282071	44.721928	24.386803	26.838957	1.8390628	44.702705	24.471004	-1.3600751	0.200042	0.49018192	-8.094505	-27.066324	0.0079242205	0.0052583446	796.5264194011688
20	195.55005	338.70264	782.2002	0.0	1.897e-42	0.0	1.8975e-41	0.0	1000.0	1000.0	79999	26.685438	2.9543188	55.440113	23.22027	26.685448	2.958702	55.27029	23.949953	-1.3449095	0.26448584	1.6324718	-6.996463	-26.90795	0.008781154	0.0076892353	840.3336038589478
21	211.19838	365.80634	844.7935	0.0	94.35372	283.0612	943.53723	0.0	1000.0	1000.0	83999	27.164385	5.8614364	67.54022	22.672186	27.164408	5.86243	67.43125	23.15959	-1.3186927	0.35920602	2.134235	-7.089078	-27.393293	0.0107600195	0.008675324	885.3937764167786
22	444.75378	444.75964	892.7368	0.0	297.7854	391.16083	953.8552	0.0	1000.0	1000.0	87999	28.307112	9.895453	77.4143	21.33739	28.307163	9.896414	77.20833	21.429506	-1.2866496	0.46197373	3.0821168	-9.110264	-28.542065	0.0129447635	0.010252876	927.8297414779663
23	195.31207	338.29044	781.2483	0.0	426.30048	450.57965	978.8286	0.0	1000.0	1000.0	91999	29.39998	13.040855	85.39858	22.013273	29.40005	13.040997	85.09291	21.06855	-1.272301	0.51145506	3.3242068	-9.108162	-29.638382	0.013472423	0.010560514	971.0495846271515
24	0.0	0.0	0.0	0.0	265.02203	407.21643	940.2955	0.0	1000.0	1000.0	95999	30.431072	15.741038	91.58096	21.974068	30.431135	15.740966	91.61984	22.324669	-1.2645531	0.53863263	3.4511282	-8.975149	-30.671473	0.013064449	0.010589617	1012.2761569023132
25	0.0	0.0	0.0	0.0	181.58524	363.35464	933.7894	0.0	1000.0	1000.0	99999	30.745232	17.128897	97.20022	21.889555	30.745302	17.128838	96.72753	22.028145	-1.2579057	0.5601584	3.3138492	-7.674505	-30.988934	0.013415748	0.010216869	1056.6281032562256
26	219.66634	380.47327	878.66534	0.0	95.530136	286.5904	955.30133	0.0	1000.0	1000.0	103999	31.110357	18.405365	101.170135	21.846718	31.110352	18.405272	100.84249	21.9712	-1.2455122	0.58465046	3.3852334	-10.4142275	-31.358105	0.0136498315	0.01052657	1098.8074781894684
27	213.43483	369.67996	853.7393	0.0	657.54767	432.22382	981.9928	0.0	1000.0	1000.0	107999	32.406364	20.821625	104.77139	21.907701	32.406403	20.821655	104.30028	22.102747	-1.2308332	0.60933316	3.3857474	-7.8993683	-32.65935	0.013208973	0.011038771	1141.447622537613
28	570.0164	334.41492	855.573	0.0	461.11816	462.84537	972.0172	0.0	1000.0	1000.0	111999	33.816456	23.048588	107.25738	21.805267	33.81651	23.048687	107.18064	22.038889	-1.2198647	0.6275907	3.2773685	-8.945913	-34.07097	0.013556398	0.011374265	1183.0821845531464
