Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	3.3449884e-25	0.0	1.3379954e-24	0.0	9.58e-42	0.0	9.5803e-41	0.0	1000.0	1000.0	3999	1.9796071	0.9932894	3.8973343	-0.056025907	1.9796133	0.99328244	3.8868687	-0.008785356	-1.3666971	0.17289338	-0.30100775	-5.45682	-2.2503197	0.0007476522	0.0007454945	37.3357720375061
2	1.788331e-21	3.0973035e-21	7.153324e-21	0.0	21.672932	65.01879	216.72931	0.0	1000.0	1000.0	7999	5.8376713	1.2139184	8.156075	3.4209745	5.8376713	1.2139202	8.165531	3.4114506	-1.3667158	0.16605443	-0.9640794	-5.9735274	-6.1090508	0.0006999084	0.000702095	79.18136763572693
3	8.080543e-11	1.3995913e-10	3.2322173e-10	0.0	9.798682e-11	2.9396044e-10	9.798682e-10	0.0	1000.0	1000.0	11999	9.653409	1.0080053	11.58722	7.6244597	9.653409	1.008008	11.587143	7.6204376	-1.3671554	0.165725	-0.9613881	-5.711012	-9.9253435	0.00071504567	0.00071847055	123.16565752029419
4	0.0	0.0	0.0	0.0	49.04871	147.14613	490.4871	0.0	1000.0	1000.0	15999	12.793111	0.8218594	14.396221	11.107904	12.793106	0.82186276	14.394291	11.105753	-1.3667886	0.16545613	-0.99053264	-6.6624193	-13.065377	0.00075518194	0.00075871183	168.9791419506073
5	5.017127e-19	8.689919e-19	2.0068508e-18	0.0	4.49989e-40	0.0	4.499892e-39	0.0	1000.0	1000.0	19999	15.376171	0.68433374	16.69614	13.9350815	15.376171	0.68434113	16.69559	13.933428	-1.366946	0.16602607	-0.999413	-5.696709	-15.648553	0.0007804513	0.0007859674	214.78880286216736
6	0.0	0.0	0.0	0.0	8.1325525e-32	0.0	8.132552e-31	0.0	1000.0	1000.0	23999	17.500868	0.5584807	18.60259	16.327682	17.500868	0.5584855	18.604622	16.325678	-1.3672408	0.16537514	-1.0169027	-7.0213213	-17.772875	0.00078706647	0.00078966527	259.2371940612793
7	0.0	0.0	0.0	0.0	4.1713924e-12	1.2514176e-11	4.1713924e-11	0.0	1000.0	1000.0	27999	19.238392	0.45680285	20.163614	18.262707	19.23839	0.45681712	20.168858	18.262352	-1.3666364	0.16532062	-1.0023398	-6.5488863	-19.510664	0.0008197563	0.00082624046	307.34426069259644
8	7.3135935e-26	0.0	2.9254374e-25	0.0	0.013764292	0.041292876	0.13764292	0.0	1000.0	1000.0	31999	20.661524	0.37439492	21.44348	19.82624	20.66153	0.37440005	21.445202	19.826027	-1.367186	0.16609663	-1.0134969	-7.0997386	-20.9334	0.00082148315	0.0008237088	352.77419781684875
9	6.2648498e-12	1.0851038e-11	2.5059399e-11	0.0	0.97215873	2.9164762	9.721587	0.0	1000.0	1000.0	35999	21.827604	0.30860087	22.501753	21.124113	21.827608	0.3086198	22.506376	21.124256	-1.3666775	0.16541187	-1.0057852	-6.268783	-22.10007	0.000850353	0.0008562814	399.25611758232117
10	0.0	0.0	0.0	0.0	1.1380928e-06	3.4142786e-06	1.1380928e-05	0.0	1000.0	1000.0	39999	22.782108	0.25141823	23.332092	22.20872	22.782108	0.25143597	23.33191	22.20851	-1.3664261	0.16469204	-1.0073919	-6.3945374	-23.054583	0.0008488542	0.00085321575	444.3136451244354
