Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	128.68954	212.93494	497.46872	1.863348	64.659	94.01619	255.646	2.2955508	1000.0	1000.0	3999	12.187138	6.961725	41.812775	-11.714692	12.1871805	6.9616017	41.893566	-9.640839	-6.539642	3.4246874	130.10762	-15.166061	-13.8726845	0.15544973	0.15185024	52.05858850479126
2	126.37808	214.50496	497.9113	2.290467	21.848198	12.363912	48.63405	9.485279	1000.0	1000.0	7999	98.56875	63.814583	323.343	8.793331	98.5685	63.81346	324.06757	9.32507	13.045064	8.969761	86.178474	-18.45021	-110.64693	6.1155667	6.217628	113.07615637779236
3	136.41829	207.30641	495.4027	10.336668	25.046764	11.11707	51.019447	10.990102	1000.0	1000.0	11999	555.3304	215.46826	2102.6438	-516.59845	555.32587	215.46942	2208.6392	-815.0432	33.70017	12.8366995	557.6199	-13.580984	-597.622	156.06369	159.28354	176.8984682559967
4	23.237896	12.245289	37.623043	6.2253757	113.0367	174.23447	475.71866	6.7371316	1000.0	1000.0	15999	1201.5596	182.08356	2547.6665	376.80872	1201.5662	182.03845	2155.8623	414.68597	39.987377	15.1379	423.49225	-6.844057	-1241.6975	351.90207	352.27777	242.61274218559265
5	39.733173	51.63444	128.62614	4.9146953	111.91936	199.63159	515.19946	4.5253544	1000.0	1000.0	19999	1545.0618	138.30624	2191.847	905.5146	1545.0514	138.28946	2352.1086	750.75275	33.932587	14.991475	248.19022	-10.488793	-1565.6755	344.44226	358.47696	308.23553371429443
6	12.361358	2.1187878	15.008242	10.141662	32.058956	36.176052	122.0417	3.5548105	1000.0	1000.0	23999	1512.0886	211.63713	2234.5232	824.9657	1512.0917	211.58812	2210.2168	866.90717	23.5546	13.016074	207.00029	-15.376543	-1521.0096	231.9706	234.20125	374.7639284133911
7	5.8947625	1.5812593	7.7309136	3.6380413	56.81496	140.78745	479.04657	4.400274	1000.0	1000.0	27999	1335.3656	274.46048	2217.5352	715.0972	1335.3706	274.43423	2216.6736	795.06604	13.231526	9.82157	154.89009	-16.66501	-1338.46	131.49437	128.45059	440.8766453266144
8	8.598167	4.9477963	16.62868	3.6019897	209.05624	237.33438	501.92682	6.247582	1000.0	1000.0	31999	1117.7389	286.7869	2082.4373	634.9842	1117.7411	286.77957	2124.1274	690.6276	6.1597476	8.291225	86.82036	-17.827251	-1118.3695	66.69388	68.1791	507.2242052555084
9	133.90791	209.93706	497.52277	11.085319	18.481556	26.877745	93.81339	0.58358514	1000.0	1000.0	35999	935.16266	298.59256	1955.4911	509.46707	935.1638	298.58112	2171.241	618.7645	0.4990369	7.304045	133.73692	-19.134798	-935.17725	52.996124	55.86893	573.7593259811401
10	10.0396595	5.7790594	18.27012	2.5737462	150.37265	214.5658	481.0332	4.4979844	1000.0	1000.0	39999	777.5621	279.03293	1776.7312	474.04343	777.5616	279.0289	1815.2968	528.2752	-2.9995224	6.185793	73.61383	-18.611322	-777.89575	30.961143	31.760105	639.7340896129608
