Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	244.38492	408.15927	951.322	5.3565807	232.56027	360.44238	966.05945	5.098976	1000.0	1000.0	3999	5.932394	3.4327655	18.822369	-0.11697986	5.932407	3.4327412	18.773783	-0.23273164	-3.3870358	0.37911576	-0.12057209	-8.896331	-6.5985336	0.0041819555	0.004199154	36.100337743759155
2	248.20364	392.0096	926.6014	5.1622286	109.22988	171.03323	578.28217	11.067044	1000.0	1000.0	7999	19.365774	6.9704094	47.208588	8.228675	19.365786	6.970326	47.26585	8.098941	-3.0285182	0.9430779	2.48839	-10.491876	-20.093294	0.012370601	0.01228002	76.94881391525269
3	77.552086	80.77818	202.37286	4.72779	15.742165	16.612135	52.60382	5.2362046	1000.0	1000.0	11999	33.410976	10.013748	69.96422	18.278505	33.41095	10.013665	69.96799	18.190672	-2.8930213	1.056631	3.4410648	-11.999922	-34.13427	0.023586713	0.02343539	121.91146898269653
4	16.710062	11.094973	31.84888	5.1966686	242.33264	292.4193	729.9664	6.4749966	1000.0	1000.0	15999	46.592495	13.419562	89.26298	27.410398	46.592457	13.419729	89.191055	27.40434	-3.004262	0.97952926	4.598864	-11.338572	-47.259663	0.030578883	0.030306105	166.75768566131592
5	38.081768	44.37145	114.68159	6.758327	36.405632	53.13163	177.68463	4.583847	1000.0	1000.0	19999	54.00673	14.547481	103.18981	34.294075	54.006725	14.547576	102.707214	34.212425	-3.1183572	0.8268916	2.6553373	-10.603473	-54.62706	0.034256708	0.035217773	215.42189168930054
6	117.88716	83.60628	226.10097	32.768604	148.33238	294.49933	957.27136	7.60822	1000.0	1000.0	23999	60.538277	16.878374	114.69411	39.634907	60.538235	16.87835	114.64175	39.48253	-3.1420162	0.8032771	3.1616106	-10.121592	-61.13535	0.040233843	0.041588176	261.3883647918701
7	276.7425	371.4492	911.7272	8.582552	148.514	232.59543	760.8695	7.567448	1000.0	1000.0	27999	64.43784	17.889925	124.22	44.39423	64.43787	17.890043	124.8065	44.268658	-3.2068777	0.7085506	2.6745877	-9.919572	-65.02319	0.041539785	0.040939957	308.2652142047882
8	18.627754	10.425786	33.16773	7.305881	178.69049	237.73468	760.26654	5.0040603	1000.0	1000.0	31999	68.18007	20.68415	131.79594	47.843365	68.180046	20.684189	132.05266	47.735588	-3.2565188	0.6331499	2.64893	-11.0974245	-68.75902	0.042392183	0.043057527	354.7389979362488
9	469.03302	330.72778	853.7579	20.262554	47.17515	98.53717	342.10922	4.9913397	1000.0	1000.0	35999	72.05772	23.67703	137.71307	50.60383	72.05773	23.677126	137.69412	50.74141	-3.2854478	0.5935902	3.4588757	-10.239201	-72.62785	0.044353746	0.044365767	402.5613760948181
10	82.09205	107.48306	267.56235	8.582375	224.21716	351.84326	965.07776	4.437047	1000.0	1000.0	39999	75.30238	25.360434	142.52087	52.864456	75.30238	25.360527	142.53636	52.935528	-3.2717881	0.6172489	3.7869601	-10.583804	-75.87759	0.04798354	0.046946313	449.8078119754791
11	427.71747	347.99387	977.9637	27.28961	228.66272	339.99957	988.37225	5.927347	1000.0	1000.0	43999	77.404495	27.210308	146.99763	54.381004	77.40449	27.210316	146.77896	54.433277	-3.2515867	0.65305966	4.658742	-10.450401	-77.97692	0.055624183	0.05394426	496.9730558395386
12	102.69654	164.49326	387.60205	6.2945766	139.50832	259.30148	848.15204	6.4793825	1000.0	1000.0	47999	79.568886	28.507603	149.91486	55.47058	79.56882	28.507448	150.5404	55.46973	-3.2577887	0.6324079	1.879406	-12.256738	-80.13001	0.054506794	0.056985896	543.1982290744781
13	53.60917	54.330452	140.81058	5.530121	194.67264	257.47324	797.71844	4.3853145	1000.0	1000.0	51999	79.24389	28.31296	152.87347	56.23146	79.243935	28.31293	152.97484	56.042057	-3.2917829	0.5691271	1.0120559	-8.653285	-79.80021	0.054007836	0.051362228	588.5654134750366
14	18.716228	5.8385725	27.909443	11.679813	32.75621	45.12234	158.68867	6.7558107	1000.0	1000.0	55999	78.453835	27.688976	155.59846	57.21717	78.45387	27.68911	156.20502	57.11517	-3.3198078	0.5183777	1.3238773	-9.957467	-79.00892	0.052317757	0.05153412	633.3558528423309
