Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	22.362053	1.0111755	23.778938	20.974958	17.793766	5.9845176	23.483479	9.803836	1000.0	1000.0	3999	4.592347	3.0625615	11.759298	-7.334877	4.5919414	3.063374	11.830171	-9.341878	-3.9661324	0.7517965	64.446655	-10.387816	-5.3453684	0.04182166	0.044140656	34.48086667060852
2	24.660664	2.440346	28.745817	22.278793	22.605688	0.5265365	23.444191	21.527325	1000.0	1000.0	7999	16.008541	3.5303802	24.753202	7.6475267	16.008484	3.530523	24.678347	7.914841	-4.070299	0.3901544	-1.0033598	-9.508291	-16.751232	0.026020914	0.026545918	74.73421382904053
3	23.850603	0.35108262	24.137428	23.251682	22.124243	0.47475362	22.972466	21.454664	1000.0	1000.0	11999	27.134027	2.9868398	34.963383	17.450844	27.133907	2.9872093	34.95621	17.33702	-4.0592127	0.41620895	-0.8248577	-11.536715	-27.872757	0.028729314	0.029555866	117.50414323806763
4	23.389338	0.98024356	24.77968	22.408464	22.43772	0.4675095	23.249493	21.90069	1000.0	1000.0	15999	36.38009	2.4715898	43.26006	28.273525	36.38005	2.472153	43.240208	27.900965	-4.061405	0.40497062	-0.16255045	-11.482658	-37.116577	0.029902313	0.03071191	161.81199288368225
5	24.497992	0.62596464	25.317364	23.761269	22.22712	0.33741754	22.59649	21.629602	1000.0	1000.0	19999	44.057613	2.0579922	50.27597	36.631958	44.057613	2.0582464	50.179863	36.48088	-4.0613017	0.4025998	0.74851227	-9.897976	-44.789345	0.030152591	0.030233227	206.27391648292542
6	23.92329	0.7611882	24.896221	23.026588	22.76314	1.0369034	25.554623	21.715551	1000.0	1000.0	23999	50.38272	1.7140087	55.860172	43.37336	50.382706	1.7142596	55.853573	43.42765	-4.0660133	0.38793132	-0.24860859	-9.804281	-51.11397	0.030079499	0.030558389	250.34729480743408
7	24.385029	1.3854016	26.63929	22.894037	22.7431	0.9736116	25.315733	21.708338	1000.0	1000.0	27999	55.571255	1.4359275	60.740158	48.019768	55.57114	1.4363147	60.907303	48.243717	-4.066984	0.38777804	0.7247143	-10.34293	-56.300175	0.030969158	0.03153818	293.69051790237427
8	24.101526	0.808696	24.99039	22.948296	28.60285	18.540926	84.21729	21.583662	1000.0	1000.0	31999	59.818207	1.1975265	64.32077	53.17751	59.818195	1.1976609	64.41877	52.967213	-4.065089	0.390427	0.24141264	-10.382593	-60.54675	0.029991549	0.030212304	337.7251214981079
9	24.537415	0.40499038	24.916958	23.90583	22.537548	0.48285902	23.498785	21.637646	1000.0	1000.0	35999	63.267246	1.0047126	67.76828	55.569473	63.267223	1.0054044	67.46609	55.87401	-4.068835	0.38386592	1.6057425	-9.748803	-63.99639	0.02954614	0.030080566	381.455194234848
10	25.437057	2.538427	29.247139	22.099648	24.364254	6.3624763	43.435043	21.723602	1000.0	1000.0	39999	66.07822	0.8720934	71.00404	58.10573	66.07819	0.8730536	70.66184	58.154327	-4.067355	0.3845415	-0.20416784	-11.386389	-66.80772	0.029583408	0.030085245	426.4318675994873
11	24.024607	1.6354386	26.53911	22.570515	22.58432	0.9120253	24.401102	21.063745	1000.0	1000.0	43999	68.36139	0.78120726	72.566895	60.028076	68.36137	0.7802983	72.64451	60.96823	-4.06844	0.38345137	-0.62954473	-9.948019	-69.08958	0.030306214	0.029619135	471.35237216949463
