Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.062456414	0.06326199	0.13914491	6.8857984e-12	7.445295	15.002664	48.06186	1.4280061e-11	1000.0	1000.0	3999	-0.07946315	0.087487936	0.48911443	-1.3572285	-0.07946381	0.08721462	0.5659064	-1.183334	0.073076315	0.00043456734	26.56169819831848
2	1.7786137	3.07511	7.104856	1.1588452e-08	2.2557251	5.107334	17.104015	9.663152e-08	1000.0	1000.0	7999	-0.08840457	0.10617242	0.6737914	-0.8178142	-0.08840241	0.10617877	0.68652296	-0.8262602	0.08562172	6.0850918e-05	56.3682005405426
3	0.19584218	0.32520393	0.75884545	2.613966e-07	7.331315	18.925821	63.83268	5.3237903e-09	1000.0	1000.0	11999	-0.070166305	0.11883343	2.4547484	-0.6927827	-0.07016806	0.11883153	2.5780807	-0.69758666	0.06926412	6.155734e-05	87.01376175880432
4	2.8253145	4.6178746	10.816358	1.538107e-07	0.70777994	1.9980161	6.6938877	1.8522526e-11	1000.0	1000.0	15999	-0.06795788	0.20341264	5.5385303	-0.73573047	-0.06795472	0.20343861	5.4295106	-0.76309747	0.0668167	0.00027548755	119.80352401733398
5	0.026616476	0.046100922	0.106465615	6.3534655e-10	0.31986827	0.4559799	1.1621808	7.789393e-12	1000.0	1000.0	19999	-0.057110578	0.26798835	8.451854	-0.62070674	-0.05711179	0.26797324	8.583127	-0.6280647	0.05526833	0.0004434102	152.16843557357788
6	3.4973054	5.7634435	13.47737	0.00011010249	0.13367708	0.34479892	1.1596807	1.898621e-11	1000.0	1000.0	23999	-0.035209242	0.35631403	10.984308	-0.50762695	-0.035214294	0.35637355	11.13506	-0.5010247	0.033478502	0.0006220915	185.1358847618103
7	4.808068	8.326706	19.230345	7.8264675e-06	0.86187154	1.774139	5.546322	2.8916288e-11	1000.0	1000.0	27999	-0.021449702	0.4928491	15.313828	-0.48133552	-0.02144957	0.4927197	14.757239	-0.46941364	0.020471204	0.0011117461	218.34172677993774
8	0.0022965218	0.003879043	0.009014121	2.6522289e-09	0.14965811	0.25497502	0.8381391	3.433508e-10	1000.0	1000.0	31999	-0.020762917	0.5122138	16.98638	-0.5225892	-0.020758947	0.5122368	16.927881	-0.5248538	0.020204214	0.0010431516	251.42978692054749
9	0.09059256	0.15691093	0.36237025	7.368757e-12	15.410024	40.15847	135.33762	5.843219e-12	1000.0	1000.0	35999	-0.021889487	0.47049114	17.501213	-0.35557622	-0.021889316	0.47052154	17.543589	-0.37029612	0.022221958	0.0009429106	283.06837797164917
10	0.13118753	0.2253972	0.5215847	0.00036114297	4.5646873	8.434209	23.204145	4.6388105e-11	1000.0	1000.0	39999	-0.025470847	0.4112946	17.772238	-0.33833736	-0.025470478	0.41142038	17.506916	-0.3480091	0.024330586	0.001007627	315.42814683914185
11	3.338192	5.280286	12.477157	0.00029501523	3.9940934	11.436691	38.27452	1.923996e-10	1000.0	1000.0	43999	-0.027945217	0.35712457	16.757648	-0.378203	-0.027945586	0.35701615	17.183199	-0.3691794	0.028679531	0.0006539965	348.2721269130707
12	0.2267157	0.19306841	0.43028593	0.0027293651	18.37392	28.82229	84.006226	1.7041327e-07	1000.0	1000.0	47999	-0.026304005	0.35127398	14.832635	-0.511674	-0.026303725	0.351374	15.08077	-0.4321828	0.0257672	0.0007421399	379.8950583934784
13	0.059369393	0.06852153	0.17400374	9.0711785e-09	8.608572	15.264736	48.804916	1.2259694e-08	1000.0	1000.0	51999	-0.026505142	0.35394877	16.22004	-0.48464584	-0.026505772	0.35388696	15.06315	-0.46301222	0.026482182	0.00083276356	411.80225682258606
