Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	20.527973	10.269456	33.09026	6.6834893	135.36153	3.1212428	140.85326	132.97832	1000.0	1000.0	3999	0.047934096	0.17942944	1.272592	-0.6527406	0.047941204	0.17928211	1.2655239	-0.44451714	-0.059348103	0.00034649976	42.326582193374634
2	56.019047	42.59663	125.21274	17.716784	136.45908	3.767355	146.0749	132.8792	1000.0	1000.0	7999	0.32471862	0.40846232	3.2955315	-0.20348074	0.3247219	0.4084544	3.2893987	-0.20721848	-0.34109825	0.00027591604	87.29542827606201
3	86.703964	68.96001	171.02158	14.94792	153.4791	11.319814	174.67467	141.21211	1000.0	1000.0	11999	0.88475305	0.9416081	7.0041113	-0.16808757	0.88475806	0.9416142	6.9418077	-0.21383151	-0.9100825	0.0016330994	135.8409824371338
4	154.41055	13.35896	172.93932	135.1707	157.0027	0.4677588	157.5089	156.29332	1000.0	1000.0	15999	1.9515854	1.6833453	12.118185	-0.2622804	1.9515883	1.6833451	11.96792	-0.2834806	-1.9861261	0.004121518	185.64646077156067
5	170.30803	19.7848	204.26704	156.7263	144.28865	8.322095	158.50359	135.72772	1000.0	1000.0	19999	3.446335	2.564784	18.132208	-0.7421048	3.446394	2.5646896	18.105127	-0.6999227	-3.4926515	0.009953823	235.97645497322083
6	164.31856	12.371942	179.90475	145.74017	184.42868	1.9478085	186.46156	181.14612	1000.0	1000.0	23999	4.8863645	3.045453	22.927916	-0.6987947	4.8863664	3.0454175	22.833277	-0.548721	-4.932878	0.012417377	286.4290175437927
7	169.96918	4.299909	176.97224	165.92511	163.54724	4.3654037	176.17616	159.99484	1000.0	1000.0	27999	6.1274595	3.2563488	27.116531	-0.078582704	6.127506	3.256297	26.896305	-0.20512491	-6.1777897	0.012482968	335.94106698036194
8	166.61476	10.989831	185.28664	157.16309	168.38902	0.4970303	169.1298	167.6697	1000.0	1000.0	31999	7.2739058	3.4929435	29.305935	0.63221216	7.2739005	3.4930391	29.229788	0.7536441	-7.32188	0.014889284	386.63107657432556
9	232.44868	78.19369	363.41687	171.29356	220.75601	0.6903449	222.31944	219.86295	1000.0	1000.0	35999	8.240326	3.8501825	31.01754	1.7562009	8.240282	3.8503072	30.96817	1.6773058	-8.282635	0.015949603	438.3673360347748
10	169.66223	36.07916	232.02055	146.25948	296.66293	118.88152	514.6123	168.47453	1000.0	1000.0	39999	9.216839	4.4859176	36.181404	2.0055013	9.216882	4.485967	36.204945	2.0163174	-9.254432	0.022164917	487.93836188316345
11	215.04782	52.314903	296.04053	151.42603	138.29453	0.22133076	138.79585	138.07236	1000.0	1000.0	43999	10.0289545	5.061092	40.76265	2.1500347	10.028946	5.0611544	40.7836	2.1721876	-10.091078	0.028093094	538.5954611301422
12	191.64874	72.93646	317.18585	140.76242	151.64499	1.0620632	153.86008	150.19983	1000.0	1000.0	47999	10.744886	5.5299473	44.212505	2.5062926	10.744886	5.5300226	44.36025	2.430974	-10.785594	0.037735097	589.8631060123444
13	297.82175	87.0056	364.82343	152.05841	286.40845	114.35075	516.5517	218.92253	1000.0	1000.0	51999	11.567516	6.2559357	48.25929	2.8253279	11.567575	6.255936	48.046288	2.7408257	-11.639226	0.04623726	638.8287320137024
14	570.1911	210.52423	806.9185	258.4854	239.95145	12.122312	256.47772	221.27927	1000.0	1000.0	55999	12.99767	8.125616	53.73588	2.8780563	12.997702	8.125538	53.758823	2.872317	-13.069517	0.059421595	687.6740987300873
15	335.79108	198.73349	665.32947	173.39008	209.54448	46.900925	349.3951	185.26277	1000.0	1000.0	59999	14.847025	10.455342	57.954784	2.7062426	14.847061	10.4552555	57.869286	2.827077	-14.931639	0.06833261	736.3471279144287
16	580.77673	218.59285	723.42053	203.56146	742.5695	0.43985692	743.5198	742.0516	1000.0	1000.0	63999	16.312426	12.102713	61.893475	2.54963	16.312502	12.10267	61.883434	2.4562066	-16.380148	0.07806968	784.6978256702423
17	514.1148	129.6086	704.4987	352.68683	374.401	100.768616	674.4344	319.85916	1000.0	1000.0	67999	18.420382	14.271313	65.186	2.442812	18.42039	14.271361	65.47767	2.3234606	-18.481035	0.09830191	833.1409475803375
18	653.9335	145.71637	754.2818	403.38895	766.2354	2.151009	768.6132	762.4944	1000.0	1000.0	71999	20.357067	15.917979	67.67019	1.1467917	20.35699	15.918042	67.27532	-0.30773532	-20.487696	0.11866169	881.6823709011078
19	756.7763	19.816648	785.9389	730.2205	720.2727	0.8451717	721.6383	718.84393	1000.0	1000.0	75999	22.923397	18.133495	69.46593	0.39699304	22.923523	18.133543	69.21707	0.34812158	-23.005161	0.13533877	930.3100073337555
20	744.4259	9.108732	759.8833	736.51654	741.11633	1.5743473	743.08777	737.0782	1000.0	1000.0	79999	25.327478	20.012638	70.929146	0.26110888	25.32738	20.012817	71.154144	-0.0019218922	-25.424982	0.15056823	978.9012265205383
21	734.8944	10.8132925	751.98706	722.42474	677.4245	0.1371149	677.61395	677.21375	1000.0	1000.0	83999	27.7933	21.658138	73.640884	0.5219449	27.793322	21.658283	73.45686	0.8697134	-27.97716	0.16907589	1027.3985924720764
22	748.61475	32.733967	780.0014	694.0945	757.1688	0.26567885	757.73334	756.71625	1000.0	1000.0	87999	29.96769	22.979223	75.50158	-0.060304165	29.967672	22.9792	75.49085	0.0476411	-30.068628	0.17126948	1075.8384211063385
23	774.7217	6.14557	782.70856	766.9971	839.3973	0.4164273	840.1617	838.6841	1000.0	1000.0	91999	32.27331	24.286606	77.26638	-1.0328228	32.273445	24.286495	77.14307	-0.9228753	-32.377026	0.17637713	1124.3596279621124
24	785.102	5.3050623	792.0354	779.9375	808.95624	0.26927915	809.32733	808.40173	1000.0	1000.0	95999	34.456684	25.423481	79.03299	-1.3231666	34.456703	25.423674	78.71294	-0.9137939	-34.656437	0.19085929	1172.7346005439758
25	792.07446	13.182445	810.33545	775.5648	821.93445	0.23413117	822.3486	821.61725	1000.0	1000.0	99999	36.470116	26.407154	80.42289	-0.74263036	36.470074	26.4073	80.4433	-0.79890645	-36.531338	0.20809223	1220.8229041099548
26	809.83484	6.1035233	817.8992	801.74927	847.91345	0.44175264	848.87756	847.3266	1000.0	1000.0	103999	38.43987	27.27293	81.691956	0.22519231	38.43986	27.27289	81.73105	0.5421481	-38.615585	0.21178207	1269.2413318157196
27	828.9414	4.237121	835.95557	825.4625	794.9362	0.47288045	795.4976	794.07214	1000.0	1000.0	107999	40.307476	28.03982	82.90221	-1.6253269	40.307346	28.040089	82.95893	-0.5124552	-40.47489	0.22671206	1317.8116538524628
28	827.4864	10.350845	844.61017	816.831	862.2167	0.25703025	862.7357	861.72205	1000.0	1000.0	111999	42.09301	28.693783	84.079185	-0.043218493	42.092915	28.693928	84.07429	0.18963885	-42.11088	0.22938147	1366.4165098667145
29	856.4839	6.4223747	864.0945	847.59143	868.4269	0.35787612	868.98004	867.981	1000.0	1000.0	115999	43.95123	29.324755	85.21976	-3.1124163	43.951214	29.324755	85.06838	-1.0451787	-44.066128	0.23561774	1415.0774986743927
30	863.87305	5.7385726	871.66504	855.4947	838.52765	0.40742633	839.102	837.7756	1000.0	1000.0	119999	45.666126	29.913525	86.55404	-0.6159755	45.66616	29.913591	86.6645	0.24820578	-45.81189	0.24289963	1463.139232158661
31	844.91077	13.92976	856.62854	821.4101	821.597	0.2745715	822.0882	821.05115	1000.0	1000.0	123999	47.368237	30.425331	87.760704	-0.8039048	47.36822	30.425327	87.435005	-0.48815846	-47.538338	0.24335736	1511.8575947284698
32	845.43066	11.797537	858.3237	828.45874	861.0379	0.40809143	861.96014	860.53174	1000.0	1000.0	127999	48.79992	30.853205	88.54279	0.8574381	48.799915	30.853271	88.46539	1.6028279	-48.980446	0.23797436	1560.5704147815704
33	859.33813	5.07367	864.5503	851.0576	841.1442	0.39089978	841.8441	840.2548	1000.0	1000.0	131999	50.28864	31.196165	89.3485	0.9244571	50.288605	31.196302	89.31712	1.0125805	-50.402542	0.25944006	1609.3702383041382
34	845.49756	8.575846	856.57446	832.89233	859.21094	0.40456837	860.19147	858.8081	1000.0	1000.0	135999	51.614513	31.476526	89.965256	1.7865547	51.61451	31.476614	90.1357	2.76637	-51.718422	0.24559781	1658.2552251815796
35	851.1838	13.331281	866.94324	830.0427	860.1652	0.18925203	860.4768	859.8592	1000.0	1000.0	139999	52.89716	31.74239	90.69322	3.4763367	52.89718	31.742434	90.62378	2.8859906	-53.04352	0.24447046	1706.9269134998322
36	842.5165	9.978158	851.1373	825.5318	470.7208	1.4805932	472.12088	466.9941	1000.0	1000.0	143999	54.199444	31.992025	91.1783	0.63955593	54.199516	31.992031	91.21905	0.62928283	-54.34	0.23429611	1755.752082824707
37	819.11487	21.789095	843.3228	793.89276	842.67224	1.0257396	844.179	841.3337	1000.0	1000.0	147999	55.331345	32.180603	91.62738	-2.1623807	55.331295	32.180763	91.76527	-2.7799048	-55.35296	0.2512661	1804.2904431819916
38	845.0786	17.124933	867.4718	819.41266	863.87805	0.37126285	864.4244	863.2244	1000.0	1000.0	151999	56.35235	32.285793	92.156235	-1.8585861	56.352356	32.28596	92.23116	-1.721039	-56.496666	0.24606636	1852.8245112895966
39	719.31647	226.93883	860.6963	326.77307	847.271	0.6969266	848.31415	846.02734	1000.0	1000.0	155999	57.11224	32.552727	92.93561	-1.3404542	57.112175	32.55311	92.8151	-1.158039	-57.22472	0.24607755	1901.4728457927704
40	751.05853	159.53764	858.20984	475.45187	848.19745	0.26700774	848.6157	847.7901	1000.0	1000.0	159999	58.14668	32.870293	93.52537	-3.335649	58.14664	32.870464	93.532036	-3.5120432	-58.246475	0.2514653	1950.2867650985718
41	799.75366	24.050238	840.5222	781.22577	847.99384	0.11606303	848.2913	847.83435	1000.0	1000.0	163999	59.086346	32.991665	94.17654	-4.626515	59.086353	32.991817	94.18029	-2.901029	-59.215466	0.25319827	1999.0752863883972
42	834.72156	10.183424	850.01965	825.0222	820.8348	0.13291068	821.0064	820.60736	1000.0	1000.0	167999	59.92283	33.086643	94.6061	-1.0641992	59.92277	33.08672	94.764496	-0.4377103	-60.035217	0.26001415	2047.90181350708
43	809.0383	39.964577	854.4671	753.82556	814.7831	0.22774169	815.1914	814.4196	1000.0	1000.0	171999	60.67365	33.133366	94.83407	-0.887406	60.67366	33.13358	94.78958	-0.8703302	-60.873737	0.2567755	2096.848940372467
44	802.57513	35.82357	841.43756	748.4753	846.9116	0.23310004	847.24805	846.3428	1000.0	1000.0	175999	61.477493	33.015785	95.051544	-0.90451396	61.477455	33.01606	94.965096	-0.6203835	-61.46837	0.23839493	2145.921488046646
45	796.09344	78.591934	856.2919	660.9358	840.5547	0.33089662	840.95013	839.9933	1000.0	1000.0	179999	62.19597	33.048313	95.405785	0.2860614	62.19592	33.04851	95.28539	0.6712489	-62.35673	0.23497787	2195.281858444214
46	815.9114	53.03755	860.0125	725.25555	767.1052	0.36940193	767.61707	766.27527	1000.0	1000.0	183999	62.89024	33.000576	95.452156	0.5757139	62.89017	33.00088	95.37633	1.3336377	-63.027687	0.23420675	2244.354872226715
47	796.55725	69.77846	852.8118	677.0439	813.6693	0.8599126	814.83435	811.99225	1000.0	1000.0	187999	63.352283	32.864166	95.45656	1.5558109	63.35239	32.86414	95.38277	0.90886676	-63.45379	0.22858274	2293.2937619686127
48	793.02936	40.329964	832.3603	726.27075	847.9754	0.59538376	848.90826	847.2983	1000.0	1000.0	191999	63.79926	32.800137	95.44953	1.218209	63.799404	32.799976	95.58839	0.78740764	-63.911602	0.22668	2342.2815523147583
49	834.85767	6.548324	843.7925	825.5998	850.3135	0.34060472	850.7779	849.66376	1000.0	1000.0	195999	64.46881	32.62871	95.875336	-0.44987106	64.468895	32.628807	95.82533	-1.5069017	-64.52204	0.24033137	2391.530186653137
50	855.69366	5.332347	863.2513	850.2767	872.4977	0.25988573	872.903	872.10205	1000.0	1000.0	199999	65.0046	32.547657	95.88811	0.18641913	65.00467	32.54775	95.94964	0.46035886	-65.10283	0.22752573	2440.90549826622
51	846.22754	18.867659	860.4971	814.15625	825.9531	1.766225	827.92786	822.2872	1000.0	1000.0	203999	65.61995	32.468727	96.02693	0.7707317	65.61997	32.46866	96.061325	2.3671453	-65.78851	0.23942126	2490.0367572307587
52	864.30054	6.2594	871.24054	855.26825	872.2892	0.13208646	872.4962	872.02454	1000.0	1000.0	207999	66.01836	32.489826	96.212234	4.0624022	66.01843	32.489864	96.256676	3.8133767	-66.095184	0.2451158	2538.9375500679016
53	853.4105	16.060795	866.13684	825.8472	872.43896	0.3985681	873.1117	871.77234	1000.0	1000.0	211999	66.74856	32.45365	96.62557	3.712965	66.748634	32.453495	96.734215	3.612249	-66.81094	0.23162375	2587.7817804813385
54	830.505	30.249905	864.27325	791.70355	823.151	0.4961274	824.20703	822.3963	1000.0	1000.0	215999	67.26833	32.475124	97.22544	4.1647115	67.268394	32.475216	97.34668	3.4466252	-67.39265	0.24903235	2636.9755158424377
55	821.5779	33.214718	862.28204	776.5931	846.33527	1.1611737	848.34076	845.0217	1000.0	1000.0	219999	67.47355	32.406483	97.42902	4.977351	67.47363	32.406395	97.39529	4.552273	-67.55658	0.23685037	2685.9887096881866
56	862.03876	8.928693	872.95215	848.09863	875.67267	0.42536426	876.3041	874.95984	1000.0	1000.0	223999	67.9884	32.282967	97.55368	4.491155	67.98843	32.28297	97.44348	3.4226518	-68.00879	0.21869808	2735.477834701538
57	852.58325	6.078957	857.26276	842.15234	810.55396	0.77273965	812.23975	809.5029	1000.0	1000.0	227999	68.49186	32.372974	97.79825	4.533418	68.49182	32.37299	97.8362	1.1497724	-68.55931	0.23810533	2784.7629466056824
