Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	-0.010556739	0.08146088	0.30480027	-0.49988547	-0.010568571	0.08131766	0.3085654	-0.50338316	-0.0018768006	0.00016558028	31.711457014083862
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.052451607	0.06314029	0.24218097	-0.19930688	0.052452877	0.063129805	0.22553855	-0.20608772	-0.058858626	2.7895354e-05	67.64685320854187
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	0.06823747	0.06150416	0.22717819	-0.373129	0.068238825	0.06150105	0.22663775	-0.38529253	-0.070193626	1.2650623e-05	105.85951542854309
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	0.031658437	0.076788485	0.21066687	-0.32492346	0.031658377	0.07678821	0.21064058	-0.31561884	-0.030718124	4.122314e-06	146.56199073791504
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	-0.002039916	0.067020796	0.18288085	-0.26389405	-0.0020398675	0.06702075	0.18298407	-0.2652256	0.0039102994	2.6966943e-06	186.78915643692017
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	-0.023626179	0.051777013	0.16292773	-0.23390996	-0.02362659	0.051776994	0.16390473	-0.23759761	0.024060868	3.0440888e-06	227.41136574745178
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	-0.008504327	0.05079127	0.14194211	-0.17393818	-0.008504417	0.05079114	0.14065717	-0.1739788	0.00653149	1.5959434e-06	267.2884449958801
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.0034949316	0.05054072	0.13163927	-0.13511868	0.0034947456	0.050540645	0.12879114	-0.13478217	-0.0048320615	1.0456043e-06	307.4057152271271
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	0.009424723	0.048015714	0.11089216	-0.12313063	0.009424836	0.048015695	0.11099528	-0.123876594	-0.010300978	7.5378955e-07	348.22670817375183
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.011130741	0.044571523	0.10075075	-0.11231021	0.01113078	0.04457168	0.1005976	-0.11261291	-0.011724626	6.2510316e-07	388.5527722835541
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.008815464	0.04093402	0.090160556	-0.10341523	0.008815446	0.040933967	0.09094734	-0.10165105	-0.008780605	4.935496e-07	428.7246608734131
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	0.005014471	0.03780179	0.07289116	-0.10219583	0.005014424	0.037801888	0.073755	-0.10057182	-0.004900603	3.7924892e-07	468.7560579776764
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	0.00033052746	0.03485317	0.0622609	-0.09358084	0.0003305162	0.03485335	0.061834805	-0.09278561	-2.5769532e-05	3.539305e-07	508.3801681995392
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	-0.004300678	0.03194931	0.05016955	-0.08862079	-0.004300588	0.03194928	0.048847206	-0.08816136	0.004619804	3.2579484e-07	548.4368281364441
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	-0.008195117	0.029242368	0.043952987	-0.08246537	-0.008195104	0.029242342	0.044325344	-0.08287065	0.0085605895	2.9375184e-07	588.8704361915588
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	-0.011315819	0.027155174	0.04049463	-0.07564645	-0.011315813	0.0271551	0.04006029	-0.075201906	0.01165279	2.4857314e-07	628.8289856910706
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	-0.012898521	0.026014136	0.03603322	-0.070475906	-0.012898588	0.026014194	0.036478765	-0.06983398	0.013178508	2.2808815e-07	668.5378346443176
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	-0.013758454	0.025194008	0.03216612	-0.06590935	-0.013758391	0.025193978	0.03281568	-0.06595654	0.0139355445	2.1205656e-07	708.5819983482361
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	-0.0140335085	0.024336454	0.03211997	-0.06111813	-0.014033546	0.024336604	0.034711484	-0.060788322	0.014149625	1.8800769e-07	747.972781419754
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	-0.01345314	0.022918308	0.030839931	-0.05687869	-0.013453125	0.022918124	0.03073283	-0.056689695	0.013505075	1.6272767e-07	788.0635025501251
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	-0.012100184	0.021049578	0.027589187	-0.05415614	-0.012100263	0.021049479	0.028176498	-0.053151626	0.01200495	1.2969504e-07	828.1458425521851
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	-0.010313727	0.018958187	0.024541624	-0.048871264	-0.010313774	0.018958166	0.024007259	-0.049050823	0.010185094	1.1582796e-07	868.4625868797302
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	-0.008352266	0.01667361	0.02102416	-0.044417825	-0.008352233	0.016673595	0.021117954	-0.04460413	0.008192815	9.859589e-08	908.2056834697723
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	-0.0066553648	0.014670082	0.01836177	-0.040236216	-0.00665535	0.014670104	0.019377142	-0.04115714	0.006521174	8.490741e-08	947.7420768737793
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	-0.0052594007	0.012859617	0.016085967	-0.033435285	-0.005259418	0.012859638	0.016578158	-0.03379301	0.005117046	6.697058e-08	987.732878446579
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	-0.0042230627	0.011294914	0.015284329	-0.025667366	-0.004223033	0.01129494	0.015103182	-0.02530947	0.0041055987	5.2961113e-08	1027.4791967868805
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	-0.003701746	0.010061445	0.01277869	-0.022047635	-0.0037017204	0.010061533	0.012404371	-0.022102807	0.0036513016	4.2182783e-08	1066.8807294368744
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	-0.003638111	0.009113465	0.010898711	-0.022439718	-0.003638131	0.009113502	0.010816697	-0.022479383	0.0036084184	3.4513143e-08	1106.3117496967316
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	-0.003619683	0.008189581	0.008751644	-0.021845274	-0.003619671	0.008189622	0.008759022	-0.021966262	0.0036257738	2.7965289e-08	1145.4658885002136
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	-0.003648918	0.0073653595	0.007405445	-0.020188235	-0.0036489177	0.0073653385	0.007660143	-0.020069817	0.003646963	2.2662416e-08	1184.537789106369
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	-0.0036440168	0.0066004354	0.006596514	-0.018252634	-0.0036439865	0.006600455	0.00684732	-0.017784547	0.0036237447	1.9964435e-08	1223.4607853889465
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	-0.0036660724	0.0059707365	0.0057868697	-0.015472957	-0.0036660861	0.0059707533	0.00567916	-0.015783729	0.0036806928	1.7426897e-08	1262.59916305542
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	-0.0036353231	0.005426544	0.0050055776	-0.01443797	-0.0036353248	0.0054264995	0.005001662	-0.01448344	0.0036502879	1.5123494e-08	1301.515976190567
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	-0.0035662428	0.0049340967	0.004767175	-0.012800848	-0.0035662304	0.004934044	0.004708376	-0.0135005	0.0035782573	1.4494178e-08	1340.8687608242035
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	-0.003495193	0.004539958	0.004013829	-0.011043243	-0.0034952143	0.0045398613	0.0040525347	-0.011113202	0.0035125397	1.584145e-08	1380.3174669742584
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	-0.0032848543	0.0041895183	0.003624524	-0.010555515	-0.0032848318	0.0041894205	0.0036257543	-0.010681491	0.0032808078	1.2927157e-08	1419.5051264762878
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	-0.003041664	0.0038789366	0.0034042522	-0.011207684	-0.0030416807	0.0038789206	0.0032067029	-0.011264482	0.0030405715	1.1520706e-08	1459.1000587940216
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	-0.0028374528	0.0036173682	0.0030614785	-0.011424636	-0.0028374414	0.0036173526	0.0029370906	-0.011512034	0.002830163	1.2298828e-08	1498.001365184784
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	-0.0026289439	0.003349795	0.002875384	-0.011562976	-0.002628952	0.0033497498	0.0029605646	-0.011701393	0.0026121044	1.3071449e-08	1538.190588235855
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	-0.0024294506	0.0030527154	0.0027032103	-0.012545329	-0.0024294495	0.0030526703	0.002948022	-0.013030674	0.0024253167	1.344902e-08	1577.615555047989
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	-0.0022122744	0.0027540613	0.002486954	-0.011666651	-0.0022122744	0.0027540193	0.0024418244	-0.011664857	0.002207547	1.2695837e-08	1617.630980014801
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	-0.0020427436	0.0024751008	0.0015895548	-0.0099414345	-0.0020427404	0.0024750328	0.0024105436	-0.010288559	0.0020368514	1.0249769e-08	1656.7791545391083
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	-0.0018593546	0.0022235746	0.0017475998	-0.009365847	-0.0018593546	0.0022235531	0.0019540016	-0.009090538	0.0018451781	7.1958604e-09	1696.326488018036
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	-0.0016813814	0.0019858757	0.0017732584	-0.008852209	-0.00168138	0.001985834	0.0018635599	-0.008783612	0.0016739956	6.226247e-09	1735.4672210216522
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	-0.001573866	0.0017989988	0.0016127441	-0.008394871	-0.0015738748	0.0017989628	0.0017770068	-0.008290813	0.0015671764	5.569993e-09	1774.5906672477722
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	-0.0015116544	0.001660982	0.0015641886	-0.00799949	-0.0015116432	0.0016609747	0.001638669	-0.008514229	0.0015143898	5.031009e-09	1814.2483930587769
