Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	85.75	111.3696	272.0	0.0	204.2	395.4685	1000.0	0.0	1000.0	1000.0	3999	0.19957031	0.3188579	3.908021	-1.907548	0.1995717	0.31756073	3.7547677	-1.7834892	-0.2416442	0.017712355	40.23693132400513
2	102.5	177.5352	410.0	0.0	199.5	399.00156	1000.0	0.0	1000.0	1000.0	7999	0.7266312	1.7166367	23.256067	-0.446074	0.7266045	1.7165071	23.272497	-0.60922354	-0.79888636	0.04410196	85.31547236442566
3	259.25	427.93887	1000.0	0.0	297.4	453.65033	1000.0	0.0	1000.0	1000.0	11999	3.086739	4.8567557	29.220947	-0.4555428	3.0868802	4.856727	29.463158	-0.44780368	-3.3809116	0.11940755	133.51689219474792
4	56.5	91.06454	214.0	0.0	173.9	352.66254	1000.0	0.0	1000.0	1000.0	15999	7.229851	7.9485245	36.958385	-10.981153	7.22991	7.9483852	35.676033	-9.268086	-7.638466	0.19184382	183.30156755447388
5	254.0	421.53766	984.0	0.0	198.7	396.66336	999.0	0.0	1000.0	1000.0	19999	10.068338	10.549211	44.41569	-9.082539	10.068522	10.549179	44.249977	-8.739502	-10.394661	0.37462348	234.71067357063293
6	497.25	497.2652	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	11.697799	13.311293	54.3631	-12.871641	11.697888	13.311178	54.451546	-12.825442	-12.063883	0.4969657	285.2585639953613
7	125.0	216.50635	500.0	0.0	198.3	396.6006	993.0	0.0	1000.0	1000.0	27999	14.891703	16.281034	65.4771	-10.982036	14.89196	16.28112	66.035774	-9.517951	-15.382929	1.22078	335.45158886909485
8	250.0	433.0127	1000.0	0.0	232.7	369.10678	985.0	0.0	1000.0	1000.0	31999	16.475805	19.395927	86.92487	-17.870777	16.475985	19.396053	86.38299	-11.203844	-16.874983	1.530827	386.7844398021698
9	0.25	0.4330127	1.0	0.0	315.4	447.52118	1000.0	0.0	1000.0	1000.0	35999	18.36293	23.666632	92.79202	-19.345713	18.362877	23.666374	92.27062	-11.84786	-18.888649	1.5782199	435.2995548248291
10	140.0	227.72351	534.0	0.0	302.5	456.6498	1000.0	0.0	1000.0	1000.0	39999	20.033411	26.102331	98.71093	-23.312204	20.03332	26.10278	98.565544	-14.221503	-20.50171	1.8261222	483.6012523174286
11	0.0	0.0	0.0	0.0	193.1	386.27933	983.0	0.0	1000.0	1000.0	43999	21.237085	27.874847	102.9626	-7.7922373	21.237122	27.875158	104.29179	-12.245569	-21.773386	1.8903044	531.4725222587585
12	86.75	150.2554	347.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	47999	23.773972	29.798574	119.13069	-14.236555	23.773994	29.799982	115.673805	-25.697653	-24.397692	2.275982	578.7979128360748
13	60.25	104.356064	241.0	0.0	192.6	385.20935	969.0	0.0	1000.0	1000.0	51999	24.290047	30.740372	127.058685	-19.87696	24.28947	30.740898	126.0308	-25.36051	-25.000347	2.3725567	627.1585314273834
14	145.5	252.0134	582.0	0.0	358.4	434.28198	1000.0	0.0	1000.0	1000.0	55999	26.11008	31.519888	135.43024	-14.587206	26.109762	31.5204	128.98204	-15.342464	-26.718517	2.3999994	675.3192272186279
15	0.0	0.0	0.0	0.0	402.7	487.75568	1000.0	0.0	1000.0	1000.0	59999	26.63029	31.663225	126.12467	-20.173668	26.62996	31.66316	120.32909	-30.456661	-27.173046	2.3122525	723.080902338028
16	213.0	253.37225	637.0	0.0	331.4	417.98398	1000.0	0.0	1000.0	1000.0	63999	27.184868	32.039745	127.00321	-7.525299	27.184883	32.039745	124.00973	-13.968503	-27.769094	2.333067	771.7364256381989
17	247.0	427.81656	988.0	0.0	574.1	470.95508	1000.0	0.0	1000.0	1000.0	67999	27.77104	32.51228	118.744446	-13.760609	27.771095	32.51191	117.1521	-11.835519	-28.221874	2.1976156	819.4250836372375
18	480.5	481.2907	1000.0	0.0	481.6	482.3078	991.0	0.0	1000.0	1000.0	71999	29.52424	33.72571	125.64456	-18.345753	29.524548	33.7253	126.51217	-18.76603	-30.021477	2.0093684	867.1916782855988
19	215.25	277.8645	679.0	0.0	398.9	485.95605	1000.0	0.0	1000.0	1000.0	75999	30.99461	34.474934	127.96482	-12.641991	30.994743	34.474712	120.91956	-17.334719	-31.490679	2.0606356	915.4710593223572
20	134.5	232.96083	538.0	0.0	610.5	469.4902	1000.0	0.0	1000.0	1000.0	79999	31.837187	34.989883	124.06667	-6.165573	31.836887	34.989304	129.33507	-4.8519783	-32.316372	1.9767206	963.4501831531525
21	88.25	147.13663	343.0	0.0	297.9	455.08206	1000.0	0.0	1000.0	1000.0	83999	32.06373	35.104744	132.29274	-6.421432	32.06379	35.104908	129.46841	-12.184262	-32.52777	2.7088413	1011.201404094696
22	717.75	416.315	1000.0	0.0	489.8	486.26056	1000.0	0.0	1000.0	1000.0	87999	33.171036	35.985634	115.330376	-13.417503	33.17114	35.98488	111.42819	-24.597935	-33.860985	2.337644	1059.3302028179169
23	490.25	490.2603	985.0	0.0	102.4	299.28552	1000.0	0.0	1000.0	1000.0	91999	35.6041	37.11758	117.316475	-23.084845	35.60399	37.117737	115.78081	-33.280323	-36.076374	2.133163	1107.2163076400757
24	648.25	406.19724	1000.0	5.0	512.3	457.7683	1000.0	0.0	1000.0	1000.0	95999	36.645832	36.924416	113.11884	-6.4972024	36.645535	36.924404	115.00357	-8.088434	-37.11439	2.1476474	1151.3355104923248
25	241.0	417.42426	964.0	0.0	3.9	11.699999	39.0	0.0	1000.0	1000.0	99999	38.48157	37.35215	116.40229	-16.8465	38.481342	37.352684	112.99328	-15.516277	-39.047634	2.1108189	1194.6722950935364
26	88.75	153.71951	355.0	0.0	286.8	438.3984	993.0	0.0	1000.0	1000.0	103999	38.76183	37.396942	120.140274	-6.3864193	38.76185	37.397476	120.586525	-5.5611234	-39.374893	2.0473406	1238.0623726844788
27	300.25	402.6912	980.0	0.0	296.9	453.55978	1000.0	0.0	1000.0	1000.0	107999	39.45605	37.098686	119.19841	-4.702962	39.45643	37.098667	120.17111	-4.023795	-40.114883	2.1984422	1281.3937628269196
28	247.75	429.1156	991.0	0.0	278.7	429.2589	1000.0	0.0	1000.0	1000.0	111999	39.958614	37.149548	135.5739	-4.583371	39.95896	37.149536	138.82703	-5.177862	-40.568405	2.138073	1324.6234095096588
29	509.75	479.4916	1000.0	12.0	394.6	483.3631	1000.0	0.0	1000.0	1000.0	115999	40.602036	37.540565	136.37546	-4.559647	40.602535	37.540356	135.76491	-4.634215	-41.176907	2.1457446	1368.2708868980408
30	991.75	7.154544	1000.0	981.0	370.8	456.7373	1000.0	0.0	1000.0	1000.0	119999	42.2802	37.912468	130.07684	-5.235139	42.2807	37.91232	129.12828	-5.37485	-42.82653	2.2075696	1411.7106218338013
31	0.0	0.0	0.0	0.0	389.6	406.2923	1000.0	0.0	1000.0	1000.0	123999	43.36593	38.22984	128.94743	-4.219552	43.36634	38.230022	128.98395	-3.7176776	-43.936905	2.164663	1455.3259258270264
32	118.25	204.815	473.0	0.0	473.0	477.21127	1000.0	0.0	1000.0	1000.0	127999	42.890755	38.25757	129.71071	-10.137443	42.890823	38.257866	124.91145	-6.95391	-43.44666	2.2799346	1498.802474975586
33	248.75	430.84763	995.0	0.0	685.4	449.43234	1000.0	0.0	1000.0	1000.0	131999	42.76361	38.8919	129.91113	-5.596409	42.76379	38.891754	133.92653	-5.221089	-43.242535	2.2621078	1542.6261281967163
34	352.0	398.43695	968.0	0.0	492.5	492.6224	1000.0	0.0	1000.0	1000.0	135999	43.14288	39.51997	139.17123	-5.6394763	43.142906	39.520267	140.94531	-4.01868	-43.71114	2.4131641	1586.2573823928833
35	498.5	498.50452	1000.0	0.0	195.9	391.80054	981.0	0.0	1000.0	1000.0	139999	43.07496	39.951107	133.49153	-3.6594615	43.074806	39.951435	136.79819	-3.281217	-43.580776	2.5164912	1630.1643908023834
36	605.5	363.4051	935.0	0.0	367.3	454.01367	1000.0	0.0	1000.0	1000.0	143999	43.824097	40.844032	132.9399	-6.6229486	43.823936	40.84459	135.86028	-10.104572	-44.321297	2.6569746	1674.0336565971375
37	239.0	413.96014	956.0	0.0	394.8	483.5907	1000.0	0.0	1000.0	1000.0	147999	43.206886	40.893383	134.99225	-12.354969	43.20669	40.89348	136.89995	-7.1718574	-43.77507	2.700434	1718.00577378273
38	242.75	420.45532	971.0	0.0	290.8	444.217	977.0	0.0	1000.0	1000.0	151999	42.490265	41.14481	142.92342	-7.7768817	42.49057	41.144154	132.795	-16.698057	-43.1124	2.7280855	1761.7886562347412
39	242.75	420.45532	971.0	0.0	593.6	484.72513	1000.0	0.0	1000.0	1000.0	155999	42.12404	41.66983	131.83372	-7.7286415	42.123726	41.670525	134.54085	-11.447582	-42.583687	2.4728281	1805.511373758316
40	739.0	426.77103	1000.0	0.0	487.8	488.67203	1000.0	0.0	1000.0	1000.0	159999	41.92257	42.04305	130.50475	-8.702177	41.922474	42.043564	132.5226	-16.70584	-42.468838	2.3416963	1849.377757549286
41	439.5	363.34866	1000.0	0.0	387.4	474.75113	1000.0	0.0	1000.0	1000.0	163999	42.334614	42.180367	135.84082	-11.332037	42.335056	42.179886	135.16968	-12.958352	-42.865345	2.5075727	1893.4037590026855
42	499.5	499.5005	1000.0	0.0	494.6	494.7614	1000.0	0.0	1000.0	1000.0	167999	42.207245	42.16813	129.70667	-6.8449492	42.207794	42.16709	131.32863	-12.249246	-42.739548	2.6519766	1937.4524726867676
43	488.75	488.75012	978.0	0.0	399.9	469.6391	1000.0	0.0	1000.0	1000.0	171999	42.460613	42.343445	125.020966	-40.77295	42.460484	42.343704	128.03685	-7.3697734	-43.016632	2.4794204	1981.519867658615
44	903.75	138.12201	991.0	665.0	592.7	484.0428	1000.0	0.0	1000.0	1000.0	175999	43.3234	42.499805	127.171135	-5.3613105	43.32347	42.4995	139.75038	-13.705385	-43.82078	2.5731204	2025.3137562274933
45	212.75	368.4938	851.0	0.0	474.6	475.5858	997.0	0.0	1000.0	1000.0	179999	43.691555	42.52978	138.64452	-6.251097	43.69174	42.53005	133.2745	-15.582572	-44.149445	2.6314092	2069.024291753769
46	865.0	203.52396	995.0	513.0	595.2	485.99994	1000.0	0.0	1000.0	1000.0	183999	44.057514	42.701378	133.36862	-5.230685	44.058853	42.700676	134.40823	-13.7500305	-44.529396	2.5874321	2112.9527311325073
47	248.25	429.9816	993.0	0.0	376.6	463.64105	1000.0	0.0	1000.0	1000.0	187999	44.98224	42.85035	132.34227	-22.426668	44.983437	42.84941	132.71555	-14.286191	-45.636242	2.7472105	2156.8316690921783
48	269.25	412.25803	980.0	0.0	483.3	483.64056	1000.0	0.0	1000.0	1000.0	191999	44.650105	42.746693	131.76062	-9.007429	44.650726	42.746277	134.97983	-15.148764	-45.21793	2.5400224	2200.759856939316
49	746.5	431.02988	1000.0	0.0	498.9	498.90973	1000.0	0.0	1000.0	1000.0	195999	44.877274	43.178406	132.69276	-5.935482	44.876915	43.179115	136.13867	-14.210859	-45.400772	2.6292193	2245.5197257995605
50	247.5	428.6826	990.0	0.0	390.5	478.324	994.0	0.0	1000.0	1000.0	199999	45.08125	43.435596	133.66994	-6.8393416	45.081203	43.436497	131.26932	-7.966689	-45.62621	2.788174	2289.580149412155
51	250.0	433.0127	1000.0	0.0	382.6	468.93735	997.0	0.0	1000.0	1000.0	203999	44.65115	43.244358	131.24857	-10.683096	44.65138	43.24478	130.8579	-8.6235485	-45.2501	2.6269722	2334.440938949585
52	870.75	215.80821	1000.0	497.0	454.0	468.12027	1000.0	0.0	1000.0	1000.0	207999	44.972473	43.142574	129.28293	-8.986141	44.97199	43.143806	130.33931	-9.1478	-45.505146	2.4055307	2380.09130692482
53	516.5	473.04782	989.0	0.0	486.1	486.27615	1000.0	0.0	1000.0	1000.0	211999	45.80685	43.393036	137.2335	-5.9041038	45.806236	43.394108	130.4747	-19.714375	-46.29029	2.2804267	2426.900017261505
54	746.0	430.75284	1000.0	0.0	296.4	452.79315	1000.0	0.0	1000.0	1000.0	215999	46.20805	43.15022	127.272446	-6.6068783	46.207466	43.151142	128.66302	-13.661237	-46.877987	2.3839107	2473.666724205017
55	497.75	497.76016	1000.0	0.0	372.5	459.27795	1000.0	0.0	1000.0	1000.0	219999	46.26308	42.704094	137.15685	-7.5432863	46.263325	42.704983	137.317	-12.257851	-46.71028	2.3320997	2520.5699622631073
56	247.75	429.1156	991.0	0.0	195.5	391.0338	989.0	0.0	1000.0	1000.0	223999	46.46594	42.485306	129.69934	-7.3393426	46.465935	42.48548	129.04997	-17.209854	-46.94553	2.2493706	2567.6015734672546
57	699.75	408.18033	1000.0	0.0	292.1	446.58896	1000.0	0.0	1000.0	1000.0	227999	46.887283	42.188923	127.10458	-18.609629	46.88783	42.188213	128.14232	-21.303423	-47.38536	2.4773245	2614.3778886795044
58	250.0	433.0127	1000.0	0.0	483.6	484.4172	1000.0	0.0	1000.0	1000.0	231999	47.31163	41.875996	128.61974	-11.056212	47.31212	41.87597	124.636635	-14.670836	-47.853195	2.1831827	2661.446749687195
59	500.0	483.18268	991.0	0.0	598.4	488.60764	1000.0	0.0	1000.0	1000.0	235999	47.605766	41.62079	124.37451	-9.793034	47.60587	41.620712	124.95645	-15.959451	-48.07886	2.2463343	2708.5039970874786
60	244.75	423.91943	979.0	0.0	595.6	486.32544	1000.0	0.0	1000.0	1000.0	239999	48.150234	41.492424	120.39356	-14.212535	48.151585	41.492332	121.08012	-15.0635	-48.80724	2.345349	2755.888997077942
61	467.25	468.89517	990.0	0.0	497.7	497.70895	1000.0	0.0	1000.0	1000.0	243999	48.7405	41.436283	124.401146	-12.543884	48.74098	41.436134	125.506035	-9.997496	-49.327587	2.7568173	2803.240603685379
62	240.75	416.99124	963.0	0.0	98.8	296.4	988.0	0.0	1000.0	1000.0	247999	49.834015	41.789207	134.58205	-12.503282	49.83432	41.789066	135.28253	-9.014549	-50.33964	2.8386197	2850.2534630298615
63	724.0	418.44714	984.0	0.0	491.3	491.39743	1000.0	0.0	1000.0	1000.0	251999	51.088375	42.77375	146.26547	-13.904471	51.089134	42.77286	145.27954	-15.481403	-51.692158	2.80074	2897.2681810855865
64	743.0	429.01456	1000.0	0.0	390.9	479.00217	1000.0	0.0	1000.0	1000.0	255999	53.13214	44.31787	175.99826	-11.425762	53.132454	44.317776	172.85364	-13.867414	-53.82643	2.9051478	2944.4504828453064
65	708.0	409.5357	985.0	0.0	295.8	451.84882	991.0	0.0	1000.0	1000.0	259999	53.91551	45.305737	164.15869	-8.804271	53.91668	45.304993	162.72592	-12.211875	-54.513565	2.707161	2991.5532336235046
66	967.5	26.062426	1000.0	930.0	389.9	477.50214	1000.0	0.0	1000.0	1000.0	263999	55.00849	46.02866	156.72145	-41.27984	55.007935	46.03037	156.78897	-13.02634	-55.613033	2.4927611	3039.335556268692
67	732.25	422.81757	987.0	0.0	99.3	294.9122	984.0	0.0	1000.0	1000.0	267999	55.520386	45.958904	148.50354	-11.791049	55.52085	45.959152	148.80269	-11.9758835	-56.05227	2.231364	3086.7550966739655
68	741.5	428.3302	1000.0	0.0	589.8	481.95493	1000.0	0.0	1000.0	1000.0	271999	55.59652	45.66197	141.42157	-12.188394	55.59615	45.662544	140.84325	-12.40993	-56.157837	2.308303	3133.97061419487
