Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.13011658	0.11618028	0.6081032	-0.9694283	0.13006778	0.11699437	0.8124707	-0.9706867	-0.18089801	0.0018723476	44.62976312637329
2	0.0	0.0	0.0	0.0	100.2	299.93393	1000.0	0.0	1000.0	1000.0	7999	0.21566711	0.082211085	0.5730147	-0.054784887	0.21566875	0.08244294	0.5521857	-0.05155507	-0.22977749	0.00021415215	89.84288740158081
3	55.0	81.993904	196.0	0.0	98.1	294.30002	981.0	0.0	1000.0	1000.0	11999	0.3253255	0.5034848	8.595186	0.038776472	0.32521218	0.50343686	8.231124	-0.042479947	-0.3366137	0.010070926	137.4202117919922
4	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	15999	0.5577429	1.4479486	18.214159	0.0891505	0.55770475	1.4473385	18.663662	0.011300534	-0.58452606	0.03300136	186.4966390132904
5	0.75	1.299038	3.0	0.0	3.6	10.8	36.0	0.0	1000.0	1000.0	19999	0.74865085	2.357476	33.358326	0.0029920042	0.7487336	2.3573186	33.12145	-0.25100023	-0.7835113	0.059978105	240.51761102676392
6	50.75	87.90158	203.0	0.0	26.8	73.887474	248.0	0.0	1000.0	1000.0	23999	1.0176027	3.3186207	47.30505	-0.11509904	1.0177515	3.3192935	50.345978	-0.40101227	-1.1084375	0.1108317	488.57349610328674
7	21.5	37.239094	86.0	0.0	1.9	5.7	19.0	0.0	1000.0	1000.0	27999	1.80241	4.896293	58.722706	-1.2489157	1.802763	4.8965745	58.651302	-1.0396743	-1.9258987	0.24690741	535.6056001186371
8	170.5	295.31467	682.0	0.0	2.4	4.8826222	14.0	0.0	1000.0	1000.0	31999	2.6406078	6.7437057	68.37254	-1.1378386	2.6405528	6.743348	69.73858	-0.93238276	-2.7861524	0.3287947	583.4316112995148
9	7.25	12.557368	29.0	0.0	13.0	33.433517	112.0	0.0	1000.0	1000.0	35999	3.7173553	9.150582	82.98899	-1.6414427	3.7178698	9.150793	88.47843	-1.1080196	-3.9565904	0.45925388	632.9313335418701
10	0.0	0.0	0.0	0.0	121.4	296.09598	1000.0	0.0	1000.0	1000.0	39999	4.854421	10.908705	109.81394	-1.6221097	4.8546166	10.908497	105.77395	-1.4721179	-5.164429	0.4842005	682.7002098560333
11	235.75	408.33096	943.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	43999	6.653826	13.105735	112.14762	-3.4529214	6.6539745	13.1061945	116.65032	-1.7203922	-6.979443	0.7517616	778.4390487670898
12	0.0	0.0	0.0	0.0	101.1	299.64194	1000.0	0.0	1000.0	1000.0	47999	9.192743	18.563238	109.45801	-2.900837	9.193295	18.563486	107.69871	-2.4479346	-9.494458	0.7634292	950.1718330383301
13	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	51999	9.329504	18.87018	113.07106	-3.2525284	9.329884	18.870506	108.44781	-4.0778675	-9.563585	0.83750176	1108.3823924064636
14	0.0	0.0	0.0	0.0	185.0	370.06918	941.0	0.0	1000.0	1000.0	55999	9.009745	19.286247	109.31462	-4.965076	9.010369	19.286386	110.73784	-3.78016	-9.303269	0.71643686	1157.5098276138306
15	223.25	385.52652	891.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	8.747366	20.019657	118.2062	-4.250685	8.747655	20.019815	115.69981	-4.3199344	-8.943162	0.72848195	1208.0831203460693
16	9.75	16.887495	39.0	0.0	106.0	298.53644	1000.0	0.0	1000.0	1000.0	63999	10.178541	23.199574	113.84704	-5.054458	10.178341	23.200186	113.476974	-4.0953054	-10.476272	0.95668876	1277.2992367744446
17	0.0	0.0	0.0	0.0	9.2	17.376997	57.0	0.0	1000.0	1000.0	67999	10.802359	23.2846	112.78193	-4.9723167	10.80237	23.284641	111.70664	-5.024028	-10.981402	1.0141922	1330.2130899429321
18	4.25	7.361216	17.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	10.906541	22.915247	111.39229	-4.5752125	10.906569	22.915167	112.268234	-7.0838118	-11.256032	1.0500356	1380.2296845912933
19	11.5	12.25765	29.0	0.0	197.4	391.0829	985.0	0.0	1000.0	1000.0	75999	11.58803	22.760496	117.16045	-10.679006	11.588461	22.761023	113.16183	-5.2817855	-11.944765	1.2139966	1430.0196344852448
20	314.0	408.70282	1000.0	0.0	199.2	393.25253	1000.0	0.0	1000.0	1000.0	79999	13.576286	25.098074	107.52009	-7.4191446	13.5760975	25.09918	107.77585	-5.23099	-13.857895	1.3310992	1478.5630207061768
21	0.0	0.0	0.0	0.0	101.3	290.00104	971.0	0.0	1000.0	1000.0	83999	14.028962	25.524807	106.695114	-10.322012	14.028989	25.524866	106.36012	-9.538629	-14.378209	1.3398381	1527.9304056167603
22	0.0	0.0	0.0	0.0	98.8	294.40543	982.0	0.0	1000.0	1000.0	87999	13.311909	24.925669	118.8093	-10.708952	13.311984	24.926052	107.54615	-9.107512	-13.643135	1.4322556	1655.7076301574707
23	238.75	407.77408	945.0	0.0	99.9	294.07703	982.0	0.0	1000.0	1000.0	91999	13.173109	25.138243	108.85468	-7.9876227	13.172956	25.138279	118.74342	-5.730541	-13.513588	1.455321	1827.046419620514
24	316.25	391.55484	959.0	0.0	201.9	399.0685	1000.0	0.0	1000.0	1000.0	95999	13.45602	26.168518	106.33501	-13.738213	13.454979	26.169504	110.76578	-14.097689	-13.796297	1.4683682	2017.7846932411194
25	205.0	201.33803	422.0	0.0	90.1	265.32413	886.0	0.0	1000.0	1000.0	99999	14.164404	27.191126	108.0938	-10.580746	14.163978	27.19206	107.31199	-14.396259	-14.559935	1.4127327	2108.7058753967285
26	242.75	420.45532	971.0	0.0	99.0	296.33392	988.0	0.0	1000.0	1000.0	103999	14.676803	27.603758	111.981804	-8.925849	14.67614	27.604439	121.81256	-10.913433	-14.924152	1.8348886	2156.930201292038
27	0.0	0.0	0.0	0.0	194.8	389.601	976.0	0.0	1000.0	1000.0	107999	15.095286	27.782125	115.078636	-18.394836	15.095652	27.782173	110.42103	-15.819349	-15.544181	1.7184443	2207.430788040161
28	0.0	0.0	0.0	0.0	89.6	265.81357	887.0	0.0	1000.0	1000.0	111999	15.057426	27.478167	121.25301	-24.116287	15.05755	27.478376	119.381226	-26.850885	-15.486586	1.5955565	2256.47190785408
29	255.5	274.00775	651.0	0.0	100.1	297.97397	994.0	0.0	1000.0	1000.0	115999	15.609721	27.652693	128.67502	-17.439402	15.609629	27.65294	119.03992	-14.931212	-16.027044	1.772932	2326.3268983364105
30	0.0	0.0	0.0	0.0	2.3	6.9	23.0	0.0	1000.0	1000.0	119999	16.558105	28.29057	125.47886	-22.625486	16.557768	28.29108	128.44695	-23.889032	-17.005623	1.8404578	2375.1248049736023
31	0.0	0.0	0.0	0.0	0.5	1.2041595	4.0	0.0	1000.0	1000.0	123999	16.866598	28.1941	129.2007	-12.692467	16.86617	28.194176	121.75943	-15.691921	-17.221676	1.754753	2425.574229001999
32	203.25	204.62573	440.0	0.0	147.3	317.29422	1000.0	0.0	1000.0	1000.0	127999	17.28284	28.53394	142.30028	-7.324238	17.28193	28.534567	145.16063	-8.863752	-17.683254	1.7017227	2475.338088274002
33	79.5	137.69804	318.0	0.0	106.4	295.6688	991.0	0.0	1000.0	1000.0	131999	17.71804	28.96168	126.658966	-6.751829	17.716866	28.963047	121.023605	-5.910097	-18.09824	1.6228552	2621.1970558166504
34	234.0	405.2999	936.0	0.0	288.8	441.7132	1000.0	0.0	1000.0	1000.0	135999	17.558464	29.224243	153.46188	-7.7614813	17.55824	29.225163	132.3039	-7.597308	-17.965801	1.545519	2744.0660603046417
35	372.5	374.10794	794.0	0.0	364.6	451.90292	983.0	0.0	1000.0	1000.0	139999	17.91039	29.905664	135.74625	-7.9002814	17.910217	29.9062	135.05873	-9.116861	-18.28057	1.5562924	2918.448269367218
36	239.75	415.2592	959.0	0.0	93.4	280.2	934.0	0.0	1000.0	1000.0	143999	18.125061	30.254562	142.43005	-5.3236713	18.12602	30.255602	140.19917	-5.2117825	-18.452698	1.630131	3052.6730813980103
37	0.0	0.0	0.0	0.0	107.6	266.36673	889.0	0.0	1000.0	1000.0	147999	18.615955	30.737463	151.26915	-11.237255	18.617256	30.73651	137.38837	-14.647342	-19.038847	1.5719683	3102.6162407398224
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	18.612583	30.718113	152.83224	-15.907293	18.613335	30.718414	153.51775	-12.033256	-19.020893	1.6270137	3152.8613941669464
39	250.0	433.0127	1000.0	0.0	201.0	386.26	1000.0	0.0	1000.0	1000.0	155999	18.408707	30.686916	156.38278	-9.157894	18.409328	30.686844	147.11115	-6.954278	-18.794737	1.5363423	3205.7745583057404
