Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	6.798428	2.7929401	10.387692	2.5645778	2.8610759	1.8474125	6.425921	0.54179794	1000.0	1000.0	3999	-1.2056001	1.0498297	4.503704	-14.901021	-1.2055936	1.052014	4.5452056	-12.726138	0.5385228	0.2531229	52.18136715888977
2	4.047784	2.8917558	8.384956	0.28788581	4.1349883	2.2327409	7.482772	0.042112608	1000.0	1000.0	7999	1.6308032	1.2882934	13.696024	-1.2846607	1.6309408	1.2876592	14.32981	-1.3581161	-2.2250257	0.041132547	108.11618399620056
3	5.630985	3.2498324	11.232903	3.3460426	3.187307	2.4829736	8.778231	0.40976477	1000.0	1000.0	11999	5.7248273	1.5120634	19.982006	1.974616	5.725006	1.5115572	19.695444	2.053814	-6.3823524	0.059648354	166.76538252830505
4	2.9181328	0.509734	3.493002	2.1056685	4.5285234	2.9868355	9.572179	0.12179479	1000.0	1000.0	15999	8.32106	1.0438335	19.450823	4.702768	8.32108	1.0439091	19.418447	4.6319675	-8.723338	0.051448718	227.44753122329712
5	3.6721513	2.0267682	7.0306416	1.6119769	4.3367887	2.5787182	9.288476	0.599888	1000.0	1000.0	19999	8.7797	0.8118731	18.492928	5.2627673	8.7796755	0.8122476	18.414188	5.191434	-8.981001	0.043852273	287.72147846221924
6	5.061177	2.9208965	8.140262	2.0309877	3.838815	2.4572542	7.729488	0.11653367	1000.0	1000.0	23999	8.587656	0.82722616	16.856876	5.0744486	8.587645	0.82759726	17.40327	5.3623576	-8.765173	0.02964582	348.01701855659485
7	3.443318	1.638199	6.2183332	2.0885575	5.466822	3.1487143	9.966879	0.55026793	1000.0	1000.0	27999	8.532492	0.7141368	17.341507	5.5944877	8.532488	0.7143567	17.312134	5.674368	-8.724682	0.026424486	408.4168367385864
8	4.4262247	1.1494962	6.390549	3.4667478	4.8031497	2.5795095	8.107892	0.5607103	1000.0	1000.0	31999	7.9595613	0.6349845	16.993483	4.598743	7.959531	0.63529056	16.88944	4.8575172	-8.076171	0.020062227	468.90868282318115
9	6.74912	1.8633173	9.074411	4.661752	4.901958	2.520407	8.211728	0.6057097	1000.0	1000.0	35999	7.2875295	0.5914472	15.777445	4.3543816	7.2875204	0.59156597	15.757231	4.4428115	-7.402823	0.015919251	529.1642262935638
10	6.787261	2.5165462	9.522825	3.0165074	4.677186	2.004855	7.588944	2.087513	1000.0	1000.0	39999	6.9995975	0.5209519	15.217287	4.8907995	6.999577	0.52109706	15.277016	4.9584265	-7.1501765	0.015631426	589.7192635536194
11	5.217576	3.2193577	9.1174	0.851802	3.384544	2.7433853	8.349204	0.21690913	1000.0	1000.0	43999	6.82993	0.559996	14.942659	4.8997655	6.8299246	0.56008285	14.904559	4.8451796	-6.943368	0.014041156	649.9895930290222
12	4.046881	2.5529962	6.540788	0.09470998	5.548049	2.2626057	8.094439	1.0946741	1000.0	1000.0	47999	6.4892263	0.5192995	14.504409	4.5351214	6.489223	0.5193987	14.314395	4.623242	-6.569189	0.011489601	710.5888142585754
13	5.937704	2.0450468	7.4210553	2.4233446	2.8578312	2.213405	7.401167	0.24117929	1000.0	1000.0	51999	6.0376143	0.5124709	15.414879	4.005074	6.0376105	0.5125541	15.023132	3.912435	-6.156858	0.01443496	771.0162580013275
14	4.7555337	2.1253834	8.129554	2.7602954	3.42471	2.3713422	8.038401	0.38269436	1000.0	1000.0	55999	5.9434	0.57297575	15.526449	3.6813211	5.943376	0.5731273	15.377584	3.6578636	-6.0846367	0.015624909	831.8801665306091
15	6.0206556	2.3611693	10.002983	4.103627	6.0876083	2.2937744	9.218882	0.67977124	1000.0	1000.0	59999	5.647055	0.5250625	14.744184	3.5533094	5.6470356	0.52517116	14.700167	3.555211	-5.751602	0.013073395	892.4482777118683
16	5.201514	2.3399525	7.9388785	1.8695569	4.6875052	3.443059	9.398117	0.62881404	1000.0	1000.0	63999	5.2382355	0.46825165	13.761221	2.4434779	5.2382255	0.46829572	13.773431	2.5816734	-5.3209023	0.011339521	952.6694099903107
17	5.5326347	2.6792586	9.444232	1.8905505	4.7422953	2.5189793	9.31795	1.1693192	1000.0	1000.0	67999	5.0310955	0.4534762	14.884754	2.7109756	5.031102	0.45386168	14.920647	2.9023561	-5.1407638	0.0121152	1012.9618213176727
18	7.159402	2.8861537	9.76946	2.3201864	6.201649	1.8707922	9.749243	4.2557077	1000.0	1000.0	71999	4.8935895	0.4679535	14.9541235	2.9460855	4.8935413	0.46823078	15.22556	2.9723053	-4.965725	0.01091818	1073.0031707286835
19	5.330052	2.192333	7.7121634	2.8311253	4.444381	2.5818253	8.898393	0.6402693	1000.0	1000.0	75999	4.6689725	0.5773451	15.813917	2.8971171	4.6689453	0.5774345	15.036916	2.5460238	-4.751832	0.0133917285	1133.4582316875458
20	5.2511477	2.1781614	7.9230223	2.275649	5.3658133	2.296237	8.340124	1.9493462	1000.0	1000.0	79999	4.72909	0.65921366	14.676245	2.385831	4.7291207	0.65904593	14.921806	2.172041	-4.8615537	0.017389592	1194.2784593105316
21	3.8861794	2.2583442	7.1211987	0.7816224	4.457605	3.0588386	8.858156	0.032831367	1000.0	1000.0	83999	4.9726834	0.55681616	13.1299095	2.574298	4.9727106	0.5566958	13.122528	2.4853048	-5.077026	0.012097178	1254.8592987060547
22	6.167374	2.2987957	8.538466	2.6575792	5.0407724	2.474662	7.369142	0.7301827	1000.0	1000.0	87999	4.8294754	0.47154504	12.147924	2.6690078	4.8294797	0.47159532	11.820719	2.7951818	-4.908068	0.009139057	1314.9292080402374
23	3.1174011	1.290763	4.829457	1.1916001	6.4154015	2.6014495	9.298293	1.2481109	1000.0	1000.0	91999	4.6019316	0.44213355	12.56188	2.9576378	4.601919	0.4423724	12.598112	2.8661141	-4.667818	0.008275327	1375.013120174408
24	6.2562065	3.070833	9.896035	2.9362204	3.3630397	2.7990654	8.659258	0.30262244	1000.0	1000.0	95999	4.3671246	0.5170385	13.538269	3.0567973	4.367041	0.51756334	13.709436	2.9477563	-4.4277306	0.011603974	1434.8988828659058
25	5.2213717	0.98932517	6.113442	3.544692	3.323352	1.9271147	8.033677	0.46131617	1000.0	1000.0	99999	4.1047564	0.5591415	14.362624	2.9672794	4.104743	0.5593345	14.051905	2.6178844	-4.1656685	0.012393152	1494.8781497478485
26	3.878296	1.9009342	5.772166	0.851079	6.9640718	1.5610355	8.905762	4.422796	1000.0	1000.0	103999	3.911556	0.5390517	12.854435	2.760906	3.9115832	0.5391788	13.166295	2.8296075	-3.973575	0.011356444	1554.9449064731598
27	3.5312874	2.379445	5.778407	0.149254	3.8131146	1.8765849	6.6352787	0.96989566	1000.0	1000.0	107999	3.6995444	0.5412312	12.76788	2.424872	3.6995084	0.54154384	13.254692	2.7562609	-3.7552903	0.011443892	1615.5486254692078
28	4.7055564	1.5764384	6.6184363	2.7585006	4.680801	2.2507317	8.725141	0.39368403	1000.0	1000.0	111999	3.4584553	0.53948027	12.467234	2.5118122	3.4584002	0.53982115	12.127817	2.4797385	-3.5075161	0.010636195	1675.546049118042
29	3.3556547	2.7536786	7.431894	0.627094	5.534171	2.0370634	9.80255	2.4243796	1000.0	1000.0	115999	3.2121909	0.48433265	12.72027	2.404235	3.212131	0.4847093	13.381586	2.2980535	-3.2605288	0.00973145	1735.702418088913
30	6.93393	1.0255986	8.349166	5.452316	5.095298	2.1807683	7.7690315	1.1332302	1000.0	1000.0	119999	3.0459802	0.4915483	13.135879	2.1013763	3.0459135	0.49182984	14.456241	2.3023658	-3.092753	0.0085101575	1795.9113070964813
31	6.542427	2.228679	8.493814	2.7534223	4.6055245	2.3306713	8.255009	1.5631053	1000.0	1000.0	123999	2.8937943	0.53816426	13.341878	1.9631212	2.89373	0.5384938	14.152166	2.0486124	-2.9365478	0.010509759	1855.9870128631592
32	5.2993517	1.7320987	7.750791	2.86514	5.6500635	2.3557818	9.223178	2.4909446	1000.0	1000.0	127999	2.7243361	0.542463	13.244495	2.0107298	2.7244022	0.5424877	14.647783	1.8286283	-2.762918	0.009417021	1916.5306179523468
33	5.017106	2.8096974	8.697776	1.2449074	3.818034	2.512289	9.409344	0.4240803	1000.0	1000.0	131999	2.5792377	0.5120799	12.215166	1.7092702	2.5794616	0.5119686	13.434702	1.5917675	-2.620429	0.008331831	1976.4752826690674
34	5.8399396	2.50462	8.083137	1.9498084	4.9980288	2.341571	9.219348	0.4270175	1000.0	1000.0	135999	2.4310722	0.45791546	12.867308	1.7212398	2.431223	0.45797455	13.541764	1.7683648	-2.4600775	0.007209214	2036.8328540325165
35	8.3554	0.81809765	9.134899	7.0890384	6.0870295	2.8305957	9.818938	1.373063	1000.0	1000.0	139999	2.270246	0.43178958	11.571874	1.3588316	2.2703044	0.43192038	11.334612	1.2765033	-2.2968376	0.006731184	2097.0473504066467
36	5.3450937	2.3860486	8.255074	1.6164285	6.2302485	2.7003236	9.1005335	1.9195582	1000.0	1000.0	143999	2.1204224	0.4343041	12.709821	1.2506542	2.1204212	0.4343451	11.950005	1.200121	-2.142233	0.0073715374	2157.427220582962
37	3.5045862	1.7187275	5.3034034	0.66877407	5.268135	1.9676826	9.114492	2.5500095	1000.0	1000.0	147999	1.9567457	0.39286575	12.374129	1.3008881	1.9567567	0.39298734	11.428786	1.3691759	-1.9773042	0.006338724	2217.6747381687164
38	3.5104465	0.7000023	4.6621714	2.7693505	4.0613713	2.685931	9.005807	0.5460325	1000.0	1000.0	151999	1.8004695	0.3988936	12.247837	1.2472516	1.8004308	0.39891428	13.023823	1.0333309	-1.8204772	0.006221505	2278.256404399872
