Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.6391931e-36	0.0	6.5567725e-36	0.0	6.887184e-25	0.0	6.887184e-24	0.0	1000.0	1000.0	3999	-0.008517645	0.0044598426	0.10429952	-0.19553982	-0.008516592	0.0041058226	0.17568111	-0.114099145	0.0072998554	3.2256463e-05	28.441354036331177
2	0.0	0.0	0.0	0.0	2.0476458e-16	6.142584e-16	2.0475397e-15	0.0	1000.0	1000.0	7999	-0.010183899	0.004614295	0.0027139878	-0.029350847	-0.010183959	0.004591469	0.003959859	-0.0276503	0.009545919	2.070236e-06	60.07295894622803
3	0.0	0.0	0.0	0.0	2.5059334e-12	7.5178e-12	2.5059333e-11	0.0	1000.0	1000.0	11999	-0.009920114	0.005253371	3.0400231e-05	-0.024937725	-0.0099202525	0.005246295	-0.0017803512	-0.02271665	0.009679545	4.2837272e-07	92.61845183372498
4	0.0	0.0	0.0	0.0	1.6412212e-08	4.9236633e-08	1.6412211e-07	0.0	1000.0	1000.0	15999	-0.010163274	0.0049777273	-0.0025028018	-0.021470869	-0.010163291	0.0049769725	-0.0031602196	-0.021262508	0.010045967	9.4357574e-08	124.63456511497498
5	1.1509547e-09	1.993512e-09	4.6038187e-09	0.0	5.5108685e-11	1.6532606e-10	5.5108684e-10	0.0	1000.0	1000.0	19999	-0.010112461	0.00435132	-0.0033906945	-0.019322153	-0.010112473	0.004351188	-0.0036934167	-0.019485522	0.010055933	2.8508882e-08	156.89983367919922
6	0.0	0.0	0.0	0.0	1.0406335e-23	3.743392e-23	1.0406332e-22	0.0	1000.0	1000.0	23999	-0.009519032	0.0038857274	-0.003860128	-0.017742127	-0.009519026	0.0038857227	-0.003831488	-0.017607221	0.009493149	1.1944807e-08	188.7132785320282
7	4.961676	8.593875	19.846704	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	-0.0037901716	0.021866566	1.5689287	-0.033232607	-0.003808781	0.021746742	1.5271025	-0.03077349	0.0024670635	0.00038347155	220.2334053516388
8	1.2855518e-09	2.226641e-09	5.142207e-09	0.0	4.8668244e-06	1.2662564e-05	4.2444422e-05	0.0	1000.0	1000.0	31999	-0.0006313	0.11924048	6.4554625	-0.12790829	-0.0006336936	0.11932208	6.6954474	-0.12880735	-0.0008665986	0.0009838352	251.7449836730957
9	2.4491327e-30	0.0	9.796531e-30	0.0	0.00056803704	0.0017041111	0.00568037	0.0	1000.0	1000.0	35999	-0.005277476	0.30075192	12.155124	-0.30831406	-0.0052913767	0.30053627	12.118952	-0.2925266	0.005382337	0.003418396	283.2362494468689
10	5.4807275e-10	9.492899e-10	2.192291e-09	0.0	3.3312485	6.699398	18.22642	0.0	1000.0	1000.0	39999	-0.015523628	0.4166792	15.394123	-0.48015702	-0.01553189	0.4164941	15.123918	-0.44972584	0.009179485	0.0034106593	315.6354787349701
11	3.7046022	6.416559	14.818409	0.0	5.41637e-08	1.6207865e-07	5.403984e-07	0.0	1000.0	1000.0	43999	-0.0015260153	0.5931984	17.621841	-0.60950863	-0.001537878	0.5932024	17.622932	-0.6229037	-0.007535016	0.003712855	346.5740387439728
12	1.2607992	2.1837683	5.0431967	0.0	0.012342171	0.03702651	0.123421706	0.0	1000.0	1000.0	47999	0.049268402	0.83127224	19.121758	-0.55175656	0.04927486	0.8313259	19.075466	-0.5563325	-0.06006086	0.0039933673	378.7396595478058
13	43.777645	71.48244	167.47096	1.4718444e-16	6.733139	11.207471	36.535862	0.0	1000.0	1000.0	51999	0.09910624	0.9970285	19.347113	-0.41397256	0.099101774	0.9970252	19.083273	-0.4789945	-0.11212991	0.0052391337	410.5264856815338
14	308.873	208.36649	586.20215	0.0	623.665	35.71264	683.8881	567.615	1000.0	1000.0	55999	0.41318464	1.9883814	18.877975	-0.37266266	0.41316932	1.9888102	18.9983	-0.41282636	-0.43281114	0.011187537	443.72943139076233
15	524.1922	334.20517	888.1872	120.79949	876.6869	20.32776	902.5138	845.26044	1000.0	1000.0	59999	1.3957512	4.4737444	24.712015	-0.41187546	1.3957063	4.4739294	24.650105	-0.4647106	-1.4419451	0.011962902	476.5907907485962
16	879.36334	18.498234	909.6773	859.51715	888.4505	15.694448	910.3437	855.8929	1000.0	1000.0	63999	3.3584068	8.214596	32.584595	-0.38900042	3.3583963	8.214706	32.563087	-0.3799916	-3.4332156	0.0151195405	508.13633584976196
17	849.7928	65.47248	920.0501	778.12866	891.77527	54.64481	988.5713	806.11316	1000.0	1000.0	67999	5.882512	12.0811205	39.004604	-0.39285877	5.882501	12.081199	38.924984	-0.37163612	-5.9794836	0.017161747	542.0125834941864
18	822.3108	82.32872	892.38135	682.47974	828.53613	93.02631	985.19415	686.28217	1000.0	1000.0	71999	8.851114	15.760456	44.309456	-0.75501704	8.851109	15.760441	44.460827	-0.72973394	-8.972369	0.018863667	574.8114454746246
19	873.8332	137.7425	962.8147	635.5693	854.2114	50.789967	923.8221	752.8607	1000.0	1000.0	75999	11.97024	19.137363	49.109615	-0.7543175	11.970169	19.137436	49.05966	-0.7432327	-12.048826	0.019381544	606.6285095214844
20	892.3395	39.307655	933.1718	829.23535	905.9136	30.856699	946.5622	857.8415	1000.0	1000.0	79999	15.224463	22.089808	53.312763	-0.7579911	15.224387	22.08984	53.270462	-0.73477113	-15.385949	0.020802269	642.5616118907928
21	861.6316	9.09466	871.36084	849.2534	903.6774	29.532314	942.0467	858.14246	1000.0	1000.0	83999	18.3803	24.669535	57.469017	-0.7502416	18.380232	24.669552	57.47982	-0.7325648	-18.518988	0.01997801	674.4522557258606
22	860.39557	17.594976	885.582	838.2328	727.0043	242.89438	833.9363	0.0	1000.0	1000.0	87999	21.63669	27.01268	61.245136	-0.66828793	21.63666	27.012709	61.25327	-0.6796994	-21.775515	0.020154145	707.2499940395355
23	844.9733	98.601265	960.7369	688.8383	890.1112	68.05529	958.6694	710.3486	1000.0	1000.0	91999	24.789577	29.076544	64.908104	-0.5533279	24.789587	29.076523	64.91426	-0.5738174	-24.936	0.020806728	740.7664709091187
24	912.49976	24.857677	939.0383	879.59186	909.7814	42.46412	968.0661	852.93896	1000.0	1000.0	95999	27.806847	30.921547	68.32027	-0.62234426	27.806845	30.921505	68.45803	-0.62208	-27.841213	0.02066224	773.0346853733063
25	881.7356	63.567963	954.4642	780.85095	904.20575	30.451849	967.20215	861.89496	1000.0	1000.0	99999	30.85176	32.53093	71.20137	-0.84121907	30.851763	32.530933	71.2237	-0.779765	-31.106962	0.021621708	807.839271068573
26	865.4828	14.766191	880.2724	845.6127	905.3542	34.47663	957.3881	836.3788	1000.0	1000.0	103999	33.68356	33.893047	73.884636	-0.892274	33.68357	33.893044	73.967094	-0.90283525	-33.75798	0.022595396	840.815966129303
27	889.3698	16.100288	910.3748	865.6631	886.0448	42.019257	995.4168	852.902	1000.0	1000.0	107999	36.397957	35.028404	76.26981	-1.1196678	36.397976	35.028328	76.28822	-1.050196	-36.52056	0.0231824	873.6942286491394
