Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	129.23364	210.4596	493.7335	3.8127258	59.233864	128.3895	443.2421	5.506128	1000.0	1000.0	3999	0.6808819	1.1458887	11.959459	-10.200322	0.6809264	1.1445665	7.119154	-7.6083765	-0.9609769	0.077806495	48.688257455825806
2	9.951795	6.722084	20.478146	2.0137825	108.62767	194.8688	499.14706	0.100759946	1000.0	1000.0	7999	3.197279	3.0822315	21.299152	-10.482432	3.1971805	3.0821333	21.036581	-7.88476	-3.8730853	0.082514	105.74921369552612
3	20.893742	18.686155	52.998707	6.664751	117.21818	100.43933	279.65555	43.272526	1000.0	1000.0	11999	8.171704	4.9996767	35.30032	-36.583538	8.172248	4.9988217	35.76825	-11.035161	-9.048328	0.19934006	276.85004472732544
4	278.88477	11.259036	293.8987	267.29074	96.10941	65.5306	276.53452	27.28224	1000.0	1000.0	15999	10.491929	6.003385	75.1373	-51.888992	10.492325	6.002876	106.96629	-1.3075461	-10.818819	0.28054053	454.12869024276733
5	152.87024	130.09381	286.8075	18.534039	55.83973	76.763405	284.67892	17.25636	1000.0	1000.0	19999	10.663239	6.0502896	40.50526	0.5079529	10.663303	6.0502734	39.971916	0.78894997	-10.901414	0.14838302	512.6623358726501
6	170.4942	142.50452	336.0725	24.792578	115.21812	171.6195	466.99252	15.825892	1000.0	1000.0	23999	10.768537	6.2038274	38.756954	1.6523535	10.768445	6.203906	39.139698	2.7650428	-10.884918	0.12325038	572.2894206047058
7	150.67336	136.97241	288.0823	13.241018	196.99232	231.81635	490.4449	3.3835058	1000.0	1000.0	27999	10.2753935	6.7076817	39.615837	2.1242218	10.275368	6.7076187	39.46551	3.185987	-10.385649	0.100768924	657.6408140659332
8	183.75021	186.03314	453.90744	10.2174425	233.67007	163.84932	494.6097	7.7114453	1000.0	1000.0	31999	10.556409	7.6085634	40.504383	2.8153815	10.556397	7.6086063	40.56515	3.7950263	-10.659867	0.124508604	715.862800359726
9	315.34607	170.6564	493.72604	90.71119	175.29411	173.98154	491.9707	28.703363	1000.0	1000.0	35999	11.024773	8.73816	40.071106	2.984427	11.02471	8.738364	40.135696	-0.90522707	-11.110179	0.12630764	771.9939475059509
10	157.8583	194.15234	492.1731	25.865929	34.422535	3.647048	42.27754	29.486488	1000.0	1000.0	39999	11.639391	9.862317	41.933113	2.8161497	11.639371	9.86237	42.634354	1.9377326	-11.746672	0.13610429	830.6436755657196
