Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	7.454895	6.589217	18.588717	1.6739972	38.641125	27.164192	99.33529	17.85194	1000.0	1000.0	3999	-0.11952878	0.3475377	12.862024	-13.496856	-0.11964685	0.34405303	12.584673	-12.491542	-0.03124501	0.0915405	44.23818778991699
2	134.18858	224.84708	523.6263	2.321096	119.636765	121.971756	282.45108	9.214966	1000.0	1000.0	7999	1.0346457	1.8963666	18.781992	-2.084571	1.0343767	1.8965065	18.713053	-4.4151783	-1.4111687	0.04401353	92.65478253364563
3	15.862549	7.993172	23.79985	2.744274	58.33892	71.517365	200.69305	4.7603493	1000.0	1000.0	11999	4.1643343	5.1038647	38.31859	-1.6171845	4.1643395	5.103784	38.408054	-1.1173673	-4.993674	0.2265516	144.211674451828
4	78.80297	109.52889	267.7739	7.623384	138.70267	198.66899	516.7009	8.53697	1000.0	1000.0	15999	8.420574	10.37945	72.83774	-0.9749477	8.421035	10.37901	72.53186	1.1359195	-9.254342	0.34066382	198.5909059047699
5	37.625656	23.082548	75.341835	14.8131	93.307915	76.15364	248.84781	49.595837	1000.0	1000.0	19999	10.849007	12.604694	86.898476	1.4685239	10.848997	12.60504	87.869194	0.63559985	-11.373707	0.45358223	252.84673738479614
6	248.69691	222.79317	505.67087	22.52422	29.99085	35.65856	108.73299	4.4351835	1000.0	1000.0	23999	13.036661	16.497528	96.75078	3.315225	13.036366	16.49756	96.818	0.9990783	-13.356404	0.6960822	307.37026476860046
7	51.161953	39.772842	104.093094	11.675303	62.78892	97.46898	266.9985	9.060859	1000.0	1000.0	27999	14.010695	18.303436	99.02999	1.5273784	14.010664	18.303072	98.54696	2.5713835	-14.40952	0.7458732	361.83654165267944
8	159.2394	203.13892	503.95953	10.332865	120.276405	219.42361	578.9981	7.0004086	1000.0	1000.0	31999	14.263417	19.120707	101.86916	-2.9372942	14.263321	19.120626	100.97378	-0.580212	-14.538805	0.827387	415.9592397212982
9	152.1341	248.82579	583.1109	7.739043	81.18404	103.16721	250.12564	5.487842	1000.0	1000.0	35999	14.526986	19.553846	91.41367	-1.529917	14.526724	19.554142	90.23933	-0.79276323	-14.759065	0.7186348	470.51942706108093
10	37.143723	15.404516	56.322826	17.781654	60.470634	9.445227	72.387955	37.857235	1000.0	1000.0	39999	14.381481	20.726986	96.07765	0.38065863	14.381237	20.727161	95.45611	0.9252181	-14.8186455	0.64135545	525.5794703960419
11	24.357533	12.526051	45.450237	12.745948	25.409817	20.60959	63.979366	6.972755	1000.0	1000.0	43999	13.556433	20.925432	97.24888	-0.4727409	13.556103	20.925705	97.24705	-0.08737266	-13.882441	0.59505796	580.0010855197906
12	21.421724	7.399767	29.757477	11.478929	27.421942	15.606376	47.479202	5.3332	1000.0	1000.0	47999	12.153809	19.147718	92.1353	-3.4227238	12.153309	19.147655	93.17655	-1.827083	-12.295899	0.5219567	634.5903432369232
13	87.706345	138.25955	327.111	2.6658573	48.764576	130.18018	439.23138	2.7016938	1000.0	1000.0	51999	11.724773	19.030468	102.78983	-2.6958268	11.72459	19.030943	99.64009	-3.9921873	-12.0383625	0.6647701	688.6803486347198
14	18.79245	9.4618435	34.53111	9.82222	18.84198	10.443043	39.710136	6.810136	1000.0	1000.0	55999	11.875802	20.239946	109.590866	-2.8837655	11.875546	20.240187	101.35173	-3.0365794	-12.240907	0.7741532	742.8095231056213
15	29.27258	8.351248	38.83025	17.249836	129.79367	187.6548	509.8408	28.326643	1000.0	1000.0	59999	11.226636	19.88754	102.933914	-5.2338696	11.22609	19.887533	103.29463	-3.7706301	-11.453447	0.7998551	797.0799469947815
16	145.28654	212.7693	512.33435	5.707558	104.188644	183.80579	471.87128	4.827789	1000.0	1000.0	63999	10.790235	19.72894	103.39805	-4.2528257	10.790008	19.72919	101.65864	-3.6420162	-11.039466	0.77692604	851.5745358467102
17	133.42616	207.16376	492.2299	12.172061	103.1736	178.29445	470.58957	7.3672423	1000.0	1000.0	67999	10.974097	20.477364	102.75013	-2.1010468	10.97395	20.477262	101.00065	-2.7898011	-11.101902	0.6957175	905.7577118873596
18	248.54813	231.85503	483.96265	12.750893	107.889404	184.3763	477.1908	9.628848	1000.0	1000.0	71999	12.178333	22.558819	97.89229	-5.2939386	12.178314	22.558687	98.615135	-2.7590868	-12.286099	0.6382252	959.9205904006958
19	69.99466	22.311447	95.24699	35.45095	262.15723	228.17136	546.74646	64.863174	1000.0	1000.0	75999	12.782151	23.391474	101.41226	-0.7504983	12.782254	23.391146	101.782845	-1.4982376	-12.904681	0.5363955	1014.0158894062042
