Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.0841072	1.877201	4.3355145	2.1153043e-10	24.103872	45.72202	127.90832	7.15478e-10	1000.0	1000.0	3999	-0.04845944	0.20149677	1.6764503	-1.9452561	0.040946137	0.00024537425	26.48198676109314
2	0.11408222	0.117145635	0.2658035	1.1735206e-10	1.3864647	3.6788745	12.388182	1.3829356e-11	1000.0	1000.0	7999	0.025507351	0.20076704	3.1844022	-1.3298515	-0.026879964	0.000101217935	55.04309058189392
3	1.5356237	2.659777	6.1424923	1.6824576e-11	3.4054596	8.053243	27.354218	7.696583e-11	1000.0	1000.0	11999	0.0559545	0.19638892	5.5776515	-0.76881826	-0.05722472	0.000112237765	87.30562853813171
4	1.3111438	2.2707818	5.244253	1.6136318e-11	0.50819415	0.6985814	2.1732492	1.9016557e-09	1000.0	1000.0	15999	0.07298465	0.23532009	6.139463	-0.56401515	-0.07394088	0.00015033926	120.11783742904663
5	24.67999	26.678017	69.36136	1.0148805	29.312809	45.099945	150.45529	0.049964868	1000.0	1000.0	19999	0.10572097	0.35491616	7.796937	-0.48277807	-0.10677748	0.00049614743	152.88186192512512
6	30.275478	44.118504	106.503685	0.88751775	8.006285	10.40638	32.114807	0.043189075	1000.0	1000.0	23999	0.22755557	0.9648286	24.896978	-0.3964404	-0.2298014	0.002202629	185.59730100631714
7	9.731471	9.594123	19.944403	0.06527638	19.471577	37.0607	116.57409	0.060258202	1000.0	1000.0	27999	0.48720247	2.0360982	42.67837	-0.87738997	-0.49310791	0.0052663945	218.83150577545166
8	6.7306895	7.585914	18.487076	0.018512666	0.6740607	1.2531059	4.0225306	2.2493907e-08	1000.0	1000.0	31999	0.735909	2.968179	53.652332	-1.4425578	-0.7470206	0.014086153	251.94619154930115
9	8.136641	13.269448	31.106108	0.035759564	19.23991	34.327663	118.519226	1.1899416e-10	1000.0	1000.0	35999	0.9637638	3.7017007	61.1342	-2.835812	-0.97499126	0.033559546	283.79534554481506
10	64.0542	63.211018	170.90392	6.1091123	42.50262	34.792	103.7138	0.1285062	1000.0	1000.0	39999	1.3823498	4.408766	66.20077	-3.1047616	-1.397436	0.06751674	315.81479954719543
