Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	227.5	394.04156	910.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.96262425	2.1656222	10.934028	-0.21704116	-1.0283953	0.011418259	29.101948261260986
2	438.0	438.0	876.0	0.0	201.6	82.78067	326.0	0.0	1000.0	1000.0	7999	9.36258	9.3434515	35.812866	-0.22494271	-9.903528	0.06279772	61.09329295158386
3	4.5	7.7942286	18.0	0.0	161.3	324.70297	889.0	0.0	1000.0	1000.0	11999	26.423864	11.994792	67.95693	5.465787	-27.159477	0.18865176	94.03080439567566
4	0.0	0.0	0.0	0.0	194.6	389.237	985.0	0.0	1000.0	1000.0	15999	39.449917	11.600465	69.86094	15.882559	-40.134007	0.2552076	127.83771347999573
5	677.0	294.00595	879.0	169.0	465.5	317.2807	944.0	0.0	1000.0	1000.0	19999	46.362625	15.376661	78.87254	24.936651	-46.871925	0.26457167	163.6853473186493
6	914.5	41.34308	972.0	858.0	368.3	423.27084	983.0	0.0	1000.0	1000.0	23999	56.756306	17.904585	93.225426	33.426132	-57.39931	0.3685406	199.0282542705536
7	746.0	118.50105	874.0	573.0	889.8	104.83492	980.0	604.0	1000.0	1000.0	27999	67.73949	18.320559	97.91751	38.612026	-68.40987	0.49786475	234.16100788116455
8	951.5	35.94788	988.0	905.0	950.6	42.455154	994.0	878.0	1000.0	1000.0	31999	78.44988	18.717861	103.41578	39.79233	-79.078636	0.4378811	270.57528495788574
9	937.75	43.82565	990.0	871.0	895.2	66.49331	993.0	804.0	1000.0	1000.0	35999	85.35988	18.781591	108.34245	41.391003	-85.88982	0.38050157	306.8239789009094
10	934.75	29.465021	969.0	905.0	937.2	57.101315	1000.0	788.0	1000.0	1000.0	39999	91.59545	16.943592	111.234	49.882767	-92.12269	0.361483	341.7112672328949
11	898.25	94.25597	991.0	744.0	436.1	266.0201	945.0	0.0	1000.0	1000.0	43999	96.20812	15.553016	114.90581	55.971046	-96.67738	0.3442531	376.0516998767853
12	926.5	40.264748	988.0	882.0	947.0	84.91525	1000.0	699.0	1000.0	1000.0	47999	99.10698	15.782422	116.83477	59.208378	-99.50544	0.35880595	410.0873968601227
13	948.25	29.515886	980.0	900.0	884.2	160.65105	963.0	406.0	1000.0	1000.0	51999	101.02791	15.435895	117.883865	59.999844	-101.41634	0.32492188	444.30755162239075
14	920.75	56.83474	963.0	823.0	949.2	59.44712	999.0	793.0	1000.0	1000.0	55999	103.11904	14.841498	118.71256	63.167263	-103.51494	0.3136515	478.43383169174194
15	923.0	58.52777	988.0	837.0	967.8	21.549015	993.0	927.0	1000.0	1000.0	59999	104.59572	14.676568	120.6697	64.66748	-104.95336	0.33217034	512.3797006607056
16	887.75	65.45753	985.0	803.0	967.0	18.07761	992.0	934.0	1000.0	1000.0	63999	105.63348	14.157438	121.36358	66.151115	-105.964195	0.3381512	546.1025471687317
17	910.5	70.343796	963.0	791.0	980.6	22.000908	1000.0	926.0	1000.0	1000.0	67999	106.4586	13.411831	120.68638	66.81033	-106.81298	0.36311707	580.0730178356171
18	968.25	26.54595	991.0	925.0	950.1	20.037216	973.0	925.0	1000.0	1000.0	71999	108.33333	13.127865	122.09206	71.48316	-108.729515	0.30974817	614.9902143478394
19	969.75	8.257572	984.0	964.0	971.7	29.41785	998.0	902.0	1000.0	1000.0	75999	109.95342	12.308082	121.02161	75.84389	-110.3178	0.27247244	649.2055206298828
20	855.5	158.37692	991.0	586.0	936.0	21.372879	961.0	888.0	1000.0	1000.0	79999	110.85564	11.697432	121.597305	77.55788	-111.17706	0.24725614	683.0917026996613
21	949.0	13.6565	964.0	933.0	784.0	392.17828	999.0	0.0	1000.0	1000.0	83999	110.91793	12.070875	124.63738	76.49544	-111.24422	0.25812662	717.0045897960663
22	730.75	422.0091	990.0	0.0	591.6	483.15076	1000.0	0.0	1000.0	1000.0	87999	111.98001	12.641324	124.64383	75.685905	-112.336716	0.2602011	752.3653843402863
23	785.5	324.21637	977.0	224.0	781.5	391.1154	999.0	0.0	1000.0	1000.0	91999	112.52349	11.948841	124.293	77.14378	-112.87015	0.26477104	786.2786641120911
24	963.75	19.40844	995.0	947.0	951.0	34.833893	995.0	869.0	1000.0	1000.0	95999	112.58321	11.882964	124.1031	73.97127	-112.92072	0.26664746	819.9169340133667
25	978.25	11.945188	993.0	966.0	976.0	13.601471	994.0	956.0	1000.0	1000.0	99999	113.33078	12.180873	124.74936	70.801765	-113.64783	0.2709397	854.8634285926819
26	956.0	12.747549	969.0	938.0	964.7	20.288174	997.0	942.0	1000.0	1000.0	103999	113.21846	11.703704	123.91029	71.25618	-113.52506	0.2448678	889.284640789032
27	970.25	8.642193	985.0	963.0	969.1	21.676947	1000.0	933.0	1000.0	1000.0	107999	112.952	11.02573	123.00566	73.40128	-113.24445	0.23207217	924.5154132843018
28	949.0	30.463093	989.0	909.0	969.8	13.377593	989.0	944.0	1000.0	1000.0	111999	113.34694	10.919872	122.66478	72.923195	-113.67653	0.24790423	958.4535081386566
29	962.0	33.955853	993.0	907.0	933.6	27.122684	987.0	894.0	1000.0	1000.0	115999	112.78078	10.331051	121.10066	76.39969	-113.00542	0.23410563	992.6104485988617
30	972.0	16.046806	995.0	956.0	952.6	21.90525	986.0	901.0	1000.0	1000.0	119999	112.42382	10.280085	120.95691	77.63538	-112.720436	0.21920703	1029.4858574867249
