Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	32.603157	16.039448	51.89411	13.35482	127.94291	0.5103262	128.77855	127.09876	1000.0	1000.0	3999	0.3819197	0.2725626	2.6784127	-0.059391253	-0.39044628	0.0001586549	41.20102906227112
2	15.490044	6.2012243	23.84539	8.624063	173.64766	25.903973	214.00806	125.3093	1000.0	1000.0	7999	1.0936501	0.74903953	5.973527	0.15121298	-1.1346662	0.00027730197	86.01556825637817
3	79.40924	50.11622	127.58604	10.180308	123.63612	0.70762616	125.08293	122.70585	1000.0	1000.0	11999	2.8023922	1.7225208	16.205523	0.7583692	-2.8918085	0.002334622	133.448082447052
4	135.89702	12.934899	158.29413	127.93749	184.67365	41.551083	266.67792	147.07988	1000.0	1000.0	15999	6.150029	3.0493693	29.192425	2.0496392	-6.237121	0.0039730147	183.33622431755066
5	166.02625	24.069464	202.54414	142.97647	154.66997	3.7281287	159.39006	147.38817	1000.0	1000.0	19999	9.362665	4.908015	33.019493	3.356691	-9.433069	0.008710441	232.08291745185852
6	157.5545	2.390841	160.64972	155.02136	161.81804	1.9313766	165.20956	158.2831	1000.0	1000.0	23999	12.005318	6.2294497	43.14246	3.9240816	-12.061921	0.012086152	281.25428318977356
7	138.26279	18.226923	169.81618	127.00219	123.48132	0.7276775	124.654434	122.5343	1000.0	1000.0	27999	13.995977	7.2165956	44.18813	4.874677	-14.052688	0.014051733	329.28450655937195
8	128.32579	0.8280833	129.30074	127.32386	124.045944	0.4463792	124.89635	123.234146	1000.0	1000.0	31999	14.126447	6.1914015	40.530926	6.1948056	-14.178143	0.014714528	377.3716061115265
9	127.137085	0.6097433	127.592316	126.08709	123.51686	0.87939733	125.06328	122.47969	1000.0	1000.0	35999	14.18341	5.3184757	41.091984	7.1764927	-14.228884	0.015907058	425.2605369091034
10	127.9061	0.9929523	129.25221	126.67924	123.59242	0.7736541	124.61995	122.27947	1000.0	1000.0	39999	14.162992	4.8074265	44.08968	7.88058	-14.202172	0.01611259	472.9399371147156
11	127.44882	0.5380922	128.37584	127.082306	124.080246	0.93082917	125.274376	122.4587	1000.0	1000.0	43999	14.158931	4.4588833	45.748325	8.388068	-14.198113	0.01459686	520.609288930893
12	145.29666	17.278406	166.22726	127.86796	163.83896	17.334955	215.38896	153.70062	1000.0	1000.0	47999	14.29148	4.2058783	49.849705	9.11179	-14.330283	0.017860154	568.5261218547821
13	203.38144	28.209526	243.1639	164.77502	156.52708	19.302193	193.7418	126.82862	1000.0	1000.0	51999	14.87611	4.4920936	52.934517	9.738452	-14.9136505	0.025833018	616.1637539863586
14	205.67883	43.995323	278.08188	161.49574	162.83401	12.902609	184.91356	144.80789	1000.0	1000.0	55999	15.565442	5.127425	52.66035	10.011051	-15.606792	0.039552506	663.888632774353
15	267.6052	19.032347	290.0726	239.15636	168.5444	30.499357	257.74063	153.60992	1000.0	1000.0	59999	16.538574	6.2996554	56.436043	10.0858965	-16.57943	0.054579247	712.0925719738007
16	198.33646	67.57277	315.21616	156.43016	397.83237	98.47771	501.57803	156.76613	1000.0	1000.0	63999	17.426445	7.3084135	58.695377	10.166909	-17.472687	0.08392843	759.8894000053406
17	424.21246	179.39864	693.3448	192.29199	219.04407	101.85735	469.62216	146.83488	1000.0	1000.0	67999	18.356833	8.394181	68.2741	9.793921	-18.408155	0.10624005	807.8365132808685
18	355.938	194.62524	556.9932	158.86598	273.28253	124.97736	461.497	141.06995	1000.0	1000.0	71999	19.75872	10.498467	73.60417	9.3026905	-19.811333	0.12369516	855.5559005737305
19	290.14667	135.78984	519.46423	164.69084	220.82675	89.79739	443.70816	138.43631	1000.0	1000.0	75999	21.154867	12.492161	78.9746	9.277921	-21.20633	0.15850878	903.0914075374603
20	429.78262	156.90292	624.60657	192.51244	227.59634	75.9271	356.28027	145.83644	1000.0	1000.0	79999	22.62373	14.65831	83.99661	9.394845	-22.680836	0.17364204	950.9485416412354
21	533.16907	101.50927	632.80255	370.5346	298.3011	103.74717	507.57425	173.67549	1000.0	1000.0	83999	24.69523	17.455212	89.536385	9.023733	-24.763739	0.20241119	998.4876918792725
22	380.72388	158.27898	628.4022	195.37328	174.77396	8.394582	189.17981	161.73795	1000.0	1000.0	87999	26.579433	19.479147	94.70366	8.805725	-26.66049	0.25301152	1046.0298285484314
23	478.27582	158.59276	678.2365	280.61575	452.55048	7.896853	462.76038	440.7075	1000.0	1000.0	91999	28.42777	21.152288	96.99109	8.851728	-28.51429	0.30769685	1093.6658861637115
24	616.8045	104.643295	783.3001	496.80157	124.009445	0.1805007	124.342255	123.79537	1000.0	1000.0	95999	30.800816	23.176577	101.00088	8.986483	-30.900139	0.3329639	1141.3855757713318
25	134.58096	6.2955403	142.95293	127.903206	117.55111	0.09011585	117.671906	117.365715	1000.0	1000.0	99999	32.50439	24.70519	102.03777	9.005719	-32.61611	0.4009255	1189.2801306247711
26	145.32664	42.259224	218.43355	118.61076	594.0543	3.620681	603.4409	590.9586	1000.0	1000.0	103999	33.156292	25.287584	105.21835	8.947094	-33.292656	0.39265496	1237.1094632148743
27	267.58215	88.42397	416.365	187.49734	135.42892	2.652188	143.05196	133.4229	1000.0	1000.0	107999	34.3276	25.890177	107.03897	9.211818	-34.470955	0.4523186	1285.2659611701965
28	376.76752	212.49971	713.04956	131.0602	108.49717	0.29256117	109.23135	108.22553	1000.0	1000.0	111999	35.478912	26.563005	109.34837	9.677703	-35.61221	0.48055583	1333.2215700149536
29	497.87335	121.52415	612.66473	298.6009	282.3572	0.45888624	283.5716	281.83478	1000.0	1000.0	115999	37.176453	27.913849	110.51958	9.233141	-37.31516	0.48934737	1381.722627401352
30	574.0368	262.28717	834.2659	180.12128	843.5438	1.0549369	844.7151	841.1922	1000.0	1000.0	119999	38.96741	29.12663	111.800255	6.75076	-39.116844	0.48455754	1429.9661555290222
31	565.3408	174.86407	822.99396	332.82587	846.81134	0.69781977	848.31934	845.77344	1000.0	1000.0	123999	40.69052	30.38708	112.135574	6.838743	-40.83582	0.5121618	1477.7366170883179
32	622.7567	233.45718	819.04553	224.60936	566.54895	8.16978	577.9254	549.29486	1000.0	1000.0	127999	42.699184	31.367933	113.25577	7.5968447	-42.852844	0.5177283	1525.5897166728973
