Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.17799817	0.08407348	0.5273427	-0.12826012	-0.18595058	4.211506e-05	40.30916380882263
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.2887628	0.084575824	0.56621015	0.059234843	-0.29802507	1.2322886e-05	78.51403164863586
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	0.38538966	0.071440294	0.62025785	0.12742254	-0.39222828	8.878154e-06	118.40492534637451
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	0.3669965	0.10777536	0.5888444	0.12018785	-0.3696087	3.4472384e-06	160.68835735321045
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	0.29388824	0.11177679	0.542167	0.10564738	-0.2943053	1.4745157e-06	201.7692608833313
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	0.26368034	0.08804453	0.47994983	0.101154715	-0.26463103	8.460929e-07	239.41852951049805
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	0.23092586	0.06208308	0.3923596	0.08289178	-0.23155381	5.164797e-07	279.8969190120697
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.19629993	0.0477726	0.31941742	0.0675004	-0.19669108	3.125362e-07	318.5683536529541
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	0.16719018	0.03784051	0.25876364	0.05770483	-0.16745952	1.7216898e-07	361.18037247657776
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.14434433	0.029839203	0.22177237	0.055498406	-0.14467143	1.784671e-07	399.70525217056274
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.12594634	0.02249872	0.20818725	0.04679198	-0.1262819	1.6640037e-07	439.16382241249084
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	0.11037112	0.016938165	0.17143045	0.04771556	-0.11076578	1.7617218e-07	478.46821784973145
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	0.09731038	0.0131211905	0.31296554	-0.083084635	-0.09765147	5.2392585e-07	516.2059462070465
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	0.085404284	0.011381011	0.15459886	0.04821578	-0.08571499	1.6073841e-07	555.5551261901855
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	0.075553834	0.008876862	0.13368139	0.046691906	-0.075780734	1.279025e-07	597.6318047046661
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	0.06494405	0.006229869	0.092466146	0.04270234	-0.065053605	6.2523455e-08	638.3623445034027
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	0.054725952	0.0046917964	0.07619713	0.036467582	-0.05478158	4.218249e-08	675.8196585178375
