Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	3.3605351	0.39802894	4.033053	3.0575676	0.21649353	0.04144753	0.32535076	0.16692576	1000.0	1000.0	3999	1.9481835	0.82092035	4.9378266	-0.515723	-2.1824417	0.0058417167	32.74575185775757
2	3.8748393	0.94907063	5.2750487	2.7678218	0.21616307	0.057072647	0.3284402	0.16192634	1000.0	1000.0	7999	10.286716	4.77174	23.326767	2.0038648	-11.193132	0.022817366	69.51946187019348
3	2.5393963	0.7921763	3.8852327	1.8472427	1.0145766	0.15816854	1.2551758	0.8134597	1000.0	1000.0	11999	24.398508	3.3452375	34.27709	14.416743	-24.810677	0.0440597	107.93187737464905
4	2.0681849	0.24581087	2.4708192	1.8181599	0.92529476	0.09962312	1.1845593	0.84752446	1000.0	1000.0	15999	16.627325	1.8408357	25.024593	12.864704	-16.47241	0.008334324	148.5968325138092
5	2.1628892	0.1751281	2.4616203	2.0175679	0.8934147	0.049444407	1.0196066	0.82618254	1000.0	1000.0	19999	13.815706	0.7228003	16.572939	11.531592	-13.858407	0.0061480133	189.14568996429443
6	2.2695694	0.08959213	2.4198458	2.1842914	0.92320096	0.10216272	1.1977537	0.8067995	1000.0	1000.0	23999	11.634824	0.73713654	15.515336	10.099256	-11.640877	0.0019877006	229.51506972312927
7	2.2653344	0.2372359	2.5517814	1.9755535	0.24689679	0.038775623	0.3305914	0.1877123	1000.0	1000.0	27999	9.577517	0.5848992	12.134518	8.391786	-9.580406	0.0007555354	269.9006595611572
8	1.6412845	0.2147892	1.9895464	1.4416373	0.26189467	0.083790876	0.47922057	0.1911856	1000.0	1000.0	31999	8.050991	0.4311375	9.540134	7.002	-8.063461	0.00046892703	310.39130187034607
9	2.8460476	0.43913427	3.5822709	2.45754	1.9830153	0.21372205	2.5846312	1.7924286	1000.0	1000.0	35999	7.4106975	0.39912	8.534666	5.707112	-7.490084	0.00065636454	351.02208185195923
10	2.6423097	0.09349646	2.7625031	2.541863	2.0731995	0.17041455	2.500515	1.8594187	1000.0	1000.0	39999	6.7192187	0.7951292	8.468096	4.734377	-6.7101693	0.00061526324	391.4228141307831
11	2.686599	0.22592756	3.0374343	2.438357	2.0307825	0.32542455	2.9506328	1.7851588	1000.0	1000.0	43999	5.3276525	0.5765571	6.515545	3.8809156	-5.3339705	0.00035657635	432.0385046005249
12	2.952912	0.14703424	3.1083922	2.7583234	2.0968986	0.31240568	2.8367813	1.8197267	1000.0	1000.0	47999	4.412005	0.57263	5.819144	3.1417139	-4.4208283	0.00034852535	472.8075211048126
13	2.7881682	0.30371383	3.2107306	2.3621936	2.1344752	0.4181357	3.150106	1.8202742	1000.0	1000.0	51999	3.8640687	0.6892979	4.980058	2.5253563	-3.875422	0.00036742992	513.62278008461
14	3.1172624	0.19404052	3.2942455	2.8002484	2.0230446	0.19872633	2.381465	1.7520249	1000.0	1000.0	55999	3.3363194	0.74679846	4.5914273	2.045669	-3.3475406	0.00035778197	554.1080856323242
15	3.0352309	0.20954241	3.2254152	2.7016287	2.0529752	0.34068906	2.5741327	1.6081448	1000.0	1000.0	59999	2.8468535	0.74536955	4.4012127	1.6490912	-2.8527033	0.00044536643	594.8074004650116
16	3.3145416	0.19618781	3.4955537	3.007527	2.1903849	0.3832299	3.1124127	1.8845519	1000.0	1000.0	63999	2.4127755	0.7018122	3.8648648	1.3005892	-2.4174116	0.00029496496	635.6267952919006
17	3.2213852	0.39554965	3.6473196	2.596739	2.1445396	0.37983677	2.9501007	1.6871277	1000.0	1000.0	67999	2.0722625	0.694479	3.4943597	1.0683022	-2.0753617	0.00031131558	676.5051691532135
18	2.9499383	0.28796223	3.2205644	2.5140722	1.9944525	0.2554322	2.535749	1.7790171	1000.0	1000.0	71999	1.811727	0.68952626	3.6068964	0.86699307	-1.8215573	0.00032820585	717.1890532970428
19	3.0279114	0.3896967	3.504258	2.6162682	2.0370195	0.17280461	2.4207265	1.8417108	1000.0	1000.0	75999	1.597774	0.71896297	3.5849004	0.67230713	-1.5999837	0.0004231654	757.8862535953522
20	3.2601333	0.55353814	4.176928	2.7423148	2.1472783	0.31002465	2.7521312	1.8417037	1000.0	1000.0	79999	1.3825771	0.67392796	3.1597192	0.5604511	-1.3872483	0.00033650576	798.6854076385498
21	2.6157835	0.14157078	2.8233788	2.4293	1.9186875	0.12306513	2.1760373	1.7378694	1000.0	1000.0	83999	1.2527183	0.6851438	2.965044	0.44349	-1.2610317	0.00023801324	839.7666923999786
22	2.9654238	0.2984835	3.372844	2.5761855	2.065633	0.3871799	2.8270078	1.7231644	1000.0	1000.0	87999	1.1528995	0.7087172	3.0933127	0.3892032	-1.1576807	0.00024436726	880.5175724029541
23	2.896402	0.23081994	3.1370366	2.6185532	2.0561972	0.16698077	2.4525988	1.8126158	1000.0	1000.0	91999	1.0524617	0.71187985	2.9306257	0.3044729	-1.0577064	0.00022010125	921.519255399704
24	2.8507633	0.16915776	3.1408055	2.7183464	2.0097003	0.27448282	2.7559109	1.7853906	1000.0	1000.0	95999	0.9624898	0.71523035	2.8763037	0.2095376	-0.9680227	0.00018670905	962.5365149974823
25	3.149297	0.2561103	3.4127274	2.8878634	2.0853193	0.23968782	2.4871175	1.810192	1000.0	1000.0	99999	0.90202945	0.7533058	2.7323747	0.13983178	-0.9056516	0.0001838446	1003.2380499839783
26	3.1621947	0.28280315	3.602338	2.8443491	2.0804305	0.27153265	2.7010508	1.8170067	1000.0	1000.0	103999	0.8008565	0.6951939	2.6895952	0.08984056	-0.8039921	0.00015649185	1044.069100856781
27	2.9769173	0.13520035	3.1412458	2.7666929	2.1754575	0.28717864	2.711789	1.8808622	1000.0	1000.0	107999	0.77178884	0.71935135	2.9212942	0.048929065	-0.7773031	0.00017470606	1084.9497773647308
28	2.8709495	0.08905218	2.948269	2.7259395	2.1319425	0.28322625	2.6616096	1.8456657	1000.0	1000.0	111999	0.7347849	0.7284904	2.892051	0.028802902	-0.7402601	0.00015248019	1125.628830909729
29	2.7863245	0.15256025	3.046839	2.6614282	2.1669707	0.18956009	2.4848647	1.8404844	1000.0	1000.0	115999	0.71392477	0.74596673	2.7114694	0.009810686	-0.7166327	0.00016279586	1166.3644428253174
30	2.9443452	0.4361704	3.5287864	2.4703815	2.1130161	0.3493346	2.9342139	1.7341475	1000.0	1000.0	119999	0.66319156	0.6984679	2.8874393	-0.00970614	-0.6668424	0.00015596619	1207.4307355880737
31	2.8742027	0.3714709	3.477706	2.5077736	1.9313835	0.11263294	2.145433	1.8232411	1000.0	1000.0	123999	0.649849	0.7210218	2.981336	-0.025984108	-0.653284	0.0001383711	1248.1613681316376
32	3.0668576	0.27654317	3.5410147	2.8460832	2.1367536	0.18566917	2.4899297	1.8998893	1000.0	1000.0	127999	0.6007073	0.6797488	2.5662992	-0.01688838	-0.603507	0.00011548329	1289.0148541927338
33	3.3615031	0.5775471	4.279885	2.7432785	2.0069983	0.22191137	2.4566128	1.7615138	1000.0	1000.0	131999	0.56045645	0.6467545	2.6814551	-0.010455847	-0.56276965	0.00011151719	1329.8361027240753
34	3.0529559	0.13024242	3.1682549	2.8336556	2.14415	0.38659793	2.9292612	1.7934142	1000.0	1000.0	135999	0.55742216	0.67687553	2.5308428	-0.0037550926	-0.5618973	0.00011744659	1370.5873115062714
35	3.0466897	0.17031646	3.296424	2.8185277	2.3401396	0.3769724	3.0674775	1.8803931	1000.0	1000.0	139999	0.52959335	0.64503646	2.508058	-0.00074869394	-0.53109753	0.00010034313	1411.466616153717
36	2.8154547	0.47106048	3.5726986	2.3203185	1.9612064	0.16263472	2.3536022	1.8323154	1000.0	1000.0	143999	0.50080425	0.61804885	2.5276127	-0.005643487	-0.50361013	0.00010314436	1452.2789959907532
37	3.1327777	0.20674944	3.4206016	2.8390546	1.9480217	0.14252134	2.295069	1.8235962	1000.0	1000.0	147999	0.46682325	0.58259463	2.3884535	-0.013282597	-0.4675882	0.00010033302	1493.1985018253326
38	2.9177735	0.21452007	3.2224007	2.628298	2.2665343	0.30921695	2.945928	1.8494962	1000.0	1000.0	151999	0.46112868	0.59706223	2.7326658	-0.03329003	-0.46615893	0.00011634606	1534.1278743743896
39	3.090398	0.42784664	3.7326844	2.6231163	2.2648377	0.38355654	3.0847075	1.7529249	1000.0	1000.0	155999	0.48895773	0.63430727	2.5687428	-0.028932095	-0.49380586	0.0001154914	1574.9360768795013
40	3.1783867	0.44044194	3.8206692	2.6421154	2.1582112	0.20898578	2.5083642	1.887431	1000.0	1000.0	159999	0.48431042	0.6207761	2.4504418	-0.013952494	-0.48564777	0.00011433608	1615.8975839614868
41	3.0255775	0.2315268	3.2879798	2.6538422	1.9887336	0.1766062	2.2385473	1.7602293	1000.0	1000.0	163999	0.46814844	0.61473197	2.6025853	-0.027910948	-0.47095075	0.00011263236	1656.8876745700836
42	2.759381	0.19089217	3.0667653	2.543093	1.9974263	0.1087834	2.1179671	1.8147659	1000.0	1000.0	167999	0.43307567	0.59170187	2.5308597	-0.045905948	-0.43439513	8.173797e-05	1698.1621544361115
43	3.0768795	0.37476188	3.6827397	2.6719089	2.015384	0.22390811	2.4455512	1.7141235	1000.0	1000.0	171999	0.42138195	0.603551	2.3417993	-0.06447762	-0.4229376	7.043146e-05	1739.2576942443848
44	3.446613	0.4131046	4.161631	3.1954362	2.155745	0.31413013	2.6594048	1.7871866	1000.0	1000.0	175999	0.3933772	0.57360995	2.5086322	-0.078187406	-0.3949881	7.4183896e-05	1782.5405857563019
45	3.0224347	0.21078655	3.2930336	2.7454894	2.1442523	0.3762319	2.8897357	1.5733652	1000.0	1000.0	179999	0.39419153	0.5802112	2.538786	-0.095884025	-0.39636403	6.7562265e-05	1826.0315837860107
46	2.936652	0.100189745	3.0870273	2.8292305	2.2795157	0.35078102	2.7060044	1.7937411	1000.0	1000.0	183999	0.38386852	0.56096375	2.3642778	-0.09813106	-0.38606784	7.6179414e-05	1869.7645926475525
