Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.586995	0.17252529	3.5128129	-0.71733606	-0.6304049	0.0021585098	34.3995795249939
2	1.0	1.2247449	3.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	7999	0.742948	0.17943527	3.5796578	0.19111249	-0.76454335	0.0013385167	73.5854320526123
3	0.75	1.299038	3.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	11999	1.1241852	0.11973927	4.0309916	0.5715528	-1.1469107	0.0007133798	115.19445180892944
4	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	15999	1.1097054	0.106493846	7.037842	0.53144085	-1.1133852	0.0009254485	158.84959650039673
5	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	1.037002	0.12185841	5.1597023	0.56418455	-1.0441943	0.00060483656	202.40487551689148
6	4.25	4.6029882	11.0	0.0	1.8	4.237924	14.0	0.0	1000.0	1000.0	23999	1.6735921	0.91121364	14.258997	0.5834223	-1.811868	0.02113129	245.66135501861572
7	3.25	5.629165	13.0	0.0	1.0	2.0	5.0	0.0	1000.0	1000.0	27999	3.6915421	2.184551	13.150339	-0.76106423	-3.7613804	0.02949492	289.1369972229004
8	3.25	5.629165	13.0	0.0	3.8	5.9632206	16.0	0.0	1000.0	1000.0	31999	3.5859036	2.7369137	17.446583	-1.6180408	-3.6537266	0.046878096	332.7482087612152
9	44.0	38.360134	105.0	0.0	3.3	3.494281	9.0	0.0	1000.0	1000.0	35999	5.4342246	3.3278875	17.99565	-1.2904282	-5.656249	0.06392935	376.3016517162323
10	2.25	3.8971143	9.0	0.0	6.1	4.4598207	15.0	0.0	1000.0	1000.0	39999	8.502698	2.11533	21.068016	3.1195269	-8.719736	0.04547534	419.8688156604767
11	7.75	7.9490566	18.0	0.0	8.1	5.0089917	19.0	0.0	1000.0	1000.0	43999	10.683164	1.8962406	23.254976	4.8978543	-10.863251	0.036646873	463.1887586116791
12	77.0	38.360134	127.0	34.0	166.2	22.76752	206.0	124.0	1000.0	1000.0	47999	12.799418	1.9583908	30.976404	7.7852535	-13.037362	0.052974448	506.6627371311188
13	175.5	89.05195	258.0	27.0	314.6	49.568535	375.0	221.0	1000.0	1000.0	51999	15.2356615	1.7618339	37.51961	11.250394	-15.488172	0.10073992	550.0174074172974
14	253.25	40.84957	296.0	192.0	407.9	28.076502	445.0	369.0	1000.0	1000.0	55999	17.702408	2.108699	36.45574	12.846245	-17.965603	0.16728447	593.8392827510834
15	391.0	28.783676	437.0	358.0	367.9	47.861156	462.0	295.0	1000.0	1000.0	59999	20.771078	2.9875426	37.344795	14.189027	-21.083563	0.19348401	637.5295808315277
16	371.0	41.599277	435.0	322.0	449.2	28.781244	504.0	399.0	1000.0	1000.0	63999	24.4338	3.478054	40.993176	14.932373	-24.775726	0.2590116	681.1623382568359
17	411.0	29.639502	455.0	376.0	441.0	32.600613	490.0	394.0	1000.0	1000.0	67999	28.117445	3.9677148	44.556667	18.861563	-28.460655	0.30740777	725.0665900707245
18	421.5	24.140215	450.0	392.0	387.8	80.480804	448.0	152.0	1000.0	1000.0	71999	31.231693	4.2494655	45.674755	20.980541	-31.562227	0.32166424	768.8011150360107
19	449.0	19.836834	471.0	421.0	439.7	35.349823	504.0	396.0	1000.0	1000.0	75999	34.19534	3.965031	49.16342	23.720842	-34.537857	0.31481084	812.5742208957672
20	471.0	7.0	478.0	460.0	548.2	22.91637	587.0	506.0	1000.0	1000.0	79999	37.112404	3.7150764	53.25504	28.73034	-37.45579	0.3290714	856.1518933773041
21	489.5	17.979155	520.0	475.0	513.1	34.938374	576.0	468.0	1000.0	1000.0	83999	39.783894	3.8726969	54.258064	30.068167	-40.12346	0.33630615	899.8596284389496
22	501.5	25.59785	524.0	458.0	487.4	21.946299	522.0	454.0	1000.0	1000.0	87999	42.177586	3.7765508	55.833202	31.90798	-42.514088	0.33883485	943.7407710552216
23	511.5	15.564383	532.0	489.0	479.2	23.434162	505.0	438.0	1000.0	1000.0	91999	44.237	3.7824125	57.703922	34.552635	-44.56614	0.34065264	987.7756190299988
24	483.25	34.34658	528.0	436.0	515.6	17.012936	536.0	481.0	1000.0	1000.0	95999	46.21509	3.8609972	59.125546	35.304276	-46.544643	0.34824452	1031.8188366889954
25	489.75	27.261465	526.0	455.0	479.5	11.603878	505.0	462.0	1000.0	1000.0	99999	47.85848	3.9663043	59.20379	37.54797	-48.17379	0.3520609	1075.6612267494202
26	523.5	11.672618	540.0	509.0	562.5	16.989702	577.0	521.0	1000.0	1000.0	103999	49.29094	3.9609845	66.06047	38.02442	-49.598274	0.34771568	1119.4628562927246
27	512.5	12.298374	532.0	501.0	514.6	20.3578	546.0	480.0	1000.0	1000.0	107999	50.419506	3.9672825	64.00446	39.211098	-50.719177	0.3671002	1163.348302602768
28	518.0	21.118711	542.0	484.0	553.6	11.876027	572.0	538.0	1000.0	1000.0	111999	51.525845	3.8976383	65.21525	41.173683	-51.815914	0.38448724	1207.1981239318848
29	510.5	21.36001	546.0	489.0	573.0	32.854225	635.0	525.0	1000.0	1000.0	115999	52.28114	4.053282	66.85233	41.397655	-52.564392	0.38912806	1250.9706540107727
30	526.25	21.521791	561.0	502.0	582.6	27.922035	615.0	539.0	1000.0	1000.0	119999	53.137684	3.8962357	67.65941	42.779335	-53.41483	0.4088399	1294.6628811359406
31	528.0	16.867128	541.0	499.0	554.2	37.2043	623.0	502.0	1000.0	1000.0	123999	53.73594	3.8038704	72.47436	43.15887	-54.00013	0.39684373	1338.3314785957336
32	540.75	17.108112	557.0	512.0	555.1	20.417885	589.0	531.0	1000.0	1000.0	127999	54.25699	3.8303173	69.26108	43.38532	-54.528923	0.40697998	1382.4271187782288
33	508.25	17.078861	527.0	485.0	537.0	28.625164	590.0	497.0	1000.0	1000.0	131999	54.88434	3.9222589	69.787636	42.896156	-55.155556	0.41341245	1426.3779273033142
34	517.5	48.194916	572.0	440.0	559.0	19.426786	590.0	530.0	1000.0	1000.0	135999	55.423985	3.7610602	67.55316	43.279613	-55.67449	0.40912166	1470.4047565460205
35	503.25	18.952242	530.0	477.0	536.5	18.315294	562.0	494.0	1000.0	1000.0	139999	55.68068	3.8582478	68.03834	43.263138	-55.934273	0.40759164	1514.571711063385
36	497.5	30.90712	533.0	451.0	429.0	26.465073	460.0	363.0	1000.0	1000.0	143999	56.035004	3.8353076	68.198296	43.516644	-56.274742	0.42166656	1558.5528602600098
37	518.5	24.4387	560.0	497.0	379.7	158.40141	526.0	118.0	1000.0	1000.0	147999	56.263016	3.74366	69.69808	43.849045	-56.494076	0.41520017	1602.4156682491302
38	523.25	21.741377	544.0	488.0	552.5	20.948748	601.0	524.0	1000.0	1000.0	151999	56.38579	3.788299	67.89516	42.637684	-56.61907	0.40410474	1646.321585893631
39	518.0	37.19543	567.0	472.0	551.6	22.379456	595.0	519.0	1000.0	1000.0	155999	56.605927	3.7861707	67.26616	44.433983	-56.83795	0.42189693	1690.1493880748749
40	530.5	9.63068	541.0	519.0	581.2	14.427751	603.0	556.0	1000.0	1000.0	159999	56.76013	3.9378471	67.47992	42.20908	-56.98535	0.42277282	1734.0971632003784
41	518.0	35.305805	554.0	473.0	538.8	22.653034	586.0	508.0	1000.0	1000.0	163999	56.913265	3.9477582	67.71407	41.184765	-57.129086	0.41850355	1777.9710137844086
42	535.0	16.65833	559.0	518.0	550.6	13.101146	575.0	525.0	1000.0	1000.0	167999	57.045593	3.9457428	68.25524	43.84463	-57.26783	0.40713456	1821.9404392242432
43	522.5	7.7620873	531.0	510.0	542.9	19.593111	582.0	500.0	1000.0	1000.0	171999	57.259315	3.8974545	67.999504	40.76828	-57.478775	0.42270437	1865.9691488742828
44	514.5	30.037477	555.0	471.0	497.6	11.235658	518.0	485.0	1000.0	1000.0	175999	57.47543	3.7880812	68.59153	41.373367	-57.68247	0.41807672	1910.124510526657
45	539.0	20.796635	563.0	506.0	532.6	19.708881	568.0	505.0	1000.0	1000.0	179999	57.52716	3.7130458	67.4669	45.325634	-57.735783	0.41145393	1954.1138207912445
46	535.5	19.931131	560.0	510.0	589.0	16.929264	623.0	566.0	1000.0	1000.0	183999	57.57974	3.7366872	67.652145	45.845783	-57.77422	0.42841366	1998.1698145866394
47	549.25	13.718145	565.0	529.0	579.8	27.043669	634.0	535.0	1000.0	1000.0	187999	57.64779	3.8194053	69.24695	44.796093	-57.851524	0.4065112	2042.206514120102
48	530.0	47.942673	589.0	470.0	596.4	17.653328	632.0	572.0	1000.0	1000.0	191999	57.803474	3.7182925	68.00955	44.546577	-58.00039	0.4094608	2086.3972239494324
49	543.25	4.7631397	548.0	536.0	571.3	11.975391	593.0	558.0	1000.0	1000.0	195999	57.887466	3.7105436	67.9072	44.970833	-58.084095	0.39745232	2130.523863554001
