Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	422.25	365.22757	1000.0	0.0	199.3	398.60306	1000.0	0.0	1000.0	1000.0	3999	3.2855897	3.8303776	19.719467	-1.1304249	-3.5272653	0.049110524	37.827544927597046
2	0.75	1.299038	3.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	7999	14.496179	9.3927765	45.395466	0.25053692	-15.129955	0.10070424	80.07633018493652
3	0.75	1.299038	3.0	0.0	401.3	488.8509	1000.0	0.0	1000.0	1000.0	11999	25.661377	13.006484	69.24202	5.2216225	-26.371937	0.27515158	124.4735758304596
4	0.0	0.0	0.0	0.0	100.5	299.83704	1000.0	0.0	1000.0	1000.0	15999	31.04869	15.379484	90.5517	3.4594903	-31.270962	0.35689154	170.97695136070251
5	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	19999	30.610783	18.717632	105.03434	3.5005653	-30.791891	0.47505212	217.60471367835999
6	127.5	182.16545	439.0	0.0	400.0	489.89795	1000.0	0.0	1000.0	1000.0	23999	31.26225	18.722311	124.375534	9.741003	-32.109196	0.65589887	264.041645526886
7	0.0	0.0	0.0	0.0	28.0	76.94673	258.0	0.0	1000.0	1000.0	27999	42.252514	19.287142	140.3709	11.519665	-42.83011	0.5929271	310.6102383136749
8	630.5	374.4132	950.0	33.0	144.4	201.14084	581.0	0.0	1000.0	1000.0	31999	48.30836	26.24616	193.26299	9.44385	-49.00054	1.4598345	357.2349817752838
9	226.25	391.8765	905.0	0.0	200.6	394.7258	993.0	0.0	1000.0	1000.0	35999	63.563477	36.154606	204.08911	17.304136	-64.62699	2.4180307	403.9888548851013
10	268.5	298.98203	723.0	0.0	274.6	398.98102	1000.0	0.0	1000.0	1000.0	39999	73.59272	42.199524	214.192	18.156076	-74.59466	2.6573648	450.47722244262695
11	324.25	362.90933	879.0	0.0	608.9	416.82812	1000.0	0.0	1000.0	1000.0	43999	83.04882	43.21675	207.78038	27.195051	-84.03934	3.4017153	497.16172528266907
12	475.5	475.5021	953.0	0.0	103.0	299.05984	1000.0	0.0	1000.0	1000.0	47999	92.21526	44.953743	198.79341	29.500288	-93.18283	2.9000432	543.8000752925873
13	3.25	5.629165	13.0	0.0	282.1	432.10147	1000.0	0.0	1000.0	1000.0	51999	97.1793	44.970387	195.15369	31.334747	-98.18689	3.0815985	590.2920598983765
14	237.75	411.79507	951.0	0.0	201.7	396.7367	1000.0	0.0	1000.0	1000.0	55999	102.51033	43.823757	197.95982	35.30547	-103.52911	2.7163455	636.753386259079
15	281.75	314.177	802.0	6.0	501.9	382.95285	995.0	0.0	1000.0	1000.0	59999	105.41726	42.69548	199.15846	33.672928	-106.2961	2.2035313	683.2354180812836
16	0.0	0.0	0.0	0.0	645.3	401.87262	965.0	0.0	1000.0	1000.0	63999	107.379	39.974205	201.92567	39.186005	-108.30588	1.9887013	729.7197852134705
17	631.5	165.13707	863.0	439.0	307.8	441.2296	1000.0	0.0	1000.0	1000.0	67999	108.74288	39.071373	203.83449	38.739124	-109.544426	1.9214306	776.1897718906403
18	708.25	324.4082	997.0	179.0	348.8	430.75787	988.0	0.0	1000.0	1000.0	71999	110.19408	38.1405	197.39133	41.24978	-110.98203	1.8543898	822.6475908756256
19	498.5	476.13312	1000.0	0.0	386.7	471.2577	1000.0	0.0	1000.0	1000.0	75999	111.07613	36.249916	195.3328	43.25802	-111.869644	1.6972873	869.4620780944824
20	442.0	446.3586	972.0	0.0	271.0	402.68298	931.0	0.0	1000.0	1000.0	79999	109.72639	35.801323	199.3695	39.557407	-110.39684	1.5717528	915.7966871261597
21	273.75	355.8373	869.0	0.0	206.7	389.43292	985.0	0.0	1000.0	1000.0	83999	107.03287	37.22346	217.14769	39.477116	-107.75716	1.8059582	962.1420204639435
22	35.5	47.673367	116.0	0.0	167.4	338.93338	955.0	0.0	1000.0	1000.0	87999	106.43878	41.290913	218.66782	39.17188	-107.20564	2.1563492	1008.3949370384216
23	910.0	62.91661	984.0	813.0	375.6	462.87714	1000.0	0.0	1000.0	1000.0	91999	106.90033	44.66773	223.35495	35.244194	-107.63753	2.104987	1054.73730301857
24	315.75	405.3618	991.0	0.0	374.2	460.69485	1000.0	0.0	1000.0	1000.0	95999	107.94303	45.79042	215.90584	38.7198	-108.717575	2.2740424	1101.0221364498138
25	74.25	128.60477	297.0	0.0	7.4	18.216475	61.0	0.0	1000.0	1000.0	99999	108.04433	46.23691	216.15134	35.992977	-108.773766	2.0735698	1147.594782590866
26	254.75	430.3402	1000.0	0.0	218.1	390.54437	1000.0	0.0	1000.0	1000.0	103999	108.26888	45.365864	207.30513	35.669514	-109.19397	2.2482467	1194.0684456825256
27	477.25	441.43762	973.0	0.0	445.4	463.18964	1000.0	0.0	1000.0	1000.0	107999	112.55955	42.787415	203.37245	35.795498	-113.51231	2.6310956	1240.5509459972382
28	472.25	472.59412	970.0	0.0	390.3	478.05167	1000.0	0.0	1000.0	1000.0	111999	114.32305	37.852844	201.52621	38.493656	-115.26912	2.197838	1287.0134358406067
29	716.75	415.79044	995.0	0.0	484.2	484.61798	1000.0	0.0	1000.0	1000.0	115999	115.91248	34.200924	201.87256	52.311413	-116.662476	1.4977568	1333.3598744869232
30	472.75	474.3181	1000.0	0.0	299.4	456.4717	1000.0	0.0	1000.0	1000.0	119999	112.46121	35.22371	207.54347	44.61775	-113.08062	1.374721	1379.7142417430878
31	243.75	422.18738	975.0	0.0	493.3	493.366	1000.0	0.0	1000.0	1000.0	123999	109.24379	38.08862	211.11743	38.24866	-109.94314	1.4973093	1425.9366719722748
32	88.0	152.42047	352.0	0.0	484.6	484.7672	987.0	0.0	1000.0	1000.0	127999	108.09237	40.21713	214.0284	33.772568	-108.8576	1.6291986	1472.2401294708252
33	249.25	414.5741	967.0	0.0	402.8	477.87442	1000.0	0.0	1000.0	1000.0	131999	108.15087	40.625412	212.27	31.226955	-108.92746	1.7939398	1518.5827240943909
34	218.75	378.309	874.0	0.0	671.5	441.2825	1000.0	0.0	1000.0	1000.0	135999	109.06892	42.25316	219.29974	34.885357	-109.862625	1.9398564	1564.7935354709625
35	738.25	426.63354	1000.0	0.0	284.7	419.3872	973.0	0.0	1000.0	1000.0	139999	109.99436	43.68701	220.19821	35.53523	-110.78529	1.8077029	1611.1376368999481
36	630.5	403.78552	1000.0	0.0	678.4	430.18582	1000.0	0.0	1000.0	1000.0	143999	109.33752	45.081413	219.53194	32.369854	-109.99075	1.6448684	1657.484544992447
37	847.5	144.26451	973.0	609.0	406.0	446.60474	981.0	0.0	1000.0	1000.0	147999	107.11352	44.98851	206.59622	27.148487	-107.67824	1.6398532	1703.9143331050873
38	928.5	87.37706	1000.0	782.0	674.6	443.28662	1000.0	0.0	1000.0	1000.0	151999	105.1652	44.824932	204.89317	31.299969	-105.680244	1.5862393	1750.245004415512
39	682.0	403.74744	992.0	0.0	390.7	478.64395	1000.0	0.0	1000.0	1000.0	155999	102.80336	44.511658	195.35606	30.639072	-103.29904	1.3672042	1796.7090888023376
40	725.5	419.56793	995.0	0.0	479.0	479.80768	1000.0	0.0	1000.0	1000.0	159999	100.5247	44.46838	193.6514	30.259714	-101.05404	1.4299021	1843.300104379654
41	726.25	419.9526	1000.0	0.0	790.2	395.2973	1000.0	0.0	1000.0	1000.0	163999	99.67759	44.772465	186.95245	30.296898	-100.19475	1.4142025	1889.8147821426392
42	826.25	257.04218	991.0	382.0	395.7	484.6797	1000.0	0.0	1000.0	1000.0	167999	98.22333	44.51163	185.6682	22.93446	-98.737076	1.4282588	1936.2089958190918
43	0.0	0.0	0.0	0.0	649.2	434.50406	1000.0	0.0	1000.0	1000.0	171999	97.02261	44.18046	187.08643	24.967024	-97.571556	1.470124	1982.5939795970917
44	688.75	400.48245	963.0	0.0	308.8	449.3624	1000.0	0.0	1000.0	1000.0	175999	96.29167	43.517357	185.13297	21.833935	-96.825165	1.4774336	2029.4100794792175
45	493.0	493.02484	993.0	0.0	640.2	437.1258	1000.0	0.0	1000.0	1000.0	179999	96.74853	43.070137	184.8924	23.11862	-97.3095	1.40267	2075.9084901809692
46	726.75	419.6078	975.0	0.0	586.2	478.80075	1000.0	0.0	1000.0	1000.0	183999	96.93765	42.972584	201.38263	4.9342966	-97.48217	1.4089348	2122.446850538254
47	704.25	411.60562	1000.0	0.0	580.6	474.96783	1000.0	0.0	1000.0	1000.0	187999	96.40194	42.81265	186.93068	22.3258	-96.90479	1.3587036	2168.9508669376373
48	492.0	492.13007	1000.0	0.0	790.7	390.36136	1000.0	0.0	1000.0	1000.0	191999	95.82898	42.41851	186.02534	21.86908	-96.33258	1.3536375	2215.4057586193085
49	495.5	495.54086	1000.0	0.0	588.3	480.6781	1000.0	0.0	1000.0	1000.0	195999	95.46965	42.996567	188.6915	21.885044	-96.017456	1.3766575	2262.0124185085297
50	478.0	478.53528	988.0	0.0	575.5	471.14334	1000.0	0.0	1000.0	1000.0	199999	95.3687	43.587334	190.91684	22.963945	-95.895775	1.2852203	2308.711931705475
51	728.75	420.8357	986.0	0.0	389.7	477.8458	1000.0	0.0	1000.0	1000.0	203999	95.26951	43.86599	188.04016	24.241056	-95.8073	1.1728094	2355.3455164432526
52	511.25	477.92435	1000.0	0.0	874.9	296.8833	1000.0	0.0	1000.0	1000.0	207999	95.09422	43.372585	188.73103	22.137655	-95.592	1.1483741	2402.0147523880005
53	978.75	17.753521	1000.0	955.0	589.0	481.75616	1000.0	0.0	1000.0	1000.0	211999	95.16219	42.853516	182.03793	23.183607	-95.672676	1.0955801	2448.7205018997192
54	712.0	413.02783	1000.0	0.0	591.2	482.76865	1000.0	0.0	1000.0	1000.0	215999	95.58518	42.71769	182.2448	22.656654	-96.12008	1.0525845	2495.3984434604645
55	490.25	490.25317	983.0	0.0	392.2	480.42413	1000.0	0.0	1000.0	1000.0	219999	96.79709	43.68157	182.79503	20.568058	-97.41569	1.168571	2542.1296846866608
56	465.75	466.71854	974.0	0.0	690.1	451.88705	1000.0	0.0	1000.0	1000.0	223999	98.44683	45.285892	182.23993	18.744879	-99.039375	1.2237612	2589.0298750400543
57	429.5	435.99112	965.0	0.0	473.7	475.58258	1000.0	0.0	1000.0	1000.0	227999	98.66673	46.258297	175.53658	21.195377	-99.168625	1.191743	2635.5653173923492
58	248.75	430.84763	995.0	0.0	589.0	481.06277	1000.0	0.0	1000.0	1000.0	231999	97.53433	46.22709	174.2681	20.7928	-98.050934	1.1998818	2682.384345293045
59	246.75	427.38354	987.0	0.0	581.3	473.53357	1000.0	0.0	1000.0	1000.0	235999	97.62359	44.9171	189.34698	22.484951	-98.18841	1.1508142	2728.927206516266
60	481.25	481.30728	973.0	0.0	380.0	467.74545	1000.0	0.0	1000.0	1000.0	239999	97.52518	43.572506	182.57016	20.550945	-98.0467	1.2335328	2775.586142063141
61	232.75	403.13483	931.0	0.0	476.4	479.06702	1000.0	0.0	1000.0	1000.0	243999	97.68936	42.874405	179.45822	26.106241	-98.30536	1.2602524	2822.337383747101
62	245.75	425.6515	983.0	0.0	592.3	483.8661	1000.0	0.0	1000.0	1000.0	247999	101.64216	39.887074	179.06189	26.080898	-102.54975	1.8041221	2869.06383728981
63	741.5	428.3302	1000.0	0.0	390.4	478.38147	1000.0	0.0	1000.0	1000.0	251999	106.76426	36.565712	179.72308	25.318897	-107.489685	1.8818552	2915.833566427231
64	471.0	472.22134	990.0	0.0	497.9	497.73898	1000.0	0.0	1000.0	1000.0	255999	108.46567	36.63179	187.90411	25.990784	-109.19477	1.5804392	2962.9497277736664
65	246.25	426.51752	985.0	0.0	389.1	477.25644	1000.0	0.0	1000.0	1000.0	259999	108.98716	36.111485	182.3181	35.73874	-109.61938	1.2864134	3009.7427310943604
66	341.0	408.4642	1000.0	0.0	394.6	481.8961	1000.0	0.0	1000.0	1000.0	263999	109.12101	36.136158	186.08415	41.962833	-109.80803	1.3430178	3056.4985439777374
67	906.5	150.4701	1000.0	646.0	571.6	471.67963	1000.0	0.0	1000.0	1000.0	267999	110.73321	36.25563	184.82045	33.636505	-111.45173	1.3731084	3103.3288049697876
68	485.75	485.84378	985.0	0.0	294.4	449.74484	997.0	0.0	1000.0	1000.0	271999	111.63982	36.30364	177.12975	36.56118	-112.30616	1.4786745	3150.0377736091614
69	250.0	433.0127	1000.0	0.0	976.7	13.791664	996.0	950.0	1000.0	1000.0	275999	111.44039	36.576164	181.74718	43.384754	-112.05889	1.2200377	3196.8004927635193
70	250.0	433.0127	1000.0	0.0	590.9	482.5104	1000.0	0.0	1000.0	1000.0	279999	110.46517	38.033157	183.90225	45.233147	-111.11011	1.1865503	3243.5192968845367
71	490.0	490.00458	983.0	0.0	497.3	497.3148	1000.0	0.0	1000.0	1000.0	283999	109.70431	39.978836	191.39816	33.270393	-110.27494	1.1888059	3290.3958213329315
72	566.0	418.27982	1000.0	0.0	577.9	473.0487	1000.0	0.0	1000.0	1000.0	287999	107.70403	41.429375	185.60838	35.098557	-108.23576	1.3238426	3337.2464532852173
73	484.75	485.22952	1000.0	0.0	777.1	389.758	1000.0	0.0	1000.0	1000.0	291999	105.75239	42.36551	182.10591	29.622265	-106.27633	1.3168252	3384.2886188030243
74	496.0	496.03226	1000.0	0.0	582.6	475.78464	986.0	0.0	1000.0	1000.0	295999	104.61141	42.447403	181.98627	24.072727	-105.16628	1.3489815	3431.018896818161
75	384.25	403.79227	944.0	0.0	583.6	477.10883	1000.0	0.0	1000.0	1000.0	299999	103.703	41.593746	180.7379	25.739513	-104.230835	1.3634503	3477.7122049331665
76	743.75	429.4522	1000.0	0.0	491.2	491.23312	990.0	0.0	1000.0	1000.0	303999	102.21262	40.745003	184.47064	26.811956	-102.723495	1.2512288	3524.9612612724304
77	730.25	421.66122	984.0	0.0	591.0	482.72787	1000.0	0.0	1000.0	1000.0	307999	101.35454	40.645805	180.2365	24.572296	-101.86139	1.2628684	3572.219301223755
78	478.75	479.01428	980.0	0.0	487.1	487.21176	987.0	0.0	1000.0	1000.0	311999	101.21831	40.608208	173.0823	23.696081	-101.76691	1.2817649	3619.1013152599335
79	808.25	232.33315	984.0	415.0	379.9	468.52542	1000.0	0.0	1000.0	1000.0	315999	100.96422	40.45353	175.41399	24.506966	-101.509636	1.2467271	3666.253847837448
80	741.5	428.1761	1000.0	0.0	646.1	441.04047	1000.0	0.0	1000.0	1000.0	319999	101.10463	40.305164	175.09079	22.871437	-101.618675	1.1660452	3713.207906484604
