Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.00083327893	0.0014432814	0.0033331157	0.0	3.987886e-05	0.000119636585	0.0003987886	0.0	1000.0	1000.0	3999	2.672277	1.5871137	10.149859	-0.66746175	-3.0401657	0.011673677	42.7348370552063
2	0.0	0.0	0.0	0.0	0.010136125	0.030408371	0.101361245	0.0	1000.0	1000.0	7999	12.786762	7.9155097	63.861683	-17.544136	-13.449787	0.56422573	90.7479944229126
3	0.21872517	0.3788431	0.8749007	0.0	0.0044423034	0.01332691	0.044423036	0.0	1000.0	1000.0	11999	33.631287	25.456036	186.07245	-24.20723	-35.058624	5.674175	138.42328000068665
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	25.961775	17.252466	141.69745	-41.433685	-26.733288	3.892055	188.06762409210205
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	57.69584	18.971365	169.26135	2.9784591	-59.964172	3.1082263	234.89803957939148
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	57.72841	22.671837	172.79025	-15.845792	-57.401882	3.91798	281.8886260986328
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	53.301296	21.411175	172.16064	-22.713137	-54.670795	3.1333754	326.4080035686493
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	78.03363	23.92105	185.32205	-18.695486	-79.511375	3.4327133	370.1285080909729
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	108.07695	28.375793	238.10814	42.629528	-110.54108	3.5015147	414.0612106323242
10	0.0	0.0	0.0	0.0	0.013707225	0.041121677	0.13707225	0.0	1000.0	1000.0	39999	103.52729	16.723507	195.79616	51.059547	-104.788956	1.815384	457.8680250644684
11	0.0	0.0	0.0	0.0	0.01042815	0.027308365	0.09155912	0.0	1000.0	1000.0	43999	96.85759	14.735906	190.78967	53.46012	-96.83789	1.046649	501.5697741508484
12	0.024680821	0.042748436	0.098723285	0.0	0.007547965	0.017063592	0.05552733	0.0	1000.0	1000.0	47999	74.47758	11.851817	152.89111	45.540276	-74.300285	0.38169962	545.3105111122131
13	0.0	0.0	0.0	0.0	0.00028521722	0.00085565157	0.0028521721	0.0	1000.0	1000.0	51999	61.35	7.5786715	94.80073	42.880585	-61.459705	0.21091193	589.0808098316193
14	0.0	0.0	0.0	0.0	2.4475108e-05	7.342532e-05	0.00024475108	0.0	1000.0	1000.0	55999	50.09563	5.3697867	73.6116	35.44998	-50.11533	0.111836806	633.0424418449402
15	0.0	0.0	0.0	0.0	0.013823788	0.026503786	0.08701817	0.0	1000.0	1000.0	59999	40.145134	4.4368253	58.231445	29.803276	-40.075523	0.063865855	676.9239542484283
16	0.0	0.0	0.0	0.0	0.0037635728	0.011290719	0.03763573	0.0	1000.0	1000.0	63999	32.26723	3.1727626	48.123093	23.654451	-32.27979	0.034807593	720.6696877479553
17	0.0005811472	0.0010065766	0.0023245888	0.0	0.007951522	0.015948076	0.042435557	0.0	1000.0	1000.0	67999	26.445265	2.7155185	40.72792	21.01155	-26.454567	0.020519825	764.4136936664581
18	0.0	0.0	0.0	0.0	0.020252664	0.05824447	0.19485116	0.0	1000.0	1000.0	71999	21.659494	2.1868773	31.907812	16.382908	-21.64483	0.012098027	808.2561912536621
19	0.04441776	0.048621356	0.11680332	0.0	0.0073324456	0.016452638	0.055549324	0.0	1000.0	1000.0	75999	17.299805	1.5200335	25.566963	13.780729	-17.293297	0.007245969	851.9267628192902
20	0.027873911	0.034556758	0.08463431	0.0	0.030680552	0.09204166	0.30680552	0.0	1000.0	1000.0	79999	14.012745	1.1862187	19.156015	10.724927	-14.004096	0.003768314	895.9518609046936
21	0.0	0.0	0.0	0.0	0.023302773	0.047692135	0.13914824	0.0	1000.0	1000.0	83999	11.328285	0.9238328	16.040672	9.193331	-11.321921	0.0021633194	939.738936662674
22	0.0	0.0	0.0	0.0	0.013018081	0.02562329	0.07638542	0.0	1000.0	1000.0	87999	9.135575	0.738911	14.569916	7.4675593	-9.130036	0.0014155068	983.3564155101776
23	0.0045152903	0.007820712	0.018061161	0.0	0.0074015306	0.021682424	0.07243341	0.0	1000.0	1000.0	91999	7.436912	0.5881281	10.943828	6.150139	-7.437499	0.000903183	1027.0982885360718
24	0.022853237	0.039582964	0.09141295	0.0	0.0005041679	0.0015125038	0.0050416794	0.0	1000.0	1000.0	95999	6.0913873	0.46826136	9.124594	4.9183664	-6.0939755	0.00070821476	1071.1991124153137
25	0.0019415122	0.0033627977	0.007766049	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	4.994789	0.4113104	7.883063	4.0747075	-4.993612	0.00044259065	1115.0782055854797
26	0.0	0.0	0.0	0.0	0.0036783055	0.007996002	0.025397358	0.0	1000.0	1000.0	103999	4.068934	0.33711323	6.6580644	3.1056128	-4.0690956	0.00036488174	1158.7069890499115
