Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.4484692	0.38512576	1.9549066	0.9239256	0.7262886	0.27886015	1.2371627	0.344969	1000.0	1000.0	3999	8.617838	6.410619	29.661802	-8.620656	-10.380661	0.33867747	39.60872769355774
2	0.7130413	0.53645074	1.5875361	0.16698723	1.0646673	0.8509242	2.9883058	0.3123618	1000.0	1000.0	7999	55.87567	25.917126	142.99803	13.79235	-61.24643	2.831384	81.6443076133728
3	0.939747	0.3869394	1.5112748	0.48670107	1.0176384	0.760968	2.7887921	0.3032404	1000.0	1000.0	11999	239.33484	77.97843	427.24997	73.897835	-253.53247	29.570631	124.8678240776062
4	0.640508	0.4929712	1.3866823	0.06467709	0.61151004	0.30202007	0.92688346	0.10890238	1000.0	1000.0	15999	375.95724	40.45429	532.02106	259.78043	-382.24457	46.99314	170.9571454524994
5	1.4132391	0.9633901	2.8506691	0.14929236	0.59645146	0.3699662	1.4574052	0.11204438	1000.0	1000.0	19999	393.9807	46.340782	622.2781	278.02063	-402.03967	45.70457	215.9109127521515
6	1.0242122	0.4253984	1.588109	0.38917235	0.95229757	0.30969778	1.4818069	0.45880127	1000.0	1000.0	23999	544.1202	55.293797	737.71075	328.20886	-554.3256	90.21453	262.16865968704224
7	0.7448385	0.2617923	1.0705554	0.42223734	0.46480298	0.43173835	1.5248582	0.019226002	1000.0	1000.0	27999	531.22	52.874653	738.718	351.2305	-534.36	49.28697	307.86837244033813
8	0.80494624	0.5927236	1.7297064	0.10343437	0.80825174	0.33543554	1.3439575	0.3746278	1000.0	1000.0	31999	474.8265	41.878002	678.4846	319.31342	-477.138	32.355755	353.1267611980438
9	0.5722313	0.4469664	1.2734026	0.029860303	0.5277769	0.36906064	1.2376035	0.15251444	1000.0	1000.0	35999	448.10712	33.177593	611.8566	333.6833	-451.54507	25.579363	399.28149461746216
10	0.57692444	0.25949666	0.94715106	0.21419166	0.64403594	0.51704335	1.6392664	0.08717462	1000.0	1000.0	39999	408.42496	30.01452	573.295	299.60916	-410.22656	17.522808	444.8265337944031
11	0.38591114	0.17688029	0.58773196	0.13962163	0.6730574	0.3577144	1.4904815	0.059967984	1000.0	1000.0	43999	361.19385	23.904415	485.64917	271.28796	-362.5215	11.506231	492.2737820148468
12	0.85481095	0.37436482	1.4977472	0.56119907	0.69706416	0.45255876	1.6013705	0.3073911	1000.0	1000.0	47999	319.25858	17.326199	423.7811	254.99736	-321.03262	9.477754	540.0722126960754
13	0.76002944	0.44413418	1.3939961	0.1487919	0.64325404	0.4096132	1.663393	0.27929464	1000.0	1000.0	51999	296.7147	20.961824	431.5293	242.5298	-299.1386	10.3939705	588.5220341682434
14	0.27422395	0.16774023	0.53992105	0.09731781	0.7933554	0.43067658	1.6757201	0.19282924	1000.0	1000.0	55999	291.2921	27.567686	435.25552	215.38228	-293.42813	6.917964	635.3145117759705
15	0.3494026	0.25255498	0.7560416	0.06520144	1.0251576	0.7648883	2.6838071	0.14540982	1000.0	1000.0	59999	267.90625	22.943556	382.74426	207.25061	-269.10156	4.979694	681.4947602748871
16	0.8030132	0.46671048	1.6102769	0.49468693	0.8107773	0.5239236	1.6107943	0.15764672	1000.0	1000.0	63999	232.12633	19.925198	329.58453	167.36943	-232.71942	3.0416436	728.3758175373077
17	0.57516444	0.37116268	1.0041262	0.03426974	0.75466686	0.32137942	1.2927278	0.14695272	1000.0	1000.0	67999	199.18298	17.594372	288.94296	143.31604	-199.72212	2.1849766	773.8477025032043
18	0.6074631	0.37792724	1.1796626	0.13411808	0.50328636	0.4255032	1.2992878	0.031088525	1000.0	1000.0	71999	171.57964	15.877357	251.07974	120.97748	-172.03438	1.4050627	820.2881138324738
19	0.5564952	0.12794527	0.7425003	0.38261244	0.5434674	0.3290348	1.1676065	0.09041125	1000.0	1000.0	75999	147.9865	13.243054	218.35608	102.397255	-148.34592	1.0827197	865.6629831790924
20	0.7844857	0.31315544	1.1362073	0.41019815	0.63425505	0.35656998	1.1963705	0.18904398	1000.0	1000.0	79999	126.78461	10.138072	182.37703	90.761765	-127.16289	0.69569385	912.6626176834106
21	1.1493757	0.67937815	1.6928545	0.010153634	0.66805506	0.4663842	1.3512002	0.06257131	1000.0	1000.0	83999	109.4564	8.735944	160.06625	78.41003	-109.7219	0.4244313	959.1329326629639
22	0.65927607	0.57947147	1.5576985	0.018157842	0.6244755	0.37251794	1.6140726	0.11082452	1000.0	1000.0	87999	93.21342	7.5092835	136.4702	66.355255	-93.37393	0.29905567	1007.2344515323639
23	0.8153437	0.90314204	2.3233151	0.042112906	0.8156459	0.41239843	1.5212998	0.2905769	1000.0	1000.0	91999	78.41999	6.218157	115.05153	57.79226	-78.517	0.18372823	1054.44864153862
24	0.5369042	0.41402388	1.0382266	0.038890224	0.58862674	0.316985	0.9684014	0.013697162	1000.0	1000.0	95999	65.80913	5.00724	95.79783	49.80763	-65.89525	0.10575881	1099.9719305038452
25	0.46178466	0.44214153	1.2043762	0.1050815	1.2000625	0.383613	1.8811841	0.68213296	1000.0	1000.0	99999	55.29841	4.019441	79.95901	42.384243	-55.365715	0.0667337	1146.2970969676971
26	0.7154546	0.37422898	1.110486	0.21025997	0.7777846	0.34674734	1.4214773	0.124044	1000.0	1000.0	103999	46.299175	3.159639	65.25175	36.32325	-46.3554	0.041419648	1191.7359187602997
27	1.170153	0.2063943	1.40874	0.83985007	0.6565789	0.2438048	0.95458347	0.21034987	1000.0	1000.0	107999	38.728485	2.6157715	55.397095	30.866774	-38.772163	0.024851767	1237.3601081371307
28	0.7775709	0.44343543	1.4320313	0.33629352	0.67971104	0.33107907	1.2613071	0.21054138	1000.0	1000.0	111999	32.443546	2.168236	45.601597	25.687515	-32.482235	0.015478926	1282.724068403244
29	0.67555535	0.34547055	1.0565126	0.31044874	0.67667663	0.29461494	1.2135926	0.3261403	1000.0	1000.0	115999	27.051125	1.8034923	37.189705	21.51864	-27.072603	0.0101657985	1329.110401391983
30	0.6647058	0.6858007	1.85157	0.22774096	0.6777717	0.44655624	1.5235733	0.026839048	1000.0	1000.0	119999	22.451813	1.4605846	30.439034	18.224499	-22.467299	0.005495897	1374.7945666313171
31	0.52002037	0.17700386	0.752297	0.25423732	0.6315007	0.38574743	1.3970407	0.15379564	1000.0	1000.0	123999	18.724276	1.0935874	24.636187	15.965704	-18.747105	0.0029688692	1421.2375395298004
32	1.0200279	0.6532471	1.8817658	0.17946576	0.59665054	0.46999967	1.3447857	0.034744732	1000.0	1000.0	127999	15.6639385	0.88844883	20.192593	13.592007	-15.680334	0.0015174544	1467.4424781799316
33	0.7722442	0.22994174	1.0225515	0.53749985	1.0393676	0.28712115	1.4269869	0.5519048	1000.0	1000.0	131999	13.105324	0.72071034	16.868792	11.376178	-13.120629	0.0011441282	1515.5113666057587
34	0.62108123	0.20895118	0.8449759	0.38735735	0.73687744	0.4871771	1.6467203	0.171434	1000.0	1000.0	135999	10.93068	0.6063604	13.887333	9.505154	-10.940615	0.00064479886	1562.9126777648926
35	0.99786717	0.39882803	1.6687388	0.6266913	1.2056739	1.2811388	4.7603474	0.076864	1000.0	1000.0	139999	9.062538	0.51591206	11.116279	7.9028273	-9.066887	0.00033506	1608.8108086585999
36	0.48822713	0.31640637	0.99521303	0.21520858	0.623974	0.39212447	1.1922481	0.112521455	1000.0	1000.0	143999	7.488095	0.42361838	9.295551	6.5629005	-7.4916787	0.0002539634	1655.278704881668
37	0.9150009	0.6414792	1.917818	0.18707086	0.7071255	0.38336375	1.3274484	0.058694515	1000.0	1000.0	147999	6.165446	0.35919517	7.733135	5.3965764	-6.1665926	0.00022552886	1703.626273393631
38	1.0884771	0.5864088	1.7527585	0.4977104	0.97875625	0.4792095	1.7185781	0.12166117	1000.0	1000.0	151999	5.0481234	0.30570957	7.046921	4.335126	-5.0478334	0.00024726093	1751.7938270568848
