Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.019676493	0.059029486	0.19676493	0.0	1000.0	1000.0	3999	0.012626452	0.005204404	0.103522	-0.088474736	-0.013764106	6.6712064e-06	33.26490306854248
2	0.0	0.0	0.0	0.0	0.35637328	1.0691184	3.5637283	0.0	1000.0	1000.0	7999	0.01916547	0.0035619808	0.030796573	-0.006003296	-0.019664042	7.168269e-07	70.14251565933228
3	7.7786174	13.47296	31.11447	0.0	7.688762e-13	2.3066284e-12	7.688762e-12	0.0	1000.0	1000.0	11999	0.09257324	0.2626628	8.251485	-0.08796345	-0.100787215	0.00046291098	105.74504232406616
4	0.0	0.0	0.0	0.0	1.4290279	4.2870836	14.290279	0.0	1000.0	1000.0	15999	0.40141723	1.1866983	23.346647	-0.0010052621	-0.42402834	0.0019972909	142.84210777282715
5	3.180821e-08	5.5093434e-08	1.2723284e-07	0.0	24.221832	15.96345	37.552998	0.0	1000.0	1000.0	19999	0.742452	2.1934154	35.071613	-0.013813615	-0.77097946	0.003465054	181.45444059371948
6	9.927978	10.380552	24.143425	0.0	0.1404985	0.42149553	1.4049851	0.0	1000.0	1000.0	23999	1.6990153	4.6673536	44.28951	-0.013861239	-1.7436316	0.005216463	218.831237077713
7	38.92619	47.76571	119.76138	0.0	129.37445	173.85124	491.5592	0.0	1000.0	1000.0	27999	2.9704065	6.8652773	49.11288	-0.011317551	-3.0293937	0.0063705523	256.97173857688904
8	45.58629	31.057571	92.17139	4.6983695	52.983173	30.805	90.08216	0.0	1000.0	1000.0	31999	6.1418586	10.20812	49.113503	-0.8108697	-6.266804	0.008367342	294.01357316970825
9	15.647593	27.102232	62.590034	0.0	32.758804	26.985931	57.94448	3.0025094e-11	1000.0	1000.0	35999	9.63444	11.922454	45.427063	-0.5393221	-9.781859	0.008113141	332.48579502105713
10	606.1043	288.72778	865.17316	126.326035	898.91	42.358047	982.431	833.5881	1000.0	1000.0	39999	12.559637	13.486142	53.310455	0.060947686	-12.729337	0.008760091	368.9410469532013
11	742.4153	80.71549	831.70013	611.2275	893.77167	22.540306	921.0299	853.5857	1000.0	1000.0	43999	18.180197	18.523392	62.764214	0.06953907	-18.41031	0.0110315755	403.9198942184448
12	839.7105	41.119812	886.9065	780.0849	895.8174	25.81245	940.28516	863.58264	1000.0	1000.0	47999	25.22047	23.664469	70.92071	0.13586128	-25.497112	0.013452255	439.408047914505
13	881.2561	27.521303	911.11194	839.24207	897.14777	30.270308	934.47736	838.9161	1000.0	1000.0	51999	32.278866	27.74177	76.96112	1.2388798	-32.546833	0.012123046	475.2773349285126
14	853.17804	75.75644	954.78534	746.46844	887.78107	28.10311	939.1451	859.11	1000.0	1000.0	55999	38.80467	30.823599	82.86061	2.5785904	-39.064735	0.014579235	510.53116607666016
15	882.2267	15.551841	899.6495	862.8309	892.3131	37.372387	960.5637	852.9343	1000.0	1000.0	59999	44.89663	33.18885	87.6334	2.7745717	-45.147472	0.016628174	548.8049602508545
16	869.58795	12.894806	879.10913	847.4232	887.8711	21.74886	930.13806	862.52606	1000.0	1000.0	63999	49.7504	34.264877	90.19848	2.428683	-49.98925	0.016323293	585.0966045856476
17	870.3849	18.693676	893.7011	841.70996	895.32776	32.75136	965.1253	857.96564	1000.0	1000.0	67999	54.399647	34.625824	92.601	2.7635245	-54.645813	0.017618565	623.265095949173
18	900.6667	45.492355	950.27814	850.03827	905.2575	32.410027	961.3306	861.7221	1000.0	1000.0	71999	58.348503	34.64696	94.81933	3.7573853	-58.590652	0.016862305	660.1273055076599
19	872.3261	26.097473	910.0542	847.2339	881.6351	29.728916	930.41473	844.47205	1000.0	1000.0	75999	61.921494	34.44159	95.946556	4.749629	-62.1479	0.017117277	696.9918985366821
20	865.27747	13.990382	883.35706	844.3751	881.0033	33.784977	975.8018	849.72363	1000.0	1000.0	79999	64.835884	34.122723	96.92534	6.2651734	-65.05699	0.017278679	732.4060459136963
21	878.3497	28.41536	923.18866	844.48517	895.8338	20.62704	923.28076	865.9858	1000.0	1000.0	83999	67.32033	33.83751	97.82015	7.2235737	-67.53357	0.017590223	769.4203727245331
22	855.1782	4.0578365	859.48535	850.6456	904.0726	37.27804	954.0907	849.0338	1000.0	1000.0	87999	69.43053	33.370667	98.69902	8.581792	-69.63486	0.01908948	811.6835625171661
23	845.75354	13.290019	863.0111	832.713	899.4266	42.768246	989.8857	838.57874	1000.0	1000.0	91999	71.27596	33.14186	100.16698	11.443402	-71.4848	0.02261716	846.1857521533966
24	867.6394	16.497154	895.68896	853.16144	881.7516	20.869959	927.5536	853.76904	1000.0	1000.0	95999	72.91902	33.010555	100.69522	12.53491	-73.10229	0.018486116	884.4695711135864
25	885.4475	36.50358	945.26385	846.5057	883.5369	22.901264	920.29987	856.6672	1000.0	1000.0	99999	74.44871	32.741234	101.23538	13.143003	-74.643486	0.022300048	920.8958678245544
26	891.0189	32.6591	931.8121	842.90076	899.6056	36.109356	980.5088	855.6919	1000.0	1000.0	103999	75.87182	32.28172	101.15096	12.43833	-76.047134	0.023108024	957.0988783836365
27	901.0323	12.65454	918.3305	882.6985	872.82874	23.182732	917.73755	846.1907	1000.0	1000.0	107999	76.82307	31.988321	101.21314	11.941877	-76.98947	0.0232336	994.3153731822968
28	880.6623	29.285088	909.16345	842.3562	714.9988	273.87488	934.23267	254.45898	1000.0	1000.0	111999	77.58409	31.608616	101.299416	12.929533	-77.73563	0.021025967	1030.783595085144
29	856.8253	6.582498	864.14923	846.483	894.442	26.615433	940.0679	855.8377	1000.0	1000.0	115999	78.274414	31.218039	101.26329	13.107172	-78.42905	0.018271243	1069.8361585140228
30	860.20374	24.627184	881.66736	819.7838	807.4699	26.358812	854.75946	777.6879	1000.0	1000.0	119999	78.9057	30.81438	101.314964	14.266563	-79.05412	0.01887969	1103.865296125412
31	899.48804	25.673803	939.478	870.60187	895.2922	32.30022	969.6535	853.596	1000.0	1000.0	123999	79.55762	30.447084	101.22897	14.505331	-79.7075	0.02037013	1139.1108791828156
32	903.3492	27.474499	947.151	873.26855	895.8338	31.61713	961.7538	852.12366	1000.0	1000.0	127999	80.22637	30.249271	101.37589	15.251334	-80.36464	0.020498062	1174.6216216087341
33	883.13464	22.731773	907.68604	846.2376	921.60126	38.228565	992.3946	852.50696	1000.0	1000.0	131999	80.75465	30.048746	101.49983	15.623239	-80.89764	0.019338721	1210.2319869995117
34	903.6741	52.71684	988.0425	848.29694	912.37	47.05664	996.6966	843.1326	1000.0	1000.0	135999	81.37624	29.791866	101.80356	15.724905	-81.51145	0.016752614	1245.9128437042236
35	916.01733	21.452753	948.6388	888.63776	901.0326	35.02431	956.37616	844.83966	1000.0	1000.0	139999	81.85267	29.514736	101.71618	15.736606	-81.98541	0.01799912	1282.8010878562927
36	907.97473	24.015696	931.63727	874.09625	885.0609	25.33522	917.30304	840.004	1000.0	1000.0	143999	82.37627	29.186295	101.54683	15.80622	-82.505295	0.021026885	1318.031043767929
37	837.97577	106.34953	944.5518	660.8976	871.52264	41.237137	968.7604	830.2371	1000.0	1000.0	147999	82.690315	28.988363	101.78215	16.573263	-82.81435	0.020131344	1353.3638634681702
38	879.4889	7.401529	890.6817	871.72406	889.9743	29.433416	951.6456	855.5102	1000.0	1000.0	151999	83.1462	28.70583	101.85066	15.335736	-83.26931	0.020266611	1391.6349892616272
39	885.6867	31.404875	933.4306	855.85675	882.85284	62.33352	980.21204	791.0414	1000.0	1000.0	155999	83.49151	28.498034	101.92395	14.785043	-83.609924	0.019819878	1425.1723532676697
40	859.26587	19.284185	892.60315	846.63226	884.79504	38.603127	967.46124	845.82104	1000.0	1000.0	159999	83.76106	28.507214	102.46507	14.075052	-83.8761	0.019382527	1461.6507828235626
41	903.2209	38.71967	944.20593	856.8474	908.4181	39.79279	981.67706	860.5697	1000.0	1000.0	163999	84.17886	28.709606	103.333	12.735428	-84.30206	0.019507442	1497.8004913330078
42	927.65125	17.215782	946.8061	907.4939	913.38934	37.75488	956.5962	852.4586	1000.0	1000.0	167999	84.70517	28.622477	103.31372	12.332328	-84.82786	0.022986157	1532.9186506271362
43	861.83997	12.787765	875.1147	840.74146	897.103	38.74981	975.1614	838.4908	1000.0	1000.0	171999	85.14469	28.186054	103.14617	12.779672	-85.25723	0.023104077	1569.0368678569794
44	893.6242	34.012608	946.22406	851.1341	908.4171	46.755096	992.9803	850.2428	1000.0	1000.0	175999	85.47155	27.925785	102.95584	13.470682	-85.58685	0.02007821	1604.6300501823425
45	887.70795	51.946106	971.9079	841.77075	871.43634	40.56805	918.528	797.897	1000.0	1000.0	179999	85.75421	27.648493	103.10163	14.97029	-85.86745	0.01926431	1639.698921918869
46	857.7427	56.96601	916.2879	763.5648	883.92664	53.973454	984.97375	808.4549	1000.0	1000.0	183999	86.03194	27.463575	103.56675	13.146434	-86.14544	0.021291602	1675.4809374809265
47	827.4351	38.583004	881.57196	772.6809	767.28375	29.073895	842.7394	736.2273	1000.0	1000.0	187999	86.46026	27.217157	103.639915	12.344182	-86.58197	0.025116645	1712.9812908172607
48	839.10175	65.35577	937.5405	760.3835	858.2664	52.065422	942.418	788.81445	1000.0	1000.0	191999	87.04111	26.762844	103.83682	13.496917	-87.17234	0.027195187	1750.0832569599152
49	859.7618	69.59645	977.8232	805.76025	875.40125	26.263132	912.2011	826.9909	1000.0	1000.0	195999	87.63986	26.542034	104.032074	17.001427	-87.76305	0.02281509	1785.3396849632263
50	837.30536	28.618313	885.0349	810.23694	903.9474	27.496405	945.727	846.5797	1000.0	1000.0	199999	87.93185	26.55377	104.29928	15.364244	-88.04528	0.020341113	1821.7489213943481
51	868.73206	43.559166	936.1704	815.8441	701.2017	52.05743	752.49365	617.4806	1000.0	1000.0	203999	88.08391	26.58339	104.297905	14.967646	-88.1955	0.019382454	1857.2268240451813
52	853.9675	32.16937	906.9484	820.2548	899.27673	34.52738	958.15857	843.07056	1000.0	1000.0	207999	88.35673	26.568474	104.12274	15.355668	-88.46799	0.021112712	1893.9756813049316
53	771.19586	37.82092	814.20483	718.5209	799.98627	36.809517	854.04803	720.41864	1000.0	1000.0	211999	88.41982	26.620617	104.084335	14.8452015	-88.52066	0.017931003	1930.6835210323334
54	434.2419	120.05435	623.8463	290.84753	316.4864	78.011955	426.85992	235.77103	1000.0	1000.0	215999	88.37573	26.635094	104.09677	13.360489	-88.48201	0.021490742	1966.3371846675873
55	712.2762	224.1324	897.36945	330.81384	894.6971	25.23441	941.1466	851.76056	1000.0	1000.0	219999	88.40132	26.546837	103.75666	11.093779	-88.50539	0.027475936	2001.744623184204
56	854.1099	18.451546	879.385	827.7218	873.9634	45.622353	993.3009	823.32715	1000.0	1000.0	223999	88.52046	26.401392	104.022644	10.319723	-88.64863	0.03009725	2037.76611328125
57	878.25714	24.806803	908.87396	840.9783	885.79083	18.381353	909.8871	848.5778	1000.0	1000.0	227999	89.12464	26.225636	104.98584	10.375572	-89.26134	0.03275723	2074.3950941562653
58	811.7866	51.646503	863.8517	748.3961	782.4908	30.528166	834.5525	740.16864	1000.0	1000.0	231999	89.49415	25.989029	105.1574	10.53689	-89.60739	0.028104361	2109.9742982387543
59	795.36127	59.57619	859.43164	704.0639	661.8966	19.965729	688.7779	627.2749	1000.0	1000.0	235999	89.15997	25.297686	104.18884	9.954381	-89.24305	0.031031035	2146.062579870224
60	809.5251	75.26668	909.3225	724.6398	892.7163	30.745747	949.4917	845.4062	1000.0	1000.0	239999	88.97238	24.462877	103.99173	11.071817	-89.08326	0.031399097	2183.8314321041107
61	871.1576	28.684559	916.71234	838.0628	890.9876	28.547968	936.58777	838.44305	1000.0	1000.0	243999	89.31737	24.159998	104.57423	12.211147	-89.443726	0.030981507	2220.251074552536
62	902.9743	33.93237	961.1688	876.7273	902.3954	22.212215	939.92444	855.0286	1000.0	1000.0	247999	90.09533	24.50184	105.5795	13.8303175	-90.26289	0.02764103	2255.3955290317535
63	868.56	46.69629	943.7138	817.65643	880.15	32.243145	935.5017	819.2481	1000.0	1000.0	251999	90.70733	24.638437	105.44299	13.10536	-90.81341	0.030000195	2291.8812408447266
64	873.14386	23.068949	896.824	849.6833	889.88104	35.05	948.2192	850.346	1000.0	1000.0	255999	90.25856	24.578411	104.952286	11.806765	-90.34021	0.036407717	2327.7817130088806
65	887.0039	20.495197	915.02014	860.9908	879.9219	25.227173	937.2516	848.96106	1000.0	1000.0	259999	89.93825	24.488638	105.0553	9.875159	-90.039375	0.03433228	2363.4146077632904
66	885.42236	45.81876	961.16504	838.7753	886.9246	32.354782	942.50586	838.61426	1000.0	1000.0	263999	90.07416	23.877108	104.87144	10.185	-90.18364	0.03429931	2400.581698179245
67	697.98535	190.03233	854.4459	387.65588	265.86014	9.505963	278.9511	251.21964	1000.0	1000.0	267999	90.3643	23.619036	106.164276	10.3787565	-90.504105	0.03831383	2437.9175255298615
68	66.38265	39.88174	133.78505	30.558817	52.04322	7.0608025	71.0967	46.02973	1000.0	1000.0	271999	91.42833	23.707262	107.88584	11.075272	-91.59806	0.042165697	2472.478826522827
69	296.77585	326.73016	852.5056	55.08065	885.1117	20.679602	921.1095	857.3136	1000.0	1000.0	275999	92.20896	23.981434	109.31434	11.326956	-92.38685	0.054430205	2507.7587604522705
70	907.0948	52.378227	966.48584	853.78577	903.5298	34.15649	979.4493	856.64417	1000.0	1000.0	279999	93.85136	24.774183	110.55728	11.387754	-94.11261	0.046112247	2543.9820024967194
71	434.1151	434.18076	878.9051	0.0	850.29913	33.101387	901.853	801.1906	1000.0	1000.0	283999	95.76726	25.538208	111.41001	10.812375	-96.00091	0.04851521	2580.4990785121918
72	351.5883	255.77927	743.9244	114.8912	7.570951	11.558504	39.83983	0.0	1000.0	1000.0	287999	96.35071	25.861925	113.08027	11.352863	-96.53945	0.051537376	2618.598945617676
73	171.83081	105.040405	289.45248	62.13654	194.06519	15.976036	219.7527	175.55922	1000.0	1000.0	291999	95.36746	24.830927	112.50747	9.562411	-95.45769	0.055995755	2656.3428432941437
74	303.98712	144.68538	520.1376	114.03262	890.43445	25.013962	938.9246	852.769	1000.0	1000.0	295999	94.43116	23.989298	111.10638	12.104185	-94.59683	0.06669694	2694.048565864563
75	901.9162	17.193409	923.79047	881.60706	909.33136	35.848133	959.6764	862.04364	1000.0	1000.0	299999	95.18664	24.007196	112.11889	10.770913	-95.44518	0.06904683	2731.804620027542
76	884.542	22.265026	918.7287	858.6747	869.7785	31.634388	916.761	820.6502	1000.0	1000.0	303999	97.00032	24.459492	115.30422	10.907614	-97.2937	0.07721055	2768.9770905971527
