Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	251.75511	246.57697	502.27118	3.9300501	184.45673	145.13237	487.984	22.409494	1000.0	1000.0	3999	11.019009	9.621254	61.67402	-12.140865	-13.240784	0.3767962	31.948317289352417
2	126.801384	213.11732	495.9176	1.1361415	147.97813	202.33342	471.31717	0.17321786	1000.0	1000.0	7999	376.77795	354.97357	2015.3416	13.787624	-448.30246	242.15964	68.06044507026672
3	3.3684783	4.5736074	11.2252	0.1568919	149.49246	192.1645	491.39926	0.20423388	1000.0	1000.0	11999	4239.408	1932.906	9605.86	660.6706	-4581.02	9851.188	105.20753121376038
4	215.00964	211.43016	485.31598	0.5490786	162.11574	162.5821	363.91708	11.468833	1000.0	1000.0	15999	8516.885	1499.4948	15103.08	4368.591	-8767.02	31073.99	143.61682891845703
5	157.00055	123.407074	364.006	40.511192	134.07701	162.1192	471.95444	48.996414	1000.0	1000.0	19999	10975.525	1932.1205	20835.732	2273.3057	-11099.694	43996.41	181.95785427093506
6	55.843613	3.6244159	60.260567	50.25517	135.24648	161.93857	462.751	47.731537	1000.0	1000.0	23999	9662.479	1533.643	16965.297	5405.8506	-9691.848	26772.318	223.7758047580719
7	50.728626	2.4761233	54.750015	47.99031	104.066734	110.391136	380.22244	46.074078	1000.0	1000.0	27999	8337.7	1260.6195	14709.304	2351.947	-8374.72	16399.371	262.0366036891937
8	104.52993	142.25447	348.5899	6.349204	57.55665	143.15048	486.70758	4.969179	1000.0	1000.0	31999	8845.384	1779.3154	16479.408	3420.8198	-9053.908	27812.322	298.6754517555237
9	10.985563	6.6698914	21.934372	5.175549	22.079317	26.477814	99.70384	5.046378	1000.0	1000.0	35999	10236.48	2056.3281	17119.936	4115.3843	-10331.192	30716.14	338.8919208049774
10	23.696272	7.9508147	36.442814	15.64823	24.167257	16.977592	62.34369	7.73824	1000.0	1000.0	39999	10198.428	2367.7131	17663.855	6078.7314	-10309.339	26709.953	376.06997776031494
