Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	102.11552	143.40063	350.23782	9.376661	61.02727	83.026695	230.42029	5.593476	1000.0	1000.0	3999	4.244049	3.500405	14.690407	-0.65210325	-5.0547104	0.0061002877	47.1814923286438
2	204.32025	335.6787	785.72797	8.30778	169.89584	305.83093	999.6153	8.525737	1000.0	1000.0	7999	39.300613	21.28923	97.7899	9.608846	-43.394756	0.14842431	100.07573342323303
3	298.87054	410.7253	999.9287	6.1560955	236.7894	324.6057	938.582	4.5618362	1000.0	1000.0	11999	141.0284	32.42877	249.576	70.12818	-147.4745	1.2647939	154.56165480613708
4	199.78958	321.4279	756.43195	7.7834578	9.733977	5.2111664	20.237251	5.118796	1000.0	1000.0	15999	204.45435	19.903797	288.5829	141.68774	-206.54056	2.3348413	211.12039041519165
5	8.954727	2.37248	12.077864	6.079669	140.58553	239.39842	780.3323	7.1740084	1000.0	1000.0	19999	177.74046	13.982728	229.28404	137.69913	-178.12578	0.5865897	267.7737367153168
6	267.27808	348.36002	857.37225	6.2269907	213.4521	320.5386	891.6666	5.874749	1000.0	1000.0	23999	162.81644	12.765565	204.79785	131.28429	-164.67406	0.77677184	325.2671642303467
7	64.00085	95.863914	229.9585	4.8826904	189.41696	316.30026	1000.0	6.1504326	1000.0	1000.0	27999	184.73172	12.806745	227.84592	143.72133	-186.73524	1.1418548	381.83429169654846
8	91.841965	133.60884	323.01566	8.132166	136.9588	202.70921	537.6478	5.430966	1000.0	1000.0	31999	192.32202	13.021615	243.0443	153.26527	-194.29947	0.7831669	439.0256209373474
9	586.02625	348.17145	999.9975	221.29134	39.362286	48.95954	159.69347	5.368546	1000.0	1000.0	35999	173.23698	17.937933	245.68661	123.750916	-172.88857	0.62584424	496.5499861240387
10	140.38855	231.29211	540.9953	6.105398	89.90068	201.48297	690.218	5.0357146	1000.0	1000.0	39999	144.86841	10.644649	195.00266	105.51279	-145.26918	0.44532606	554.1895127296448
11	117.55289	152.38007	380.41174	11.61914	89.921936	142.2621	396.22144	5.563502	1000.0	1000.0	43999	127.07945	12.558539	164.2006	83.79186	-127.217674	0.3329845	611.852778673172
12	127.80655	72.17867	242.5519	44.54728	277.5913	373.06604	1000.0	4.0405955	1000.0	1000.0	47999	110.45498	13.764873	144.12378	61.371666	-110.69512	0.32775226	669.3281297683716
13	23.051697	10.520079	37.68773	7.943385	183.77875	291.81174	893.15674	4.1466093	1000.0	1000.0	51999	95.27254	14.854616	137.46268	43.875736	-95.17444	0.28566214	727.3431951999664
14	18.012402	7.5696654	25.399845	7.8952827	291.6414	426.45767	997.83093	7.1846952	1000.0	1000.0	55999	79.69265	14.638621	119.081955	30.404324	-79.64859	0.27574664	784.927551984787
15	15.915965	8.686494	30.13526	6.754044	189.22655	270.83047	886.1799	4.228534	1000.0	1000.0	59999	66.72536	15.936817	121.70252	19.641106	-66.75406	0.25611567	842.5706615447998
16	94.22391	126.58393	311.21475	5.0074406	359.7213	427.8597	998.52606	4.323622	1000.0	1000.0	63999	57.64963	16.707335	126.48155	14.853	-57.661694	0.23856372	899.7911133766174
17	13.842932	6.329015	21.748077	6.4532614	166.41382	279.5556	883.77783	9.209394	1000.0	1000.0	67999	48.919037	16.913109	128.81288	8.053186	-48.841072	0.22568431	957.3033649921417
18	15.110542	8.767458	27.835325	6.124384	125.97017	252.27336	846.3115	6.67521	1000.0	1000.0	71999	41.21318	17.808893	131.4242	5.231741	-41.201595	0.25243908	1015.0480484962463
19	174.68022	180.04413	447.2436	9.054964	163.30801	254.95506	823.0607	5.796395	1000.0	1000.0	75999	36.2569	19.25321	133.04422	2.3816352	-36.23125	0.29595417	1072.4204967021942
20	480.6774	453.00287	1000.0	27.064032	179.19572	189.92552	512.54694	7.0974197	1000.0	1000.0	79999	33.563656	22.883713	147.21043	-3.9062953	-33.594273	0.32041767	1129.8297832012177
21	420.72415	401.24228	936.853	7.876227	192.39307	320.99844	917.05365	4.8889565	1000.0	1000.0	83999	32.005737	25.951012	150.41216	-3.7623024	-32.053448	0.39038032	1187.2721283435822
22	15.0633335	10.131566	31.661394	4.5960817	96.42136	114.6746	369.40503	6.194825	1000.0	1000.0	87999	29.89022	27.500238	151.55775	-3.5415535	-29.874817	0.41436425	1244.706681728363
23	341.74997	305.5329	695.9491	8.206356	148.37527	286.56616	972.4218	6.6049676	1000.0	1000.0	91999	27.323103	27.948154	151.25581	-4.9567213	-27.358528	0.41668478	1301.7777349948883
24	45.82378	59.91687	149.50484	7.012521	140.96443	269.91068	859.8229	4.4841633	1000.0	1000.0	95999	25.75064	28.891035	149.13829	-7.537053	-25.690105	0.3674642	1358.9768583774567
25	303.58395	214.51085	614.2799	13.761996	123.12262	185.29042	481.836	4.821282	1000.0	1000.0	99999	24.306025	28.941723	141.62115	-7.271683	-24.329453	0.3468103	1416.4083461761475
26	18.251236	8.222005	30.189945	10.5108385	267.83643	328.58966	894.8966	8.090957	1000.0	1000.0	103999	22.92556	28.85138	136.31245	-9.495184	-22.9055	0.3033181	1473.5197718143463
27	276.76154	405.91467	977.5454	9.6961355	138.2186	286.4182	966.13446	5.2964396	1000.0	1000.0	107999	21.27636	27.934813	130.62257	-12.404693	-21.284697	0.25715312	1530.3532285690308
28	56.047955	69.68196	176.55998	10.699828	111.30237	203.22192	583.12775	3.783163	1000.0	1000.0	111999	21.0806	28.145748	127.412735	-9.875276	-21.127758	0.24950819	1587.388923406601
29	81.202614	101.37307	256.39633	11.86857	15.757886	11.211651	43.246475	5.325342	1000.0	1000.0	115999	20.479565	28.009684	122.99571	-10.853672	-20.506113	0.22492144	1644.9258892536163
30	362.41772	273.12646	652.39874	74.40558	215.5476	290.65863	932.8447	4.1404395	1000.0	1000.0	119999	20.554667	28.074886	119.348335	-9.38172	-20.583487	0.21235883	1702.0506796836853
31	373.46375	377.81012	886.42645	5.4274096	147.89915	303.3897	999.9491	5.580795	1000.0	1000.0	123999	20.852413	28.175797	112.40854	-10.971488	-20.849194	0.18205363	1759.2402205467224
32	188.22398	303.41406	713.64594	5.1449275	23.289825	27.831564	105.1749	7.4845467	1000.0	1000.0	127999	20.440475	27.870264	109.41531	-11.740595	-20.459467	0.16785243	1816.4232211112976
33	74.63581	97.26957	242.87988	12.259076	188.61006	300.02432	975.0139	4.4146886	1000.0	1000.0	131999	20.332285	27.158829	103.85892	-11.048654	-20.35603	0.15811805	1873.233077287674
34	191.55472	316.1816	739.1857	6.788303	26.589746	21.30251	73.54996	5.386909	1000.0	1000.0	135999	20.169632	26.682127	113.91816	-11.998444	-20.195372	0.15697305	1930.2024838924408
35	130.10664	201.19135	478.56653	11.393787	55.187695	67.88536	222.62398	5.3839946	1000.0	1000.0	139999	20.132769	26.020678	106.04415	-11.847207	-20.182491	0.15034643	1987.3241243362427
36	204.0679	306.69284	734.9733	10.594465	29.499958	47.55698	168.52751	4.3979044	1000.0	1000.0	143999	20.373192	25.747375	106.94267	-9.818037	-20.414051	0.12854446	2044.8339557647705
37	444.00723	434.41238	978.59937	13.7927685	87.123116	147.01213	409.04977	4.6803546	1000.0	1000.0	147999	20.920969	26.110441	109.11261	-9.580078	-20.946844	0.13383721	2101.675295352936
38	165.53975	213.11925	533.78766	24.79342	188.69548	296.53122	828.6452	4.1902704	1000.0	1000.0	151999	21.038347	26.218582	104.42931	-8.583168	-21.05852	0.12526219	2158.9889056682587
39	22.668726	12.057498	40.108944	9.6896925	244.16472	354.585	925.63605	4.37967	1000.0	1000.0	155999	20.454073	25.584093	100.33038	-8.605465	-20.473894	0.12662147	2216.0456681251526
40	66.2604	85.836006	214.67264	12.350181	154.16096	298.21655	919.43176	5.2706623	1000.0	1000.0	159999	20.133434	25.371304	101.452255	-8.758675	-20.15804	0.11971842	2273.505665063858
41	296.4812	289.16962	602.8282	5.523365	148.11664	246.6259	696.1639	5.962525	1000.0	1000.0	163999	19.968925	25.236677	103.82899	-9.47261	-19.985928	0.110307075	2330.6904425621033
42	252.48027	409.57593	961.82965	11.536476	40.80485	58.71511	214.2066	4.149766	1000.0	1000.0	167999	20.12678	25.627892	97.473946	-9.694039	-20.142315	0.114419095	2388.2966985702515
43	200.16852	317.2784	749.60504	8.477069	236.8864	354.12717	985.0388	5.079344	1000.0	1000.0	171999	20.11641	26.054264	97.7102	-7.9739265	-20.136028	0.10056841	2445.494332075119
44	10.119868	2.8510196	13.86781	6.6247354	18.44238	11.324199	39.743397	5.5046515	1000.0	1000.0	175999	19.684557	25.843773	98.9321	-7.6508346	-19.700306	0.10549065	2502.7054586410522
45	73.383125	114.27483	271.27237	3.641963	75.05881	175.37268	600.1295	7.3419995	1000.0	1000.0	179999	19.329994	25.60257	101.79078	-8.309782	-19.342197	0.109451704	2560.1315240859985
46	21.860462	11.512938	37.452797	8.05076	104.24966	222.51987	758.1899	7.482795	1000.0	1000.0	183999	19.072104	25.384716	102.13703	-9.054155	-19.100826	0.10015182	2617.2412765026093
47	46.705185	63.254883	156.25075	8.482438	229.04422	303.8628	841.919	7.888455	1000.0	1000.0	187999	18.802649	25.229086	98.86367	-9.383128	-18.821785	0.10089183	2674.287036180496
48	215.94139	314.5317	760.08954	10.145884	25.952335	24.135914	81.05727	6.258963	1000.0	1000.0	191999	18.911583	25.17164	97.608376	-9.527213	-18.9369	0.09734201	2731.893974304199
49	237.64714	364.69708	868.91077	9.176215	78.50035	172.65262	594.44293	8.306568	1000.0	1000.0	195999	18.95028	25.163628	98.28091	-9.663594	-18.986273	0.09195207	2789.196865797043
50	217.73549	344.6211	814.31134	9.412615	230.34949	302.7866	996.18994	5.252619	1000.0	1000.0	199999	19.398428	25.487358	101.7599	-9.167434	-19.442276	0.09714486	2846.57679271698
51	90.686386	117.788826	294.27814	11.98015	153.0714	173.06377	461.0697	4.690203	1000.0	1000.0	203999	19.491615	25.160366	103.248375	-6.0675945	-19.520163	0.08766176	2904.1037287712097
52	89.334526	127.255325	309.70184	12.129787	145.16487	186.93495	604.87915	4.012279	1000.0	1000.0	207999	19.509415	24.80335	102.08129	-4.8987393	-19.538198	0.09489246	2961.6981394290924
53	223.81078	339.89474	811.75037	5.2708044	135.06587	290.48654	1000.0	4.083372	1000.0	1000.0	211999	19.474554	24.902647	105.563934	-5.2972865	-19.51454	0.094404615	3019.1595199108124
54	9.279354	1.0768663	10.232692	7.612112	299.09088	311.99747	881.7434	4.577011	1000.0	1000.0	215999	19.562334	25.07283	105.8121	-7.018486	-19.598991	0.09174918	3076.8273828029633
55	113.269516	145.63669	363.89282	15.792072	175.05482	327.40305	913.7185	6.7150435	1000.0	1000.0	219999	19.36822	25.085798	100.98705	-5.7021236	-19.396399	0.08680232	3134.9781725406647
56	38.08855	31.841099	82.05186	6.899415	55.625134	75.279434	204.892	5.1629786	1000.0	1000.0	223999	19.112246	25.008686	103.847084	-6.9883	-19.137577	0.08001532	3192.376993894577
57	28.83461	33.722664	87.209465	7.6090727	182.63565	275.64282	745.83563	7.2048836	1000.0	1000.0	227999	18.806276	24.965681	104.57233	-8.301859	-18.819613	0.0756254	3250.178117990494
58	49.932014	68.75068	168.95018	6.652017	229.50012	359.90192	930.0127	6.573162	1000.0	1000.0	231999	18.432188	24.87456	101.299164	-9.470812	-18.451946	0.07465174	3307.712236404419
59	335.72055	402.4764	999.9335	6.351389	164.83029	276.73172	834.1276	6.387795	1000.0	1000.0	235999	18.354746	25.339092	102.770325	-9.185535	-18.374641	0.0826546	3366.755479812622
60	8.617439	3.3758688	13.940486	4.672105	312.9029	391.3045	998.92053	5.6423354	1000.0	1000.0	239999	18.259758	25.51814	101.22703	-9.06626	-18.28411	0.09078177	3424.4662680625916
61	317.62292	284.08087	720.9365	28.54434	96.44795	171.29266	502.1681	5.600052	1000.0	1000.0	243999	18.276276	25.57694	100.13023	-9.206742	-18.315098	0.07609414	3482.4362518787384
62	94.49635	139.1352	335.3762	7.661261	219.3743	385.55594	999.9984	9.443022	1000.0	1000.0	247999	18.693863	25.998043	101.62101	-8.584068	-18.722492	0.083408006	3540.505854845047
63	196.06163	323.67657	756.68146	7.1340146	163.4746	215.30434	587.123	7.839846	1000.0	1000.0	251999	18.617594	25.787857	99.332245	-8.378388	-18.640785	0.08065997	3598.630680322647
64	10.059286	4.4472785	17.566696	5.9360156	93.60762	166.13791	497.97745	4.547927	1000.0	1000.0	255999	18.297226	25.40269	95.33347	-6.9539886	-18.298561	0.078225695	3656.4750232696533
65	45.3011	32.745056	93.44813	12.085094	135.30928	192.96815	605.5777	4.131624	1000.0	1000.0	259999	17.594698	24.567945	92.554405	-7.0707684	-17.590063	0.064213865	3714.595047712326
66	13.197273	3.672369	18.270731	8.036056	197.05586	301.62878	999.99884	5.7678256	1000.0	1000.0	263999	16.944683	23.7783	86.027596	-6.9552126	-16.934626	0.06298043	3772.6042144298553
67	16.523468	8.685961	25.400288	4.4058204	123.50429	182.4561	508.72528	7.044526	1000.0	1000.0	267999	16.105297	22.986252	82.25436	-7.577347	-16.090046	0.057599764	3830.60409617424
68	10.126949	5.335584	18.47975	4.4754696	297.9839	437.423	999.55286	6.9471083	1000.0	1000.0	271999	15.398645	22.355785	81.72307	-6.7148395	-15.366506	0.064466976	3888.47229719162
69	23.557993	9.397768	39.01322	15.423048	148.09763	289.8264	960.3218	5.665592	1000.0	1000.0	275999	14.690419	21.81073	79.53495	-7.3287153	-14.68077	0.06740775	3946.5996930599213
70	11.693114	7.277982	23.73773	5.2052517	330.12817	418.72556	999.6065	5.8024006	1000.0	1000.0	279999	14.3651285	21.849413	80.57532	-8.959597	-14.354002	0.070785955	4004.8668467998505
71	116.26581	178.79129	425.81052	7.1376047	105.35824	170.96907	560.36597	4.984253	1000.0	1000.0	283999	14.015684	21.962166	80.85843	-9.360235	-14.009529	0.07323497	4062.6832990646362
72	226.88698	207.64877	562.2968	8.660726	168.32304	239.22272	564.1604	7.106789	1000.0	1000.0	287999	14.089626	22.401787	82.48193	-10.722634	-14.0770235	0.08256099	4120.951027393341
73	93.26712	145.76157	345.6788	5.333829	97.96575	147.8482	446.70474	6.638871	1000.0	1000.0	291999	13.974671	22.978367	83.12517	-11.871638	-13.955879	0.08202189	4179.587978601456
74	215.85513	349.82928	821.7057	6.247048	132.77249	255.0564	840.27716	5.4129505	1000.0	1000.0	295999	13.50691	23.486277	84.45065	-15.751238	-13.472914	0.07768808	4237.403917789459
75	250.61243	416.73172	972.38104	5.978506	218.63448	256.30682	721.0371	5.1847057	1000.0	1000.0	299999	13.234127	23.85457	81.7705	-12.115904	-13.212173	0.07594042	4295.712178945541
76	8.091038	0.92648846	9.6291485	7.1581903	84.54784	226.40565	763.58795	4.1207023	1000.0	1000.0	303999	13.439809	23.668169	80.02293	-14.60689	-13.474257	0.07692246	4354.164308547974
77	224.69084	377.81137	879.0761	5.1911287	124.13513	217.2328	664.3385	5.5407643	1000.0	1000.0	307999	14.310085	23.117186	81.42421	-16.63141	-14.360066	0.07805613	4412.754035949707
78	221.31224	192.701	418.6566	6.9751177	98.18901	161.44888	472.0716	4.441178	1000.0	1000.0	311999	15.0625515	22.44046	79.38474	-18.6012	-15.096066	0.07135452	4472.597774267197
79	128.28918	150.8316	377.58295	6.9240656	53.971405	79.50025	246.9359	5.8641667	1000.0	1000.0	315999	15.577722	21.845682	78.59394	-13.962173	-15.593849	0.06814182	4531.90146946907
80	38.63315	44.717464	115.48154	6.4029937	354.80008	346.00513	800.0573	8.575577	1000.0	1000.0	319999	15.504961	21.500866	78.23343	-13.788342	-15.506291	0.070798814	4590.863352537155
81	120.5091	182.77052	436.78745	6.6043444	119.68972	136.48285	372.10916	7.2714486	1000.0	1000.0	323999	15.340012	21.168951	79.055984	-13.906541	-15.3383045	0.07359336	4650.036143779755
82	146.01018	192.95038	477.19	10.296324	29.801746	61.519424	214.10812	5.353092	1000.0	1000.0	327999	15.134056	20.956429	80.49343	-13.563558	-15.135147	0.07634296	4709.432523012161
83	17.959606	5.123538	23.069105	9.654787	274.62302	349.9091	977.5042	8.827897	1000.0	1000.0	331999	14.80164	21.161543	79.97418	-13.4775715	-14.7794695	0.08244075	4768.6087641716
84	85.89067	123.50419	299.30023	6.596888	29.667673	48.774128	172.10147	4.8151402	1000.0	1000.0	335999	14.096915	21.886496	78.022354	-13.535104	-14.060264	0.09114957	4827.690043926239
85	10.455232	4.9583297	18.98863	6.7714806	210.44937	366.08157	941.6652	4.321611	1000.0	1000.0	339999	13.4163065	22.903887	79.020195	-19.273716	-13.383242	0.08459839	4887.470193386078
86	244.26785	389.83533	919.4663	16.687057	345.0401	347.3555	910.11774	8.929614	1000.0	1000.0	343999	13.082161	24.028456	79.17986	-25.320457	-13.070547	0.08335095	4946.792773008347
87	174.44356	253.20929	610.8226	5.427618	65.70656	90.35934	288.83987	6.1778193	1000.0	1000.0	347999	13.244188	25.314661	80.26558	-30.409166	-13.248559	0.090990536	5006.044139385223
88	33.638405	19.373169	61.24386	13.548671	119.37193	209.3452	554.58154	9.215277	1000.0	1000.0	351999	13.478695	26.050255	82.20634	-34.34032	-13.488289	0.08874508	5065.347299575806
89	11.069389	5.8542333	21.180944	7.0551157	150.89291	280.9255	837.17456	4.2136364	1000.0	1000.0	355999	13.916198	25.936617	84.0339	-35.8675	-13.958215	0.10130038	5124.596387863159
90	96.90997	81.78621	190.52797	15.159347	140.481	269.62125	909.1891	7.972129	1000.0	1000.0	359999	14.66197	25.919163	87.2162	-30.065605	-14.701649	0.101579495	5183.486440896988
91	342.49463	370.01218	912.4482	14.322829	118.79295	232.84094	766.16846	6.250118	1000.0	1000.0	363999	15.038307	26.265738	85.741905	-31.234339	-15.0450535	0.10097326	5242.445575237274
92	135.4588	188.55632	460.25775	7.6894836	62.00993	107.0957	355.81076	4.68334	1000.0	1000.0	367999	15.075261	26.263945	87.62218	-30.702492	-15.08725	0.10227056	5301.218396902084
93	31.750805	35.016003	92.146996	6.6454835	68.171265	79.04485	281.17322	3.4779766	1000.0	1000.0	371999	15.218345	25.415407	84.457756	-30.118832	-15.241209	0.09629472	5359.631425619125
94	240.29613	328.53436	802.4285	11.253278	258.3693	316.15613	936.4119	8.177263	1000.0	1000.0	375999	15.302402	24.131014	84.88412	-29.166388	-15.316074	0.09434784	5418.677235126495
95	202.53563	337.6824	787.4164	6.351261	262.00568	339.33853	990.83057	4.3752217	1000.0	1000.0	379999	15.182235	23.467617	81.97011	-25.430946	-15.17885	0.08772835	5477.9107122421265
96	78.37402	93.28682	235.90492	5.8143992	91.50258	213.2207	729.4684	5.6097665	1000.0	1000.0	383999	14.885878	23.124052	77.71107	-24.093092	-14.889827	0.10237604	5536.939262390137
97	203.83107	338.39026	789.93774	7.115524	31.081799	62.81617	219.27434	5.57936	1000.0	1000.0	387999	14.726852	22.208431	73.050095	-26.604809	-14.732143	0.120797455	5595.660870075226
98	13.884586	7.0724125	21.095802	6.1858497	109.94222	282.45248	956.7171	8.492049	1000.0	1000.0	391999	14.517334	21.571001	71.984146	-23.703249	-14.50826	0.13400239	5654.432140111923
99	419.5243	363.25082	825.0123	29.143253	122.4196	223.9177	605.6708	6.797488	1000.0	1000.0	395999	14.2455	21.474089	73.01716	-27.661982	-14.237162	0.13862741	5713.075236797333
100	12.352276	1.5983441	13.810629	9.655883	147.25949	291.10574	977.9189	4.153059	1000.0	1000.0	399999	14.193849	21.405754	73.71591	-33.184395	-14.193225	0.112429276	5771.66911482811
101	304.9555	315.39572	807.0533	6.385825	42.030293	55.930138	193.52068	4.4231606	1000.0	1000.0	403999	13.629955	22.068924	72.57605	-32.17082	-13.558216	0.11224443	5829.7140991687775
