Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	22.347692	1.256614	23.688478	20.4162	21.178177	13.776875	41.722572	9.711872	1000.0	1000.0	3999	2.4747307	1.2433294	5.7120686	-5.5490336	-2.7932825	0.037588894	45.260417222976685
2	25.167831	3.4969976	30.939547	22.308048	28.970373	11.145009	40.61459	17.548223	1000.0	1000.0	7999	4.365578	1.0392216	8.591113	1.8881418	-4.4391985	0.012688239	95.22254967689514
3	17.715103	7.375402	24.379826	5.548942	22.337753	20.607143	81.49047	4.3309007	1000.0	1000.0	11999	4.782572	0.6271503	8.459366	2.866661	-4.804306	0.0071065268	146.5312578678131
4	45.47585	21.904627	79.31818	18.145239	42.127655	27.844774	87.36875	18.107166	1000.0	1000.0	15999	4.5525627	0.74390465	7.539344	2.5443335	-4.563281	0.003840632	199.72790789604187
5	50.294853	31.938213	85.248604	18.032055	33.424072	24.584387	79.07131	10.27359	1000.0	1000.0	19999	4.1409883	1.0152241	7.996202	1.4454926	-4.1458645	0.0039010148	252.8581142425537
6	41.568993	27.087406	84.62654	17.973856	26.31203	11.93697	41.73686	9.646592	1000.0	1000.0	23999	4.2406454	1.4467623	10.944018	1.4782063	-4.2624354	0.005066797	305.90101170539856
7	52.6716	19.873358	86.92722	38.47732	29.227793	23.068562	94.919014	17.64579	1000.0	1000.0	27999	4.543646	1.653878	12.667076	2.0763068	-4.5691075	0.0045142365	358.9796690940857
8	43.8161	15.767325	68.150566	24.161291	30.25542	11.946858	48.000557	18.10496	1000.0	1000.0	31999	4.7535954	1.8589071	14.279555	1.9078887	-4.7685857	0.005003645	411.96251821517944
9	41.999924	29.785053	91.76494	18.5396	19.782299	25.206972	92.50097	6.400506	1000.0	1000.0	35999	4.829204	1.8847525	13.353391	2.0040364	-4.8614383	0.0038438924	465.0941700935364
10	40.45804	44.090294	114.855934	5.797922	27.882242	18.815222	59.060455	8.597522	1000.0	1000.0	39999	5.2068315	2.0633473	14.842737	2.1140366	-5.2312636	0.0042039948	517.7920620441437
11	23.498716	13.060651	43.816303	8.814154	18.717169	9.948516	33.226276	4.423487	1000.0	1000.0	43999	5.7801967	2.2855532	14.310907	1.9720498	-5.9129596	0.009724976	570.5979762077332
12	39.04692	9.350803	44.582603	22.851572	45.85082	2.2896879	51.26507	43.873318	1000.0	1000.0	47999	7.1911807	1.8329682	12.827335	2.3600235	-7.2322774	0.008050383	623.6267740726471
13	24.454624	10.915419	35.01417	7.075508	28.420544	14.402238	41.35914	4.8721814	1000.0	1000.0	51999	7.371663	1.7929376	15.116519	3.0360518	-7.439383	0.0059487927	676.328287601471
14	36.91085	8.931414	45.31714	22.403465	45.543945	13.571209	78.95757	22.618855	1000.0	1000.0	55999	7.791032	1.4877526	14.649185	4.3336687	-7.84804	0.0055768164	729.0009894371033
15	36.530434	14.371812	60.619133	24.182816	32.820328	10.058754	51.01088	22.064203	1000.0	1000.0	59999	7.9108696	1.4504678	14.446741	5.6932173	-7.959703	0.0045515653	781.6014370918274
16	27.3889	15.310142	53.142357	12.998841	45.363503	22.013231	78.00574	10.136644	1000.0	1000.0	63999	7.9299173	1.6026711	15.530831	5.672443	-7.9831133	0.0062738364	834.0575022697449
