Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	4.8060756	8.163649	18.944548	2.4266667e-05	1000.0	-0.10386969	0.31150255	0.8379205	-1.2143366	4000	-1.9073487e-09	0.7499707	-0.0036370163	-0.33884197	0.91959494	0.0037144981	0.03825	79.0	9.680031538009644
1	0.05371562	0.09288001	0.21458839	7.0946804e-09	1000.0	-0.00183712	0.3333958	3.200995	-0.45503342	8000	-1.525879e-08	0.106498644	-0.0061331997	-0.102081135	0.9102277	0.004921044	0.035	79.0	18.510985612869263
2	0.14341539	0.20142566	0.48685256	4.915493e-12	1000.0	-0.00326163	0.08440881	0.62397224	-0.13309874	12000	7.629395e-09	0.0060102614	-0.0061125774	-0.004940849	0.9676421	0.0069745975	0.03	79.0	27.40745186805725
3	0.1956782	0.2579278	0.6298294	3.4337314e-05	1000.0	0.020753555	0.06084716	0.31617346	-0.12933096	16000	0.0	0.0036058663	-0.009424191	-0.0029620654	0.97483253	0.007062392	0.0615	79.0	36.232383489608765
4	5.5012126	9.5248165	21.998678	6.232757e-12	1000.0	0.006621288	0.024835983	0.20467344	-0.06788037	20000	2.861023e-09	0.94868547	-0.0009627943	-0.41299993	0.98574865	0.0053853737	0.021	79.0	45.13770389556885
5	5.237616	8.819098	20.509562	3.360155e-10	1000.0	0.061165873	0.62502235	5.444404	-1.373575	24000	-1.0490417e-08	1.0844024	-0.0044668512	-0.93584037	0.9912305	0.003960876	0.0485	79.0	53.60096335411072
6	0.033242226	0.057577223	0.1329689	3.3519906e-11	1000.0	0.08280683	0.7854684	8.955317	-1.8227587	28000	0.0	0.61843395	-0.0053753015	-0.60275185	0.9582363	0.0034989596	0.04975	79.0	62.15219521522522
7	1.8665245	2.4204612	5.9583817	9.0099966e-05	1000.0	0.095401414	0.35806504	2.7024217	-0.5478025	32000	1.9073487e-09	0.30055684	-0.005352003	-0.20687178	0.9798693	0.003845072	0.03125	79.0	70.6002151966095
8	2.905487	4.9839168	11.537831	1.449516e-07	1000.0	0.028057503	0.2982251	3.431704	-0.8104494	36000	5.722046e-09	0.21402526	-0.0055271853	-0.18225046	0.97148675	0.0037930042	0.0325	79.0	79.09942364692688
9	1.026008	1.7736703	4.0980945	1.5104384e-10	1000.0	0.043344077	0.20484303	2.1068716	-0.3422364	40000	1.9073487e-09	0.039868657	-0.00698106	-0.035936143	0.9382319	0.0051618824	0.049	79.0	87.69572019577026
