Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	0.20765369	0.25819036	0.7835789	-0.4962487	4000	6.198883e-09	0.107983835	-0.006188401	-0.10610938	0.91942555	0.0062679555	0.0625	79.0	11.823524236679077
1	0.0	0.0	0.0	0.0	1000.0	-0.006997334	0.028040286	0.07785271	-0.101242416	8000	7.629395e-09	0.0007479657	-0.0075974655	-0.0005261347	0.92272246	0.0045228736	0.048	79.0	22.551073789596558
2	2.75	4.7631397	11.0	0.0	1000.0	-0.0019501727	0.014323928	0.07097649	-0.046332456	12000	-8.702278e-09	1.4761147	-0.0045839795	-0.59495085	0.9553467	0.002815413	0.026	79.0	33.14056324958801
3	0.0	0.0	0.0	0.0	1000.0	0.41407582	0.61660546	3.0704565	-1.7706796	16000	-2.002716e-08	0.49107012	-0.00413929	-0.48226035	0.92474204	0.0029114995	0.033	79.0	43.37295579910278
4	0.0	0.0	0.0	0.0	1000.0	0.05919113	0.08879692	0.3526813	-0.12025337	20000	-3.4332274e-08	0.009078735	-0.0057553365	-0.007074609	0.8997019	0.006083102	0.03875	79.0	53.83737659454346
5	0.0	0.0	0.0	0.0	1000.0	-0.003082825	0.079679	0.31697267	-0.22909173	24000	2.861023e-09	0.0057667303	-0.006351198	-0.0049196305	0.8784565	0.0021456862	0.04275	79.0	64.54251074790955
6	0.75	1.299038	3.0	0.0	1000.0	-0.009943236	0.03862843	0.20259115	-0.18704735	28000	-6.6757204e-09	0.11042912	-0.0052155047	-0.08811918	0.8798165	0.007848019	0.07625	79.0	75.21771478652954
7	0.75	1.299038	3.0	0.0	1000.0	0.06661762	0.32184753	1.354854	-1.1179655	32000	-3.8146974e-09	0.24698298	-0.0039147567	-0.1932507	0.8728729	0.0062454664	0.064	79.0	85.89473819732666
8	0.0	0.0	0.0	0.0	1000.0	0.030445771	0.0922792	0.6183416	-0.20432335	36000	1.525879e-08	0.009209739	-0.0074524116	-0.007749886	0.86181664	0.005506298	0.05975	79.0	96.53720450401306
9	2.0	3.4641016	8.0	0.0	1000.0	0.008553427	0.0510417	0.23922597	-0.122022055	40000	-3.8146974e-09	0.7399651	-0.0029268933	-0.50209904	0.8543304	0.0043218783	0.0225	79.0	106.94416379928589
10	2.75	4.7631397	11.0	0.0	1000.0	0.14684984	0.47619933	2.3370502	-2.5648892	44000	1.3351441e-08	1.2295262	-0.0029097614	-0.77208215	0.8539991	0.005583838	0.02725	79.0	117.82877945899963
11	0.0	0.0	0.0	0.0	1000.0	0.24783282	0.8467943	5.6998816	-2.6082764	48000	-1.1444092e-08	0.7881471	-0.004864435	-0.7733344	0.855931	0.003199515	0.052	79.0	128.50908279418945
12	0.0	0.0	0.0	0.0	1000.0	-0.016092082	0.116622165	1.1175672	-0.5769989	52000	6.6757204e-09	0.0136062335	-0.0052552954	-0.011573473	0.8661972	0.006728244	0.03975	79.0	139.22775030136108
13	1.0	1.7320508	4.0	0.0	1000.0	0.010669991	0.056039523	0.39081618	-0.2719873	56000	0.0	0.18394573	-0.0031149865	-0.12828863	0.8597063	0.0046193767	0.04525	79.0	149.81828045845032
14	0.0	0.0	0.0	0.0	1000.0	0.13058612	0.27664086	2.3875966	-0.65564144	60000	-1.1444092e-08	0.09057683	-0.006209572	-0.06322011	0.82747453	0.0070320503	0.04675	79.0	160.114905834198
15	0.0	0.0	0.0	0.0	1000.0	-0.11169583	0.26280206	1.2646818	-0.5894314	64000	2.2888184e-08	0.07414339	-0.0057953186	-0.06709649	0.842817	0.0053466456	0.0485	79.0	170.58414936065674
16	0.0	0.0	0.0	0.0	1000.0	-0.002089141	0.1036302	0.8649592	-0.09316652	68000	-3.8146974e-09	0.010356893	-0.0036531868	-0.009518323	0.8398948	0.0022036938	0.02975	79.0	181.2714865207672
17	0.0	0.0	0.0	0.0	1000.0	0.031482548	0.08734939	0.8414742	-0.2229378	72000	-9.536743e-09	0.009394298	-0.0056104604	-0.007827935	0.85583794	0.0038128782	0.05275	79.0	191.91775965690613
18	0.0	0.0	0.0	0.0	1000.0	-0.006156763	0.048938025	0.32022667	-0.26369932	76000	7.629395e-09	0.0024263076	-0.0040675085	-0.0017608776	0.8618112	0.004043209	0.041	79.0	202.58226370811462
19	1.0	1.2247449	3.0	0.0	1000.0	-0.007813058	0.07622612	0.39666548	-0.6006991	80000	9.536743e-09	0.13189103	-0.002732074	-0.09097745	0.88295346	0.0048685903	0.0285	79.0	213.16449689865112
20	1.5	2.598076	6.0	0.0	1000.0	-0.02023838	0.15169238	0.9430656	-1.259432	84000	1.6212464e-08	0.21861851	-0.002488291	-0.18623951	0.90966684	0.0025177218	0.0325	79.0	224.05102801322937
21	0.0	0.0	0.0	0.0	1000.0	0.23892008	0.37161168	3.7694945	-0.4743516	88000	-3.8146974e-09	0.1866595	-0.004480957	-0.18378724	0.90048474	0.0024841807	0.025	79.0	234.62146615982056
22	5.75	4.710361	13.0	0.0	1000.0	0.12862155	0.34998775	2.087013	-0.22637668	92000	-8.314848e-09	2.2896876	-0.0026423906	-1.8146281	0.8977946	0.0073456983	0.047	79.0	245.2718207836151
23	4.75	8.2272415	19.0	0.0	1000.0	0.7473176	1.4692287	7.6557846	-1.9700401	96000	2.861023e-09	7.11515	-0.0066034296	-5.920167	0.9191178	0.0060903067	0.068	79.0	255.93589162826538
24	1.5	1.6583124	4.0	0.0	1000.0	0.12149687	0.7730352	5.0465016	-3.9088113	100000	0.0	0.7558148	-0.006481602	-0.59866005	0.90806943	0.0070589813	0.0805	79.0	266.266898393631
25	0.0	0.0	0.0	0.0	1000.0	0.11116721	0.3064812	2.1400456	-2.0962422	104000	1.168251e-08	0.09863698	-0.004244961	-0.09030559	0.87912077	0.0052283383	0.06525	79.0	276.4778163433075
