Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	112.500656	9.319849	124.346306	98.21312	1000.0	-0.009045406	0.5261749	1.3557605	-1.2848275	4000	-5.6266785e-08	141.86937	-0.013783363	-81.59648	0.92647654	0.0036915508	0.087	79.0	11.277914047241211
1	115.66355	4.943434	123.027405	109.38499	1000.0	4.4544353	4.7783747	12.319246	-10.33287	8000	-4.7683715e-09	95.95714	-0.017831953	-82.48198	0.9183374	0.008721941	0.09275	79.0	20.42869544029236
2	117.61153	7.1407013	125.93754	110.27502	1000.0	8.8530035	2.9831986	15.818228	-1.0861931	12000	-7.629395e-09	35.40888	-0.019360775	-30.168789	0.90783006	0.0007544652	0.09475	79.0	29.62562131881714
3	113.20262	6.6182313	121.74109	105.57744	1000.0	12.057297	4.006538	19.977104	3.1737611	16000	-1.9073486e-08	10.309225	-0.019115074	-4.5206137	0.88023657	0.012436504	0.0955	79.0	38.710593461990356
4	110.04156	11.90899	125.59161	98.43488	1000.0	11.977805	4.247026	20.443901	-1.1851029	20000	0.0	10.506078	-0.01950534	-6.396564	0.8779071	0.011366189	0.11875	79.0	47.838643312454224
5	102.75439	16.565615	130.58275	89.19067	1000.0	11.69589	4.7491765	21.307255	2.1775496	24000	-3.8146974e-09	8.058974	-0.018084953	-3.5735574	0.8798106	0.009787526	0.08725	79.0	57.04107475280762
6	104.24671	8.247039	112.44791	91.7286	1000.0	11.613209	4.428982	20.52535	1.9580693	28000	-7.629395e-09	6.610395	-0.020719852	-4.3689528	0.83377683	0.0054754796	0.1065	79.0	66.15792083740234
7	107.436554	6.9859385	118.78522	100.22648	1000.0	12.136185	3.9665196	20.029648	2.8227074	32000	-2.4795533e-08	6.3371024	-0.02237448	-3.9496853	0.82950073	0.0059532323	0.10275	79.0	75.28150486946106
8	112.87162	5.6960516	122.41516	107.736336	1000.0	12.197367	3.721905	20.32918	3.3249779	36000	2.6702882e-08	7.1711783	-0.02194595	-4.1103487	0.8050585	0.007875101	0.109	79.0	84.47236251831055
9	111.03827	2.7651856	114.68376	107.859505	1000.0	12.1107025	3.4083939	18.994665	3.1059024	40000	3.8146974e-09	4.698233	-0.02285702	-3.204204	0.7611041	0.015167985	0.124	79.0	93.53034496307373
10	103.2003	8.9120035	118.09206	94.411964	1000.0	11.643728	3.8411224	20.61076	2.7105324	44000	-7.629395e-09	3.8307002	-0.024909386	-2.423413	0.7451794	0.008206141	0.1185	79.0	103.00615119934082
11	105.90232	3.3131158	109.95284	100.96802	1000.0	11.855769	4.1032743	20.85102	2.109376	48000	5.722046e-09	7.0047717	-0.022258636	-4.755392	0.72541744	0.014009195	0.11575	79.0	112.24608445167542
12	106.66066	11.508164	119.619225	88.1441	1000.0	11.954436	3.0250058	19.30502	3.9392362	52000	-1.525879e-08	5.2998185	-0.022221852	-4.105071	0.7322632	0.008712844	0.1095	79.0	121.35206246376038
13	108.86162	17.79217	121.70884	78.523926	1000.0	10.85076	3.5339355	20.00556	2.7281153	56000	2.6226044e-08	12.726108	-0.022252213	-9.003162	0.7375863	0.00814481	0.114	79.0	130.5216224193573
14	128.77776	22.851147	147.36334	89.850586	1000.0	13.107063	4.9856515	23.079144	2.6657538	60000	-5.4836273e-09	16.752924	-0.021347532	-11.655028	0.69134325	0.015262047	0.125	73.0	139.64362788200378
15	104.79501	8.708197	113.08516	90.23799	1000.0	12.600645	4.1018615	23.766603	3.2040339	64000	5.2452087e-09	7.8970475	-0.023646645	-6.501199	0.6482552	0.011417125	0.1195	79.0	148.83830380439758
16	119.463776	12.924687	133.5134	105.54439	1000.0	12.556068	3.5072656	20.177769	3.4217572	68000	0.0	6.259722	-0.027282635	-3.9765625	0.6359314	0.012166422	0.133	79.0	157.95376086235046
17	116.54255	9.684826	127.07727	102.10062	1000.0	12.925776	3.1564674	20.556328	3.2774663	72000	-2.0980835e-08	6.434882	-0.028030371	-4.9506364	0.61955595	0.008803632	0.141	79.0	167.12969398498535
18	114.82364	10.036702	130.62488	104.43303	1000.0	12.786025	3.8838131	22.516788	3.466356	76000	9.536744e-10	4.995702	-0.01684072	-3.2692127	0.5883044	0.015047004	0.123	23.0	176.0472857952118
19	122.51808	5.473876	127.84045	113.69558	1000.0	12.792892	3.5770857	21.886898	3.356646	80000	-3.8146974e-09	7.2127705	-0.02454784	-5.496417	0.58373696	0.0073057255	0.115	79.0	185.08653163909912
20	131.84567	10.521687	146.97926	117.97127	1000.0	13.155373	3.4529827	20.03704	2.7680008	84000	-1.4305115e-09	6.2374854	-0.02543588	-4.908964	0.579863	0.014378899	0.142	53.0	194.68947219848633
21	115.63871	0.852996	116.68372	114.321106	1000.0	13.810918	3.8416312	20.531687	4.0056796	88000	-1.7166137e-08	4.862212	-0.025276462	-4.0800543	0.55510247	0.0133956345	0.126	79.0	203.86884260177612
22	127.88568	12.372222	145.20764	112.94924	1000.0	13.178619	3.5560846	21.827469	3.908067	92000	-1.9073486e-08	10.434482	-0.02116766	-6.925127	0.56406385	0.012302643	0.1265	79.0	212.99622535705566
23	109.68472	11.790994	122.26187	97.517784	1000.0	13.295011	3.6328282	22.251183	3.6038566	96000	-3.8146974e-09	6.3409038	-0.028038569	-4.948415	0.54741746	0.012284808	0.14925	79.0	222.03981375694275
24	125.53761	14.447814	147.30396	109.085075	1000.0	12.164348	3.7035916	21.293901	3.3712068	100000	2.2888184e-08	9.673099	-0.025414882	-7.7586856	0.5439029	0.015153872	0.15225	72.0	231.19545435905457
25	113.90046	8.874246	125.13809	102.7425	1000.0	13.377885	3.7968183	22.197544	4.452711	104000	-9.536743e-09	4.4325027	-0.02295784	-3.6977458	0.52317345	0.014595927	0.11975	53.0	240.24568152427673
26	108.03208	11.844182	119.203545	88.10852	1000.0	12.002621	3.4852316	21.139297	3.9372044	108000	-7.629395e-09	4.114376	-0.024173234	-2.5406861	0.5313302	0.012839956	0.12525	79.0	249.37456250190735
27	112.93065	6.8766594	120.24159	105.29737	1000.0	12.099497	3.2561018	19.126432	4.0843444	112000	-1.4305114e-08	5.0528417	-0.025250487	-3.5732872	0.50827336	0.013935558	0.13225	79.0	258.47624373435974
28	114.85538	6.863861	121.56754	105.79782	1000.0	12.467654	3.6480083	20.83038	4.3295827	116000	1.9073487e-09	3.6994407	-0.025719585	-2.771597	0.49889812	0.009055016	0.13325	79.0	267.65699458122253
29	121.71947	12.266548	140.30022	106.110214	1000.0	12.718193	3.7203815	20.367846	4.019858	120000	-1.9073487e-09	5.576126	-0.025106184	-3.7847776	0.495691	0.014855136	0.1305	73.0	276.7851474285126
30	117.301285	3.37384	120.77144	113.81449	1000.0	12.556061	3.5218077	22.632061	3.8999517	124000	2.193451e-08	3.4852362	-0.028674543	-2.6335983	0.46272016	0.013282654	0.14275	79.0	286.1415305137634
31	112.57358	10.470849	124.84139	95.91239	1000.0	12.674801	3.5132473	21.421747	4.236695	128000	-1.2397766e-08	4.239018	-0.024659725	-2.960401	0.46078455	0.014668832	0.131	59.0	295.1470937728882
32	119.065125	5.8088093	128.48158	112.60192	1000.0	12.257054	3.1576684	20.247139	4.0919337	132000	0.0	4.0635443	-0.031398926	-2.816711	0.4469127	0.0154232085	0.1635	69.0	304.2329087257385
33	123.46558	13.974521	143.29324	105.66041	1000.0	13.148459	3.7245185	23.88442	4.186451	136000	7.152557e-09	5.847337	-0.022985311	-4.6695843	0.4310616	0.015077826	0.1435	67.0	313.2718195915222
34	119.17276	9.074937	134.02965	110.043724	1000.0	13.457806	3.7120671	23.587414	4.5232673	140000	1.7166137e-08	4.7313514	-0.027591528	-3.4681177	0.4265538	0.012697189	0.14325	79.0	322.46566462516785
35	117.16729	7.239995	126.074776	106.38009	1000.0	12.945649	3.595597	22.817947	4.4180484	144000	-1.1444092e-08	4.3557897	-0.0248769	-3.443739	0.37968424	0.011963132	0.1405	79.0	331.55965304374695
