Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	95.80898	13.690528	112.37735	74.57885	1000.0	-0.0003503127	0.9996893	1.6697308	-1.8583708	4000	1.3351441e-08	98.4944	-0.008299446	-74.79544	0.9281429	0.0059493906	0.0475	79.0	11.425734758377075
1	101.10555	27.040798	125.45865	55.509407	1000.0	8.146679	2.8322418	11.377614	-3.0985613	8000	3.8146974e-09	42.873962	-0.009520455	-19.122658	0.903543	0.0045917057	0.063	79.0	20.859973669052124
2	118.89427	9.329139	134.57674	111.70713	1000.0	6.520388	6.1044	12.290015	-10.356671	12000	2.4795533e-08	87.1553	-0.008800896	-70.08986	0.8974798	0.0026507436	0.04975	79.0	30.346908807754517
3	94.40518	29.079653	117.50561	44.507267	1000.0	11.428029	1.2801265	14.663984	7.737528	16000	-5.722046e-09	17.701166	-0.008202057	-6.9316654	0.8722441	0.004743838	0.056	79.0	40.06987023353577
4	109.63162	14.007425	125.06198	93.099915	1000.0	10.477577	2.5828547	16.151371	5.2836165	20000	0.0	11.827188	-0.010443306	-4.0572777	0.85822964	0.0057567437	0.074	79.0	49.66268968582153
5	130.78508	13.109923	144.18158	113.34092	1000.0	12.302479	2.7624857	17.317593	6.1960506	24000	-3.8146974e-09	14.452969	-0.009582913	-8.319942	0.8176187	0.0038913859	0.05825	79.0	59.23482418060303
6	130.43947	16.102535	148.4127	110.088905	1000.0	13.622407	3.47134	19.785168	6.6327276	28000	-7.629395e-09	10.668915	-0.011777252	-4.9979963	0.82333535	0.007946007	0.06375	79.0	68.85121035575867
7	126.88782	25.673824	153.3238	99.2237	1000.0	13.684954	4.008201	21.05586	5.6003256	32000	9.536743e-09	14.260146	-0.010426588	-7.1839566	0.8067631	0.00768574	0.05225	79.0	78.39462661743164
8	126.640076	13.435983	141.76253	111.04285	1000.0	13.7056465	3.5006807	21.517859	6.1587667	36000	-3.8146974e-09	9.629902	-0.01046685	-4.4026165	0.79597557	0.0072962157	0.06	79.0	87.94537401199341
9	114.53606	15.758317	132.74414	89.594574	1000.0	13.608729	3.8368144	22.987288	5.2334943	40000	1.525879e-08	7.4066315	-0.010325123	-3.8384557	0.76702595	0.0027681827	0.06425	79.0	97.5517828464508
10	133.16301	22.971905	150.28537	93.62451	1000.0	12.601591	3.8149467	20.299019	4.821548	44000	1.1444092e-08	13.961094	-0.01080602	-8.821482	0.7262632	0.0053014997	0.06775	79.0	107.52497243881226
11	122.61831	22.441263	147.31642	89.91751	1000.0	14.393871	4.8664865	24.624104	4.4368114	48000	-2.4795533e-08	10.261197	-0.012208067	-5.851621	0.7421587	0.006981951	0.0715	79.0	117.10410022735596
12	116.27895	10.124927	124.13888	99.19866	1000.0	13.492508	5.404126	26.096033	3.3930876	52000	2.2888184e-08	5.880982	-0.010518883	-4.2027245	0.7227379	0.0065798345	0.08175	79.0	126.72602677345276
13	110.87715	6.516842	118.38347	100.43922	1000.0	13.005746	4.3952975	21.684383	3.427446	56000	3.8146974e-09	4.5052805	-0.012933025	-3.3037205	0.7059364	0.0060995575	0.08375	79.0	136.2378876209259
14	114.1625	8.037488	124.60228	103.88796	1000.0	12.420397	3.888209	22.79055	3.768683	60000	-7.152557e-09	3.9083755	-0.010728762	-2.3887882	0.7136326	0.0030970147	0.075	79.0	145.87427973747253
15	121.715256	5.3650036	130.95644	117.95275	1000.0	12.927859	4.0870953	21.491722	4.04987	64000	2.861023e-09	4.6287756	-0.011489715	-3.0575404	0.6697362	0.004368519	0.0805	79.0	155.47297930717468
16	139.91382	8.945779	154.28424	131.27377	1000.0	13.475473	4.4158883	22.423773	3.9668005	68000	-3.8146974e-09	9.560662	-0.01085204	-7.350625	0.668243	0.004576142	0.0755	79.0	165.02541327476501
17	128.88762	8.230884	140.47395	119.884346	1000.0	15.200193	5.20585	25.832682	4.0054207	72000	-1.1444092e-08	6.633249	-0.009950325	-4.463019	0.6212036	0.005250932	0.05275	79.0	174.54296684265137
18	129.27585	16.463057	148.6171	103.62732	1000.0	13.736439	4.0333276	23.759457	4.294223	76000	1.9073487e-09	10.575896	-0.014712429	-5.8887196	0.6225819	0.0057082917	0.084	79.0	184.09228253364563
19	127.839325	26.674728	170.59073	98.24179	1000.0	14.938995	4.992095	28.11491	4.044337	80000	3.6239623e-08	17.145313	-0.009154369	-11.963154	0.58287334	0.007015601	0.06575	79.0	193.64399194717407
20	137.70573	10.16073	152.2324	124.47264	1000.0	14.153254	4.4766393	26.460388	3.478754	84000	7.629395e-09	8.097029	-0.012898085	-5.406477	0.5867223	0.01445148	0.08725	79.0	203.58552932739258
21	137.96597	16.753727	159.14551	120.72264	1000.0	14.976202	4.0604215	25.736607	4.437842	88000	9.536743e-09	7.482865	-0.012064928	-5.1252847	0.6079516	0.007864047	0.069	79.0	213.18797540664673
22	152.58379	16.654003	171.80386	133.34831	1000.0	15.316566	4.2313004	26.389496	5.317097	92000	1.1444092e-08	14.675181	-0.011227526	-10.941611	0.58584416	0.007828681	0.08225	79.0	222.7706470489502
23	147.12338	10.683422	161.25797	131.22218	1000.0	16.094168	4.34883	27.091068	2.504507	96000	1.6212464e-08	12.846483	-0.011897557	-10.058702	0.59027284	0.0073221712	0.0835	79.0	232.41948008537292
24	140.23543	15.921591	155.22643	113.513885	1000.0	15.563967	4.309348	26.733385	6.132454	100000	-7.629395e-09	13.466506	-0.01088917	-8.985105	0.5979721	0.0062816706	0.06325	79.0	241.96389317512512
25	145.86714	17.675795	163.63353	121.09116	1000.0	16.055975	3.7225091	25.443394	6.9272175	104000	2.6702882e-08	8.246551	-0.01426485	-5.841741	0.5791821	0.008055863	0.0915	79.0	251.54469966888428
26	186.58372	8.79869	195.46455	175.90724	1000.0	17.001656	4.449238	28.387838	7.3838387	108000	1.9073487e-09	23.59682	-0.013315557	-19.199013	0.55523866	0.008614251	0.08725	79.0	261.13660883903503
27	157.98868	17.964706	184.87923	137.02524	1000.0	19.28366	4.2052345	29.06479	7.835569	112000	7.629395e-09	13.743224	-0.013699516	-10.2807455	0.54753864	0.00575008	0.1	79.0	270.7014379501343
28	157.46655	14.662148	178.62556	141.22697	1000.0	17.791601	4.2686543	31.833885	6.939674	116000	1.7166137e-08	10.203604	-0.01254928	-7.968239	0.48393077	0.010360035	0.09125	79.0	280.27734994888306
29	189.64923	15.675186	207.70108	167.23444	1000.0	17.632061	4.083248	32.132847	6.4246964	120000	1.34706495e-08	24.494453	-0.011754058	-16.91329	0.49240747	0.014193398	0.102	79.0	289.9444148540497
30	162.95828	15.220839	175.63983	137.51193	1000.0	19.28945	5.041548	34.396847	7.808308	124000	-1.7166137e-08	14.173874	-0.012154608	-11.313593	0.4698432	0.005023861	0.08125	79.0	299.9067940711975
31	167.17853	21.639648	199.57034	145.6298	1000.0	17.64209	4.0713105	33.132195	7.155035	128000	-3.8146974e-09	13.032452	-0.012055771	-8.799604	0.46855184	0.0074109402	0.077	79.0	309.5792212486267
32	174.12099	13.116588	192.58386	157.30621	1000.0	18.308598	5.423444	35.47432	7.550298	132000	-1.525879e-08	13.832919	-0.011868653	-9.932148	0.47253853	0.008746883	0.07625	79.0	319.19852113723755
33	150.50916	16.845911	176.4171	134.84172	1000.0	18.114206	4.615801	33.28958	7.9235754	136000	5.722046e-09	14.968685	-0.012205475	-11.415576	0.4659558	0.011245768	0.07225	79.0	328.8159930706024
34	158.63167	5.680911	167.44849	152.34871	1000.0	16.414688	3.669216	29.487545	7.0344415	140000	-5.722046e-09	7.261205	-0.014227798	-5.172275	0.47436908	0.0067251767	0.07475	79.0	338.4825358390808
35	153.9932	22.431154	188.12419	128.32018	1000.0	16.947721	3.8542469	32.857353	7.113946	144000	-1.1444092e-08	11.497223	-0.012004837	-7.529106	0.4426099	0.008646093	0.089	79.0	348.0774223804474
36	180.5535	23.410316	209.8265	157.30722	1000.0	16.911242	4.7266755	31.992254	6.464592	148000	1.1444092e-08	23.569921	-0.014743232	-19.741217	0.4290017	0.006162778	0.11	79.0	357.65506744384766
37	171.67465	26.080894	215.879	150.43582	1000.0	18.739403	5.018317	33.172245	7.151339	152000	2.8133393e-08	10.970221	-0.016294448	-8.692674	0.41151974	0.0072558313	0.099	79.0	367.33958435058594
38	190.78943	27.204903	226.39742	159.76648	1000.0	19.482733	5.2976446	34.17672	7.5890713	156000	-2.193451e-08	12.148726	-0.01127806	-9.112935	0.38332108	0.007951664	0.08525	79.0	377.037606716156
39	173.98804	9.889524	189.14517	162.67418	1000.0	19.509254	4.909144	36.528503	7.3509483	160000	-7.152557e-09	11.482213	-0.013648794	-9.835147	0.3463032	0.008349699	0.0895	79.0	386.6486599445343
40	165.1361	3.479299	170.57466	161.43896	1000.0	17.072075	3.731004	27.502365	7.9934545	164000	2.2888184e-08	8.742454	-0.013532258	-6.451004	0.34672618	0.009577964	0.0825	79.0	396.9610815048218
