Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.75	1.47902	4.0	0.0	1000.0	-0.018169848	0.5884039	1.03908	-1.7313715	4000	1.2874604e-08	0.65607464	-0.017044565	-0.4179883	1.8372333	0.009359932	0.104	79.0	10.577849864959717
1	0.0	0.0	0.0	0.0	1000.0	0.12583204	0.14482474	1.1093231	-0.22559239	8000	1.9073487e-09	0.034164317	-0.020659026	-0.03262158	1.8413478	0.010888226	0.11275	79.0	19.357028245925903
2	1.5	1.6583124	4.0	0.0	1000.0	0.002784344	0.04359149	0.4858313	-0.42180178	12000	9.536743e-09	0.16528091	-0.017622551	-0.053042635	1.8379481	0.007970517	0.111	79.0	28.03647232055664
3	0.0	0.0	0.0	0.0	1000.0	0.040700525	0.12317048	0.7864334	-0.6768102	16000	1.525879e-08	0.016490398	-0.022441294	-0.015653342	1.796384	0.011380001	0.1315	79.0	36.70917057991028
4	1.0	1.0	2.0	0.0	1000.0	-0.025859226	0.042180303	0.30497336	-0.32257622	20000	-1.9073486e-08	0.1069037	-0.014648495	-0.03436742	1.7656344	0.00935921	0.1335	79.0	45.36677312850952
5	0.5	0.8660254	2.0	0.0	1000.0	0.08374958	0.0923264	0.7027381	-0.34050128	24000	1.7642975e-08	0.049914822	-0.01977149	-0.009425022	1.7921963	0.012102984	0.142	79.0	54.03587245941162
6	0.75	0.8291562	2.0	0.0	1000.0	0.08084311	0.15085146	0.70956415	-0.42531753	28000	8.5830685e-09	0.05080065	-0.020658884	-0.014997069	1.7442855	0.012628331	0.155	79.0	62.40608811378479
7	2.0	1.5811388	4.0	0.0	1000.0	0.08712528	0.07896097	0.4626497	-0.30476236	32000	-9.536743e-09	0.13858613	-0.0166135	-0.03979347	1.7294152	0.015392743	0.18	61.0	70.58330178260803
8	3.5	2.5	7.0	0.0	1000.0	0.05843734	0.14618519	0.66572124	-0.52921015	36000	-3.8146974e-09	0.59625876	-0.0052354736	-0.15467319	1.6811732	0.023044888	0.2075	4.0	78.55703949928284
9	3.0	3.535534	9.0	0.0	1000.0	0.2715147	0.20201588	1.0862153	-0.6369807	40000	-9.536743e-09	0.54581064	-0.015596802	-0.11436877	1.6918247	0.006452561	0.1505	79.0	86.80312633514404
10	3.0	3.535534	9.0	0.0	1000.0	0.25188944	0.21431217	0.982195	-0.5299521	44000	-1.3947487e-08	0.40234774	-0.01745581	-0.1332882	1.6307523	0.009615332	0.14725	79.0	95.52652859687805
11	2.5	2.8722813	7.0	0.0	1000.0	0.08143971	0.28412446	1.2909709	-1.3072715	48000	-5.722046e-09	0.55746263	-0.01602003	-0.17310697	1.6144942	0.010705283	0.11525	79.0	103.85927033424377
12	5.25	1.9202864	8.0	3.0	1000.0	0.20680918	0.07783089	0.5584587	-0.13349369	52000	1.525879e-08	0.573772	-0.018272724	-0.10785636	1.5825325	0.010297657	0.1465	79.0	112.18995642662048
13	3.75	1.0897248	5.0	2.0	1000.0	0.42022002	0.124701336	1.1338049	-0.1706504	56000	-1.7642975e-08	0.4086291	-0.016501712	-0.03385058	1.6125255	0.011289788	0.1245	79.0	120.48182678222656
14	3.0	1.2247449	4.0	1.0	1000.0	0.40436104	0.1517643	1.1708729	-0.4570643	60000	9.536743e-09	0.2854655	-0.0036600877	-0.02370441	1.5711555	0.015590485	0.18325	4.0	128.4267795085907
15	3.5	3.354102	9.0	0.0	1000.0	0.33244684	0.120780684	0.78061587	-0.20039797	64000	9.536743e-09	0.5026607	-0.017169682	-0.05199051	1.5777481	0.0062015434	0.14325	79.0	136.65414237976074
16	6.25	3.9607449	12.0	1.0	1000.0	0.46662098	0.25421998	1.6759868	-0.32156554	68000	0.0	0.96000874	-0.019958436	-0.15389413	1.5447304	0.009893364	0.11475	79.0	144.90062165260315
17	6.0	4.7434163	14.0	2.0	1000.0	0.7112117	0.19754146	1.311394	-0.19024557	72000	7.629395e-09	0.50751007	-0.021054214	-0.059300363	1.5067012	0.0053651	0.13575	79.0	153.12063670158386
18	8.5	2.1794496	11.0	5.0	1000.0	0.67893225	0.11772936	1.2764093	0.14042042	76000	-3.8146974e-09	0.7262082	-0.019196957	-0.077641726	1.468686	0.014114994	0.15375	79.0	161.45149683952332
19	9.25	1.7853571	11.0	7.0	1000.0	0.7593506	0.18798244	1.5944178	-0.10317341	80000	-1.9073487e-09	0.83067846	-0.021421783	-0.09781402	1.3750634	0.01243883	0.146	79.0	169.71947145462036
20	7.5	7.4330344	19.0	0.0	1000.0	0.8363656	0.242416	2.453798	0.107814096	84000	1.2874604e-08	1.0001785	-0.023395408	-0.3879001	1.3306335	0.011526854	0.14025	79.0	178.44553899765015
21	2.5	3.2015622	8.0	0.0	1000.0	0.5115719	0.5626874	3.350152	-1.3654286	88000	-1.6212464e-08	0.3596712	-0.022631517	-0.17816395	1.2854011	0.011329558	0.12425	79.0	186.68701148033142
22	12.5	8.046739	22.0	0.0	1000.0	0.47606933	0.27777702	1.5908858	-0.922338	92000	1.9073486e-08	1.5866547	-0.016894396	-0.66047466	1.2894355	0.015565962	0.11675	60.0	194.87801909446716
23	8.75	6.0570207	17.0	0.0	1000.0	1.1852863	0.606445	3.1457224	-1.8469439	96000	-1.692772e-08	0.5984722	-0.021852506	-0.11210054	1.1989768	0.008203904	0.1335	79.0	203.09191012382507
24	9.0	6.1237245	17.0	0.0	1000.0	0.9937036	0.55202043	2.5960884	-0.63524055	100000	-3.051758e-08	0.72686815	-0.020924821	-0.12786698	1.1771096	0.008878584	0.14625	79.0	211.44750452041626
25	0.0	0.0	0.0	0.0	1000.0	0.20910314	0.2865714	1.2300442	-1.2983613	104000	2.9563903e-08	0.11069544	-0.021756615	-0.099360965	1.1472234	0.009578519	0.11975	79.0	219.70694732666016
26	5.5	5.766281	15.0	0.0	1000.0	0.20990656	0.22630662	1.1290331	-0.44096702	108000	2.6702882e-08	0.6802845	-0.020309536	-0.22493804	1.1181011	0.014369549	0.131	79.0	227.93424606323242
27	5.0	5.196152	12.0	0.0	1000.0	0.53357786	0.5451001	1.9392171	-0.47537264	112000	2.3841857e-09	0.5937488	-0.020983854	-0.06267041	1.0736163	0.00905016	0.1295	79.0	236.235830783844
28	4.5	7.7942286	18.0	0.0	1000.0	0.28014448	0.43748552	2.0802064	-0.3635096	116000	-2.2888184e-08	0.35971308	-0.02142895	-0.19699821	1.0556206	0.014900537	0.143	79.0	244.46344351768494
29	11.25	9.417404	22.0	0.0	1000.0	0.8651845	0.88995695	2.4841022	-0.389892	120000	1.5497208e-09	1.2106701	-0.022675544	-0.29558003	1.0138935	0.01289233	0.155	79.0	252.63657426834106
30	4.25	6.219928	15.0	0.0	1000.0	0.68637735	0.8512185	3.2859545	-0.5857072	124000	4.2915342e-09	0.5662098	-0.005609943	-0.30367893	1.027606	0.011358308	0.121	3.0	261.1019866466522
31	3.0	5.196152	12.0	0.0	1000.0	0.34933737	0.56029147	2.032403	-0.49019122	128000	-3.8146974e-09	0.21174978	-0.018578604	-0.050694525	1.0052156	0.01083249	0.12325	79.0	269.331871509552
32	22.5	9.552486	29.0	6.0	1000.0	1.1343726	0.28428817	1.7711492	-0.015554488	132000	1.9073487e-09	2.8495731	-0.02179829	-1.0867591	1.0088456	0.0113240555	0.131	79.0	277.6098246574402
33	6.75	6.0570207	16.0	0.0	1000.0	0.81397337	1.1096976	3.9946694	-0.8917265	136000	-5.722046e-09	0.8863429	-0.012997231	-0.39580816	0.9570016	0.015385615	0.1255	10.0	285.5992293357849
34	2.25	3.344772	8.0	0.0	1000.0	0.09657481	0.33182743	2.304018	-0.7527158	140000	3.8146974e-09	0.1370351	-0.009293978	-0.091823936	0.95160115	0.017463226	0.19725	10.0	293.6338176727295
35	0.0	0.0	0.0	0.0	1000.0	0.042008627	0.14877558	2.6213338	-0.46559846	144000	9.536743e-09	0.024093617	-0.021319326	-0.02109798	0.9344995	0.008603222	0.14375	79.0	301.9798357486725
36	7.0	7.0	14.0	0.0	1000.0	0.89244395	0.95905787	2.7198706	-0.31448564	148000	7.629395e-09	0.5739357	-0.012514435	-0.17423257	0.927973	0.014136977	0.17	16.0	310.00441551208496
37	16.5	4.5	22.0	10.0	1000.0	1.3050042	0.38627812	2.4095397	-0.15419915	152000	-1.4305115e-09	1.6803744	-0.020992812	-0.21394765	0.8932501	0.012229443	0.14725	79.0	318.25786447525024
38	13.5	8.440971	22.0	0.0	1000.0	1.3735832	0.78870803	3.0766497	-0.41543657	156000	-1.9073487e-09	0.89687383	-0.023194076	-0.072718024	0.8620791	0.013805223	0.18	79.0	326.5211110115051
39	0.0	0.0	0.0	0.0	1000.0	0.15902358	0.19222899	1.0350633	-0.51859915	160000	-5.722046e-09	0.056920372	-0.019024462	-0.046888873	0.7789608	0.007148424	0.12775	79.0	334.871431350708
40	13.5	13.518506	28.0	0.0	1000.0	0.8939665	0.89323986	2.624313	-0.3339943	164000	-4.196167e-08	1.6379756	-0.02438507	-0.5077884	0.798091	0.01467499	0.154	64.0	343.49001693725586
41	20.75	7.1195154	33.0	16.0	1000.0	2.392187	0.44389582	4.4194403	0.3764457	168000	-1.9550324e-08	1.8830309	-0.02164759	-0.32099748	0.76674443	0.015138076	0.14075	67.0	351.7416789531708
42	5.5	7.889867	19.0	0.0	1000.0	0.7936427	0.94696534	3.600854	-0.5088483	172000	1.525879e-08	0.58739096	-0.023240779	-0.23018017	0.7561162	0.015275089	0.12325	62.0	359.91499733924866
43	0.0	0.0	0.0	0.0	1000.0	0.044639092	0.09007607	1.0214756	-0.37393862	176000	-1.3351441e-08	0.01016687	-0.021717966	-0.007771897	0.71067876	0.00876568	0.1205	79.0	368.1419188976288
44	20.5	12.134661	30.0	0.0	1000.0	1.1968416	0.7582848	2.695579	-0.30837137	180000	-3.242493e-08	1.7836715	-0.027480476	-0.7779931	0.7258823	0.012886343	0.1535	79.0	376.31519985198975
45	11.5	11.6940155	26.0	0.0	1000.0	1.235282	1.2784837	4.089226	-1.0293875	184000	3.8146974e-09	1.1217337	-0.02185243	-0.06534672	0.65266323	0.011436387	0.125	79.0	384.67467641830444
46	14.75	9.781999	25.0	0.0	1000.0	1.5377856	1.260162	3.5264971	-0.7920969	188000	2.6702882e-08	0.7005057	-0.018324606	-0.09715974	0.69506437	0.0155621935	0.13175	34.0	392.7783257961273
47	6.0	10.392304	24.0	0.0	1000.0	0.57663506	1.0156395	3.031145	-0.33733127	192000	-2.6702882e-08	0.33432993	-0.020059064	-0.03250125	0.6405338	0.013715227	0.141	79.0	401.03708004951477
48	13.75	9.49671	24.0	0.0	1000.0	1.4124197	1.1108096	3.4044116	-0.26685822	196000	-1.525879e-08	1.1262844	-0.021347564	-0.22643018	0.6198341	0.014648167	0.1555	79.0	409.304518699646
49	7.25	11.986972	28.0	0.0	1000.0	0.5102919	0.8589663	3.0624511	-0.5307224	200000	-1.1444092e-08	0.5723311	-0.02275155	-0.15728563	0.60065687	0.00825767	0.13075	79.0	417.57325553894043
50	13.75	13.863171	30.0	0.0	1000.0	1.294676	1.2989591	3.8574543	-0.5289674	204000	-2.0980835e-08	0.9606506	-0.00574356	-0.112120986	0.54443514	0.009702456	0.07375	3.0	426.1165466308594
51	12.25	11.776566	25.0	0.0	1000.0	1.38325	1.3797008	4.485017	-0.5345716	208000	-1.1444092e-08	0.9747757	-0.024277844	-0.1543029	0.5598802	0.014744499	0.19	57.0	434.355694770813
52	4.75	8.2272415	19.0	0.0	1000.0	0.6788646	1.1092497	4.7151747	-0.6703757	212000	-9.536743e-09	0.33673453	-0.014153754	-0.09703556	0.5060488	0.016274568	0.186	14.0	442.37013959884644
53	16.25	15.368393	34.0	0.0	1000.0	1.1289185	1.0791684	3.659439	-0.3719716	216000	-1.5735626e-08	1.4173604	-0.020820728	-0.39631772	0.4970869	0.0151294265	0.13925	42.0	450.50133776664734
54	8.25	12.090802	29.0	0.0	1000.0	0.9296759	1.1947612	4.1980443	-0.55663115	220000	-1.9073487e-09	0.6654187	-0.00528673	-0.15219331	0.44429553	0.012216592	0.15675	3.0	458.50273871421814
55	14.25	12.070107	29.0	0.0	1000.0	1.5866452	1.3317437	3.9673934	-0.39190355	224000	5.722046e-09	0.8929521	-0.021323927	-0.11083418	0.47857046	0.015059889	0.13875	40.0	466.59488010406494
56	5.25	7.980445	19.0	0.0	1000.0	0.6893701	1.1100136	3.5799043	-0.17719892	228000	1.1444092e-08	0.29182264	-0.014621446	-0.09800795	0.45572224	0.015194588	0.148	15.0	474.58233857154846
57	6.25	9.705025	23.0	0.0	1000.0	0.54577214	0.91351634	3.5871444	-0.24440384	232000	-3.8146972e-08	0.23148195	-0.023004139	-0.04315941	0.45454314	0.011002353	0.13525	79.0	482.76310658454895
58	4.5	7.7942286	18.0	0.0	1000.0	0.6019167	0.98426473	3.6332068	-0.3869293	236000	-2.002716e-08	0.31393838	-0.023820162	-0.0622257	0.45553708	0.012009756	0.146	79.0	491.02820444107056
59	18.5	11.25833	30.0	0.0	1000.0	1.441657	0.8807388	2.9521964	-0.2009202	240000	-9.536744e-10	1.4306587	-0.017367784	-0.38581228	0.4356144	0.014585318	0.11125	27.0	499.10039043426514
60	8.25	13.141062	31.0	0.0	1000.0	0.5857606	1.0763739	3.3777595	-0.6187517	244000	-9.536743e-09	0.41154346	-0.022006076	-0.12637031	0.4182536	0.014549231	0.153	61.0	507.90276741981506
61	17.75	11.818947	33.0	0.0	1000.0	2.1495028	1.3286856	4.3108087	-0.61208165	248000	0.0	1.2991245	-0.025245422	-0.22515547	0.3763709	0.009334896	0.15425	79.0	516.190794467926
62	0.25	0.4330127	1.0	0.0	1000.0	0.035876144	0.11816366	2.9447474	-0.24133089	252000	2.0980835e-08	0.020705866	-0.020139761	-0.01241927	0.33468187	0.012585293	0.1135	79.0	524.3869171142578
63	2.0	3.4641016	8.0	0.0	1000.0	0.1274381	0.51090795	3.4472737	-0.3302759	256000	-1.1444092e-08	0.17570539	-0.0045802267	-0.036454573	0.3005141	0.024341313	0.3115	3.0	532.3354487419128
64	0.5	0.5	1.0	0.0	1000.0	0.08130612	0.11055898	1.1648493	-0.2818799	260000	-2.0503998e-08	0.030532358	-0.020850986	-0.008793138	0.3191174	0.009883085	0.13125	79.0	540.645054101944
65	13.75	8.870598	23.0	1.0	1000.0	0.997235	0.98617685	3.2757618	-0.14500803	264000	1.2397766e-08	1.5905522	-0.026159909	-0.27722955	0.30346167	0.0147274295	0.20675	77.0	548.9961197376251
66	16.75	16.783548	35.0	0.0	1000.0	1.3286836	0.9808183	3.2032404	-0.26170933	268000	1.525879e-08	1.1257753	-0.016327463	-0.5015141	0.26544914	0.015266061	0.14425	17.0	556.9606928825378
67	16.25	10.207228	28.0	0.0	1000.0	2.3041062	1.3258336	4.256532	-0.4147329	272000	3.2663344e-08	1.5291579	-0.025479378	-0.6764646	0.27256045	0.009201095	0.15	79.0	565.2844407558441
